Date,ConversionFactor,CTD CUSIP,Futures Ticker,Futures Price,CTD Bond ID,Futures ID,CTD Coupon,CTD Maturity Date,CTD Interest Accrual Date,CTD Day Count,CTD Coupon Frequency,CTD Issue Date,Futures Expiry Month/Year,CTD Price
9-Jun-2004,0.891814,ED317812,OEU04,109.89,ED317812 Govt,OEU04 Comdty,3.25,17-Apr-2009,13-Feb-2004,ACT/ACT,1,13-Feb-2004,4-Sep-2016,98.349
10-Jun-2004,0.891814,ED317812,OEU04,109.77,ED317812 Govt,OEU04 Comdty,3.25,17-Apr-2009,13-Feb-2004,ACT/ACT,1,13-Feb-2004,4-Sep-2016,98.228
11-Jun-2004,0.891814,ED317812,OEU04,109.47,ED317812 Govt,OEU04 Comdty,3.25,17-Apr-2009,13-Feb-2004,ACT/ACT,1,13-Feb-2004,4-Sep-2016,98.02
14-Jun-2004,0.891814,ED317812,OEU04,109.55,ED317812 Govt,OEU04 Comdty,3.25,17-Apr-2009,13-Feb-2004,ACT/ACT,1,13-Feb-2004,4-Sep-2016,98.003
15-Jun-2004,0.891814,ED317812,OEU04,110.18,ED317812 Govt,OEU04 Comdty,3.25,17-Apr-2009,13-Feb-2004,ACT/ACT,1,13-Feb-2004,4-Sep-2016,98.416
16-Jun-2004,0.891814,ED317812,OEU04,109.85,ED317812 Govt,OEU04 Comdty,3.25,17-Apr-2009,13-Feb-2004,ACT/ACT,1,13-Feb-2004,4-Sep-2016,98.249
17-Jun-2004,0.891814,ED317812,OEU04,109.75,ED317812 Govt,OEU04 Comdty,3.25,17-Apr-2009,13-Feb-2004,ACT/ACT,1,13-Feb-2004,4-Sep-2016,98.158
18-Jun-2004,0.891814,ED317812,OEU04,110.01,ED317812 Govt,OEU04 Comdty,3.25,17-Apr-2009,13-Feb-2004,ACT/ACT,1,13-Feb-2004,4-Sep-2016,98.394
21-Jun-2004,0.891814,ED317812,OEU04,110.06,ED317812 Govt,OEU04 Comdty,3.25,17-Apr-2009,13-Feb-2004,ACT/ACT,1,13-Feb-2004,4-Sep-2016,98.446
22-Jun-2004,0.891814,ED317812,OEU04,109.96,ED317812 Govt,OEU04 Comdty,3.25,17-Apr-2009,13-Feb-2004,ACT/ACT,1,13-Feb-2004,4-Sep-2016,98.35
23-Jun-2004,0.891814,ED317812,OEU04,110.04,ED317812 Govt,OEU04 Comdty,3.25,17-Apr-2009,13-Feb-2004,ACT/ACT,1,13-Feb-2004,4-Sep-2016,98.371
24-Jun-2004,0.891814,ED317812,OEU04,110.34,ED317812 Govt,OEU04 Comdty,3.25,17-Apr-2009,13-Feb-2004,ACT/ACT,1,13-Feb-2004,4-Sep-2016,98.705
25-Jun-2004,0.891814,ED317812,OEU04,110.23,ED317812 Govt,OEU04 Comdty,3.25,17-Apr-2009,13-Feb-2004,ACT/ACT,1,13-Feb-2004,4-Sep-2016,98.603
28-Jun-2004,0.891814,ED317812,OEU04,109.97,ED317812 Govt,OEU04 Comdty,3.25,17-Apr-2009,13-Feb-2004,ACT/ACT,1,13-Feb-2004,4-Sep-2016,98.368
29-Jun-2004,0.891814,ED317812,OEU04,110.02,ED317812 Govt,OEU04 Comdty,3.25,17-Apr-2009,13-Feb-2004,ACT/ACT,1,13-Feb-2004,4-Sep-2016,98.343
30-Jun-2004,0.891814,ED317812,OEU04,110.3,ED317812 Govt,OEU04 Comdty,3.25,17-Apr-2009,13-Feb-2004,ACT/ACT,1,13-Feb-2004,4-Sep-2016,98.608
1-Jul-2004,0.891814,ED317812,OEU04,110.34,ED317812 Govt,OEU04 Comdty,3.25,17-Apr-2009,13-Feb-2004,ACT/ACT,1,13-Feb-2004,4-Sep-2016,98.618
2-Jul-2004,0.891814,ED317812,OEU04,110.65,ED317812 Govt,OEU04 Comdty,3.25,17-Apr-2009,13-Feb-2004,ACT/ACT,1,13-Feb-2004,4-Sep-2016,98.965
5-Jul-2004,0.891814,ED317812,OEU04,110.7,ED317812 Govt,OEU04 Comdty,3.25,17-Apr-2009,13-Feb-2004,ACT/ACT,1,13-Feb-2004,4-Sep-2016,98.972
6-Jul-2004,0.891814,ED317812,OEU04,110.72,ED317812 Govt,OEU04 Comdty,3.25,17-Apr-2009,13-Feb-2004,ACT/ACT,1,13-Feb-2004,4-Sep-2016,98.964
