,FUT_CNVS_FACTOR,FUT_CTD_CUSIP,FUT_CUR_GEN_TICKER,PX_LAST_FUTS,join_id_bonds,join_id_fut,DAY_CNT_DES,MATURITY,CPN,INT_ACC_DT,CPN_FREQ,ISSUE_DT,CURRENT_CONTRACT_MONTH_YR,PX_LAST_BONDS
7/1/2004,0.9467,912828CM,TUU04,105.4375,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.2109375
7/2/2004,0.9467,912828CM,TUU04,105.625,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.4296875
7/6/2004,0.9467,912828CM,TUU04,105.6171875,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.3984375
7/7/2004,0.9467,912828CM,TUU04,105.640625,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.3984375
7/8/2004,0.9467,912828CM,TUU04,105.6796875,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.4453125
7/9/2004,0.9467,912828CM,TUU04,105.703125,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.4453125
7/12/2004,0.9467,912828CM,TUU04,105.7109375,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.4296875
7/13/2004,0.9467,912828CM,TUU04,105.640625,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.3671875
7/14/2004,0.9467,912828CM,TUU04,105.5859375,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.3046875
7/15/2004,0.9467,912828CM,TUU04,105.5625,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.2734375
7/16/2004,0.9467,912828CM,TUU04,105.7734375,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.4765625
7/19/2004,0.9467,912828CM,TUU04,105.7421875,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.4296875
7/20/2004,0.9467,912828CM,TUU04,105.53125,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.2421875
7/21/2004,0.9467,912828CM,TUU04,105.4375,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.1640625
7/22/2004,0.9467,912828CM,TUU04,105.4765625,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.1796875
7/23/2004,0.9467,912828CM,TUU04,105.5078125,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.1796875
7/26/2004,0.9467,912828CM,TUU04,105.4296875,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.0703125
7/27/2004,0.9467,912828CM,TUU04,105.28125,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,99.9140625
7/28/2004,0.9467,912828CM,TUU04,105.359375,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.0234375
7/29/2004,0.9467,912828CM,TUU04,105.4296875,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.09375
7/30/2004,0.9467,912828CM,TUU04,105.5625,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.1875
8/2/2004,0.9467,912828CM,TUU04,105.625,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.25
8/3/2004,0.9467,912828CM,TUU04,105.6484375,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.25
8/4/2004,0.9467,912828CM,TUU04,105.6484375,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.265625
8/5/2004,0.9467,912828CM,TUU04,105.6796875,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.328125
8/6/2004,0.9467,912828CM,TUU04,106.1953125,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.734375
8/9/2004,0.9467,912828CM,TUU04,106.1171875,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.640625
8/10/2004,0.9467,912828CM,TUU04,105.9140625,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.46875
8/11/2004,0.9467,912828CM,TUU04,105.9765625,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.53125
8/12/2004,0.9467,912828CM,TUU04,106.015625,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.53125
8/13/2004,0.9467,912828CM,TUU04,106.109375,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.609375
8/16/2004,0.9467,912828CM,TUU04,106.0703125,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.5625
8/17/2004,0.9467,912828CM,TUU04,106.171875,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.703125
8/18/2004,0.9467,912828CM,TUU04,106.171875,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.65625
8/19/2004,0.9467,912828CM,TUU04,106.234375,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.71875
8/20/2004,0.9467,912828CM,TUU04,106.15625,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.640625
8/23/2004,0.9467,912828CM,TUU04,106.078125,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.5625
8/24/2004,0.9467,912828CM,TUU04,106.09375,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.59375
8/25/2004,0.9467,912828CM,TUU04,106.109375,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.578125
8/26/2004,0.9467,912828CM,TUU04,106.1484375,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.65625
8/27/2004,0.9467,912828CM,TUU04,106.1484375,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.625
8/30/2004,0.9467,912828CM,TUU04,106.2109375,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.65625
8/31/2004,0.9467,912828CM,TUU04,106.3125,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.765625
9/1/2004,0.9467,912828CM,TUU04,106.3515625,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.796875
9/2/2004,0.9467,912828CM,TUU04,106.25,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.65625
9/3/2004,0.9467,912828CM,TUU04,105.9765625,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.40625
9/7/2004,0.9467,912828CM,TUU04,106.015625,912828CM Govt,TUU04 Comdty,ACT/ACT,6/30/2006,2.75,6/30/2004,2,6/30/2004,4-Sep,100.46875
