Date,ConversionFactor,CTD CUSIP,Futures Ticker,Futures Price,CTD Bond ID,Futures ID,DayCount,CTD Maturity,CTD Coupon,CTD Interest Accrual Date,CTD Coupon Frequency,CTD Issue Date,Futures Expiry Month/Year,CTD Price
1-Jul-2004,0.9467,912828CM,TUU04,105.4375,912828CM Govt,TUU04 Comdty,ACT/ACT,30-Jun-2006,2.75,30-Jun-2004,2,30-Jun-2004,4-Sep-2016,100.2109375
2-Jul-2004,0.9467,912828CM,TUU04,105.625,912828CM Govt,TUU04 Comdty,ACT/ACT,30-Jun-2006,2.75,30-Jun-2004,2,30-Jun-2004,4-Sep-2016,100.4296875
6-Jul-2004,0.9467,912828CM,TUU04,105.6171875,912828CM Govt,TUU04 Comdty,ACT/ACT,30-Jun-2006,2.75,30-Jun-2004,2,30-Jun-2004,4-Sep-2016,100.3984375
7-Jul-2004,0.9467,912828CM,TUU04,105.640625,912828CM Govt,TUU04 Comdty,ACT/ACT,30-Jun-2006,2.75,30-Jun-2004,2,30-Jun-2004,4-Sep-2016,100.3984375
8-Jul-2004,0.9467,912828CM,TUU04,105.6796875,912828CM Govt,TUU04 Comdty,ACT/ACT,30-Jun-2006,2.75,30-Jun-2004,2,30-Jun-2004,4-Sep-2016,100.4453125
9-Jul-2004,0.9467,912828CM,TUU04,105.703125,912828CM Govt,TUU04 Comdty,ACT/ACT,30-Jun-2006,2.75,30-Jun-2004,2,30-Jun-2004,4-Sep-2016,100.4453125
12-Jul-2004,0.9467,912828CM,TUU04,105.7109375,912828CM Govt,TUU04 Comdty,ACT/ACT,30-Jun-2006,2.75,30-Jun-2004,2,30-Jun-2004,4-Sep-2016,100.4296875
13-Jul-2004,0.9467,912828CM,TUU04,105.640625,912828CM Govt,TUU04 Comdty,ACT/ACT,30-Jun-2006,2.75,30-Jun-2004,2,30-Jun-2004,4-Sep-2016,100.3671875
14-Jul-2004,0.9467,912828CM,TUU04,105.5859375,912828CM Govt,TUU04 Comdty,ACT/ACT,30-Jun-2006,2.75,30-Jun-2004,2,30-Jun-2004,4-Sep-2016,100.3046875
15-Jul-2004,0.9467,912828CM,TUU04,105.5625,912828CM Govt,TUU04 Comdty,ACT/ACT,30-Jun-2006,2.75,30-Jun-2004,2,30-Jun-2004,4-Sep-2016,100.2734375
16-Jul-2004,0.9467,912828CM,TUU04,105.7734375,912828CM Govt,TUU04 Comdty,ACT/ACT,30-Jun-2006,2.75,30-Jun-2004,2,30-Jun-2004,4-Sep-2016,100.4765625
19-Jul-2004,0.9467,912828CM,TUU04,105.7421875,912828CM Govt,TUU04 Comdty,ACT/ACT,30-Jun-2006,2.75,30-Jun-2004,2,30-Jun-2004,4-Sep-2016,100.4296875
20-Jul-2004,0.9467,912828CM,TUU04,105.53125,912828CM Govt,TUU04 Comdty,ACT/ACT,30-Jun-2006,2.75,30-Jun-2004,2,30-Jun-2004,4-Sep-2016,100.2421875
21-Jul-2004,0.9467,912828CM,TUU04,105.4375,912828CM Govt,TUU04 Comdty,ACT/ACT,30-Jun-2006,2.75,30-Jun-2004,2,30-Jun-2004,4-Sep-2016,100.1640625
22-Jul-2004,0.9467,912828CM,TUU04,105.4765625,912828CM Govt,TUU04 Comdty,ACT/ACT,30-Jun-2006,2.75,30-Jun-2004,2,30-Jun-2004,4-Sep-2016,100.1796875
23-Jul-2004,0.9467,912828CM,TUU04,105.5078125,912828CM Govt,TUU04 Comdty,ACT/ACT,30-Jun-2006,2.75,30-Jun-2004,2,30-Jun-2004,4-Sep-2016,100.1796875
26-Jul-2004,0.9467,912828CM,TUU04,105.4296875,912828CM Govt,TUU04 Comdty,ACT/ACT,30-Jun-2006,2.75,30-Jun-2004,2,30-Jun-2004,4-Sep-2016,100.0703125
27-Jul-2004,0.9467,912828CM,TUU04,105.28125,912828CM Govt,TUU04 Comdty,ACT/ACT,30-Jun-2006,2.75,30-Jun-2004,2,30-Jun-2004,4-Sep-2016,99.9140625
28-Jul-2004,0.9467,912828CM,TUU04,105.359375,912828CM Govt,TUU04 Comdty,ACT/ACT,30-Jun-2006,2.75,30-Jun-2004,2,30-Jun-2004,4-Sep-2016,100.0234375
29-Jul-2004,0.9467,912828CM,TUU04,105.4296875,912828CM Govt,TUU04 Comdty,ACT/ACT,30-Jun-2006,2.75,30-Jun-2004,2,30-Jun-2004,4-Sep-2016,100.09375
30-Jul-2004,0.9467,912828CM,TUU04,105.5625,912828CM Govt,TUU04 Comdty,ACT/ACT,30-Jun-2006,2.75,30-Jun-2004,2,30-Jun-2004,4-Sep-2016,100.1875
2-Aug-2004,0.9467,912828CM,TUU04,105.625,912828CM Govt,TUU04 Comdty,ACT/ACT,30-Jun-2006,2.75,30-Jun-2004,2,30-Jun-2004,4-Sep-2016,100.25
3-Aug-2004,0.9467,912828CM,TUU04,105.6484375,912828CM Govt,TUU04 Comdty,ACT/ACT,30-Jun-2006,2.75,30-Jun-2004,2,30-Jun-2004,4-Sep-2016,100.25
