,FUT_CNVS_FACTOR,FUT_CTD_CUSIP,FUT_CUR_GEN_TICKER,PX_LAST_FUTS,join_id_bonds,join_id_fut,DAY_CNT_DES,MATURITY,CPN,INT_ACC_DT,CPN_FREQ,ISSUE_DT,CURRENT_CONTRACT_MONTH_YR,PX_LAST_BONDS
6/22/2004,0.9451,9128277B,TYU04,108.453125,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,103.671875
6/23/2004,0.9451,9128277B,TYU04,108.546875,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,103.828125
6/24/2004,0.9451,9128277B,TYU04,108.96875,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,104.203125
6/25/2004,0.9451,9128277B,TYU04,108.984375,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,104.21875
6/28/2004,0.9451,9128277B,TYU04,108.265625,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,103.578125
6/29/2004,0.9451,9128277B,TYU04,108.609375,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,103.875
6/30/2004,0.9451,9128277B,TYU04,109.328125,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,104.65625
7/1/2004,0.9451,9128277B,TYU04,109.671875,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,104.75
7/2/2004,0.9451,9128277B,TYU04,110.5,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,105.484375
7/6/2004,0.9451,9128277B,TYU04,110.390625,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,105.359375
7/7/2004,0.9451,9128277B,TYU04,110.421875,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,105.34375
7/8/2004,0.9451,9128277B,TYU04,110.484375,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,105.390625
7/9/2004,0.9451,9128277B,TYU04,110.578125,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,105.484375
7/12/2004,0.9451,9128277B,TYU04,110.703125,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,105.5625
7/13/2004,0.9451,9128277B,TYU04,110.4375,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,105.390625
7/14/2004,0.9451,9128277B,TYU04,110.40625,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,105.28125
7/15/2004,0.9451,9128277B,TYU04,110.390625,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,105.25
7/16/2004,0.9451,9128277B,TYU04,111.34375,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,106.125
7/19/2004,0.9451,9128277B,TYU04,111.328125,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,106.078125
7/20/2004,0.9451,9128277B,TYU04,110.578125,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,105.390625
7/21/2004,0.9451,9128277B,TYU04,110.34375,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,105.203125
7/22/2004,0.9451,9128277B,TYU04,110.5,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,105.3125
7/23/2004,0.9451,9128277B,TYU04,110.734375,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,105.40625
7/26/2004,0.9451,9128277B,TYU04,110.484375,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,105.046875
7/27/2004,0.9451,9128277B,TYU04,109.65625,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,104.296875
7/28/2004,0.9451,9128277B,TYU04,109.828125,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,104.546875
7/29/2004,0.9451,9128277B,TYU04,109.96875,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,104.65625
7/30/2004,0.9451,9128277B,TYU04,110.71875,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,105.28125
8/2/2004,0.9451,9128277B,TYU04,110.875,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,105.4375
8/3/2004,0.9451,9128277B,TYU04,111.078125,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,105.5625
8/4/2004,0.9451,9128277B,TYU04,111.015625,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,105.578125
8/5/2004,0.9451,9128277B,TYU04,111.234375,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,105.75
8/6/2004,0.9451,9128277B,TYU04,112.71875,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,107.03125
8/9/2004,0.9451,9128277B,TYU04,112.484375,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,106.75
8/10/2004,0.9451,9128277B,TYU04,112.125,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,106.421875
8/11/2004,0.9451,9128277B,TYU04,112.25,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,106.609375
8/12/2004,0.9451,9128277B,TYU04,112.4375,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,106.703125
8/13/2004,0.9451,9128277B,TYU04,112.78125,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,106.96875
8/16/2004,0.9451,9128277B,TYU04,112.53125,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,106.75
8/17/2004,0.9451,9128277B,TYU04,112.9375,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,107.234375
8/18/2004,0.9451,9128277B,TYU04,112.75,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,106.90625
8/19/2004,0.9451,9128277B,TYU04,112.890625,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,107.078125
8/20/2004,0.9451,9128277B,TYU04,112.71875,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,106.96875
8/23/2004,0.9451,9128277B,TYU04,112.390625,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,106.59375
8/24/2004,0.9451,9128277B,TYU04,112.421875,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,106.65625
8/25/2004,0.9451,9128277B,TYU04,112.53125,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,106.734375
8/26/2004,0.9451,9128277B,TYU04,112.796875,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,107.015625
8/27/2004,0.9451,9128277B,TYU04,112.796875,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,106.9375
8/30/2004,0.9451,9128277B,TYU04,113.09375,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,107.234375
8/31/2004,0.9451,9128277B,TYU04,113.46875,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,107.640625
9/1/2004,0.9451,9128277B,TYU04,113.609375,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,107.59375
9/2/2004,0.9451,9128277B,TYU04,113.171875,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,107.0625
9/3/2004,0.9451,9128277B,TYU04,112.46875,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,106.484375
9/7/2004,0.9451,9128277B,TYU04,112.75,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,106.796875
9/8/2004,0.9451,9128277B,TYU04,113.421875,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,107.34375
9/9/2004,0.9451,9128277B,TYU04,113.25,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,107.1875
9/10/2004,0.9451,9128277B,TYU04,113.40625,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,107.296875
9/13/2004,0.9451,9128277B,TYU04,113.609375,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,107.484375
9/14/2004,0.9451,9128277B,TYU04,113.78125,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,107.609375
9/15/2004,0.9451,9128277B,TYU04,113.5,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,107.40625
9/16/2004,0.9451,9128277B,TYU04,114.203125,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,108
9/17/2004,0.9451,9128277B,TYU04,113.828125,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,107.71875
9/20/2004,0.9451,9128277B,TYU04,114.34375,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,108.109375
9/21/2004,0.9451,9128277B,TYU04,114.21875,9128277B Govt,TYU04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Sep,108.1875
9/22/2004,0.9468,9128277B,TYZ04,113.59375,9128277B Govt,TYZ04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Dec,108.453125
9/23/2004,0.9468,9128277B,TYZ04,113.234375,9128277B Govt,TYZ04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Dec,108.21875
9/24/2004,0.9468,9128277B,TYZ04,113.203125,9128277B Govt,TYZ04 Comdty,ACT/ACT,8/15/2011,5,8/15/2001,2,8/15/2001,4-Dec,108.0625
