Date,ConversionFactor,CTD CUSIP,Futures Ticker,Futures Price,CTD Bond ID,Futures ID,DayCount,CTD Maturity,CTD Coupon,CTD Interest Accrual Date,CTD Coupon Frequency,CTD Issue Date,Futures Expiry Month/Year,CTD Price
22-Jun-2004,0.9451,9128277B,TYU04,108.453125,9128277B Govt,TYU04 Comdty,ACT/ACT,15-Aug-2011,5,15-Aug-2001,2,15-Aug-2001,4-Sep-2016,103.671875
23-Jun-2004,0.9451,9128277B,TYU04,108.546875,9128277B Govt,TYU04 Comdty,ACT/ACT,15-Aug-2011,5,15-Aug-2001,2,15-Aug-2001,4-Sep-2016,103.828125
24-Jun-2004,0.9451,9128277B,TYU04,108.96875,9128277B Govt,TYU04 Comdty,ACT/ACT,15-Aug-2011,5,15-Aug-2001,2,15-Aug-2001,4-Sep-2016,104.203125
25-Jun-2004,0.9451,9128277B,TYU04,108.984375,9128277B Govt,TYU04 Comdty,ACT/ACT,15-Aug-2011,5,15-Aug-2001,2,15-Aug-2001,4-Sep-2016,104.21875
28-Jun-2004,0.9451,9128277B,TYU04,108.265625,9128277B Govt,TYU04 Comdty,ACT/ACT,15-Aug-2011,5,15-Aug-2001,2,15-Aug-2001,4-Sep-2016,103.578125
29-Jun-2004,0.9451,9128277B,TYU04,108.609375,9128277B Govt,TYU04 Comdty,ACT/ACT,15-Aug-2011,5,15-Aug-2001,2,15-Aug-2001,4-Sep-2016,103.875
30-Jun-2004,0.9451,9128277B,TYU04,109.328125,9128277B Govt,TYU04 Comdty,ACT/ACT,15-Aug-2011,5,15-Aug-2001,2,15-Aug-2001,4-Sep-2016,104.65625
1-Jul-2004,0.9451,9128277B,TYU04,109.671875,9128277B Govt,TYU04 Comdty,ACT/ACT,15-Aug-2011,5,15-Aug-2001,2,15-Aug-2001,4-Sep-2016,104.75
2-Jul-2004,0.9451,9128277B,TYU04,110.5,9128277B Govt,TYU04 Comdty,ACT/ACT,15-Aug-2011,5,15-Aug-2001,2,15-Aug-2001,4-Sep-2016,105.484375
6-Jul-2004,0.9451,9128277B,TYU04,110.390625,9128277B Govt,TYU04 Comdty,ACT/ACT,15-Aug-2011,5,15-Aug-2001,2,15-Aug-2001,4-Sep-2016,105.359375
7-Jul-2004,0.9451,9128277B,TYU04,110.421875,9128277B Govt,TYU04 Comdty,ACT/ACT,15-Aug-2011,5,15-Aug-2001,2,15-Aug-2001,4-Sep-2016,105.34375
8-Jul-2004,0.9451,9128277B,TYU04,110.484375,9128277B Govt,TYU04 Comdty,ACT/ACT,15-Aug-2011,5,15-Aug-2001,2,15-Aug-2001,4-Sep-2016,105.390625
9-Jul-2004,0.9451,9128277B,TYU04,110.578125,9128277B Govt,TYU04 Comdty,ACT/ACT,15-Aug-2011,5,15-Aug-2001,2,15-Aug-2001,4-Sep-2016,105.484375
12-Jul-2004,0.9451,9128277B,TYU04,110.703125,9128277B Govt,TYU04 Comdty,ACT/ACT,15-Aug-2011,5,15-Aug-2001,2,15-Aug-2001,4-Sep-2016,105.5625
13-Jul-2004,0.9451,9128277B,TYU04,110.4375,9128277B Govt,TYU04 Comdty,ACT/ACT,15-Aug-2011,5,15-Aug-2001,2,15-Aug-2001,4-Sep-2016,105.390625
14-Jul-2004,0.9451,9128277B,TYU04,110.40625,9128277B Govt,TYU04 Comdty,ACT/ACT,15-Aug-2011,5,15-Aug-2001,2,15-Aug-2001,4-Sep-2016,105.28125
15-Jul-2004,0.9451,9128277B,TYU04,110.390625,9128277B Govt,TYU04 Comdty,ACT/ACT,15-Aug-2011,5,15-Aug-2001,2,15-Aug-2001,4-Sep-2016,105.25
16-Jul-2004,0.9451,9128277B,TYU04,111.34375,9128277B Govt,TYU04 Comdty,ACT/ACT,15-Aug-2011,5,15-Aug-2001,2,15-Aug-2001,4-Sep-2016,106.125
19-Jul-2004,0.9451,9128277B,TYU04,111.328125,9128277B Govt,TYU04 Comdty,ACT/ACT,15-Aug-2011,5,15-Aug-2001,2,15-Aug-2001,4-Sep-2016,106.078125
20-Jul-2004,0.9451,9128277B,TYU04,110.578125,9128277B Govt,TYU04 Comdty,ACT/ACT,15-Aug-2011,5,15-Aug-2001,2,15-Aug-2001,4-Sep-2016,105.390625
21-Jul-2004,0.9451,9128277B,TYU04,110.34375,9128277B Govt,TYU04 Comdty,ACT/ACT,15-Aug-2011,5,15-Aug-2001,2,15-Aug-2001,4-Sep-2016,105.203125
22-Jul-2004,0.9451,9128277B,TYU04,110.5,9128277B Govt,TYU04 Comdty,ACT/ACT,15-Aug-2011,5,15-Aug-2001,2,15-Aug-2001,4-Sep-2016,105.3125
23-Jul-2004,0.9451,9128277B,TYU04,110.734375,9128277B Govt,TYU04 Comdty,ACT/ACT,15-Aug-2011,5,15-Aug-2001,2,15-Aug-2001,4-Sep-2016,105.40625
26-Jul-2004,0.9451,9128277B,TYU04,110.484375,9128277B Govt,TYU04 Comdty,ACT/ACT,15-Aug-2011,5,15-Aug-2001,2,15-Aug-2001,4-Sep-2016,105.046875
27-Jul-2004,0.9451,9128277B,TYU04,109.65625,9128277B Govt,TYU04 Comdty,ACT/ACT,15-Aug-2011,5,15-Aug-2001,2,15-Aug-2001,4-Sep-2016,104.296875
28-Jul-2004,0.9451,9128277B,TYU04,109.828125,9128277B Govt,TYU04 Comdty,ACT/ACT,15-Aug-2011,5,15-Aug-2001,2,15-Aug-2001,4-Sep-2016,104.546875
29-Jul-2004,0.9451,9128277B,TYU04,109.96875,9128277B Govt,TYU04 Comdty,ACT/ACT,15-Aug-2011,5,15-Aug-2001,2,15-Aug-2001,4-Sep-2016,104.65625
30-Jul-2004,0.9451,9128277B,TYU04,110.71875,9128277B Govt,TYU04 Comdty,ACT/ACT,15-Aug-2011,5,15-Aug-2001,2,15-Aug-2001,4-Sep-2016,105.28125
2-Aug-2004,0.9451,9128277B,TYU04,110.875,9128277B Govt,TYU04 Comdty,ACT/ACT,15-Aug-2011,5,15-Aug-2001,2,15-Aug-2001,4-Sep-2016,105.4375
3-Aug-2004,0.9451,9128277B,TYU04,111.078125,9128277B Govt,TYU04 Comdty,ACT/ACT,15-Aug-2011,5,15-Aug-2001,2,15-Aug-2001,4-Sep-2016,105.5625
4-Aug-2004,0.9451,9128277B,TYU04,111.015625,9128277B Govt,TYU04 Comdty,ACT/ACT,15-Aug-2011,5,15-Aug-2001,2,15-Aug-2001,4-Sep-2016,105.578125
