,FUT_CNVS_FACTOR,FUT_CTD_CUSIP,FUT_CUR_GEN_TICKER,PX_LAST,join_id_bonds,join_id_fut,CPN,MATURITY,ISSUE_DT,DAY_CNT_DES,CPN_FREQ,INT_ACC_DT,CURRENT_CONTRACT_MONTH_YR,PX_LAST_BONDS
6/9/2004,0.953207,GG729399,UBU04,84.47,GG729399 Govt,UBU04 Comdty,5.625,1/4/2028,1/23/1998,ACT/ACT,1,1/4/1998,4-Sep,108.592
6/10/2004,0.953207,GG729399,UBU04,84.66,GG729399 Govt,UBU04 Comdty,5.625,1/4/2028,1/23/1998,ACT/ACT,1,1/4/1998,4-Sep,108.785
6/11/2004,0.953207,GG729399,UBU04,84.51,GG729399 Govt,UBU04 Comdty,5.625,1/4/2028,1/23/1998,ACT/ACT,1,1/4/1998,4-Sep,108.596
6/14/2004,0.953207,GG729399,UBU04,84.73,GG729399 Govt,UBU04 Comdty,5.625,1/4/2028,1/23/1998,ACT/ACT,1,1/4/1998,4-Sep,108.818
6/15/2004,0.953207,GG729399,UBU04,85.84,GG729399 Govt,UBU04 Comdty,5.625,1/4/2028,1/23/1998,ACT/ACT,1,1/4/1998,4-Sep,110.019
6/16/2004,0.953207,GG729399,UBU04,85.25,GG729399 Govt,UBU04 Comdty,5.625,1/4/2028,1/23/1998,ACT/ACT,1,1/4/1998,4-Sep,109.378
6/17/2004,0.953207,GG729399,UBU04,85.25,GG729399 Govt,UBU04 Comdty,5.625,1/4/2028,1/23/1998,ACT/ACT,1,1/4/1998,4-Sep,109.379
6/18/2004,0.953207,GG729399,UBU04,85.56,GG729399 Govt,UBU04 Comdty,5.625,1/4/2028,1/23/1998,ACT/ACT,1,1/4/1998,4-Sep,109.719
6/21/2004,0.953207,GG729399,UBU04,85.73,GG729399 Govt,UBU04 Comdty,5.625,1/4/2028,1/23/1998,ACT/ACT,1,1/4/1998,4-Sep,109.889
6/22/2004,0.953207,GG729399,UBU04,85.29,GG729399 Govt,UBU04 Comdty,5.625,1/4/2028,1/23/1998,ACT/ACT,1,1/4/1998,4-Sep,109.473
6/23/2004,0.953207,GG729399,UBU04,85.21,GG729399 Govt,UBU04 Comdty,5.625,1/4/2028,1/23/1998,ACT/ACT,1,1/4/1998,4-Sep,109.387
6/24/2004,0.953207,GG729399,UBU04,85.81,GG729399 Govt,UBU04 Comdty,5.625,1/4/2028,1/23/1998,ACT/ACT,1,1/4/1998,4-Sep,110.047
6/25/2004,0.953207,GG729399,UBU04,85.59,GG729399 Govt,UBU04 Comdty,5.625,1/4/2028,1/23/1998,ACT/ACT,1,1/4/1998,4-Sep,109.802
6/28/2004,0.953207,GG729399,UBU04,85.11,GG729399 Govt,UBU04 Comdty,5.625,1/4/2028,1/23/1998,ACT/ACT,1,1/4/1998,4-Sep,109.251
6/29/2004,0.953207,GG729399,UBU04,85.3,GG729399 Govt,UBU04 Comdty,5.625,1/4/2028,1/23/1998,ACT/ACT,1,1/4/1998,4-Sep,109.454
6/30/2004,0.953207,GG729399,UBU04,85.88,GG729399 Govt,UBU04 Comdty,5.625,1/4/2028,1/23/1998,ACT/ACT,1,1/4/1998,4-Sep,110.096
7/1/2004,0.953207,GG729399,UBU04,85.82,GG729399 Govt,UBU04 Comdty,5.625,1/4/2028,1/23/1998,ACT/ACT,1,1/4/1998,4-Sep,110.043
7/2/2004,0.953207,GG729399,UBU04,86.33,GG729399 Govt,UBU04 Comdty,5.625,1/4/2028,1/23/1998,ACT/ACT,1,1/4/1998,4-Sep,110.578
