Date,ConversionFactor,CTD CUSIP,Futures Ticker,Futures Price,CTD Bond ID,Futures ID,CTD Coupon,CTD Maturity Date,CTD Interest Accrual Date,CTD Day Count,CTD Coupon Frequency,CTD Issue Date,Futures Expiry Month/Year,CTD Price
9-Jun-2004,0.953207,GG729399,UBU04,84.47,GG729399 Govt,UBU04 Comdty,5.625,4-Jan-2028,23-Jan-1998,ACT/ACT,1,4-Jan-1998,4-Sep-2016,108.592
10-Jun-2004,0.953207,GG729399,UBU04,84.66,GG729399 Govt,UBU04 Comdty,5.625,4-Jan-2028,23-Jan-1998,ACT/ACT,1,4-Jan-1998,4-Sep-2016,108.785
11-Jun-2004,0.953207,GG729399,UBU04,84.51,GG729399 Govt,UBU04 Comdty,5.625,4-Jan-2028,23-Jan-1998,ACT/ACT,1,4-Jan-1998,4-Sep-2016,108.596
14-Jun-2004,0.953207,GG729399,UBU04,84.73,GG729399 Govt,UBU04 Comdty,5.625,4-Jan-2028,23-Jan-1998,ACT/ACT,1,4-Jan-1998,4-Sep-2016,108.818
15-Jun-2004,0.953207,GG729399,UBU04,85.84,GG729399 Govt,UBU04 Comdty,5.625,4-Jan-2028,23-Jan-1998,ACT/ACT,1,4-Jan-1998,4-Sep-2016,110.019
16-Jun-2004,0.953207,GG729399,UBU04,85.25,GG729399 Govt,UBU04 Comdty,5.625,4-Jan-2028,23-Jan-1998,ACT/ACT,1,4-Jan-1998,4-Sep-2016,109.378
17-Jun-2004,0.953207,GG729399,UBU04,85.25,GG729399 Govt,UBU04 Comdty,5.625,4-Jan-2028,23-Jan-1998,ACT/ACT,1,4-Jan-1998,4-Sep-2016,109.379
18-Jun-2004,0.953207,GG729399,UBU04,85.56,GG729399 Govt,UBU04 Comdty,5.625,4-Jan-2028,23-Jan-1998,ACT/ACT,1,4-Jan-1998,4-Sep-2016,109.719
21-Jun-2004,0.953207,GG729399,UBU04,85.73,GG729399 Govt,UBU04 Comdty,5.625,4-Jan-2028,23-Jan-1998,ACT/ACT,1,4-Jan-1998,4-Sep-2016,109.889
22-Jun-2004,0.953207,GG729399,UBU04,85.29,GG729399 Govt,UBU04 Comdty,5.625,4-Jan-2028,23-Jan-1998,ACT/ACT,1,4-Jan-1998,4-Sep-2016,109.473
23-Jun-2004,0.953207,GG729399,UBU04,85.21,GG729399 Govt,UBU04 Comdty,5.625,4-Jan-2028,23-Jan-1998,ACT/ACT,1,4-Jan-1998,4-Sep-2016,109.387
24-Jun-2004,0.953207,GG729399,UBU04,85.81,GG729399 Govt,UBU04 Comdty,5.625,4-Jan-2028,23-Jan-1998,ACT/ACT,1,4-Jan-1998,4-Sep-2016,110.047
25-Jun-2004,0.953207,GG729399,UBU04,85.59,GG729399 Govt,UBU04 Comdty,5.625,4-Jan-2028,23-Jan-1998,ACT/ACT,1,4-Jan-1998,4-Sep-2016,109.802
28-Jun-2004,0.953207,GG729399,UBU04,85.11,GG729399 Govt,UBU04 Comdty,5.625,4-Jan-2028,23-Jan-1998,ACT/ACT,1,4-Jan-1998,4-Sep-2016,109.251
29-Jun-2004,0.953207,GG729399,UBU04,85.3,GG729399 Govt,UBU04 Comdty,5.625,4-Jan-2028,23-Jan-1998,ACT/ACT,1,4-Jan-1998,4-Sep-2016,109.454
30-Jun-2004,0.953207,GG729399,UBU04,85.88,GG729399 Govt,UBU04 Comdty,5.625,4-Jan-2028,23-Jan-1998,ACT/ACT,1,4-Jan-1998,4-Sep-2016,110.096
1-Jul-2004,0.953207,GG729399,UBU04,85.82,GG729399 Govt,UBU04 Comdty,5.625,4-Jan-2028,23-Jan-1998,ACT/ACT,1,4-Jan-1998,4-Sep-2016,110.043
2-Jul-2004,0.953207,GG729399,UBU04,86.33,GG729399 Govt,UBU04 Comdty,5.625,4-Jan-2028,23-Jan-1998,ACT/ACT,1,4-Jan-1998,4-Sep-2016,110.578
5-Jul-2004,0.953207,GG729399,UBU04,86.33,GG729399 Govt,UBU04 Comdty,5.625,4-Jan-2028,23-Jan-1998,ACT/ACT,1,4-Jan-1998,4-Sep-2016,110.627
6-Jul-2004,0.953207,GG729399,UBU04,86.27,GG729399 Govt,UBU04 Comdty,5.625,4-Jan-2028,23-Jan-1998,ACT/ACT,1,4-Jan-1998,4-Sep-2016,110.557
7-Jul-2004,0.953207,GG729399,UBU04,86.48,GG729399 Govt,UBU04 Comdty,5.625,4-Jan-2028,23-Jan-1998,ACT/ACT,1,4-Jan-1998,4-Sep-2016,110.796
8-Jul-2004,0.953207,GG729399,UBU04,86.54,GG729399 Govt,UBU04 Comdty,5.625,4-Jan-2028,23-Jan-1998,ACT/ACT,1,4-Jan-1998,4-Sep-2016,110.841
9-Jul-2004,0.953207,GG729399,UBU04,86.53,GG729399 Govt,UBU04 Comdty,5.625,4-Jan-2028,23-Jan-1998,ACT/ACT,1,4-Jan-1998,4-Sep-2016,110.826
12-Jul-2004,0.953207,GG729399,UBU04,86.73,GG729399 Govt,UBU04 Comdty,5.625,4-Jan-2028,23-Jan-1998,ACT/ACT,1,4-Jan-1998,4-Sep-2016,111.017
13-Jul-2004,0.953207,GG729399,UBU04,86.2,GG729399 Govt,UBU04 Comdty,5.625,4-Jan-2028,23-Jan-1998,ACT/ACT,1,4-Jan-1998,4-Sep-2016,110.439
14-Jul-2004,0.953207,GG729399,UBU04,86.32,GG729399 Govt,UBU04 Comdty,5.625,4-Jan-2028,23-Jan-1998,ACT/ACT,1,4-Jan-1998,4-Sep-2016,110.561
15-Jul-2004,0.953207,GG729399,UBU04,86.29,GG729399 Govt,UBU04 Comdty,5.625,4-Jan-2028,23-Jan-1998,ACT/ACT,1,4-Jan-1998,4-Sep-2016,110.525
16-Jul-2004,0.953207,GG729399,UBU04,86.83,GG729399 Govt,UBU04 Comdty,5.625,4-Jan-2028,23-Jan-1998,ACT/ACT,1,4-Jan-1998,4-Sep-2016,111.103
19-Jul-2004,0.953207,GG729399,UBU04,86.79,GG729399 Govt,UBU04 Comdty,5.625,4-Jan-2028,23-Jan-1998,ACT/ACT,1,4-Jan-1998,4-Sep-2016,111.058
