,FUT_CNVS_FACTOR,FUT_CTD_CUSIP,FUT_CUR_GEN_TICKER,PX_LAST_FUTS,join_id_bonds,join_id_fut,DAY_CNT_DES,MATURITY,CPN,INT_ACC_DT,CPN_FREQ,ISSUE_DT,CURRENT_CONTRACT_MONTH_YR,PX_LAST_BONDS
6/22/2004,1.0278,912810EQ,USU04,105.09375,912810EQ Govt,USU04 Comdty,ACT/ACT,8/15/2023,6.25,8/15/1993,2,8/16/1993,4-Sep,109.34375
6/24/2004,1.0278,912810EQ,USU04,105.96875,912810EQ Govt,USU04 Comdty,ACT/ACT,8/15/2023,6.25,8/15/1993,2,8/16/1993,4-Sep,113.21875
6/25/2004,1.0278,912810EQ,USU04,105.96875,912810EQ Govt,USU04 Comdty,ACT/ACT,8/15/2023,6.25,8/15/1993,2,8/16/1993,4-Sep,110.34375
6/29/2004,1.0278,912810EQ,USU04,105.4375,912810EQ Govt,USU04 Comdty,ACT/ACT,8/15/2023,6.25,8/15/1993,2,8/16/1993,4-Sep,110.390625
6/30/2004,1.0278,912810EQ,USU04,106.375,912810EQ Govt,USU04 Comdty,ACT/ACT,8/15/2023,6.25,8/15/1993,2,8/16/1993,4-Sep,106.34375
7/1/2004,1.0278,912810EQ,USU04,106.8125,912810EQ Govt,USU04 Comdty,ACT/ACT,8/15/2023,6.25,8/15/1993,2,8/16/1993,4-Sep,109.921875
7/2/2004,1.0278,912810EQ,USU04,108.03125,912810EQ Govt,USU04 Comdty,ACT/ACT,8/15/2023,6.25,8/15/1993,2,8/16/1993,4-Sep,111.15625
7/6/2004,1.0278,912810EQ,USU04,107.8125,912810EQ Govt,USU04 Comdty,ACT/ACT,8/15/2023,6.25,8/15/1993,2,8/16/1993,4-Sep,111.203125
7/7/2004,1.0278,912810EQ,USU04,107.84375,912810EQ Govt,USU04 Comdty,ACT/ACT,8/15/2023,6.25,8/15/1993,2,8/16/1993,4-Sep,112.328125
7/8/2004,1.0278,912810EQ,USU04,107.875,912810EQ Govt,USU04 Comdty,ACT/ACT,8/15/2023,6.25,8/15/1993,2,8/16/1993,4-Sep,112.140625
7/9/2004,1.0278,912810EQ,USU04,107.96875,912810EQ Govt,USU04 Comdty,ACT/ACT,8/15/2023,6.25,8/15/1993,2,8/16/1993,4-Sep,112.109375
7/12/2004,1.0278,912810EQ,USU04,108.1875,912810EQ Govt,USU04 Comdty,ACT/ACT,8/15/2023,6.25,8/15/1993,2,8/16/1993,4-Sep,112.171875
7/13/2004,1.0278,912810EQ,USU04,107.78125,912810EQ Govt,USU04 Comdty,ACT/ACT,8/15/2023,6.25,8/15/1993,2,8/16/1993,4-Sep,112.328125
7/14/2004,1.0278,912810EQ,USU04,107.8125,912810EQ Govt,USU04 Comdty,ACT/ACT,8/15/2023,6.25,8/15/1993,2,8/16/1993,4-Sep,112.421875
7/15/2004,1.0278,912810EQ,USU04,107.875,912810EQ Govt,USU04 Comdty,ACT/ACT,8/15/2023,6.25,8/15/1993,2,8/16/1993,4-Sep,112.203125
7/16/2004,1.0278,912810EQ,USU04,109.34375,912810EQ Govt,USU04 Comdty,ACT/ACT,8/15/2023,6.25,8/15/1993,2,8/16/1993,4-Sep,112.0625
7/20/2004,1.0278,912810EQ,USU04,108.34375,912810EQ Govt,USU04 Comdty,ACT/ACT,8/15/2023,6.25,8/15/1993,2,8/16/1993,4-Sep,112.109375
7/21/2004,1.0278,912810EQ,USU04,107.96875,912810EQ Govt,USU04 Comdty,ACT/ACT,8/15/2023,6.25,8/15/1993,2,8/16/1993,4-Sep,113.578125
7/22/2004,1.0278,912810EQ,USU04,108.21875,912810EQ Govt,USU04 Comdty,ACT/ACT,8/15/2023,6.25,8/15/1993,2,8/16/1993,4-Sep,124.234375
7/23/2004,1.0278,912810EQ,USU04,108.625,912810EQ Govt,USU04 Comdty,ACT/ACT,8/15/2023,6.25,8/15/1993,2,8/16/1993,4-Sep,112.5625
7/26/2004,1.0278,912810EQ,USU04,108.1875,912810EQ Govt,USU04 Comdty,ACT/ACT,8/15/2023,6.25,8/15/1993,2,8/16/1993,4-Sep,112.25
7/27/2004,1.0278,912810EQ,USU04,106.71875,912810EQ Govt,USU04 Comdty,ACT/ACT,8/15/2023,6.25,8/15/1993,2,8/16/1993,4-Sep,112.296875
7/28/2004,1.0278,912810EQ,USU04,106.8125,912810EQ Govt,USU04 Comdty,ACT/ACT,8/15/2023,6.25,8/15/1993,2,8/16/1993,4-Sep,112.75
7/29/2004,1.0278,912810EQ,USU04,106.96875,912810EQ Govt,USU04 Comdty,ACT/ACT,8/15/2023,6.25,8/15/1993,2,8/16/1993,4-Sep,112.015625
7/30/2004,1.0278,912810EQ,USU04,108.21875,912810EQ Govt,USU04 Comdty,ACT/ACT,8/15/2023,6.25,8/15/1993,2,8/16/1993,4-Sep,110.546875
8/2/2004,1.0278,912810EQ,USU04,108.375,912810EQ Govt,USU04 Comdty,ACT/ACT,8/15/2023,6.25,8/15/1993,2,8/16/1993,4-Sep,110.734375
8/3/2004,1.0278,912810EQ,USU04,108.78125,912810EQ Govt,USU04 Comdty,ACT/ACT,8/15/2023,6.25,8/15/1993,2,8/16/1993,4-Sep,110.953125
8/4/2004,1.0278,912810EQ,USU04,108.71875,912810EQ Govt,USU04 Comdty,ACT/ACT,8/15/2023,6.25,8/15/1993,2,8/16/1993,4-Sep,112.21875
8/5/2004,1.0278,912810EQ,USU04,109,912810EQ Govt,USU04 Comdty,ACT/ACT,8/15/2023,6.25,8/15/1993,2,8/16/1993,4-Sep,112.375
6/23/2004,1.0606,912810EY,USU04,105.25,912810EY Govt,USU04 Comdty,ACT/ACT,11/15/2026,6.5,11/15/1996,2,11/15/1996,4-Sep,112.625
6/28/2004,0.9999,912810EW,USU04,104.875,912810EW Govt,USU04 Comdty,ACT/ACT,2/15/2026,6,2/15/1996,2,2/15/1996,4-Sep,112.71875
7/19/2004,1.1236,912810EP,USU04,109.34375,912810EP Govt,USU04 Comdty,ACT/ACT,2/15/2023,7.125,2/15/1993,2,2/16/1993,4-Sep,112.921875
8/9/2004,1.1236,912810EP,USU04,110.6875,912810EP Govt,USU04 Comdty,ACT/ACT,2/15/2023,7.125,2/15/1993,2,2/16/1993,4-Sep,126.765625
8/10/2004,1.1236,912810EP,USU04,110.375,912810EP Govt,USU04 Comdty,ACT/ACT,2/15/2023,7.125,2/15/1993,2,2/16/1993,4-Sep,125.09375
8/13/2004,1.1236,912810EP,USU04,111.34375,912810EP Govt,USU04 Comdty,ACT/ACT,2/15/2023,7.125,2/15/1993,2,2/16/1993,4-Sep,124.8125
8/16/2004,1.1236,912810EP,USU04,110.75,912810EP Govt,USU04 Comdty,ACT/ACT,2/15/2023,7.125,2/15/1993,2,2/16/1993,4-Sep,126.359375
8/19/2004,1.1236,912810EP,USU04,111.1875,912810EP Govt,USU04 Comdty,ACT/ACT,2/15/2023,7.125,2/15/1993,2,2/16/1993,4-Sep,126.484375
8/23/2004,1.1236,912810EP,USU04,110.5,912810EP Govt,USU04 Comdty,ACT/ACT,2/15/2023,7.125,2/15/1993,2,2/16/1993,4-Sep,125.671875
8/24/2004,1.1236,912810EP,USU04,110.5,912810EP Govt,USU04 Comdty,ACT/ACT,2/15/2023,7.125,2/15/1993,2,2/16/1993,4-Sep,125.125
8/25/2004,1.1236,912810EP,USU04,110.8125,912810EP Govt,USU04 Comdty,ACT/ACT,2/15/2023,7.125,2/15/1993,2,2/16/1993,4-Sep,131.921875
8/26/2004,1.1236,912810EP,USU04,111.25,912810EP Govt,USU04 Comdty,ACT/ACT,2/15/2023,7.125,2/15/1993,2,2/16/1993,4-Sep,126.65625
8/27/2004,1.1236,912810EP,USU04,111.34375,912810EP Govt,USU04 Comdty,ACT/ACT,2/15/2023,7.125,2/15/1993,2,2/16/1993,4-Sep,125.578125
9/16/2004,1.1236,912810EP,USU04,113.65625,912810EP Govt,USU04 Comdty,ACT/ACT,2/15/2023,7.125,2/15/1993,2,2/16/1993,4-Sep,126.875
9/17/2004,1.1236,912810EP,USU04,113.0625,912810EP Govt,USU04 Comdty,ACT/ACT,2/15/2023,7.125,2/15/1993,2,2/16/1993,4-Sep,124.75
8/6/2004,1.1352,912810EM,USU04,110.84375,912810EM Govt,USU04 Comdty,ACT/ACT,8/15/2022,7.25,8/15/1992,2,8/17/1992,4-Sep,124.875
8/11/2004,1.1352,912810EM,USU04,110.5625,912810EM Govt,USU04 Comdty,ACT/ACT,8/15/2022,7.25,8/15/1992,2,8/17/1992,4-Sep,125.109375
8/12/2004,1.1352,912810EM,USU04,110.75,912810EM Govt,USU04 Comdty,ACT/ACT,8/15/2022,7.25,8/15/1992,2,8/17/1992,4-Sep,125.71875
8/18/2004,1.1352,912810EM,USU04,111.0625,912810EM Govt,USU04 Comdty,ACT/ACT,8/15/2022,7.25,8/15/1992,2,8/17/1992,4-Sep,125.625
8/20/2004,1.1352,912810EM,USU04,111.09375,912810EM Govt,USU04 Comdty,ACT/ACT,8/15/2022,7.25,8/15/1992,2,8/17/1992,4-Sep,127.46875
8/30/2004,1.1352,912810EM,USU04,111.8125,912810EM Govt,USU04 Comdty,ACT/ACT,8/15/2022,7.25,8/15/1992,2,8/17/1992,4-Sep,128.21875
8/31/2004,1.1352,912810EM,USU04,112.53125,912810EM Govt,USU04 Comdty,ACT/ACT,8/15/2022,7.25,8/15/1992,2,8/17/1992,4-Sep,133.125
9/7/2004,1.1352,912810EM,USU04,111.46875,912810EM Govt,USU04 Comdty,ACT/ACT,8/15/2022,7.25,8/15/1992,2,8/17/1992,4-Sep,131.953125
9/10/2004,1.1352,912810EM,USU04,112.3125,912810EM Govt,USU04 Comdty,ACT/ACT,8/15/2022,7.25,8/15/1992,2,8/17/1992,4-Sep,130.90625
9/14/2004,1.1352,912810EM,USU04,112.84375,912810EM Govt,USU04 Comdty,ACT/ACT,8/15/2022,7.25,8/15/1992,2,8/17/1992,4-Sep,126.890625
9/15/2004,1.1352,912810EM,USU04,112.40625,912810EM Govt,USU04 Comdty,ACT/ACT,8/15/2022,7.25,8/15/1992,2,8/17/1992,4-Sep,136.484375
8/17/2004,1.1774,912810EN,USU04,111.3125,912810EN Govt,USU04 Comdty,ACT/ACT,11/15/2022,7.625,11/15/1992,2,11/16/1992,4-Sep,135.96875
9/1/2004,1.1774,912810EN,USU04,112.625,912810EN Govt,USU04 Comdty,ACT/ACT,11/15/2022,7.625,11/15/1992,2,11/16/1992,4-Sep,127.546875
9/2/2004,1.1774,912810EN,USU04,111.875,912810EN Govt,USU04 Comdty,ACT/ACT,11/15/2022,7.625,11/15/1992,2,11/16/1992,4-Sep,132.90625
9/3/2004,1.1774,912810EN,USU04,110.8125,912810EN Govt,USU04 Comdty,ACT/ACT,11/15/2022,7.625,11/15/1992,2,11/16/1992,4-Sep,128.28125
9/13/2004,1.1774,912810EN,USU04,112.625,912810EN Govt,USU04 Comdty,ACT/ACT,11/15/2022,7.625,11/15/1992,2,11/16/1992,4-Sep,127.875
9/8/2004,1.2113,912810EL,USU04,112.4375,912810EL Govt,USU04 Comdty,ACT/ACT,11/15/2021,8,11/15/1991,2,11/15/1991,4-Sep,127.859375
9/9/2004,1.2113,912810EL,USU04,112.03125,912810EL Govt,USU04 Comdty,ACT/ACT,11/15/2021,8,11/15/1991,2,11/15/1991,4-Sep,127.296875
9/20/2004,1.2224,912810EK,USU04,113.84375,912810EK Govt,USU04 Comdty,ACT/ACT,8/15/2021,8.125,8/15/1991,2,8/15/1991,4-Sep,139.171875
9/21/2004,1.2224,912810EK,USU04,113.75,912810EK Govt,USU04 Comdty,ACT/ACT,8/15/2021,8.125,8/15/1991,2,8/15/1991,4-Sep,139.59375
12/20/2007,1.0246,912810EQ,USH08,116.5625,912810EQ Govt,USH08 Comdty,ACT/ACT,8/15/2023,6.25,8/15/1993,2,8/16/1993,8-Mar,137.21875
12/21/2007,1.0246,912810EQ,USH08,115,912810EQ Govt,USH08 Comdty,ACT/ACT,8/15/2023,6.25,8/15/1993,2,8/16/1993,8-Mar,146.6875
12/24/2007,1.0246,912810EQ,USH08,114.375,912810EQ Govt,USH08 Comdty,ACT/ACT,8/15/2023,6.25,8/15/1993,2,8/16/1993,8-Mar,146.5
12/26/2007,1.0246,912810EQ,USH08,113.53125,912810EQ Govt,USH08 Comdty,ACT/ACT,8/15/2023,6.25,8/15/1993,2,8/16/1993,8-Mar,146.984375
12/27/2007,1.0246,912810EQ,USH08,114.4375,912810EQ Govt,USH08 Comdty,ACT/ACT,8/15/2023,6.25,8/15/1993,2,8/16/1993,8-Mar,146.5
12/28/2007,1.0246,912810EQ,USH08,115.6875,912810EQ Govt,USH08 Comdty,ACT/ACT,8/15/2023,6.25,8/15/1993,2,8/16/1993,8-Mar,129.15625
12/31/2007,1.0246,912810EQ,USH08,116.375,912810EQ Govt,USH08 Comdty,ACT/ACT,8/15/2023,6.25,8/15/1993,2,8/16/1993,8-Mar,128.75
1/2/2008,1.0246,912810EQ,USH08,117.90625,912810EQ Govt,USH08 Comdty,ACT/ACT,8/15/2023,6.25,8/15/1993,2,8/16/1993,8-Mar,127.921875
1/3/2008,1.0246,912810EQ,USH08,117.75,912810EQ Govt,USH08 Comdty,ACT/ACT,8/15/2023,6.25,8/15/1993,2,8/16/1993,8-Mar,128.171875
1/4/2008,1.0246,912810EQ,USH08,118.09375,912810EQ Govt,USH08 Comdty,ACT/ACT,8/15/2023,6.25,8/15/1993,2,8/16/1993,8-Mar,126.71875
