Date,ConversionFactor,CTD CUSIP,Futures Ticker,Futures Price,CTD Bond ID,Futures ID,DayCount,CTD Maturity,CTD Coupon,CTD Interest Accrual Date,CTD Coupon Frequency,CTD Issue Date,Futures Expiry Month/Year,CTD Price
22-Jun-2004,1.0278,912810EQ,USU04,105.09375,912810EQ Govt,USU04 Comdty,ACT/ACT,15-Aug-2023,6.25,15-Aug-1993,2,16-Aug-1993,4-Sep-2016,109.34375
24-Jun-2004,1.0278,912810EQ,USU04,105.96875,912810EQ Govt,USU04 Comdty,ACT/ACT,15-Aug-2023,6.25,15-Aug-1993,2,16-Aug-1993,4-Sep-2016,113.21875
25-Jun-2004,1.0278,912810EQ,USU04,105.96875,912810EQ Govt,USU04 Comdty,ACT/ACT,15-Aug-2023,6.25,15-Aug-1993,2,16-Aug-1993,4-Sep-2016,110.34375
29-Jun-2004,1.0278,912810EQ,USU04,105.4375,912810EQ Govt,USU04 Comdty,ACT/ACT,15-Aug-2023,6.25,15-Aug-1993,2,16-Aug-1993,4-Sep-2016,110.390625
30-Jun-2004,1.0278,912810EQ,USU04,106.375,912810EQ Govt,USU04 Comdty,ACT/ACT,15-Aug-2023,6.25,15-Aug-1993,2,16-Aug-1993,4-Sep-2016,106.34375
1-Jul-2004,1.0278,912810EQ,USU04,106.8125,912810EQ Govt,USU04 Comdty,ACT/ACT,15-Aug-2023,6.25,15-Aug-1993,2,16-Aug-1993,4-Sep-2016,109.921875
2-Jul-2004,1.0278,912810EQ,USU04,108.03125,912810EQ Govt,USU04 Comdty,ACT/ACT,15-Aug-2023,6.25,15-Aug-1993,2,16-Aug-1993,4-Sep-2016,111.15625
6-Jul-2004,1.0278,912810EQ,USU04,107.8125,912810EQ Govt,USU04 Comdty,ACT/ACT,15-Aug-2023,6.25,15-Aug-1993,2,16-Aug-1993,4-Sep-2016,111.203125
7-Jul-2004,1.0278,912810EQ,USU04,107.84375,912810EQ Govt,USU04 Comdty,ACT/ACT,15-Aug-2023,6.25,15-Aug-1993,2,16-Aug-1993,4-Sep-2016,112.328125
8-Jul-2004,1.0278,912810EQ,USU04,107.875,912810EQ Govt,USU04 Comdty,ACT/ACT,15-Aug-2023,6.25,15-Aug-1993,2,16-Aug-1993,4-Sep-2016,112.140625
9-Jul-2004,1.0278,912810EQ,USU04,107.96875,912810EQ Govt,USU04 Comdty,ACT/ACT,15-Aug-2023,6.25,15-Aug-1993,2,16-Aug-1993,4-Sep-2016,112.109375
12-Jul-2004,1.0278,912810EQ,USU04,108.1875,912810EQ Govt,USU04 Comdty,ACT/ACT,15-Aug-2023,6.25,15-Aug-1993,2,16-Aug-1993,4-Sep-2016,112.171875
13-Jul-2004,1.0278,912810EQ,USU04,107.78125,912810EQ Govt,USU04 Comdty,ACT/ACT,15-Aug-2023,6.25,15-Aug-1993,2,16-Aug-1993,4-Sep-2016,112.328125
14-Jul-2004,1.0278,912810EQ,USU04,107.8125,912810EQ Govt,USU04 Comdty,ACT/ACT,15-Aug-2023,6.25,15-Aug-1993,2,16-Aug-1993,4-Sep-2016,112.421875
15-Jul-2004,1.0278,912810EQ,USU04,107.875,912810EQ Govt,USU04 Comdty,ACT/ACT,15-Aug-2023,6.25,15-Aug-1993,2,16-Aug-1993,4-Sep-2016,112.203125
16-Jul-2004,1.0278,912810EQ,USU04,109.34375,912810EQ Govt,USU04 Comdty,ACT/ACT,15-Aug-2023,6.25,15-Aug-1993,2,16-Aug-1993,4-Sep-2016,112.0625
20-Jul-2004,1.0278,912810EQ,USU04,108.34375,912810EQ Govt,USU04 Comdty,ACT/ACT,15-Aug-2023,6.25,15-Aug-1993,2,16-Aug-1993,4-Sep-2016,112.109375
21-Jul-2004,1.0278,912810EQ,USU04,107.96875,912810EQ Govt,USU04 Comdty,ACT/ACT,15-Aug-2023,6.25,15-Aug-1993,2,16-Aug-1993,4-Sep-2016,113.578125
22-Jul-2004,1.0278,912810EQ,USU04,108.21875,912810EQ Govt,USU04 Comdty,ACT/ACT,15-Aug-2023,6.25,15-Aug-1993,2,16-Aug-1993,4-Sep-2016,124.234375
23-Jul-2004,1.0278,912810EQ,USU04,108.625,912810EQ Govt,USU04 Comdty,ACT/ACT,15-Aug-2023,6.25,15-Aug-1993,2,16-Aug-1993,4-Sep-2016,112.5625
26-Jul-2004,1.0278,912810EQ,USU04,108.1875,912810EQ Govt,USU04 Comdty,ACT/ACT,15-Aug-2023,6.25,15-Aug-1993,2,16-Aug-1993,4-Sep-2016,112.25
27-Jul-2004,1.0278,912810EQ,USU04,106.71875,912810EQ Govt,USU04 Comdty,ACT/ACT,15-Aug-2023,6.25,15-Aug-1993,2,16-Aug-1993,4-Sep-2016,112.296875
28-Jul-2004,1.0278,912810EQ,USU04,106.8125,912810EQ Govt,USU04 Comdty,ACT/ACT,15-Aug-2023,6.25,15-Aug-1993,2,16-Aug-1993,4-Sep-2016,112.75
29-Jul-2004,1.0278,912810EQ,USU04,106.96875,912810EQ Govt,USU04 Comdty,ACT/ACT,15-Aug-2023,6.25,15-Aug-1993,2,16-Aug-1993,4-Sep-2016,112.015625
30-Jul-2004,1.0278,912810EQ,USU04,108.21875,912810EQ Govt,USU04 Comdty,ACT/ACT,15-Aug-2023,6.25,15-Aug-1993,2,16-Aug-1993,4-Sep-2016,110.546875
2-Aug-2004,1.0278,912810EQ,USU04,108.375,912810EQ Govt,USU04 Comdty,ACT/ACT,15-Aug-2023,6.25,15-Aug-1993,2,16-Aug-1993,4-Sep-2016,110.734375
3-Aug-2004,1.0278,912810EQ,USU04,108.78125,912810EQ Govt,USU04 Comdty,ACT/ACT,15-Aug-2023,6.25,15-Aug-1993,2,16-Aug-1993,4-Sep-2016,110.953125
4-Aug-2004,1.0278,912810EQ,USU04,108.71875,912810EQ Govt,USU04 Comdty,ACT/ACT,15-Aug-2023,6.25,15-Aug-1993,2,16-Aug-1993,4-Sep-2016,112.21875
5-Aug-2004,1.0278,912810EQ,USU04,109,912810EQ Govt,USU04 Comdty,ACT/ACT,15-Aug-2023,6.25,15-Aug-1993,2,16-Aug-1993,4-Sep-2016,112.375
23-Jun-2004,1.0606,912810EY,USU04,105.25,912810EY Govt,USU04 Comdty,ACT/ACT,15-Nov-2026,6.5,15-Nov-1996,2,15-Nov-1996,4-Sep-2016,112.625
28-Jun-2004,0.9999,912810EW,USU04,104.875,912810EW Govt,USU04 Comdty,ACT/ACT,15-Feb-2026,6,15-Feb-1996,2,15-Feb-1996,4-Sep-2016,112.71875
19-Jul-2004,1.1236,912810EP,USU04,109.34375,912810EP Govt,USU04 Comdty,ACT/ACT,15-Feb-2023,7.125,15-Feb-1993,2,16-Feb-1993,4-Sep-2016,112.921875
9-Aug-2004,1.1236,912810EP,USU04,110.6875,912810EP Govt,USU04 Comdty,ACT/ACT,15-Feb-2023,7.125,15-Feb-1993,2,16-Feb-1993,4-Sep-2016,126.765625
10-Aug-2004,1.1236,912810EP,USU04,110.375,912810EP Govt,USU04 Comdty,ACT/ACT,15-Feb-2023,7.125,15-Feb-1993,2,16-Feb-1993,4-Sep-2016,125.09375
13-Aug-2004,1.1236,912810EP,USU04,111.34375,912810EP Govt,USU04 Comdty,ACT/ACT,15-Feb-2023,7.125,15-Feb-1993,2,16-Feb-1993,4-Sep-2016,124.8125
16-Aug-2004,1.1236,912810EP,USU04,110.75,912810EP Govt,USU04 Comdty,ACT/ACT,15-Feb-2023,7.125,15-Feb-1993,2,16-Feb-1993,4-Sep-2016,126.359375
19-Aug-2004,1.1236,912810EP,USU04,111.1875,912810EP Govt,USU04 Comdty,ACT/ACT,15-Feb-2023,7.125,15-Feb-1993,2,16-Feb-1993,4-Sep-2016,126.484375
23-Aug-2004,1.1236,912810EP,USU04,110.5,912810EP Govt,USU04 Comdty,ACT/ACT,15-Feb-2023,7.125,15-Feb-1993,2,16-Feb-1993,4-Sep-2016,125.671875
24-Aug-2004,1.1236,912810EP,USU04,110.5,912810EP Govt,USU04 Comdty,ACT/ACT,15-Feb-2023,7.125,15-Feb-1993,2,16-Feb-1993,4-Sep-2016,125.125
25-Aug-2004,1.1236,912810EP,USU04,110.8125,912810EP Govt,USU04 Comdty,ACT/ACT,15-Feb-2023,7.125,15-Feb-1993,2,16-Feb-1993,4-Sep-2016,131.921875
26-Aug-2004,1.1236,912810EP,USU04,111.25,912810EP Govt,USU04 Comdty,ACT/ACT,15-Feb-2023,7.125,15-Feb-1993,2,16-Feb-1993,4-Sep-2016,126.65625
27-Aug-2004,1.1236,912810EP,USU04,111.34375,912810EP Govt,USU04 Comdty,ACT/ACT,15-Feb-2023,7.125,15-Feb-1993,2,16-Feb-1993,4-Sep-2016,125.578125
16-Sep-2004,1.1236,912810EP,USU04,113.65625,912810EP Govt,USU04 Comdty,ACT/ACT,15-Feb-2023,7.125,15-Feb-1993,2,16-Feb-1993,4-Sep-2016,126.875
17-Sep-2004,1.1236,912810EP,USU04,113.0625,912810EP Govt,USU04 Comdty,ACT/ACT,15-Feb-2023,7.125,15-Feb-1993,2,16-Feb-1993,4-Sep-2016,124.75
6-Aug-2004,1.1352,912810EM,USU04,110.84375,912810EM Govt,USU04 Comdty,ACT/ACT,15-Aug-2022,7.25,15-Aug-1992,2,17-Aug-1992,4-Sep-2016,124.875
