,FUT_CNVS_FACTOR,FUT_CTD_CUSIP,FUT_CUR_GEN_TICKER,PX_LAST_FUTS,join_id_bonds,join_id_fut,DAY_CNT_DES,MATURITY,CPN,INT_ACC_DT,CPN_FREQ,ISSUE_DT,CURRENT_CONTRACT_MONTH_YR,PX_LAST_BONDS
1/11/2010,0.8045,912810FT,WNH10,119.6875,912810FT Govt,WNH10 Comdty,ACT/ACT,2/15/2036,4.5,2/15/2006,2,2/15/2006,10-Mar,97.1875
1/13/2010,0.8045,912810FT,WNH10,120.15625,912810FT Govt,WNH10 Comdty,ACT/ACT,2/15/2036,4.5,2/15/2006,2,2/15/2006,10-Mar,106.71875
1/14/2010,0.8045,912810FT,WNH10,121.75,912810FT Govt,WNH10 Comdty,ACT/ACT,2/15/2036,4.5,2/15/2006,2,2/15/2006,10-Mar,97.5
1/15/2010,0.8045,912810FT,WNH10,122.71875,912810FT Govt,WNH10 Comdty,ACT/ACT,2/15/2036,4.5,2/15/2006,2,2/15/2006,10-Mar,98.8125
1/19/2010,0.8045,912810FT,WNH10,122.28125,912810FT Govt,WNH10 Comdty,ACT/ACT,2/15/2036,4.5,2/15/2006,2,2/15/2006,10-Mar,99.46875
1/20/2010,0.8045,912810FT,WNH10,123.375,912810FT Govt,WNH10 Comdty,ACT/ACT,2/15/2036,4.5,2/15/2006,2,2/15/2006,10-Mar,99.359375
1/21/2010,0.8045,912810FT,WNH10,124.15625,912810FT Govt,WNH10 Comdty,ACT/ACT,2/15/2036,4.5,2/15/2006,2,2/15/2006,10-Mar,100.1875
1/22/2010,0.8045,912810FT,WNH10,124.125,912810FT Govt,WNH10 Comdty,ACT/ACT,2/15/2036,4.5,2/15/2006,2,2/15/2006,10-Mar,100.859375
1/26/2010,0.8045,912810FT,WNH10,123.125,912810FT Govt,WNH10 Comdty,ACT/ACT,2/15/2036,4.5,2/15/2006,2,2/15/2006,10-Mar,100.28125
1/27/2010,0.8045,912810FT,WNH10,123.4375,912810FT Govt,WNH10 Comdty,ACT/ACT,2/15/2036,4.5,2/15/2006,2,2/15/2006,10-Mar,107.890625
1/28/2010,0.8045,912810FT,WNH10,123.1875,912810FT Govt,WNH10 Comdty,ACT/ACT,2/15/2036,4.5,2/15/2006,2,2/15/2006,10-Mar,99.96875
1/29/2010,0.8045,912810FT,WNH10,124.375,912810FT Govt,WNH10 Comdty,ACT/ACT,2/15/2036,4.5,2/15/2006,2,2/15/2006,10-Mar,99.828125
2/1/2010,0.8045,912810FT,WNH10,123.34375,912810FT Govt,WNH10 Comdty,ACT/ACT,2/15/2036,4.5,2/15/2006,2,2/15/2006,10-Mar,100.09375
2/2/2010,0.8045,912810FT,WNH10,123.6875,912810FT Govt,WNH10 Comdty,ACT/ACT,2/15/2036,4.5,2/15/2006,2,2/15/2006,10-Mar,101.078125
2/3/2010,0.8045,912810FT,WNH10,122.15625,912810FT Govt,WNH10 Comdty,ACT/ACT,2/15/2036,4.5,2/15/2006,2,2/15/2006,10-Mar,100.015625
2/4/2010,0.8045,912810FT,WNH10,123.875,912810FT Govt,WNH10 Comdty,ACT/ACT,2/15/2036,4.5,2/15/2006,2,2/15/2006,10-Mar,100.109375
2/5/2010,0.8045,912810FT,WNH10,125,912810FT Govt,WNH10 Comdty,ACT/ACT,2/15/2036,4.5,2/15/2006,2,2/15/2006,10-Mar,98.84375
2/8/2010,0.8045,912810FT,WNH10,124.4375,912810FT Govt,WNH10 Comdty,ACT/ACT,2/15/2036,4.5,2/15/2006,2,2/15/2006,10-Mar,100.28125
2/9/2010,0.8045,912810FT,WNH10,123.5,912810FT Govt,WNH10 Comdty,ACT/ACT,2/15/2036,4.5,2/15/2006,2,2/15/2006,10-Mar,100.71875
2/10/2010,0.8045,912810FT,WNH10,122.15625,912810FT Govt,WNH10 Comdty,ACT/ACT,2/15/2036,4.5,2/15/2006,2,2/15/2006,10-Mar,101.046875
2/11/2010,0.8045,912810FT,WNH10,121.3125,912810FT Govt,WNH10 Comdty,ACT/ACT,2/15/2036,4.5,2/15/2006,2,2/15/2006,10-Mar,99.796875
2/12/2010,0.8045,912810FT,WNH10,121.75,912810FT Govt,WNH10 Comdty,ACT/ACT,2/15/2036,4.5,2/15/2006,2,2/15/2006,10-Mar,98.859375
