Date,ConversionFactor,CTD CUSIP,Futures Ticker,Futures Price,CTD Bond ID,Futures ID,DayCount,CTD Maturity,CTD Coupon,CTD Interest Accrual Date,CTD Coupon Frequency,CTD Issue Date,Futures Expiry Month/Year,CTD Price
11-Jan-2010,0.8045,912810FT,WNH10,119.6875,912810FT Govt,WNH10 Comdty,ACT/ACT,15-Feb-2036,4.5,15-Feb-2006,2,15-Feb-2006,10-Mar-2016,97.1875
13-Jan-2010,0.8045,912810FT,WNH10,120.15625,912810FT Govt,WNH10 Comdty,ACT/ACT,15-Feb-2036,4.5,15-Feb-2006,2,15-Feb-2006,10-Mar-2016,106.71875
14-Jan-2010,0.8045,912810FT,WNH10,121.75,912810FT Govt,WNH10 Comdty,ACT/ACT,15-Feb-2036,4.5,15-Feb-2006,2,15-Feb-2006,10-Mar-2016,97.5
15-Jan-2010,0.8045,912810FT,WNH10,122.71875,912810FT Govt,WNH10 Comdty,ACT/ACT,15-Feb-2036,4.5,15-Feb-2006,2,15-Feb-2006,10-Mar-2016,98.8125
19-Jan-2010,0.8045,912810FT,WNH10,122.28125,912810FT Govt,WNH10 Comdty,ACT/ACT,15-Feb-2036,4.5,15-Feb-2006,2,15-Feb-2006,10-Mar-2016,99.46875
20-Jan-2010,0.8045,912810FT,WNH10,123.375,912810FT Govt,WNH10 Comdty,ACT/ACT,15-Feb-2036,4.5,15-Feb-2006,2,15-Feb-2006,10-Mar-2016,99.359375
21-Jan-2010,0.8045,912810FT,WNH10,124.15625,912810FT Govt,WNH10 Comdty,ACT/ACT,15-Feb-2036,4.5,15-Feb-2006,2,15-Feb-2006,10-Mar-2016,100.1875
22-Jan-2010,0.8045,912810FT,WNH10,124.125,912810FT Govt,WNH10 Comdty,ACT/ACT,15-Feb-2036,4.5,15-Feb-2006,2,15-Feb-2006,10-Mar-2016,100.859375
26-Jan-2010,0.8045,912810FT,WNH10,123.125,912810FT Govt,WNH10 Comdty,ACT/ACT,15-Feb-2036,4.5,15-Feb-2006,2,15-Feb-2006,10-Mar-2016,100.28125
27-Jan-2010,0.8045,912810FT,WNH10,123.4375,912810FT Govt,WNH10 Comdty,ACT/ACT,15-Feb-2036,4.5,15-Feb-2006,2,15-Feb-2006,10-Mar-2016,107.890625
28-Jan-2010,0.8045,912810FT,WNH10,123.1875,912810FT Govt,WNH10 Comdty,ACT/ACT,15-Feb-2036,4.5,15-Feb-2006,2,15-Feb-2006,10-Mar-2016,99.96875
29-Jan-2010,0.8045,912810FT,WNH10,124.375,912810FT Govt,WNH10 Comdty,ACT/ACT,15-Feb-2036,4.5,15-Feb-2006,2,15-Feb-2006,10-Mar-2016,99.828125
1-Feb-2010,0.8045,912810FT,WNH10,123.34375,912810FT Govt,WNH10 Comdty,ACT/ACT,15-Feb-2036,4.5,15-Feb-2006,2,15-Feb-2006,10-Mar-2016,100.09375
2-Feb-2010,0.8045,912810FT,WNH10,123.6875,912810FT Govt,WNH10 Comdty,ACT/ACT,15-Feb-2036,4.5,15-Feb-2006,2,15-Feb-2006,10-Mar-2016,101.078125
3-Feb-2010,0.8045,912810FT,WNH10,122.15625,912810FT Govt,WNH10 Comdty,ACT/ACT,15-Feb-2036,4.5,15-Feb-2006,2,15-Feb-2006,10-Mar-2016,100.015625
4-Feb-2010,0.8045,912810FT,WNH10,123.875,912810FT Govt,WNH10 Comdty,ACT/ACT,15-Feb-2036,4.5,15-Feb-2006,2,15-Feb-2006,10-Mar-2016,100.109375
5-Feb-2010,0.8045,912810FT,WNH10,125,912810FT Govt,WNH10 Comdty,ACT/ACT,15-Feb-2036,4.5,15-Feb-2006,2,15-Feb-2006,10-Mar-2016,98.84375
8-Feb-2010,0.8045,912810FT,WNH10,124.4375,912810FT Govt,WNH10 Comdty,ACT/ACT,15-Feb-2036,4.5,15-Feb-2006,2,15-Feb-2006,10-Mar-2016,100.28125
9-Feb-2010,0.8045,912810FT,WNH10,123.5,912810FT Govt,WNH10 Comdty,ACT/ACT,15-Feb-2036,4.5,15-Feb-2006,2,15-Feb-2006,10-Mar-2016,100.71875
10-Feb-2010,0.8045,912810FT,WNH10,122.15625,912810FT Govt,WNH10 Comdty,ACT/ACT,15-Feb-2036,4.5,15-Feb-2006,2,15-Feb-2006,10-Mar-2016,101.046875
11-Feb-2010,0.8045,912810FT,WNH10,121.3125,912810FT Govt,WNH10 Comdty,ACT/ACT,15-Feb-2036,4.5,15-Feb-2006,2,15-Feb-2006,10-Mar-2016,99.796875
12-Feb-2010,0.8045,912810FT,WNH10,121.75,912810FT Govt,WNH10 Comdty,ACT/ACT,15-Feb-2036,4.5,15-Feb-2006,2,15-Feb-2006,10-Mar-2016,98.859375
16-Feb-2010,0.8045,912810FT,WNH10,122.125,912810FT Govt,WNH10 Comdty,ACT/ACT,15-Feb-2036,4.5,15-Feb-2006,2,15-Feb-2006,10-Mar-2016,98.34375
17-Feb-2010,0.8045,912810FT,WNH10,120.625,912810FT Govt,WNH10 Comdty,ACT/ACT,15-Feb-2036,4.5,15-Feb-2006,2,15-Feb-2006,10-Mar-2016,98.578125
18-Feb-2010,0.8045,912810FT,WNH10,119.90625,912810FT Govt,WNH10 Comdty,ACT/ACT,15-Feb-2036,4.5,15-Feb-2006,2,15-Feb-2006,10-Mar-2016,98.84375
19-Feb-2010,0.8045,912810FT,WNH10,120.96875,912810FT Govt,WNH10 Comdty,ACT/ACT,15-Feb-2036,4.5,15-Feb-2006,2,15-Feb-2006,10-Mar-2016,97.796875
22-Feb-2010,0.8045,912810FT,WNH10,120.46875,912810FT Govt,WNH10 Comdty,ACT/ACT,15-Feb-2036,4.5,15-Feb-2006,2,15-Feb-2006,10-Mar-2016,97.203125
23-Feb-2010,0.8045,912810FT,WNH10,122.40625,912810FT Govt,WNH10 Comdty,ACT/ACT,15-Feb-2036,4.5,15-Feb-2006,2,15-Feb-2006,10-Mar-2016,97.734375
