,GACGB1 Index,GACGB10 Index,GACGB15 Index,GACGB2 Index,GACGB20 Index,GACGB3 Index,GACGB4 Index,GACGB5 Index,GACGB7 Index,GACGB9 Index
1969-07-31,,5.8,,,,,,,,
1969-08-29,,5.79,,,,,,,,
1969-09-30,,5.8100000000000005,,,,,,,,
1969-10-31,,5.83,,,,,,,,
1969-11-28,,5.85,,,,,,,,
1969-12-31,,5.95,,,,,,,,
1970-01-30,,5.95,,,,,,,,
1970-02-27,,5.96,,,,,,,,
1970-03-31,,6.05,,,,,,,,
1970-04-30,,6.9399999999999995,,,,,,,,
1970-05-29,,6.85,,,,,,,,
1970-06-30,,6.86,,,,,,,,
1970-07-31,,6.89,,,,,,,,
1970-08-31,,6.87,,,,,,,,
1970-09-30,,6.87,,,,,,,,
1970-10-30,,6.88,,,,,,,,
1970-11-30,,6.83,,,,,,,,
1970-12-31,,6.8100000000000005,,,,,,,,
1971-01-29,,6.85,,,,,,,,
1971-02-26,,6.85,,,,,,,,
1971-03-31,,6.84,,,,,,,,
1971-04-30,,6.85,,,,,,,,
1971-05-28,,6.82,,,,,,,,
1971-05-31,,6.82,,,,,,,,
1971-06-30,,6.83,,,,,,,,
1971-07-30,,6.8100000000000005,,,,,,,,
1971-08-31,,6.82,,,,,,,,
1971-09-30,,6.78,,,,,,,,
1971-10-29,,6.58,,,,,,,,
1971-11-30,,6.38,,,,,,,,
1971-12-31,,6.15,,,,,,,,
1972-01-31,,6.14,,,,,,,,
1972-02-29,,5.84,,,,,,,,
1972-03-31,,5.84,,,,,,,,
1972-04-28,,5.85,,,,,,,,
1972-05-31,,5.85,,,,,,,,
1972-06-30,,5.85,,,,,,,,
1972-07-31,,5.8,,,,,,,,
1972-08-31,,5.75,,,,,,,,
1972-09-29,,5.75,,,,,,,,
1972-10-31,,5.77,,,,,,,,
1972-11-30,,5.76,,,,,,,,
1972-12-29,,5.78,,,,,,,,
1973-01-31,,5.6899999999999995,,,,,,,,
1973-02-28,,5.76,,,,,,,,
1973-03-30,,5.8,,,,,,,,
1973-04-30,,6.12,,,,,,,,
1973-05-31,,6.2,,,,,,,,
1973-06-29,,6.72,,,,,,,,
1973-07-31,,6.74,,,,,,,,
1973-08-31,,6.73,,,,,,,,
1973-09-28,,8.38,,,,,,,,
1973-10-31,,8.35,,,,,,,,
1973-11-30,,8.35,,,,,,,,
1973-12-31,,8.36,,,,,,,,
1974-01-31,,8.36,,,,,,,,
1974-02-28,,8.36,,,,,,,,
1974-03-29,,8.37,,,,,,,,
1974-04-30,,8.38,,,,,,,,
1974-05-31,,8.45,,,,,,,,
1974-06-28,,9.52,,,,,,,,
1974-07-31,,9.5,,,,,,,,
1974-08-30,,9.5,,,,,,,,
1974-09-30,,9.5,,,,,,,,
1974-10-31,,9.5,,,,,,,,
1974-11-29,,9.5,,,,,,,,
1974-12-31,,9.5,,,,,,,,
1975-01-31,,9.4,,,,,,,,
1975-02-28,,9.5,,,,,,,,
1975-03-31,,9.5,,,,,,,,
1975-04-30,,9.5,,,,,,,,
1975-05-30,,9.5,,,,,,,,
1975-06-30,,9.5,,,,,,,,
1975-07-31,,10.0,,,,,,,,
1975-08-29,,10.0,,,,,,,,
1975-09-30,,10.0,,,,,,,,
1975-10-31,,10.0,,,,,,,,
1975-11-28,,10.0,,,,,,,,
1975-12-31,,10.0,,,,,,,,
1976-01-30,,10.0,,,,,,,,
1976-02-27,,10.0,,,,,,,,
1976-03-31,,9.99,,,,,,,,
1976-04-30,,10.0,,,,,,,,
1976-05-28,,10.0,,,,,,,,
1976-05-31,,10.0,,,,,,,,
1976-06-30,,9.99,,,,,,,,
1976-07-30,,10.0,,,,,,,,
