,GCAN10YR Index,GCAN20YR Index,GCAN2YR Index,GCAN30YR Index,GCAN3YR Index,GCAN4YR Index,GCAN5YR Index,GCAN7YR Index
1989-06-21,9.528,9.477,10.32,,,9.994,9.683,9.621
1989-06-22,9.558,9.477,10.29,,10.023,9.949,9.676,9.703
1989-06-23,9.438,9.405,10.029,,9.795,9.76,9.527,9.575
1989-06-26,9.39,9.372,9.827,,9.655,9.641,9.44,9.488
1989-06-27,9.332,9.328,9.74,,9.554,9.537,9.354,9.407
1989-06-28,9.372,9.331,9.882,,9.642,9.627,9.459,9.473
1989-06-29,9.348,9.347,9.795,,9.62,9.618,9.428,9.381
1989-06-30,9.299,9.312,9.703,,9.559,9.568,9.391,9.346
1989-07-04,9.323,9.332,9.705,,9.558,9.602,9.398,9.379
1989-07-05,9.377,9.366,9.686,,9.578,9.613,9.444,9.427
1989-07-06,9.359,9.366,9.639,,9.528,9.499,9.355,9.395
1989-07-07,9.354,9.374,9.695,,9.635,9.553,9.367,9.415
1989-07-10,9.331,9.365,9.665,,9.586,9.515,9.33,9.39
1989-07-11,9.331,9.354,9.576,,9.521,9.47,9.305,9.376
1989-07-12,9.311,9.36,9.517,,9.513,9.449,9.244,9.346
1989-07-13,9.315,9.350999999999999,9.571,,9.45,9.494,9.31,9.346
1989-07-14,9.311,9.368,9.598,,9.47,9.509,9.29,9.387
1989-07-17,9.38,9.403,9.715,,9.529,9.494,9.36,9.397
1989-07-18,9.454,9.439,9.802,,9.649000000000001,9.615,9.455,9.509
1989-07-19,9.38,9.414,9.771,,9.558,9.525,9.355,9.399000000000001
1989-07-20,9.348,9.392,9.708,,9.526,9.465,9.318,9.379
1989-07-21,9.372,9.409,9.826,,9.616,9.54,9.368,9.443
1989-07-24,9.368,9.411,9.67,,9.544,9.533,9.35,9.433
1989-07-25,9.34,9.408,9.633,,9.515,9.48,9.281,9.387
1989-07-26,9.331,9.403,9.644,,9.543,9.473,9.281,9.372
1989-07-27,9.258,9.373,9.676,,9.5,9.42,9.431,9.321
1989-07-28,9.242,9.343,9.698,,9.469,9.405,9.158,9.295
1989-07-31,9.144,9.199,9.727,,9.398,9.248,9.056,9.164
1989-08-01,9.048,9.122,9.576,,9.259,9.142,8.975999999999999,9.043
1989-08-02,9.02,9.122,9.59,,9.285,,8.979,9.053
1989-08-03,9.08,9.157,9.631,,9.353,9.136,9.1,9.129
1989-08-04,9.233,9.274000000000001,9.871,,9.597,9.451,9.288,9.29
1989-08-08,9.258,9.261,9.778,,9.555,9.421,9.26,9.296
1989-08-09,9.381,9.328,9.826,,9.616,9.459,9.358,9.408
1989-08-10,9.278,9.263,9.713,,9.562,9.452,9.329,9.335
1989-08-11,9.242,9.257,9.926,,9.696,9.346,9.408,9.355
1989-08-14,9.501,9.361,10.131,,9.818999999999999,9.712,9.543,9.54
1989-08-15,9.422,9.32,10.17,,9.871,9.674,9.513,9.532
1989-08-16,9.303,9.255,10.139,,9.787,9.485,9.39,9.419
1989-08-17,9.381,9.295,10.199,,9.797,9.606,9.445,9.489
1989-08-18,9.443,9.366,10.18,,9.88,9.748,9.537,9.548
1989-08-21,9.425,9.32,10.33,,9.921,9.73,9.58,9.559
1989-08-22,9.46,9.352,10.258,,9.952,9.792,9.605,9.596
1989-08-23,9.423,9.32,10.52,,9.9,9.765,9.543,9.533
