,GECU10YR Index,GECU15YR Index,GECU1YR Index,GECU20YR Index,GECU2YR Index,GECU30YR Index,GECU3YR Index,GECU4YR Index,GECU5YR Index,GECU6YR Index,GECU7YR Index,GECU9YR Index
1/4/1993,8.71,,,,,,,,8.4,,,
1/5/1993,8.68,,,,,,,,8.38,,,
1/6/1993,8.64,,,,,,,,8.34,,,
1/7/1993,8.62,,,,,,,,8.3,,,
1/8/1993,8.59,,,,,,,,8.25,,,
1/11/1993,8.55,,,,,,,,8.23,,,
1/12/1993,8.52,,,,,,,,8.17,,,
1/13/1993,8.53,,,,,,,,8.19,,,
1/14/1993,8.51,,,,,,,,8.19,,,
1/15/1993,8.44,,,,,,,,8.13,,,
1/18/1993,8.34,,,,,,,,8,,,
1/19/1993,8.33,,,,,,,,7.99,,,
1/20/1993,8.35,,,,,,,,7.99,,,
1/21/1993,8.31,,,,,,,,7.96,,,
1/22/1993,8.28,,,,,,,,7.9,,,
1/25/1993,8.32,,,,,,,,7.96,,,
1/26/1993,8.31,,,,,,,,7.96,,,
1/27/1993,8.3,,,,,,,,7.94,,,
1/28/1993,8.34,,,,,,,,7.99,,,
1/29/1993,8.32,,,,,,,,7.95,,,
2/1/1993,8.28,,,,,,,,7.92,,,
2/2/1993,8.27,,,,,,,,7.92,,,
2/3/1993,8.24,,,,,,,,7.87,,,
2/4/1993,8.21,,,,,,,,7.82,,,
2/5/1993,8.15,,,,,,,,7.74,,,
2/8/1993,8.15,,,,,,,,7.8,,,
2/9/1993,8.15,,,,,,,,7.81,,,
2/10/1993,8.18,,,,,,,,7.85,,,
2/11/1993,8.18,,,,,,,,7.85,,,
2/12/1993,8.2,,,,,,,,7.9,,,
2/15/1993,8.2,,,,,,,,7.89,,,
2/16/1993,8.19,,,,,,,,7.87,,,
2/17/1993,8.05,,,,,,,,7.84,,,
2/18/1993,8.01,,,,,,,,7.76,,,
2/19/1993,7.91,,,,,,,,7.66,,,
2/22/1993,7.8,,,,,,,,7.59,,,
2/23/1993,7.83,,,,,,,,7.61,,,
2/24/1993,7.88,,,,,,,,7.67,,,
2/25/1993,7.85,,,,,,,,7.67,,,
2/26/1993,7.78,,,,,,,,7.64,,,
3/1/1993,7.71,,,,,,,,7.58,,,
3/2/1993,7.73,,,,,,,,7.58,,,
3/3/1993,7.68,,,,,,,,7.57,,,
3/4/1993,7.67,,,,,,,,7.54,,,
3/5/1993,7.53,,,,,,,,7.45,,,
3/8/1993,7.44,,,,,,,,7.37,,,
3/9/1993,7.53,,,,,,,,7.41,,,
3/10/1993,7.42,,,,,,,,7.36,,,
3/11/1993,7.49,,,,,,,,7.36,,,
3/12/1993,7.54,,,,,,,,7.4,,,
3/15/1993,7.49,,,,,,,,7.39,,,
3/16/1993,7.49,,,,,,,,7.31,,,
3/17/1993,7.48,,,,,,,,7.3,,,
3/18/1993,7.46,,,,,,,,7.28,,,
3/19/1993,7.46,,,,,,,,,,,
3/22/1993,7.51,,,,,,,,7.33,,,
3/23/1993,7.57,,,,,,,,7.4,,,
3/24/1993,7.69,,,,,,,,7.5,,,
3/25/1993,7.64,,,,,,,,7.45,,,
3/26/1993,7.6,,,,,,,,7.39,,,
3/29/1993,7.6,,,,,,,,7.36,,,
3/30/1993,7.57,,,,,,,,7.3,,,
3/31/1993,7.62,,,,,,,,7.35,,,
4/1/1993,7.6,,,,,,,,7.33,,,
4/2/1993,7.6,,,,,,,,7.38,,,
4/5/1993,7.71,,,,,,,,7.43,,,
4/6/1993,7.626,,,,,,,,7.346,,,
4/7/1993,7.54,,,,,,,,7.273,,,
4/8/1993,7.52,,,,,,,,7.26,,,
4/9/1993,7.52,,,,,,,,7.26,,,
4/12/1993,7.52,,,,,,,,7.26,,,
4/13/1993,7.526,,,,,,,,7.245,,,
4/14/1993,7.583,,,,,,,,7.314,,,
4/15/1993,7.603,,,,,,,,7.333,,,
4/16/1993,7.58,,,,,,,,7.321,,,
4/19/1993,7.569,,,,,,,,7.309,,,
4/20/1993,7.604,,,,,,,,7.348,,,
