,GDGB10YR Index,GDGB1YR Index,GDGB20YR Index,GDGB2YR Index,GDGB30YR Index,GDGB3YR Index,GDGB4YR Index,GDGB5YR Index,GDGB6YR Index
1/4/1993,8.96,,,,,,,9.25,
1/5/1993,8.97,,,,,,,9.25,
1/6/1993,8.91,,,,,,,9.2,
1/7/1993,8.88,,,,,,,9.17,
1/8/1993,8.79,,,,,,,9.03,
1/11/1993,8.84,,,,,,,9.06,
1/12/1993,8.84,,,,,,,9.05,
1/13/1993,8.85,,,,,,,9.06,
1/14/1993,8.91,,,,,,,9.09,
1/15/1993,8.76,,,,,,,8.92,
1/18/1993,8.46,,,,,,,8.54,
1/19/1993,8.45,,,,,,,8.54,
1/20/1993,8.44,,,,,,,8.51,
1/21/1993,8.42,,,,,,,8.46,
1/22/1993,8.34,,,,,,,8.39,
1/25/1993,8.41,,,,,,,8.5,
1/26/1993,8.42,,,,,,,8.49,
1/27/1993,8.49,,,,,,,8.57,
1/28/1993,8.57,,,,,,,8.72,
1/29/1993,8.53,,,,,,,8.65,
2/1/1993,8.52,,,,,,,8.68,
2/2/1993,8.51,,,,,,,8.68,
2/3/1993,8.47,,,,,,,8.65,
2/4/1993,8.53,,,,,,,8.71,
2/5/1993,8.69,,,,,,,9.08,
2/8/1993,8.72,,,,,,,9.14,
2/9/1993,8.74,,,,,,,9.19,
2/10/1993,8.71,,,,,,,9.11,
2/11/1993,8.71,,,,,,,9.11,
2/12/1993,8.74,,,,,,,9.11,
2/15/1993,8.73,,,,,,,9.12,
2/16/1993,8.76,,,,,,,9.15,
2/17/1993,8.74,,,,,,,9.15,
2/18/1993,8.73,,,,,,,9.13,
2/19/1993,8.67,,,,,,,9.08,
2/22/1993,8.49,,,,,,,8.84,
2/23/1993,8.63,,,,,,,9.08,
2/24/1993,8.67,,,,,,,9.13,
2/25/1993,8.66,,,,,,,9.04,
2/26/1993,8.58,,,,,,,8.96,
3/1/1993,8.48,,,,,,,8.84,
3/2/1993,8.51,,,,,,,8.88,
3/3/1993,8.44,,,,,,,8.76,
3/4/1993,8.31,,,,,,,8.6,
3/5/1993,8.16,,,,,,,8.42,
3/8/1993,8.07,,,,,,,8.3,
3/9/1993,8.1,,,,,,,8.32,
3/10/1993,8.04,,,,,,,8.24,
3/11/1993,8.11,,,,,,,8.32,
3/12/1993,8.2,,,,,,,8.46,
3/15/1993,8.18,,,,,,,8.45,
3/16/1993,8.22,,,,,,,8.53,
3/17/1993,8.18,,,,,,,8.48,
3/18/1993,8.14,,,,,,,8.46,
3/19/1993,8.15,,,,,,,8.48,
3/22/1993,8.18,,,,,,,8.51,
3/23/1993,8.16,,,,,,,8.45,
3/24/1993,8.17,,,,,,,8.45,
3/25/1993,8.16,,,,,,,8.45,
3/26/1993,8.12,,,,,,,8.39,
3/29/1993,8.06,,,,,,,8.28,
3/30/1993,8,,,,,,,8.14,
3/31/1993,7.98,,,,,,,8.09,
4/1/1993,8,,,,,,,8.14,
4/2/1993,8.01,,,,,,,8.18,
4/5/1993,8.01,,,,,,,8.15,
4/6/1993,7.969,,,,,,,8.089,
4/7/1993,7.918,,,,,,,8.002,
4/8/1993,7.94,,,,,,,8.03,
4/9/1993,7.94,,,,,,,8.03,
4/12/1993,7.94,,,,,,,8.03,
4/13/1993,7.846,,,,,,,7.901,
4/14/1993,7.816,,,,,,,7.917,
4/15/1993,7.803,,,,,,,7.895,
4/16/1993,7.792,,,,,,,7.894,
4/19/1993,7.699,,,,,,,7.807,
4/20/1993,7.685,,,,,,,7.793,
4/21/1993,7.708,,,,,,,7.804,
4/22/1993,7.562,,,,,,,7.654,
4/23/1993,7.601,,,,,,,7.67,
4/26/1993,7.617,,,,,,,7.706,
