,1,10,15,2,20,3,30,4,5,6,7,8
2-Jan-1989,,10.19,,,,,,,,,,
3-Jan-1989,,10.23,,,,,,,,,,
4-Jan-1989,,10.23,,,,,,,,,,
5-Jan-1989,,10.27,,,,,,,,,,
6-Jan-1989,,10.27,,,,,,,,,,
9-Jan-1989,,10.22,,,,,,,,,,
10-Jan-1989,,10.17,,,,,,,,,,
11-Jan-1989,,10.16,,,,,,,,,,
12-Jan-1989,,10.21,,,,,,,,,,
13-Jan-1989,,10.04,,,,,,,,,,
16-Jan-1989,,10.04,,,,,,,,,,
17-Jan-1989,,10.04,,,,,,,,,,
18-Jan-1989,,10.02,,,,,,,,,,
19-Jan-1989,,9.9,,,,,,,,,,
20-Jan-1989,,9.9,,,,,,,,,,
23-Jan-1989,,9.85,,,,,,,,,,
24-Jan-1989,,9.84,,,,,,,,,,
25-Jan-1989,,9.83,,,,,,,,,,
26-Jan-1989,,9.83,,,,,,,,,,
27-Jan-1989,,9.75,,,,,,,,,,
30-Jan-1989,,9.8,,,,,,,,,,
31-Jan-1989,,9.8,,,,,,,,,,
1-Feb-1989,,9.79,,,,,,,,,,
2-Feb-1989,,9.75,,,,,,,,,,
3-Feb-1989,,9.69,,,,,,,,,,
6-Feb-1989,,9.7,,,,,,,,,,
7-Feb-1989,,9.71,,,,,,,,,,
8-Feb-1989,,9.64,,,,,,,,,,
9-Feb-1989,,9.66,,,,,,,,,,
10-Feb-1989,,9.7,,,,,,,,,,
13-Feb-1989,,9.72,,,,,,,,,,
14-Feb-1989,,9.74,,,,,,,,,,
15-Feb-1989,,9.7,,,,,,,,,,
16-Feb-1989,,9.72,,,,,,,,,,
17-Feb-1989,,9.78,,,,,,,,,,
20-Feb-1989,,9.78,,,,,,,,,,
21-Feb-1989,,9.85,,,,,,,,,,
22-Feb-1989,,9.94,,,,,,,,,,
23-Feb-1989,,9.97,,,,,,,,,,
24-Feb-1989,,9.99,,,,,,,,,,
27-Feb-1989,,10.11,,,,,,,,,,
28-Feb-1989,,10.05,,,,,,,,,,
1-Mar-1989,,10.08,,,,,,,,,,
2-Mar-1989,,10,,,,,,,,,,
3-Mar-1989,,9.94,,,,,,,,,,
6-Mar-1989,,9.88,,,,,,,,,,
7-Mar-1989,,9.91,,,,,,,,,,
8-Mar-1989,,9.91,,,,,,,,,,
9-Mar-1989,,9.92,,,,,,,,,,
10-Mar-1989,,9.94,,,,,,,,,,
13-Mar-1989,,9.95,,,,,,,,,,
14-Mar-1989,,9.94,,,,,,,,,,
15-Mar-1989,,9.9,,,,,,,,,,
16-Mar-1989,,9.92,,,,,,,,,,
17-Mar-1989,,10,,,,,,,,,,
20-Mar-1989,,10.05,,,,,,,,,,
21-Mar-1989,,10.01,,,,,,,,,,
22-Mar-1989,,10.22,,,,,,,,,,
23-Mar-1989,,9.99,,,,,,,,,,
24-Mar-1989,,9.99,,,,,,,,,,
27-Mar-1989,,9.99,,,,,,,,,,
28-Mar-1989,,10.05,,,,,,,,,,
29-Mar-1989,,10.08,,,,,,,,,,
30-Mar-1989,,10.11,,,,,,,,,,
31-Mar-1989,,10.11,,,,,,,,,,
3-Apr-1989,,10.17,,,,,,,,,,
4-Apr-1989,,10.14,,,,,,,,,,
5-Apr-1989,,10.19,,,,,,,,,,
6-Apr-1989,,10.2,,,,,,,,,,
7-Apr-1989,,10.27,,,,,,,,,,
10-Apr-1989,,10.26,,,,,,,,,,
11-Apr-1989,,10.32,,,,,,,,,,
12-Apr-1989,,10.35,,,,,,,,,,
13-Apr-1989,,10.44,,,,,,,,,,
14-Apr-1989,,10.32,,,,,,,,,,
17-Apr-1989,,10.25,,,,,,,,,,
18-Apr-1989,,10.25,,,,,,,,,,
19-Apr-1989,,10.22,,,,,,,,,,
20-Apr-1989,,10.38,,,,,,,,,,
21-Apr-1989,,10.36,,,,,,,,,,
24-Apr-1989,,10.36,,,,,,,,,,
25-Apr-1989,,10.36,,,,,,,,,,
26-Apr-1989,,10.36,,,,,,,,,,
27-Apr-1989,,10.23,,,,,,,,,,
28-Apr-1989,,10.22,,,,,,,,,,
1-May-1989,,10.21,,,,,,,,,,
2-May-1989,,10.27,,,,,,,,,,
3-May-1989,,10.25,,,,,,,,,,
4-May-1989,,10.2,,,,,,,,,,
5-May-1989,,10.22,,,,,,,,,,
8-May-1989,,10.21,,,,,,,,,,
9-May-1989,,10.2,,,,,,,,,,
10-May-1989,,10.28,,,,,,,,,,
11-May-1989,,10.27,,,,,,,,,,
12-May-1989,,10.27,,,,,,,,,,
15-May-1989,,10.2,,,,,,,,,,
16-May-1989,,10.22,,,,,,,,,,
17-May-1989,,10.26,,,,,,,,,,
18-May-1989,,10.28,,,,,,,,,,
19-May-1989,,10.25,,,,,,,,,,
22-May-1989,,10.26,,,,,,,,,,
23-May-1989,,10.36,,,,,,,,,,
24-May-1989,,10.41,,,,,,,,,,
25-May-1989,,10.39,,,,,,,,,,
26-May-1989,,10.37,,,,,,,,,,
29-May-1989,,10.34,,,,,,,,,,
30-May-1989,,10.34,,,,,,,,,,
31-May-1989,,10.43,,,,,,,,,,
1-Jun-1989,,10.54,,,,,,,,,,
2-Jun-1989,,10.63,,,,,,,,,,
5-Jun-1989,,10.67,,,,,,,,,,
6-Jun-1989,,10.72,,,,,,,,,,
7-Jun-1989,,10.71,,,,,,,,,,
8-Jun-1989,,10.65,,,,,,,,,,
9-Jun-1989,,10.58,,,,,,,,,,
12-Jun-1989,,10.65,,,,,,,,,,
13-Jun-1989,,10.74,,,,,,,,,,
14-Jun-1989,,10.84,,,,,,,,,,
15-Jun-1989,,10.87,,,,,,,,,,
16-Jun-1989,,10.77,,,,,,,,,,
19-Jun-1989,,10.64,,,,,,,,,,
20-Jun-1989,,10.68,,,,,,,,,,
21-Jun-1989,,10.69,,,,,,,,,,
22-Jun-1989,,10.68,,,,,,,,,,
23-Jun-1989,,10.73,,,,,,,,,,
26-Jun-1989,,10.74,,,,,,,,,,
27-Jun-1989,,10.48,,,,,,,,,,
28-Jun-1989,,10.47,,,,,,,,,,
29-Jun-1989,,10.53,,,,,,,,,,
30-Jun-1989,,10.54,,,,,,,,,,
3-Jul-1989,,10.46,,,,,,,,,,
4-Jul-1989,,10.4,,,,,,,,,,
5-Jul-1989,,10.41,,,,,,,,,,
6-Jul-1989,,10.47,,,,,,,,,,
7-Jul-1989,,10.45,,,,,,,,,,
10-Jul-1989,,10.4,,,,,,,,,,
11-Jul-1989,,10.36,,,,,,,,,,
12-Jul-1989,,10.34,,,,,,,,,,
13-Jul-1989,,10.28,,,,,,,,,,
14-Jul-1989,,10.25,,,,,,,,,,
17-Jul-1989,,10.22,,,,,,,,,,
18-Jul-1989,,10.26,,,,,,,,,,
19-Jul-1989,,10.27,,,,,,,,,,
20-Jul-1989,,10.19,,,,,,,,,,
21-Jul-1989,,10.22,,,,,,,,,,
24-Jul-1989,,10.23,,,,,,,,,,
25-Jul-1989,,10.23,,,,,,,,,,
26-Jul-1989,,10.12,,,,,,,,,,
27-Jul-1989,,10.05,,,,,,,,,,
28-Jul-1989,,9.99,,,,,,,,,,
31-Jul-1989,,9.99,,,,,,,,,,
1-Aug-1989,,10.03,,,,,,,,,,
2-Aug-1989,,10.09,,,,,,,,,,
3-Aug-1989,,10.13,,,,,,,,,,
4-Aug-1989,,10.13,,,,,,,,,,
7-Aug-1989,,10.07,,,,,,,,,,
8-Aug-1989,,10,,,,,,,,,,
9-Aug-1989,,9.97,,,,,,,,,,
10-Aug-1989,,9.95,,,,,,,,,,
11-Aug-1989,,9.98,,,,,,,,,,
14-Aug-1989,,9.98,,,,,,,,,,
15-Aug-1989,,9.99,,,,,,,,,,
16-Aug-1989,,9.95,,,,,,,,,,
17-Aug-1989,,9.95,,,,,,,,,,
18-Aug-1989,,9.95,,,,,,,,,,
21-Aug-1989,,9.93,,,,,,,,,,
22-Aug-1989,,9.93,,,,,,,,,,
23-Aug-1989,,10.03,,,,,,,,,,
24-Aug-1989,,10.01,,,,,,,,,,
25-Aug-1989,,10.02,,,,,,,,,,
28-Aug-1989,,10.02,,,,,,,,,,
29-Aug-1989,,10.07,,,,,,,,,,
30-Aug-1989,,10.07,,,,,,,,,,
31-Aug-1989,,10.13,,,,,,,,,,
1-Sep-1989,,10.18,,,,,,,,,,
4-Sep-1989,,10.19,,,,,,,,,,
5-Sep-1989,,10.27,,,,,,,,,,
6-Sep-1989,,10.26,,,,,,,,,,
7-Sep-1989,,10.26,,,,,,,,,,
8-Sep-1989,,10.28,,,,,,,,,,
11-Sep-1989,,10.26,,,,,,,,,,
12-Sep-1989,,10.27,,,,,,,,,,
13-Sep-1989,,10.27,,,,,,,,,,
14-Sep-1989,,10.29,,,,,,,,,,
15-Sep-1989,,10.29,,,,,,,,,,
18-Sep-1989,,10.32,,,,,,,,,,
19-Sep-1989,,10.3,,,,,,,,,,
20-Sep-1989,,10.31,,,,,,,,,,
21-Sep-1989,,10.32,,,,,,,,,,
22-Sep-1989,,10.32,,,,,,,,,,
25-Sep-1989,,10.32,,,,,,,,,,
26-Sep-1989,,10.47,,,,,,,,,,
27-Sep-1989,,10.57,,,,,,,,,,
28-Sep-1989,,10.58,,,,,,,,,,
29-Sep-1989,,10.61,,,,,,,,,,
2-Oct-1989,,10.6,,,,,,,,,,
3-Oct-1989,,10.6,,,,,,,,,,
4-Oct-1989,,10.7,,,,,,,,,,
5-Oct-1989,,10.69,,,,,,,,,,
6-Oct-1989,,10.55,,,,,,,,,,
9-Oct-1989,,10.67,,,,,,,,,,
10-Oct-1989,,10.72,,,,,,,,,,
11-Oct-1989,,10.73,,,,,,,,,,
12-Oct-1989,,10.71,,,,,,,,,,
13-Oct-1989,,10.72,,,,,,,,,,
16-Oct-1989,,10.58,,,,,,,,,,
17-Oct-1989,,10.49,,,,,,,,,,
18-Oct-1989,,10.52,,,,,,,,,,
19-Oct-1989,,10.54,,,,,,,,,,
20-Oct-1989,,10.56,,,,,,,,,,
23-Oct-1989,,10.52,,,,,,,,,,
24-Oct-1989,,10.46,,,,,,,,,,
25-Oct-1989,,10.41,,,,,,,,,,
26-Oct-1989,,10.36,,,,,,,,,,
27-Oct-1989,,10.58,,,,,,,,,,
30-Oct-1989,,10.55,,,,,,,,,,
31-Oct-1989,,10.54,,,,,,,,,,
1-Nov-1989,,10.59,,,,,,,,,,
2-Nov-1989,,10.72,,,,,,,,,,
3-Nov-1989,,10.71,,,,,,,,,,
6-Nov-1989,,10.64,,,,,,,,,,
7-Nov-1989,,10.62,,,,,,,,,,
8-Nov-1989,,10.56,,,,,,,,,,
9-Nov-1989,,10.54,,,,,,,,,,
10-Nov-1989,,10.57,,,,,,,,,,
13-Nov-1989,,10.62,,,,,,,,,,
14-Nov-1989,,10.62,,,,,,,,,,
15-Nov-1989,,10.61,,,,,,,,,,
16-Nov-1989,,10.65,,,,,,,,,,
17-Nov-1989,,10.65,,,,,,,,,,
20-Nov-1989,,10.76,,,,,,,,,,
21-Nov-1989,,10.77,,,,,,,,,,
22-Nov-1989,,10.74,,,,,,,,,,
23-Nov-1989,,10.67,,,,,,,,,,
24-Nov-1989,,10.65,,,,,,,,,,
27-Nov-1989,,10.75,,,,,,,,,,
28-Nov-1989,,10.78,,,,,,,,,,
29-Nov-1989,,10.82,,,,,,,,,,
30-Nov-1989,,10.8,,,,,,,,,,
1-Dec-1989,,10.83,,,,,,,,,,
4-Dec-1989,,10.89,,,,,,,,,,
5-Dec-1989,,10.84,,,,,,,,,,
6-Dec-1989,,10.89,,,,,,,,,,
7-Dec-1989,,10.85,,,,,,,,,,
8-Dec-1989,,10.79,,,,,,,,,,
11-Dec-1989,,10.71,,,,,,,,,,
12-Dec-1989,,10.69,,,,,,,,,,
13-Dec-1989,,10.75,,,,,,,,,,
14-Dec-1989,,10.72,,,,,,,,,,
15-Dec-1989,,10.63,,,,,,,,,,
18-Dec-1989,,10.66,,,,,,,,,,
19-Dec-1989,,10.6,,,,,,,,,,
20-Dec-1989,,10.6,,,,,,,,,,
21-Dec-1989,,10.53,,,,,,,,,,
22-Dec-1989,,10.53,,,,,,,,,,
25-Dec-1989,,10.53,,,,,,,,,,
26-Dec-1989,,10.52,,,,,,,,,,
27-Dec-1989,,10.57,,,,,,,,,,
28-Dec-1989,,10.59,,,,,,,,,,
29-Dec-1989,,10.53,,,,,,,,,,
1-Jan-1990,,10.24,,,,,,,,,,
2-Jan-1990,,10.3,,,,,,,,,,
3-Jan-1990,,10.35,,,,,,,,,,
4-Jan-1990,,10.32,,,,,,,,,,
5-Jan-1990,,10.33,,,,,,,,,,
8-Jan-1990,,10.44,,,,,,,,,,
9-Jan-1990,,10.54,,,,,,,,,,
10-Jan-1990,,10.57,,,,,,,,,,
11-Jan-1990,,10.61,,,,,,,,,,
12-Jan-1990,,10.58,,,,,,,,,,
15-Jan-1990,,10.74,,,,,,,,,,
16-Jan-1990,,10.78,,,,,,,,,,
17-Jan-1990,,10.87,,,,,,,,,,
18-Jan-1990,,11.08,,,,,,,,,,
19-Jan-1990,,10.93,,,,,,,,,,
22-Jan-1990,,10.99,,,,,,,,,,
23-Jan-1990,,11.03,,,,,,,,,,
24-Jan-1990,,11.02,,,,,,,,,,
25-Jan-1990,,10.88,,,,,,,,,,
26-Jan-1990,,10.93,,,,,,,,,,
29-Jan-1990,,10.87,,,,,,,,,,
30-Jan-1990,,10.92,,,,,,,,,,
31-Jan-1990,,10.94,,,,,,,,,,
1-Feb-1990,,10.93,,,,,,,,,,
2-Feb-1990,,10.96,,,,,,,,,,
5-Feb-1990,,11.08,,,,,,,,,,
6-Feb-1990,,11.03,,,,,,,,,,
7-Feb-1990,,11.14,,,,,,,,,,
8-Feb-1990,,11.04,,,,,,,,,,
9-Feb-1990,,11.06,,,,,,,,,,
12-Feb-1990,,11.12,,,,,,,,,,
13-Feb-1990,,11.02,,,,,,,,,,
14-Feb-1990,,11.02,,,,,,,,,,
15-Feb-1990,,11.13,,,,,,,,,,
16-Feb-1990,,11.18,,,,,,,,,,
19-Feb-1990,,11.3,,,,,,,,,,
20-Feb-1990,,11.34,,,,,,,,,,
21-Feb-1990,,11.29,,,,,,,,,,
22-Feb-1990,,11.33,,,,,,,,,,
23-Feb-1990,,11.27,,,,,,,,,,
26-Feb-1990,,11.28,,,,,,,,,,
27-Feb-1990,,11.26,,,,,,,,,,
28-Feb-1990,,11.44,,,,,,,,,,
1-Mar-1990,,11.62,,,,,,,,,,
2-Mar-1990,,11.71,,,,,,,,,,
5-Mar-1990,,11.87,,,,,,,,,,
6-Mar-1990,,11.98,,,,,,,,,,
7-Mar-1990,,11.93,,,,,,,,,,
8-Mar-1990,,11.92,,,,,,,,,,
9-Mar-1990,,12.16,,,,,,,,,,
12-Mar-1990,,12.1,,,,,,,,,,
13-Mar-1990,,12.13,,,,,,,,,,
14-Mar-1990,,12.03,,,,,,,,,,
15-Mar-1990,,12.08,,,,,,,,,,
16-Mar-1990,,11.93,,,,,,,,,,
19-Mar-1990,,12.07,,,,,,,,,,
20-Mar-1990,,12.2,,,,,,,,,,
21-Mar-1990,,12.36,,,,,,,,,,
22-Mar-1990,,12.31,,,,,,,,,,
23-Mar-1990,,12.29,,,,,,,,,,
26-Mar-1990,,12.15,,,,,,,,,,
27-Mar-1990,,12.21,,,,,,,,,,
28-Mar-1990,,12.21,,,,,,,,,,
29-Mar-1990,,12.13,,,,,,,,,,
30-Mar-1990,,12.12,,,,,,,,,,
2-Apr-1990,,12.09,,,,,,,,,,
3-Apr-1990,,12.03,,,,,,,,,,
4-Apr-1990,,11.94,,,,,,,,,,
5-Apr-1990,,11.86,,,,,,,,,,
6-Apr-1990,,11.95,,,,,,,,,,
9-Apr-1990,,12.02,,,,,,,,,,
10-Apr-1990,,12.12,,,,,,,,,,
11-Apr-1990,,12.16,,,,,,,,,,
12-Apr-1990,,12.26,,,,,,,,,,
13-Apr-1990,,12.26,,,,,,,,,,
16-Apr-1990,,12.26,,,,,,,,,,
17-Apr-1990,,12.39,,,,,,,,,,
18-Apr-1990,,12.43,,,,,,,,,,
19-Apr-1990,,12.49,,,,,,,,,,
20-Apr-1990,,12.45,,,,,,,,,,
23-Apr-1990,,12.5,,,,,,,,,,
24-Apr-1990,,12.48,,,,,,,,,,
25-Apr-1990,,12.69,,,,,,,,,,
26-Apr-1990,,12.75,,,,,,,,,,
27-Apr-1990,,12.84,,,,,,,,,,
30-Apr-1990,,12.83,,,,,,,,,,
1-May-1990,,12.77,,,,,,,,,,
2-May-1990,,12.76,,,,,,,,,,
3-May-1990,,12.62,,,,,,,,,,
4-May-1990,,12.27,,,,,,,,,,
7-May-1990,,12.27,,,,,,,,,,
8-May-1990,,12.27,,,,,,,,,,
9-May-1990,,12.39,,,,,,,,,,
10-May-1990,,12.32,,,,,,,,,,
11-May-1990,,12.17,,,,,,,,,,
14-May-1990,,12.1,,,,,,,,,,
15-May-1990,,12.1,,,,,,,,,,
16-May-1990,,12.13,,,,,,,,,,
17-May-1990,,11.72,,,,,,,,,,
18-May-1990,,11.69,,,,,,,,,,
21-May-1990,,11.57,,,,,,,,,,
22-May-1990,,11.58,,,,,,,,,,
23-May-1990,,11.7,,,,,,,,,,
24-May-1990,,11.76,,,,,,,,,,
25-May-1990,,11.83,,,,,,,,,,
