,GSWISS01 Index,GSWISS02 Index,GSWISS03 Index,GSWISS04 Index,GSWISS05 Index,GSWISS06 Index,GSWISS07 Index,GSWISS09 Index,GSWISS10 Index,GSWISS15 Index,GSWISS20 Index,GSWISS30 Index
1994-02-16,,,,3.95,,,4.162,4.182,4.23,4.258,4.405,
1994-02-17,,,,3.958,,,4.161,4.181,4.234,4.261,4.407,
1994-02-18,,,,3.957,,,4.183,4.2,4.237,4.264,4.436,
1994-02-21,,,,4.024,,,4.215,4.232,4.263,4.284,4.468,
1994-02-22,,,,4.116,,,4.259,4.279,4.3,4.304,4.503,
1994-02-23,,,,4.106,,,4.257,4.272,4.296,4.304,4.505,
1994-02-24,,,,4.129,,,4.259,4.28,4.325,4.327,4.515,
1994-02-25,,,,4.154,,,4.29,4.27,4.294,4.344,4.502,
1994-02-28,,,,4.102,,,4.321,4.398,4.392,4.391,4.59,
1994-03-01,,,,4.101,,,4.307,4.386,4.388,4.394,4.585,
1994-03-02,,,,4.218,,,,,,,,
1994-03-03,,,,4.261,,,4.47,4.505,4.493,4.499,4.696,
1994-03-04,,,,4.243,,,4.469,4.508,4.486,4.499,4.699,
1994-03-07,,,,4.173,,,4.436,,,,4.66,
1994-03-08,,,,4.046,,,4.348,4.302,4.381,4.411,4.648,
1994-03-09,,,4.04,4.093,,,4.359,4.369,4.411,4.431,4.655,
1994-03-10,,,4.018,4.075,,,4.317,4.316,4.384,4.414,4.643,
1994-03-11,,,4.039,4.083,,,4.344,4.36,4.422,4.438,4.666,
1994-03-14,,,4.028,4.047,,,4.325,4.3469999999999995,4.4030000000000005,4.438,4.666,
1994-03-15,,,4.027,4.081,,,4.3469999999999995,4.367,4.422,4.445,4.683,
1994-03-16,,,4.015,4.053,,,4.312,4.325,4.407,4.442,4.6530000000000005,
1994-03-17,,,4.025,4.052,,,4.312,4.337,4.41,4.445,4.663,
1994-03-18,,,4.069,4.068,,,4.325,4.353,4.425,4.459,4.655,
1994-03-21,,,4.156,4.31,,,4.426,4.485,4.527,4.603,4.805,
1994-03-22,,,4.134,4.249,,,4.425,4.473,4.5120000000000005,4.592,4.789,
1994-03-23,,,4.144,4.212,,,4.418,4.455,4.5120000000000005,4.596,4.802,
1994-03-24,,,4.143,4.263,,,4.422,4.471,4.5120000000000005,4.6,4.797,
1994-03-25,,,4.143,4.236,,,4.421,4.479,4.52,4.616,4.807,
1994-03-28,,,,4.263,,,4.487,4.548,4.562,4.645,4.839,
1994-03-29,,,,4.227,,,4.481,4.535,4.554,4.641,4.8309999999999995,
1994-03-30,,,,4.242,,,4.493,4.563,4.566,4.652,4.834,
1994-03-31,,,,4.224,,,4.4879999999999995,4.533,4.55,4.638,4.818,
1994-04-01,,,,4.223,,,4.487,4.533,4.55,4.638,4.818,
1994-04-04,,,,4.205,,,4.486,4.524,4.543,4.635,4.805,
1994-04-05,,,,4.187,,,4.486,4.549,4.543,4.628,4.821,
1994-04-06,,,,4.158,,,4.465,4.478,4.474,4.59,4.785,
1994-04-07,,,,4.158,,,4.473,4.481,4.482,4.586,4.774,
1994-04-08,,,,4.157,,,4.468,4.485,4.489,4.586,4.769,
1994-04-11,,,,4.156,,,4.467,4.489,4.474,4.586,4.772,
1994-04-12,,,,4.12,,,4.448,4.468,4.448,4.551,4.754,
1994-04-13,,,,4.135,,,4.474,4.487,4.463,4.558,4.767,
1994-04-14,,,,4.152,,,4.492,4.511,4.474,4.5649999999999995,4.774,
1994-04-15,,,,4.143,,,4.486,4.506,4.478,4.582,4.772,
1994-04-18,,,,4.195,,,4.533,,4.5280000000000005,4.603,,
1994-04-19,,,,4.3,,,4.651,4.826,4.728,4.754,5.021,
1994-04-20,,,,4.414,,,4.702,4.9559999999999995,4.807,4.882,5.164,
1994-04-21,,,,4.441,,,4.725,4.947,4.858,4.908,5.192,
1994-04-22,,,,4.44,,,4.7780000000000005,4.883,4.898,4.911,5.117,
1994-04-25,,,,4.583,,,4.879,4.942,4.994,4.995,5.192,
1994-04-26,,,,4.556,,,4.893,4.938,4.99,4.987,5.178,
1994-04-27,,,,4.482,,,4.842,4.851,4.922,4.929,5.134,
1994-04-28,,,,4.427,,,,,,,,
1994-04-29,,,,4.49,,,4.846,4.855,4.93,4.9399999999999995,5.148,
1994-05-02,,,,4.435,,,4.787,4.8,4.894,4.912,5.134,
1994-05-03,,,,4.462,,,4.782,4.803,4.906,4.93,5.179,
1994-05-04,,,,4.46,,,4.785,4.828,4.9350000000000005,4.93,5.215,
1994-05-05,,,,4.45,,,4.833,4.849,4.943,4.959,5.235,
1994-05-06,,,,4.432,,,4.822,4.8309999999999995,4.9350000000000005,4.952,5.232,
1994-05-09,,,,4.476,,,4.846,4.848,4.955,4.966,5.258,
1994-05-10,,,,4.421,,,4.875,4.792,4.9030000000000005,4.926,5.227,
1994-05-11,,,,4.411,,,4.839,4.749,4.9030000000000005,4.912,5.23,
1994-05-12,,,,4.41,,,4.838,4.749,4.9030000000000005,4.912,5.23,
1994-05-13,,,,4.391,,,4.833,4.727,4.9,4.905,5.23,
1994-05-16,,,,4.391,,,4.803,4.66,4.844,4.862,5.222,
1994-05-17,,,,4.381,,,4.822,4.689,4.86,4.876,5.202,
1994-05-18,,,,4.343,,,4.805,4.646,4.84,4.869,5.172,
1994-05-19,,,,4.36,,,4.824,4.67,4.868,4.905,5.202,
1994-05-20,,,,4.369,,,4.819,4.674,4.88,4.898,5.202,
1994-05-23,,,,4.368,,,4.818,4.674,4.88,4.898,5.203,
1994-05-24,,,,4.495,,,4.876,4.77,4.9399999999999995,4.996,5.279,
1994-05-25,,,,4.475,,,4.86,4.765,4.961,4.985,5.279,
1994-05-26,,,,4.502,,,4.898,4.8149999999999995,4.969,5.011,5.316,
1994-05-27,,,,4.474,,,4.878,4.802,4.953,4.986,5.288,
1994-05-30,,,,4.437,,,4.883,4.8149999999999995,4.953,4.993,5.288,
1994-05-31,,,,4.464,,,4.8870000000000005,4.832,4.969,5.008,5.302,
1994-06-01,,,,4.481,,,4.896,4.861,4.982,5.019,,
1994-06-03,,,,4.787,,,5.033,5.058,5.194,5.2379999999999995,5.538,
1994-06-06,,,,4.796,,,5.073,5.036,5.178,5.223,5.523,
1994-06-07,,,,4.833,,,5.107,5.058,5.166,5.231,5.55,
1994-06-08,,,,4.776,,,5.116,5.061,5.158,5.235,5.538,
1994-06-09,,,,4.785,,,5.131,5.07,5.17,5.25,5.55,
1994-06-10,,,,4.756,,,5.135,5.056,5.162,5.25,5.55,
1994-06-13,,,,4.775,,,5.125,5.052,5.183,5.254,5.536,
1994-06-14,,,,4.954,,,5.185,,5.295,5.353,5.638,
1994-06-15,,,,4.991,,,5.244,5.324,5.376,5.426,5.714,
1994-06-16,,,,5.029,,,,,,,,
1994-06-17,,,,5.01,,,,5.359,5.389,5.453,5.739,
1994-06-20,,,,5.26,,,5.51,5.586,5.572,5.621,5.885,
1994-06-21,,,,5.163,,,5.453,5.526,5.486,5.543,5.763,
1994-06-22,,,,5.009,,,5.4,5.43,5.318,5.4,,
1994-06-23,,,,4.98,,,,,,5.351,,
1994-06-24,,,,4.999,,,5.342,5.385,5.285,5.4,,
1994-06-27,,,,5.009,,,5.342,5.394,5.285,5.397,,
1994-07-19,,,,4.541,,,4.9879999999999995,4.997,5.008,5.089,5.378,
1994-07-20,,,,4.52,,,4.975,4.978,4.992,5.078,5.379,
1994-07-21,,,,4.549,,,4.985,5.004,5.016,5.086,5.402,
1994-07-22,,,,4.548,,,4.974,5.009,5.008,5.089,5.379,
1994-07-27,,,,4.6129999999999995,,,4.971,5.091,5.112,5.131,5.438,
1994-07-28,,,,4.652,,,5.001,5.113,5.133,5.161,5.473,
1994-07-29,,,,4.671,,,5.031,5.139,5.183,5.191,5.479,
1994-08-01,,,,4.67,,,5.03,5.139,5.183,5.191,5.479,
1994-08-02,,,,4.666,,,5.026,5.072,5.138,5.161,5.456,
1994-08-03,,,,4.696,,,5.04,5.068,5.139,5.164,5.48,
1994-08-04,,,,4.711,,,5.06,5.078,5.152,5.186,5.503,
1994-08-05,,,,4.75,,,5.092,5.106,5.166,5.21,,
1994-08-10,,,,4.921,4.987,,5.197,5.23,5.264,5.307,5.746,
1994-08-11,,,,4.941,5.003,,5.207,5.239,5.273,5.322,5.734,
1994-08-12,,,,4.97,5.044,,5.237,,,,,
1994-08-15,,,,4.99,5.037,,5.315,5.333,5.354,5.392,5.78,
1994-08-16,,,,4.99,5.045,,5.309,5.333,5.358,5.396,5.805,
1994-08-17,,,,4.949,5.023,,5.265,5.283,5.317,5.354,5.79,
1994-08-18,,,,4.999,5.047,,5.327,5.36,5.372,5.416,5.84,
1994-08-19,,,,4.979,5.048,,5.327,5.364,5.372,5.42,5.8309999999999995,
1994-08-22,,,,4.998,5.081,,5.352,5.391,5.419,5.467,5.897,
1994-08-23,,,,5.048,5.13,,5.383,5.423,5.471,5.503,5.866,
1994-08-24,,,,5.018,5.124,,5.382,5.413,5.4719999999999995,5.495,5.822,
1994-08-25,,,,5.058,5.149,,5.381,5.404,5.498,5.523,5.816,
