,GJGB1 Index,GJGB10 Index,GJGB15 Index,GJGB2 Index,GJGB20 Index,GJGB3 Index,GJGB30 Index,GJGB4 Index,GJGB40 Index,GJGB5 Index,GJGB6 Index,GJGB7 Index,GJGB8 Index,GJGB9 Index
7/1/1987,,,,,,,,,,,,3.47,,
7/2/1987,,,,,,,,,,,,3.74,,
7/6/1987,,,,,,,,,,,,3.93,,
7/7/1987,,,,,,,,,,,,3.83,,
7/8/1987,,,,,,,,,,,,4.2,,
7/9/1987,,,,,,,,,,,,4.17,,
7/10/1987,,,,,,,,,,,,4.2,,
7/13/1987,,,,,,,,,,,,4.07,,
7/14/1987,,,,,,,,,,,,4.05,,
7/15/1987,,,,,,,,,,,,4.07,,
7/16/1987,,,,,,,,,,,,4.18,,
7/17/1987,,,,,,,,,,,,4.31,,
7/20/1987,,,,,,,,,,,,4.31,,
7/21/1987,,,,,,,,,,,,4.42,,
7/22/1987,,,,,,,,,,,,4.65,,
7/23/1987,,,,,,,,,,,,4.55,,
7/24/1987,,,,,,,,,,,,4.46,,
7/27/1987,,,,,,,,,,,,4.55,,
7/28/1987,,,,,,,,,,,,4.76,,
7/29/1987,,,,,,,,,,,,4.71,,
7/30/1987,,,,,,,,,,,,4.69,,
7/31/1987,,,,,,,,,,,,4.84,,
8/3/1987,,,,,,,,,,,,4.98,,
8/4/1987,,,,,,,,,,,,5.24,,
8/5/1987,,,,,,,,,,,,5.04,,
8/6/1987,,,,,,,,,,,,5.06,,
8/7/1987,,,,,,,,,,,,5.02,,
8/10/1987,,,,,,,,,,,,5.03,,
8/11/1987,,,,,,,,,,,,5.12,,
8/12/1987,,,,,,,,,,,,5,,
8/13/1987,,,,,,,,,,,,5.02,,
8/14/1987,,,,,,,,,,,,5.08,,
8/17/1987,,,,,,,,,,,,5.09,,
8/18/1987,,,,,,,,,,,,5.099,,
8/19/1987,,,,,,,,,,,,5.01,,
8/20/1987,,,,,,,,,,,,4.78,,
8/21/1987,,,,,,,,,,,,4.6,,
8/24/1987,,,,,,,,,,,,4.52,,
8/25/1987,,,,,,,,,,,,4.49,,
8/26/1987,,,,,,,,,,,,4.37,,
8/27/1987,,,,,,,,,,,,4.32,,
8/28/1987,,,,,,,,,,,,4.4,,
8/31/1987,,,,,,,,,,,,4.58,,
9/2/1987,,,,,,,,,,,,4.51,,
9/3/1987,,,,,,,,,,,,4.67,,
9/4/1987,,,,,,,,,,,,5.02,,
9/8/1987,,,,,,,,,,,,5.13,,
9/9/1987,,,,,,,,,,,,5.27,,
9/10/1987,,,,,,,,,,,,5.32,,
9/11/1987,,,,,,,,,,,,5.3,,
9/14/1987,,,,,,,,,,,,5.16,,
9/15/1987,,,,,,,,,,,,5.16,,
9/16/1987,,,,,,,,,,,,5.27,,
9/17/1987,,,,,,,,,,,,5.21,,
9/18/1987,,,,,,,,,,,,5.24,,
9/21/1987,,,,,,,,,,,,5.39,,
9/22/1987,,,,,,,,,,,,5.47,,
9/23/1987,,,,,,,,,,,,5.47,,
9/24/1987,,,,,,,,,,,,5.48,,
9/25/1987,,,,,,,,,,,,5.51,,
9/28/1987,,,,,,,,,,,,5.53,,
9/29/1987,,,,,,,,,,,,5.72,,
9/30/1987,,,,,,,,,,,,5.59,,
10/1/1987,,,,,,,,,,,,5.66,,
10/9/1987,,,,,,,,,,,,6.01,,
10/13/1987,,,,,,,,,,,,6.01,,
10/14/1987,,,,,,,,,,,,5.94,,
10/15/1987,,,,,,,,,,,,5.99,,
10/16/1987,,,,,,,,,,,,5.99,,
10/19/1987,,,,,,,,,,,,5.94,,
10/20/1987,,,,,,,,,,,,5.94,,
10/21/1987,,,,,,,,,,,,5.9,,
10/22/1987,,6.31,,,,,,,,,,5.62,,
10/23/1987,,6.27,,,,,,,,,,5.52,,
10/26/1987,,6.27,,,,,,,,,,5.52,,
10/27/1987,,5.96,,,,,,,,,,5.48,,
10/28/1987,,5.96,,,,,,,,,,5.47,,
10/29/1987,,5.96,,,,,,,,,,5.47,,
10/30/1987,,5.96,,,,,,,,,,5.47,,
11/2/1987,,5.78,,,,,,,,,,5.29,,
11/3/1987,,5.78,,,,,,,,,,5.29,,
11/4/1987,,5.78,,,,,,,,,,5.29,,
11/5/1987,,5.78,,,,,,,,,,5.29,,
11/6/1987,,5.78,,,,,,,,,,5.29,,
11/9/1987,,5.78,,,,,,,,,,5.29,,
11/10/1987,,5.79,,,,,,,,,,5.29,,
11/12/1987,,5.79,,,,,,,,,,5.29,,
11/13/1987,,5.79,,,,,,,,,,5.29,,
11/16/1987,,5.79,,,,,,,,,,5.28,,
11/17/1987,,5.79,,,,,,,,,,5.28,,
11/18/1987,,5.37,,,,,,,,,,4.72,,
