,1,10,15,2,20,3,30,4,40,5,6,7,8,9
1-Jul-1987,,,,,,,,,,,,3.47,,
2-Jul-1987,,,,,,,,,,,,3.74,,
6-Jul-1987,,,,,,,,,,,,3.93,,
7-Jul-1987,,,,,,,,,,,,3.83,,
8-Jul-1987,,,,,,,,,,,,4.2,,
9-Jul-1987,,,,,,,,,,,,4.17,,
10-Jul-1987,,,,,,,,,,,,4.2,,
13-Jul-1987,,,,,,,,,,,,4.07,,
14-Jul-1987,,,,,,,,,,,,4.05,,
15-Jul-1987,,,,,,,,,,,,4.07,,
16-Jul-1987,,,,,,,,,,,,4.18,,
17-Jul-1987,,,,,,,,,,,,4.31,,
20-Jul-1987,,,,,,,,,,,,4.31,,
21-Jul-1987,,,,,,,,,,,,4.42,,
22-Jul-1987,,,,,,,,,,,,4.65,,
23-Jul-1987,,,,,,,,,,,,4.55,,
24-Jul-1987,,,,,,,,,,,,4.46,,
27-Jul-1987,,,,,,,,,,,,4.55,,
28-Jul-1987,,,,,,,,,,,,4.76,,
29-Jul-1987,,,,,,,,,,,,4.71,,
30-Jul-1987,,,,,,,,,,,,4.69,,
31-Jul-1987,,,,,,,,,,,,4.84,,
3-Aug-1987,,,,,,,,,,,,4.98,,
4-Aug-1987,,,,,,,,,,,,5.24,,
5-Aug-1987,,,,,,,,,,,,5.04,,
6-Aug-1987,,,,,,,,,,,,5.06,,
7-Aug-1987,,,,,,,,,,,,5.02,,
10-Aug-1987,,,,,,,,,,,,5.03,,
11-Aug-1987,,,,,,,,,,,,5.12,,
12-Aug-1987,,,,,,,,,,,,5,,
13-Aug-1987,,,,,,,,,,,,5.02,,
14-Aug-1987,,,,,,,,,,,,5.08,,
17-Aug-1987,,,,,,,,,,,,5.09,,
18-Aug-1987,,,,,,,,,,,,5.099,,
19-Aug-1987,,,,,,,,,,,,5.01,,
20-Aug-1987,,,,,,,,,,,,4.78,,
21-Aug-1987,,,,,,,,,,,,4.6,,
24-Aug-1987,,,,,,,,,,,,4.52,,
25-Aug-1987,,,,,,,,,,,,4.49,,
