,GNOR10YR Index,GNOR2YR Index,GNOR3YR Index,GNOR4YR Index,GNOR5YR Index,GNOR6YR Index,GNOR7YR Index,GNOR8YR Index,GNOR9YR Index
8/3/1992,,,9.939,,,9.609,,,
8/4/1992,,,9.928,,,9.609,,,
8/5/1992,,,9.928,,,9.603,,,
8/6/1992,,,9.928,,,9.603,,,
8/7/1992,,,9.928,,,9.596,,,
8/10/1992,,,9.906,,,9.596,,,
8/11/1992,,,9.895,,,9.597,,,
8/12/1992,,,9.917,,,9.597,,,
8/13/1992,,,9.971,,,9.673,,,
8/14/1992,,,9.982,,,9.673,,,
8/17/1992,,,9.96,,,9.666,,,
8/18/1992,,,9.982,,,9.68,,,
8/19/1992,,,10.058,,,9.736,,,
8/20/1992,,,10.058,,,9.736,,,
8/21/1992,,,10.08,,,9.743,,,
8/24/1992,,,10.157,,,9.82,,,
8/25/1992,,,10.179,,,9.841,,,
8/26/1992,,,10.28,,,9.884,,,
8/27/1992,,,10.202,,,9.821,,,
8/28/1992,,,10.247,,,9.857,,,
8/31/1992,,,10.258,,,9.871,,,
9/1/1992,,,10.291,,,9.906,,,
9/2/1992,,,10.337,,,9.963,,,
9/3/1992,,,10.281,,,9.936,,,
9/4/1992,,,10.248,,,9.922,,,
9/7/1992,,,10.215,,,9.873,,,
9/8/1992,,,10.271,,,9.923,,,
9/9/1992,,,10.406,,,10.015,,,
9/10/1992,,,10.373,,,10.016,,,
9/11/1992,,,10.452,,,10.137,,,
9/14/1992,,,10.171,,,9.869,,,
9/15/1992,,,10.362,,,9.96,,,
9/16/1992,,,10.556,,,10.11,,,
9/17/1992,,,10.499,,,10.047,,,
9/18/1992,,,10.432,,,9.955,,,
9/21/1992,,,10.443,,,9.998,,,
9/22/1992,,,10.512,,,10.105,,,
9/23/1992,,,10.536,,,10.142,,,
9/24/1992,,,10.559,,,10.221,,,
9/25/1992,,,10.79,,,10.424,,,
9/28/1992,,,10.767,,,10.403,,,
9/29/1992,,,10.895,,,10.484,,,
9/30/1992,,,10.758,,,10.347,,,
10/1/1992,,,10.609,,,10.239,,,
10/2/1992,,,10.609,,,10.211,,,
10/5/1992,,,10.76,,,10.291,,,
10/6/1992,,,10.784,,,10.32,,,
10/7/1992,,,10.786,,,10.315,,,
10/8/1992,,,10.705,,,10.286,,,
10/9/1992,,,10.601,,,10.157,,,
10/12/1992,,,10.475,,,10.143,,,
10/13/1992,,,10.395,,,10.107,,,
10/14/1992,,,10.43,,,10.174,,,
10/15/1992,,,10.477,,,10.203,,,
10/16/1992,,,10.443,,,10.175,,,
10/19/1992,,,10.282,,,10.053,,,
10/20/1992,,,9.973,,,9.804,,,
10/21/1992,,,9.701,,,9.63,,,
10/22/1992,,,9.712,,,9.616,,,
10/23/1992,,,9.701,,,9.609,,,
10/26/1992,,,9.667,,,9.561,,,
10/27/1992,,,9.678,,,9.603,,,
10/28/1992,,,9.633,,,9.541,,,
10/29/1992,,,9.678,,,9.555,,,
