,GNZGB1 Index,GNZGB10 Index,GNZGB12 Index,GNZGB2 Index,GNZGB3 Index,GNZGB5 Index,GNZGB6 Index,GNZGB7 Index,GNZGB8 Index
3/19/1985,,17.45,,19.3,,18.2,,,
3/20/1985,,17.45,,19.3,,18.2,,,
3/21/1985,,17.4,,18.9,,18.4,,,
3/22/1985,,17.4,,19,,18.4,,,
3/25/1985,,17.5,,19,,18.5,,,
3/26/1985,,17.5,,19,,18.5,,,
3/27/1985,,17.4,,19,,18.5,,,
3/28/1985,,17.4,,19,,18.5,,,
3/29/1985,,17.4,,19,,18.5,,,
4/1/1985,,17.4,,19,,18.5,,,
4/2/1985,,17.4,,18.5,,18.5,,,
4/3/1985,,17.4,,19,,18.5,,,
4/4/1985,,17.4,,19,,18.5,,,
4/9/1985,,17.4,,19,,18.5,,,
4/10/1985,,17.4,,19,,18.5,,,
4/11/1985,,17.4,,19,,18.5,,,
4/12/1985,,17.8,,19,,18.5,,,
4/15/1985,,17.8,,19,,18.5,,,
4/16/1985,,17.8,,19,,18.5,,,
4/17/1985,,17.8,,19,,18.5,,,
4/18/1985,,17.85,,19.1,,18.55,,,
4/19/1985,,17.95,,19,,18.6,,,
4/22/1985,,17.95,,19,,18.95,,,
4/23/1985,,17.95,,19,,18.95,,,
4/24/1985,,18,,19.1,,19,,,
4/26/1985,,18.05,,19.1,,19.03,,,
4/29/1985,,18.05,,19.1,,19.05,,,
4/30/1985,,18.05,,19.15,,19.05,,,
5/1/1985,,18.1,,19.35,,19.15,,,
5/2/1985,,18.15,,19.4,,19.2,,,
5/3/1985,,18.3,,19.9,,19.2,,,
5/6/1985,,18.4,,20,,19.6,,,
5/7/1985,,18.43,,20,,19.65,,,
5/8/1985,,18.5,,19.7,,19.7,,,
5/9/1985,,18.55,,19.7,,19.7,,,
5/10/1985,,18.6,,19.8,,19.8,,,
5/13/1985,,18.8,,20.5,,19.9,,,
5/14/1985,,18.8,,20.5,,20,,,
5/15/1985,,18.85,,20.5,,20,,,
5/16/1985,,19,,20.5,,20,,,
5/17/1985,,19.2,,21,,20.4,,,
5/20/1985,,19.15,,21.5,,20.45,,,
5/21/1985,,19.1,,21.5,,20.4,,,
5/22/1985,,19.1,,21.6,,20.4,,,
5/23/1985,,19.1,,21,,20.3,,,
5/24/1985,,19,,21,,20.2,,,
5/27/1985,,18.9,,21,,20,,,
5/28/1985,,18.6,,21.1,,19.9,,,
5/29/1985,,18.6,,21.1,,19.9,,,
5/30/1985,,18.6,,21.1,,19.95,,,
5/31/1985,,18.6,,21.1,,19.95,,,
6/4/1985,,18.45,,21.1,,19.85,,,
6/5/1985,,18.3,,21.5,,19.45,,,
6/6/1985,,17.9,,21.6,,18.8,,,
6/7/1985,,17.6,,21,,18.7,,,
6/10/1985,,17.4,,20.5,,18.45,,,
6/11/1985,,17.25,,20.25,,18.3,,,
6/12/1985,,17.1,,20.4,,18.2,,,
6/13/1985,,17.1,,20.5,,18.05,,,
6/14/1985,,17.1,,20.4,,18.1,,,
6/17/1985,,17.05,,20,,18.05,,,
6/18/1985,,17.05,,19.8,,18.05,,,
6/19/1985,,17.05,,19.8,,18.05,,,
6/20/1985,,17.2,,19.45,,18.05,,,
6/21/1985,,17.25,,19.4,,17.85,,,
6/24/1985,,17,,19.4,,17.7,,,
6/25/1985,,16.7,,19.3,,17.45,,,
6/26/1985,,16.7,,19,,17.45,,,
6/27/1985,,16.7,,18.95,,17.45,,,
6/28/1985,,16.7,,18.9,,17.45,,,
7/1/1985,,16.7,,18.85,,17.4,,,
7/2/1985,,16.75,,18.85,,17.5,,,
7/3/1985,,16.8,,18.85,,17.5,,,
7/4/1985,,16.8,,18.85,,17.55,,,
7/5/1985,,17.2,,18.85,,17.85,,,
7/8/1985,,17.2,,18.85,,17.7,,,
7/9/1985,,17.2,,19,,17.8,,,
7/10/1985,,17.2,,19.05,,18.1,,,
7/11/1985,,17.5,,19.4,,18.5,,,
7/12/1985,,17.5,,19.5,,18.45,,,
7/15/1985,,17.5,,19.5,,18.45,,,
7/16/1985,,17.7,,19.5,,18.45,,,
7/17/1985,,17.65,,19.6,,18.5,,,
7/18/1985,,17.65,,19.6,,18.5,,,
7/19/1985,,17.35,,19.35,,17.3,,,
7/22/1985,,17.3,,19.15,,17.4,,,
7/23/1985,,17.3,,19.1,,17.5,,,
7/24/1985,,17.3,,19.1,,17.6,,,
7/25/1985,,17.35,,19.1,,17.6,,,
7/26/1985,,17.45,,19.35,,17.8,,,
7/29/1985,,17.45,,19.4,,17.8,,,
7/30/1985,,17.45,,19.4,,17.8,,,
7/31/1985,,17.55,,19.5,,17.85,,,
8/1/1985,,17.55,,19.5,,17.85,,,
8/2/1985,,17.6,,19.5,,17.65,,,
8/5/1985,,17.6,,19.5,,17.85,,,
8/6/1985,,17.6,,19.7,,17.9,,,
8/7/1985,,17.6,,19.7,,17.9,,,
8/8/1985,,17.6,,19.6,,17.9,,,
8/9/1985,,17.6,,19.6,,17.9,,,
8/12/1985,,17.6,,19.7,,18,,,
8/13/1985,,18.1,,20,,18.3,,,
8/14/1985,,18.25,,19.7,,18.3,,,
8/15/1985,,18.2,,20.5,,18.5,,,
8/16/1985,,17.9,,20.5,,18.1,,,
8/19/1985,,17.8,,20.5,,18,,,
8/20/1985,,17.7,,20.4,,18,,,
8/21/1985,,17.9,,20.7,,18.2,,,
8/22/1985,,17.9,,21,,18.2,,,
8/23/1985,,17.9,,20.5,,18,,,
8/26/1985,,17.9,,21,,18.2,,,
8/27/1985,,18,,21.5,,18.3,,,
8/28/1985,,18,,21.5,,18.3,,,
8/29/1985,,18,,21.5,,18.3,,,
8/30/1985,,18,,21.5,,18.3,,,
9/2/1985,,18,,21.5,,18.3,,,
9/3/1985,,18,,21.5,,18.5,,,
9/4/1985,,18,,21.5,,18.5,,,
9/5/1985,,18.1,,21.2,,18.5,,,
9/6/1985,,18.1,,21.5,,18.5,,,
9/9/1985,,18.1,,21.5,,18.6,,,
9/10/1985,,18.1,,21.5,,18.7,,,
9/11/1985,,18.2,,21.5,,18.8,,,
9/12/1985,,18.3,,22,,19.1,,,
9/13/1985,,18.5,,22.5,,19.2,,,
9/16/1985,,18.5,,22.1,,19.4,,,
9/17/1985,,18.5,,22,,19.4,,,
9/18/1985,,18.4,,22,,19.4,,,
9/19/1985,,18.4,,22,,19.5,,,
9/20/1985,,18.4,,22.1,,19.6,,,
9/23/1985,,18.4,,22,,19.51,,,
9/24/1985,,18.2,,22,,19.4,,,
9/25/1985,,18.26,,22,,19.42,,,
9/26/1985,,18.35,,22,,19.57,,,
9/27/1985,,18.38,,22,,19.55,,,
9/30/1985,,18.45,,22,,19.7,,,
10/1/1985,,18.7,,22,,19.7,,,
10/2/1985,,18.7,,22,,19.8,,,
10/3/1985,,18.6,,21.9,,19.7,,,
10/4/1985,,18.65,,22.2,,19.85,,,
10/7/1985,,18.75,,22.2,,20,,,
10/8/1985,,18.8,,22.2,,20,,,
10/9/1985,,18.85,,22.2,,20.1,,,
10/10/1985,,18.98,,22.6,,20.22,,,
10/11/1985,,19,,22.6,,20.55,,,
10/14/1985,,18.95,,22.5,,20.5,,,
