,GSGB10YR Index,GSGB15YR Index,GSGB20YR Index,GSGB25YR Index,GSGB2YR Index,GSGB30YR Index,GSGB3YR Index,GSGB4YR Index,GSGB5YR Index,GSGB7YR Index
7/2/1990,12.77,,,,,,,,,12.97
7/3/1990,12.82,,,,,,,,,12.97
7/4/1990,12.81,,,,,,,,,12.95
7/5/1990,12.8,,,,,,,,,12.95
7/6/1990,12.81,,,,,,,,,12.98
7/9/1990,12.81,,,,,,,,,12.98
7/10/1990,12.93,,,,,,,,,13.11
7/11/1990,12.94,,,,,,,,,13.12
7/12/1990,12.96,,,,,,,,,13.12
7/13/1990,12.96,,,,,,,,,13.12
7/16/1990,12.96,,,,,,,,,13.1
7/17/1990,12.76,,,,,,,,,12.9
7/18/1990,12.71,,,,,,,,,12.85
7/19/1990,12.73,,,,,,,,,12.88
7/20/1990,12.74,,,,,,,,,12.92
7/23/1990,12.87,,,,,,,,,13
7/24/1990,12.87,,,,,,,,,13
7/25/1990,12.92,,,,,,,,,13.06
7/26/1990,12.88,,,,,,,,,13.03
7/27/1990,12.89,,,,,,,,,13.03
7/30/1990,12.89,,,,,,,,,13.03
7/31/1990,12.83,,,,,,,,,12.98
8/1/1990,12.81,,,,,,,,,12.95
8/2/1990,12.83,,,,,,,,,12.99
8/3/1990,12.84,,,,,,,,,13.01
8/6/1990,13.05,,,,,,,,,13.23
8/7/1990,13.18,,,,,,,,,13.33
8/8/1990,13.4,,,,,,,,,13.52
8/9/1990,13.27,,,,,,,,,13.48
8/10/1990,13.16,,,,,,,,,13.36
8/13/1990,13.26,,,,,,,,,13.45
8/14/1990,13.26,,,,,,,,,13.45
8/15/1990,13.21,,,,,,,,,13.36
8/16/1990,13.31,,,,,,,,,13.46
8/17/1990,13.43,,,,,,,,,13.58
8/20/1990,13.47,,,,,,,,,13.66
8/21/1990,13.57,,,,,,,,,13.74
8/22/1990,13.49,,,,,,,,,13.66
8/23/1990,13.68,,,,,,,,,13.9
8/24/1990,13.62,,,,,,,,,13.85
8/27/1990,13.48,,,,,,,,,13.69
8/28/1990,13.39,,,,,,,,,13.56
8/29/1990,13.45,,,,,,,,,13.68
8/30/1990,13.43,,,,,,,,,13.59
8/31/1990,13.41,,,,,,,,,13.59
9/3/1990,13.41,,,,,,,,,13.6
9/4/1990,13.43,,,,,,,,,13.64
9/5/1990,13.43,,,,,,,,,13.66
9/6/1990,13.49,,,,,,,,,13.72
9/7/1990,13.49,,,,,,,,,13.73
9/10/1990,13.4,,,,,,,,,13.62
9/11/1990,13.42,,,,,,,,,13.65
9/12/1990,13.36,,,,,,,,,13.6
9/13/1990,13.23,,,,,,,,,13.52
9/14/1990,13.25,,,,,,,,,13.58
9/17/1990,13.25,,,,,,,,,13.58
9/18/1990,13.31,,,,,,,,,13.6
9/19/1990,13.29,,,,,,,,,13.54
9/20/1990,13.31,,,,,,,,,13.55
9/21/1990,13.35,,,,,,,,,13.57
9/24/1990,13.35,,,,,,,,,13.58
9/25/1990,13.43,,,,,,,,,13.69
9/26/1990,13.41,,,,,,,,,13.65
9/27/1990,13.39,,,,,,,,,13.66
9/28/1990,13.45,,,,,,,,,13.69
10/1/1990,13.39,,,,,,,,,13.58
10/2/1990,13.28,,,,,,,,,13.52
10/4/1990,13.27,,,,,,,,,13.55
10/5/1990,13.23,,,,,,,,,13.53
10/8/1990,13.1,,,,,,,,,13.37
10/9/1990,13.2,,,,,,,,,13.52
10/10/1990,13.2,,,,,,,,,13.54
10/11/1990,13.25,,,,,,,,,13.58
10/12/1990,13.4,,,,,,,,,13.74
10/15/1990,13.37,,,,,,,,,13.75
10/16/1990,13.38,,,,,,,,,13.78
10/17/1990,13.51,,,,,,,,,13.87
10/18/1990,13.39,,,,,,,,,13.75
10/19/1990,13.29,,,,,,,,,13.67
10/22/1990,13.24,,,,,,,,,13.61
10/23/1990,13.18,,,,,,,,,13.54
10/24/1990,13.22,,,,,,,,,13.55
10/25/1990,13.23,,,,,,,,,13.55
10/26/1990,13.24,,,,,,,,,13.5
10/29/1990,13.29,,,,,,,,,13.55
10/30/1990,13.3,,,,,,,,,13.56
10/31/1990,13.28,,,,,,,,,13.53
11/1/1990,13.14,,,,,,,,,13.42
11/2/1990,13.1,,,,,,,,,13.37
11/5/1990,12.94,,,,,,,,,13.23
11/6/1990,12.96,,,,,,,,,13.26
11/7/1990,12.92,,,,,,,,,13.15
11/8/1990,12.9,,,,,,,,,13.17
11/9/1990,12.9,,,,,,,,,13.17
11/12/1990,12.87,,,,,,,,,13.13
11/13/1990,12.86,,,,,,,,,13.12
11/14/1990,12.91,,,,,,,,,13.22
11/15/1990,12.91,,,,,,,,,13.2
11/16/1990,12.86,,,,,,,,,13.14
11/19/1990,12.74,,,,,,,,,12.99
11/20/1990,12.74,,,,,,,,,12.99
11/22/1990,12.73,,,,,,,,,13
11/23/1990,12.64,,,,,,,,,12.91
11/26/1990,12.64,,,,,,,,,12.91
11/27/1990,12.66,,,,,,,,,12.92
11/28/1990,12.7,,,,,,,,,12.98
11/29/1990,12.72,,,,,,,,,13.04
11/30/1990,12.6,,,,,,,,,12.96
12/3/1990,12.19,,,,,,,,,12.45
12/4/1990,12.57,,,,,,,,,12.86
12/5/1990,12.5,,,,,,,,,12.81
12/6/1990,12.33,,,,,,,,,12.64
12/7/1990,12.41,,,,,,,,,12.6
12/10/1990,12.36,,,,,,,,,12.65
12/11/1990,12.36,,,,,,,,,12.65
12/12/1990,12.1,,,,,,,,,12.3
12/13/1990,12.1,,,,,,,,,12.31
12/14/1990,12.15,,,,,,,,,12.43
12/17/1990,12.29,,,,,,,,,12.55
12/18/1990,12.25,,,,,,,,,12.48
12/19/1990,12.17,,,,,,,,,12.41
12/20/1990,12.22,,,,,,,,,12.54
12/21/1990,12.27,,,,,,,,,12.54
12/27/1990,12.27,,,,,,,,,12.54
12/28/1990,12.27,,,,,,,,,12.54
12/31/1990,12.27,,,,,,,,,12.55
1/3/1991,12.19,,,,,,,,,
1/4/1991,12.13,,,,,,,,,
1/7/1991,12.18,,,,,,,,,
1/8/1991,12.25,,,,,,,,,
1/9/1991,12.13,,,,,,,,,
1/10/1991,12.09,,,,,,,,,
1/11/1991,11.95,,,,,,,,,
1/14/1991,12.12,,,,,,,,,
1/15/1991,12.14,,,,,,,,,
1/16/1991,12.08,,,,,,,,,
1/17/1991,11.6,,,,,,,,,
1/18/1991,11.69,,,,,,,,,
1/21/1991,11.77,,,,,,,,,
1/22/1991,11.55,,,,,,,,,
1/23/1991,11.62,,,,,,,,,
1/24/1991,11.55,,,,,,,,,
1/25/1991,11.52,,,,,,,,,
1/28/1991,11.47,,,,,,,,,
1/29/1991,11.44,,,,,,,,,
1/30/1991,11.45,,,,,,,,,
1/31/1991,11.38,,,,,,,,,
2/1/1991,11.38,,,,,,,,,
2/4/1991,11.24,,,,,,,,,
2/5/1991,11.26,,,,,,,,,
2/6/1991,11.27,,,,,,,,,
2/7/1991,11.39,,,,,,,,,
2/8/1991,11.39,,,,,,,,,
2/11/1991,11.3,,,,,,,,,
2/12/1991,11.35,,,,,,,,,
2/13/1991,11.36,,,,,,,,,
2/14/1991,11.25,,,,,,,,,
2/15/1991,11.16,,,,,,,,,
2/18/1991,11.06,,,,,,,,,
2/19/1991,10.89,,,,,,,,,
2/20/1991,10.88,,,,,,,,,
2/21/1991,11.07,,,,,,,,,
2/22/1991,10.93,,,,,,,,,
2/25/1991,11.01,,,,,,,,,
2/26/1991,11.09,,,,,,,,,
2/27/1991,11.15,,,,,,,,,
2/28/1991,11.2,,,,,,,,,
