,10,15,20,25,2,30,3,4,5,7
2-Jul-1990,12.77,,,,,,,,,12.97
3-Jul-1990,12.82,,,,,,,,,12.97
4-Jul-1990,12.81,,,,,,,,,12.95
5-Jul-1990,12.8,,,,,,,,,12.95
6-Jul-1990,12.81,,,,,,,,,12.98
9-Jul-1990,12.81,,,,,,,,,12.98
10-Jul-1990,12.93,,,,,,,,,13.11
11-Jul-1990,12.94,,,,,,,,,13.12
12-Jul-1990,12.96,,,,,,,,,13.12
13-Jul-1990,12.96,,,,,,,,,13.12
16-Jul-1990,12.96,,,,,,,,,13.1
17-Jul-1990,12.76,,,,,,,,,12.9
18-Jul-1990,12.71,,,,,,,,,12.85
19-Jul-1990,12.73,,,,,,,,,12.88
20-Jul-1990,12.74,,,,,,,,,12.92
23-Jul-1990,12.87,,,,,,,,,13
24-Jul-1990,12.87,,,,,,,,,13
25-Jul-1990,12.92,,,,,,,,,13.06
26-Jul-1990,12.88,,,,,,,,,13.03
27-Jul-1990,12.89,,,,,,,,,13.03
30-Jul-1990,12.89,,,,,,,,,13.03
31-Jul-1990,12.83,,,,,,,,,12.98
1-Aug-1990,12.81,,,,,,,,,12.95
2-Aug-1990,12.83,,,,,,,,,12.99
3-Aug-1990,12.84,,,,,,,,,13.01
6-Aug-1990,13.05,,,,,,,,,13.23
7-Aug-1990,13.18,,,,,,,,,13.33
8-Aug-1990,13.4,,,,,,,,,13.52
9-Aug-1990,13.27,,,,,,,,,13.48
10-Aug-1990,13.16,,,,,,,,,13.36
13-Aug-1990,13.26,,,,,,,,,13.45
14-Aug-1990,13.26,,,,,,,,,13.45
15-Aug-1990,13.21,,,,,,,,,13.36
16-Aug-1990,13.31,,,,,,,,,13.46
17-Aug-1990,13.43,,,,,,,,,13.58
20-Aug-1990,13.47,,,,,,,,,13.66
21-Aug-1990,13.57,,,,,,,,,13.74
22-Aug-1990,13.49,,,,,,,,,13.66
23-Aug-1990,13.68,,,,,,,,,13.9
24-Aug-1990,13.62,,,,,,,,,13.85
27-Aug-1990,13.48,,,,,,,,,13.69
28-Aug-1990,13.39,,,,,,,,,13.56
29-Aug-1990,13.45,,,,,,,,,13.68
30-Aug-1990,13.43,,,,,,,,,13.59
31-Aug-1990,13.41,,,,,,,,,13.59
3-Sep-1990,13.41,,,,,,,,,13.6
4-Sep-1990,13.43,,,,,,,,,13.64
5-Sep-1990,13.43,,,,,,,,,13.66
6-Sep-1990,13.49,,,,,,,,,13.72
7-Sep-1990,13.49,,,,,,,,,13.73
10-Sep-1990,13.4,,,,,,,,,13.62
11-Sep-1990,13.42,,,,,,,,,13.65
12-Sep-1990,13.36,,,,,,,,,13.6
13-Sep-1990,13.23,,,,,,,,,13.52
14-Sep-1990,13.25,,,,,,,,,13.58
17-Sep-1990,13.25,,,,,,,,,13.58
18-Sep-1990,13.31,,,,,,,,,13.6
19-Sep-1990,13.29,,,,,,,,,13.54
20-Sep-1990,13.31,,,,,,,,,13.55
21-Sep-1990,13.35,,,,,,,,,13.57
24-Sep-1990,13.35,,,,,,,,,13.58
25-Sep-1990,13.43,,,,,,,,,13.69
26-Sep-1990,13.41,,,,,,,,,13.65
27-Sep-1990,13.39,,,,,,,,,13.66
28-Sep-1990,13.45,,,,,,,,,13.69
1-Oct-1990,13.39,,,,,,,,,13.58
