,USGG2YR Index,USGG3YR Index,USGG5YR Index,USGG7YR Index,USGG10YR Index,USGG30YR Index
15-Feb-1977,6.049,6.35,6.724,7.14,7.362,7.7
16-Feb-1977,6.029,6.32,6.704,7.1,7.342,7.67
17-Feb-1977,5.999,6.29,6.674,7.05,7.262,7.67
18-Feb-1977,6.069,6.4,6.824,7.18,7.412,7.76
22-Feb-1977,6.099,6.43,6.844,7.18,7.772,7.77
23-Feb-1977,6.129,6.51,6.954,7.24,7.812,7.81
24-Feb-1977,6.209,6.57,7.024,7.27,7.822,7.82
25-Feb-1977,6.149,6.54,6.994,7.25,7.792,7.79
28-Feb-1977,6.089,6.5,6.984,7.23,7.802,7.8
1-Mar-1977,6.169,6.54,6.994,7.26,7.492,7.84
2-Mar-1977,6.129,6.47,6.934,7.19,7.452,7.81
3-Mar-1977,6.089,6.43,6.904,7.17,7.432,7.79
4-Mar-1977,6.109,6.5,6.984,7.24,7.482,7.82
7-Mar-1977,6.129,6.51,6.994,7.24,7.502,7.84
8-Mar-1977,6.149,6.54,6.994,7.25,7.522,7.84
9-Mar-1977,6.129,6.53,6.974,7.24,7.502,7.81
10-Mar-1977,6.119,6.49,6.954,7.22,7.492,7.81
11-Mar-1977,6.099,6.44,6.904,7.2,7.442,7.8
14-Mar-1977,6.069,6.89,6.894,7.17,7.452,7.8
15-Mar-1977,6.069,6.87,6.874,7.16,7.442,7.78
16-Mar-1977,6.089,6.9,6.904,7.17,7.442,7.79
17-Mar-1977,6.149,6.94,6.944,7.2,7.472,7.78
18-Mar-1977,6.089,6.44,6.904,7.16,7.442,7.76
21-Mar-1977,6.039,6.41,6.884,7.15,7.432,7.74
22-Mar-1977,6.049,6.42,6.874,7.15,7.432,7.77
23-Mar-1977,6.049,6.43,6.884,7.18,7.442,7.78
24-Mar-1977,6.079,6.46,6.904,7.19,7.462,7.78
25-Mar-1977,6.109,6.5,6.944,7.23,7.482,7.78
28-Mar-1977,6.119,6.5,6.964,7.22,7.472,7.8
29-Mar-1977,6.089,6.46,6.934,7.22,7.472,7.8
30-Mar-1977,6.059,6.43,6.954,7.22,7.442,7.8
31-Mar-1977,6.019,6.42,6.944,7.21,7.422,7.79
1-Apr-1977,6.029,6.42,6.924,7.21,7.432,7.78
4-Apr-1977,6.039,6.45,6.944,7.22,7.442,7.78
5-Apr-1977,6.019,6.46,6.954,7.23,7.472,7.78
6-Apr-1977,6.049,6.44,6.954,7.22,7.462,7.78
7-Apr-1977,6.029,6.43,6.934,7.21,7.432,7.78
11-Apr-1977,5.969,6.35,6.844,7.14,7.392,7.76
12-Apr-1977,5.989,6.33,6.834,7.15,7.392,7.76
13-Apr-1977,5.969,6.32,6.814,7.13,7.362,7.76
14-Apr-1977,5.739,6.03,6.564,6.93,7.202,7.63
15-Apr-1977,5.789,6.07,6.604,6.96,7.252,7.65
18-Apr-1977,5.809,6.08,6.614,6.96,7.252,7.64
19-Apr-1977,5.879,6.19,6.664,7.01,7.302,7.67
20-Apr-1977,5.959,6.26,6.714,7.05,7.322,7.69
21-Apr-1977,5.949,6.26,6.724,7.06,7.332,7.69
22-Apr-1977,6.039,6.35,6.804,7.1,7.362,7.73
25-Apr-1977,6.019,6.34,6.824,7.14,7.402,7.76
26-Apr-1977,6.009,6.33,6.764,7.08,7.382,7.74
27-Apr-1977,6.019,6.35,6.754,7.09,7.382,7.75
28-Apr-1977,6.039,6.36,6.784,7.14,7.402,7.76
29-Apr-1977,6.149,6.46,6.904,7.25,7.452,7.8
2-May-1977,6.159,6.48,6.944,7.25,7.452,7.8
3-May-1977,6.159,6.48,6.904,7.26,7.442,7.79
4-May-1977,6.119,6.45,6.894,7.25,7.452,7.78
5-May-1977,6.169,6.5,6.944,7.27,7.472,7.8
6-May-1977,6.249,6.56,7.004,7.32,7.502,7.86
9-May-1977,6.259,6.55,6.974,7.31,7.502,7.86
10-May-1977,6.279,6.58,6.904,7.33,7.522,7.86
11-May-1977,6.349,6.63,7.034,7.35,7.522,7.86
12-May-1977,6.329,6.6,6.934,7.31,7.502,7.86
13-May-1977,6.289,6.54,6.944,7.26,7.482,7.8
16-May-1977,6.269,6.52,6.924,7.24,7.462,7.79
17-May-1977,6.259,6.51,6.914,7.24,7.452,7.77
18-May-1977,6.249,6.52,6.894,7.22,7.432,7.77
19-May-1977,6.349,6.62,7.004,7.28,7.492,7.81
20-May-1977,6.439,6.68,7.014,7.29,7.492,7.81
23-May-1977,6.389,6.66,6.994,7.26,7.462,7.8
24-May-1977,6.309,6.57,6.934,7.21,7.412,7.76
25-May-1977,6.239,6.53,6.884,7.18,7.392,7.74
26-May-1977,6.249,6.54,6.764,7.23,7.422,7.76
27-May-1977,6.209,6.48,6.884,7.18,7.382,7.74
31-May-1977,6.189,6.49,6.874,7.16,7.382,7.74
1-Jun-1977,6.249,6.48,6.874,7.18,7.382,7.75
2-Jun-1977,6.209,6.5,6.874,7.18,7.392,7.74
3-Jun-1977,6.199,6.48,6.864,7.16,7.362,7.72
6-Jun-1977,6.189,6.48,6.874,7.15,7.722,7.72
7-Jun-1977,6.179,6.46,6.854,7.14,7.672,7.67
8-Jun-1977,6.159,6.45,6.844,7.13,7.672,7.67
9-Jun-1977,6.169,6.49,6.854,7.14,7.672,7.67
10-Jun-1977,6.159,6.42,6.784,7.07,7.662,7.66
13-Jun-1977,6.139,6.4,6.744,7.02,7.622,7.62
14-Jun-1977,6.089,6.3,6.684,6.98,7.592,7.59
15-Jun-1977,6.119,6.36,6.734,7.01,7.602,7.6
16-Jun-1977,6.129,6.36,6.744,7.02,7.242,7.62
17-Jun-1977,6.109,6.34,6.724,7.02,7.242,7.62
20-Jun-1977,6.119,6.36,6.744,7.04,7.272,7.63
21-Jun-1977,6.129,6.35,6.744,7.01,7.262,7.62
22-Jun-1977,6.129,6.34,6.704,7,7.252,7.61
23-Jun-1977,6.129,6.36,6.724,7.01,7.262,7.61
24-Jun-1977,6.109,6.34,6.684,6.97,7.202,7.59
27-Jun-1977,6.069,6.3,6.654,6.96,7.202,7.58
28-Jun-1977,6.069,6.3,6.644,6.93,7.162,7.56
29-Jun-1977,6.059,6.3,6.684,6.98,7.192,7.56
30-Jun-1977,6.089,6.33,6.704,7,7.202,7.58
1-Jul-1977,6.129,6.35,6.714,7.04,7.342,7.58
5-Jul-1977,6.129,6.37,6.754,7.06,7.352,7.63
6-Jul-1977,6.149,6.39,6.784,7.07,7.372,7.63
7-Jul-1977,6.159,6.39,6.784,7.07,7.292,7.62
8-Jul-1977,6.199,6.45,6.824,7.11,7.312,7.65
11-Jul-1977,6.229,6.48,6.834,7.12,7.332,7.65
12-Jul-1977,6.229,6.46,6.814,7.09,7.322,7.65
13-Jul-1977,6.199,6.42,6.754,7.05,7.282,7.62
15-Jul-1977,6.269,6.52,6.824,7.1,7.312,7.64
18-Jul-1977,6.309,6.53,6.844,7.13,7.342,7.64
19-Jul-1977,6.319,6.54,6.834,7.12,7.332,7.64
20-Jul-1977,6.359,6.55,6.854,7.12,7.322,7.64
21-Jul-1977,6.389,6.57,6.894,7.13,7.322,7.65
22-Jul-1977,6.359,6.56,6.884,7.12,7.312,7.65
25-Jul-1977,6.299,6.54,6.864,7.1,7.282,7.64
26-Jul-1977,6.289,6.52,6.864,7.1,7.282,7.64
27-Jul-1977,6.379,6.6,6.944,7.18,7.362,7.66
28-Jul-1977,6.489,6.69,7.014,7.26,7.412,7.7
29-Jul-1977,6.509,6.71,7.034,7.28,7.422,7.72
1-Aug-1977,6.499,6.71,7.024,7.28,7.432,7.7
2-Aug-1977,6.549,6.75,7.054,7.29,7.442,7.72
3-Aug-1977,6.539,6.74,7.024,7.25,7.422,7.7
4-Aug-1977,6.529,6.76,7.054,7.27,7.432,7.7
5-Aug-1977,6.539,6.74,7.024,7.27,7.422,7.72
8-Aug-1977,6.529,6.73,7.014,7.26,7.412,7.71
9-Aug-1977,6.589,6.79,7.064,7.29,7.452,7.73
10-Aug-1977,6.599,6.79,7.074,7.3,7.462,7.73
11-Aug-1977,6.649,6.86,7.084,7.31,7.472,7.74
12-Aug-1977,6.689,6.87,7.104,7.32,7.482,7.74
15-Aug-1977,6.719,6.88,7.114,7.33,7.482,7.74
16-Aug-1977,6.749,6.89,7.124,7.32,7.482,7.74
17-Aug-1977,6.729,6.86,7.084,7.27,7.442,7.72
18-Aug-1977,6.689,6.83,7.064,7.26,7.422,7.71
19-Aug-1977,6.679,6.8,7.044,7.25,7.402,7.68
22-Aug-1977,6.669,6.79,7.054,7.24,7.392,7.67
23-Aug-1977,6.649,6.79,7.024,7.2,7.362,7.65
24-Aug-1977,6.679,6.79,7.014,7.2,7.352,7.65
25-Aug-1977,6.629,6.78,6.984,7.16,7.322,7.62
26-Aug-1977,6.629,6.74,6.934,7.12,7.122,7.58
29-Aug-1977,6.569,6.72,6.904,7.08,7.082,7.58
30-Aug-1977,6.569,6.74,6.934,7.1,7.102,7.59
31-Aug-1977,6.599,6.73,6.944,7.11,7.112,7.6
1-Sep-1977,6.579,6.74,6.974,7.15,7.302,7.61
2-Sep-1977,6.539,6.69,6.934,7.11,7.242,7.58
6-Sep-1977,6.529,6.68,6.904,7.08,7.242,7.57
7-Sep-1977,6.549,6.7,6.954,7.12,7.262,7.59
8-Sep-1977,6.549,6.72,6.964,7.14,7.282,7.6
9-Sep-1977,6.679,6.88,7.104,7.26,7.362,7.65
12-Sep-1977,6.789,6.88,7.104,7.25,7.382,7.66
13-Sep-1977,6.759,6.84,7.064,7.24,7.372,7.66
14-Sep-1977,6.749,6.83,7.054,7.21,7.342,7.63
15-Sep-1977,6.709,6.82,7.044,7.2,7.332,7.63
16-Sep-1977,6.689,6.81,7.024,7.18,7.322,7.63
19-Sep-1977,6.669,6.8,7.024,7.17,7.322,7.63
20-Sep-1977,6.709,6.82,7.044,7.2,7.362,7.65
21-Sep-1977,6.719,6.84,7.054,7.21,7.362,7.66
22-Sep-1977,6.859,6.92,7.084,7.25,7.392,7.67
