FirstDate,SecondDate,CreditLabel,Horizon,TotalPnL,MarketShiftPnL,RollDownPnL,AccrualPnL,ExplainedPnL,UnexplainedPnL,FixedCoupon,FirstFairPremium,SecondFairPremium,RollDownFairPremium,CleanFixedDV01
20-SEP-2013, 23-SEP-2013, CDX.NA.IG.S21, 1,-00.4903, -01.2291,  0.0000,  0.8333, -00.3957, -0.0946,  100.00,  79.9380,  80.1880,  79.9386,  4.9187
23-SEP-2013, 24-SEP-2013, CDX.NA.IG.S21, 1, 06.7749,  06.4534,  0.0000,  0.2778,  06.7312,  0.0438,  100.00,  80.1880,  78.8750,  80.1882,  4.9139
24-SEP-2013, 25-SEP-2013, CDX.NA.IG.S21, 1,-04.0427, -04.3062,  0.0000,  0.2778, -04.0284, -0.0143,  100.00,  78.8750,  79.7510,  78.8752,  4.9161
25-SEP-2013, 26-SEP-2013, CDX.NA.IG.S21, 1, 00.2071, -00.0000,  0.0000,  0.2778,  00.2778, -0.0706,  100.00,  79.7510,  79.7510,  79.7512,  4.9154
26-SEP-2013, 27-SEP-2013, CDX.NA.IG.S21, 1,-05.4841, -05.7161,  0.0000,  0.2778, -05.4383, -0.0458,  100.00,  79.7510,  80.9150,  79.7512,  4.9119
27-SEP-2013, 30-SEP-2013, CDX.NA.IG.S21, 1,-04.6405, -05.3275,  0.0000,  0.8333, -04.4942, -0.1463,  100.00,  80.9150,  82.0010,  80.9156,  4.9096
30-SEP-2013, 01-OCT-2013, CDX.NA.IG.S21, 1, 11.2838,  11.0367,  0.0000,  0.2778,  11.3145, -0.0307,  100.00,  82.0010,  79.7490,  82.0012,  4.9017
01-OCT-2013, 02-OCT-2013, CDX.NA.IG.S21, 1, 01.0323,  00.7107,  0.0000,  0.2778,  00.9884,  0.0439,  100.00,  79.7490,  79.6040,  79.7492,  4.9001
02-OCT-2013, 03-OCT-2013, CDX.NA.IG.S21, 1,-06.6309, -06.8411,  0.0000,  0.2778, -06.5633, -0.0676,  100.00,  79.6040,  81.0000,  79.6042,  4.9022
03-OCT-2013, 04-OCT-2013, CDX.NA.IG.S21, 1, 07.8568,  07.6491,  0.0000,  0.2778,  07.9269, -0.0701,  100.00,  81.0000,  79.4380,  81.0002,  4.8988
04-OCT-2013, 07-OCT-2013, CDX.NA.IG.S21, 1,-14.3899, -14.9688,  0.0000,  0.8333, -14.1354, -0.2545,  100.00,  79.4380,  82.5000,  79.4386,  4.8952
07-OCT-2013, 08-OCT-2013, CDX.NA.IG.S21, 1,-09.6274, -09.7546,  0.0000,  0.2778, -09.4768, -0.1505,  100.00,  82.5000,  84.5000,  82.5002,  4.8819
08-OCT-2013, 09-OCT-2013, CDX.NA.IG.S21, 1, 05.7690,  05.4775,  0.0000,  0.2778,  05.7552,  0.0138,  100.00,  84.5000,  83.3760,  84.5002,  4.8727
09-OCT-2013, 10-OCT-2013, CDX.NA.IG.S21, 1, 23.3052,  22.8673,  0.0000,  0.2778,  23.1450,  0.1601,  100.00,  83.3760,  78.6880,  83.3762,  4.8736
10-OCT-2013, 11-OCT-2013, CDX.NA.IG.S21, 1, 09.1738,  08.8529,  0.0000,  0.2778,  09.1307,  0.0431,  100.00,  78.6880,  76.8750,  78.6882,  4.8821
11-OCT-2013, 15-OCT-2013, CDX.NA.IG.S21, 1, 01.1670,  00.3025,  0.0000,  1.1111,  01.4136, -0.2466,  100.00,  76.8750,  76.8130,  76.8758,  4.8840
15-OCT-2013, 16-OCT-2013, CDX.NA.IG.S21, 1, 15.4002,  14.9384,  0.0000,  0.2778,  15.2162,  0.1839,  100.00,  76.8130,  73.7500,  76.8132,  4.8733
16-OCT-2013, 17-OCT-2013, CDX.NA.IG.S21, 1, 11.4635,  10.9851,  0.0000,  0.2778,  11.2629,  0.2006,  100.00,  73.7500,  71.5010,  73.7502,  4.8808
17-OCT-2013, 18-OCT-2013, CDX.NA.IG.S21, 1, 00.8250,  00.6158,  0.0000,  0.2778,  00.8935, -0.0685,  100.00,  71.5010,  71.3750,  71.5012,  4.8881
18-OCT-2013, 21-OCT-2013, CDX.NA.IG.S21, 1,-03.8178, -04.3484,  0.0000,  0.8333, -03.5151, -0.3028,  100.00,  71.3750,  72.2660,  71.3756,  4.8857
21-OCT-2013, 22-OCT-2013, CDX.NA.IG.S21, 1, 11.9760,  11.4328,  0.0000,  0.2778,  11.7106,  0.2654,  100.00,  72.2660,  69.9230,  72.2662,  4.8750
22-OCT-2013, 23-OCT-2013, CDX.NA.IG.S21, 1,-10.0860, -10.1413,  0.0000,  0.2778, -09.8635, -0.2225,  100.00,  69.9230,  72.0010,  69.9232,  4.8841
23-OCT-2013, 24-OCT-2013, CDX.NA.IG.S21, 1,-01.0332, -01.2138,  0.0000,  0.2778, -00.9360, -0.0971,  100.00,  72.0010,  72.2500,  72.0012,  4.8765
24-OCT-2013, 25-OCT-2013, CDX.NA.IG.S21, 1, 03.3431,  03.0458,  0.0000,  0.2778,  03.3236,  0.0195,  100.00,  72.2500,  71.6250,  72.2502,  4.8730
25-OCT-2013, 28-OCT-2013, CDX.NA.IG.S21, 1, 00.6872,  00.0779,  0.0000,  0.8333,  00.9112, -0.2241,  100.00,  71.6250,  71.6090,  71.6256,  4.8737
28-OCT-2013, 29-OCT-2013, CDX.NA.IG.S21, 1, 02.6492,  02.3552,  0.0000,  0.2778,  02.6330,  0.0163,  100.00,  71.6090,  71.1250,  71.6092,  4.8658
29-OCT-2013, 30-OCT-2013, CDX.NA.IG.S21, 1,-09.6933, -09.7239,  0.0000,  0.2778, -09.4461, -0.2472,  100.00,  71.1250,  73.1250,  71.1252,  4.8664
30-OCT-2013, 31-OCT-2013, CDX.NA.IG.S21, 1, 01.5980,  01.3696,  0.0000,  0.2778,  01.6473, -0.0493,  100.00,  73.1250,  72.8430,  73.1252,  4.8575
31-OCT-2013, 01-NOV-2013, CDX.NA.IG.S21, 1,-02.7964, -02.8871,  0.0000,  0.2778, -02.6093, -0.1871,  100.00,  72.8430,  73.4380,  72.8432,  4.8557
01-NOV-2013, 04-NOV-2013, CDX.NA.IG.S21, 1, 02.2193,  01.5121,  0.0000,  0.8333,  02.3454, -0.1261,  100.00,  73.4380,  73.1260,  73.4386,  4.8487
04-NOV-2013, 05-NOV-2013, CDX.NA.IG.S21, 1,-06.8331, -06.9317,  0.0000,  0.2778, -06.6539, -0.1792,  100.00,  73.1260,  74.5580,  73.1262,  4.8440
05-NOV-2013, 06-NOV-2013, CDX.NA.IG.S21, 1, 10.0999,  09.6563,  0.0000,  0.2778,  09.9341,  0.1657,  100.00,  74.5580,  72.5630,  74.5582,  4.8371
06-NOV-2013, 07-NOV-2013, CDX.NA.IG.S21, 1,-07.0540, -07.2632,  0.0000,  0.2778, -06.9854, -0.0686,  100.00,  72.5630,  74.0630,  72.5632,  4.8434
07-NOV-2013, 08-NOV-2013, CDX.NA.IG.S21, 1, 11.9125,  11.7948,  0.0000,  0.2778,  12.0726, -0.1601,  100.00,  74.0630,  71.6250,  74.0632,  4.8408
08-NOV-2013, 12-NOV-2013, CDX.NA.IG.S21, 1,-07.3408, -07.9929,  0.0000,  1.1111, -06.8818, -0.4591,  100.00,  71.6250,  73.2810,  71.6259,  4.8349
12-NOV-2013, 13-NOV-2013, CDX.NA.IG.S21, 1, 05.0993,  04.5721,  0.0000,  0.2778,  04.8499,  0.2494,  100.00,  73.2810,  72.3330,  73.2812,  4.8183
13-NOV-2013, 14-NOV-2013, CDX.NA.IG.S21, 1, 03.5192,  03.1963,  0.0000,  0.2778,  03.4741,  0.0451,  100.00,  72.3330,  71.6710,  72.3332,  4.8275
14-NOV-2013, 15-NOV-2013, CDX.NA.IG.S21, 1, 07.1397,  06.8621,  0.0000,  0.2778,  07.1399, -0.0002,  100.00,  71.6710,  70.2500,  71.6712,  4.8291
15-NOV-2013, 18-NOV-2013, CDX.NA.IG.S21, 1,-05.4056, -06.0368,  0.0000,  0.8333, -05.2035, -0.2022,  100.00,  70.2500,  71.5010,  70.2507,  4.8291
18-NOV-2013, 19-NOV-2013, CDX.NA.IG.S21, 1,-05.3561, -05.4157,  0.0000,  0.2778, -05.1379, -0.2182,  100.00,  71.5010,  72.6250,  71.5012,  4.8221
19-NOV-2013, 20-NOV-2013, CDX.NA.IG.S21, 1, 00.8570,  00.6017,  0.0000,  0.2778,  00.8795, -0.0225,  100.00,  72.6250,  72.5000,  72.6252,  4.8143
