Date,1Y1Y,2Y1Y,3Y1Y,4Y1Y,5Y1Y,6Y1Y,7Y1Y,8Y1Y,9Y1Y,10Y1Y,11Y1Y,12Y1Y,15Y1Y,20Y1Y,25Y1Y
01-JUN-1988, 13.09871, 15.07302, 17.80547, 14.03678, 10.86473, 12.17407, 13.90262, 16.09877, 19.18649, 14.37941, 14.40742, 12.56305, 11.20271, 11.18556, 11.19016
03-JUN-1988, 13.09883, 15.07314, 17.80545, 14.07100, 10.92715, 12.21874, 13.96408, 16.17669, 19.30149, 14.45344, 14.44973, 12.60745, 11.26263, 11.26797, 11.27139
07-JUN-1988, 13.06128, 15.02385, 17.73680, 13.99395, 10.87509, 12.18582, 13.92150, 16.11947, 19.21917, 14.36743, 14.39141, 12.55279, 11.19436, 11.17857, 11.18143
09-JUN-1988, 12.95761, 14.88675, 17.54643, 13.87485, 10.80450, 12.09643, 13.80559, 15.96486, 18.99862, 14.23845, 14.26349, 12.45605, 11.11663, 11.09862, 11.10407
13-JUN-1988, 12.92964, 14.84934, 17.49544, 13.84268, 10.78619, 12.07500, 13.77641, 15.92608, 18.94336, 14.20397, 14.23139, 12.43036, 11.09594, 11.08042, 11.08382
15-JUN-1988, 12.91184, 14.82606, 17.46320, 13.82241, 10.73362, 12.00897, 13.69046, 15.81259, 18.78161, 14.14651, 14.17119, 12.38564, 11.06086, 11.04335, 11.04970
17-JUN-1988, 12.85603, 14.75245, 17.36153, 13.79109, 10.75751, 12.00726, 13.69018, 15.80841, 18.77954, 14.15122, 14.14798, 12.37617, 11.07806, 11.08033, 11.08666
21-JUN-1988, 12.78094, 14.65357, 17.22499, 13.67234, 10.67960, 11.94143, 13.60324, 15.69498, 18.61695, 14.01780, 14.04559, 12.28678, 10.98184, 10.96546, 10.97096
23-JUN-1988, 12.75279, 14.61681, 17.17419, 13.64020, 10.65766, 11.91514, 13.56771, 15.64790, 18.55073, 13.98116, 14.00833, 12.25818, 10.96046, 10.94201, 10.94526
27-JUN-1988, 12.80809, 14.68944, 17.27444, 13.78250, 10.68780, 11.94972, 13.61550, 15.71086, 18.63889, 14.04808, 14.07547, 12.31092, 11.00109, 10.98577, 10.98781
29-JUN-1988, 12.80809, 14.68944, 17.27444, 13.70353, 10.67957, 11.94243, 13.60264, 15.69592, 18.61624, 14.03338, 14.06316, 12.29933, 10.99245, 10.97603, 10.97972
01-JUL-1988, 12.81853, 14.70319, 17.29288, 13.74780, 10.67243, 11.89987, 13.55055, 15.62526, 18.51722, 14.04796, 14.04678, 12.29988, 11.01682, 11.01802, 11.02131
05-JUL-1988, 12.84531, 14.73841, 17.34207, 13.74616, 10.63006, 11.87822, 13.52210, 15.58649, 18.46537, 14.01153, 14.03718, 12.28215, 10.97882, 10.96306, 10.96439
