Date,1Y1Y,1Y2Y,1Y3Y,1Y4Y,1Y5Y,1Y6Y,1Y7Y,1Y8Y,1Y9Y,1Y10Y,1Y11Y,1Y12Y,1Y15Y,1Y20Y,1Y25Y
01-JUN-1988, 13.09871, 14.08159, 15.30962, 14.99008, 14.15291, 13.82070, 13.83240, 14.11326, 14.66611, 14.63741, 14.61648, 14.44394, 14.37179, 14.51982, 14.60996
03-JUN-1988, 13.09883, 14.08172, 15.30969, 14.99876, 14.17266, 13.84466, 13.86171, 14.14854, 14.70992, 14.68425, 14.66291, 14.49019, 14.41786, 14.56634, 14.65728
07-JUN-1988, 13.06128, 14.03834, 15.25807, 14.94073, 14.11585, 13.79188, 13.81039, 14.09650, 14.65464, 14.62588, 14.60455, 14.43215, 14.35971, 14.50696, 14.59701
09-JUN-1988, 12.95761, 13.91809, 15.11492, 14.80364, 13.99243, 13.67422, 13.69298, 13.97451, 14.52210, 14.49370, 14.47276, 14.30333, 14.23176, 14.37495, 14.46192
13-JUN-1988, 12.92964, 13.88544, 15.07628, 14.76663, 13.95926, 13.64303, 13.66208, 13.94264, 14.48773, 14.45932, 14.43858, 14.26987, 14.19840, 14.34052, 14.42759
15-JUN-1988, 12.91184, 13.86493, 15.05193, 14.74331, 13.92993, 13.60749, 13.61934, 13.89121, 14.42449, 14.39666, 14.37615, 14.20893, 14.13824, 14.27918, 14.36500
17-JUN-1988, 12.85603, 13.80029, 14.97520, 14.67802, 13.88297, 13.56819, 13.58561, 13.86111, 14.39738, 14.37274, 14.35229, 14.18630, 14.11555, 14.25495, 14.33991
21-JUN-1988, 12.78094, 13.71340, 14.87208, 14.57097, 13.78190, 13.47307, 13.49165, 13.76476, 14.29394, 14.26629, 14.24621, 14.08163, 14.01112, 14.14773, 14.23130
23-JUN-1988, 12.75279, 13.68098, 14.83365, 14.53412, 13.74811, 13.44055, 13.45870, 13.73007, 14.25587, 14.22837, 14.20835, 14.04455, 13.97426, 14.11024, 14.19265
27-JUN-1988, 12.80809, 13.74487, 14.90943, 14.62666, 13.82783, 13.51264, 13.52733, 13.79800, 14.32597, 14.29815, 14.27789, 14.11267, 14.04211, 14.17982, 14.26425
29-JUN-1988, 12.80809, 13.74487, 14.90943, 14.60676, 13.81033, 13.49686, 13.51197, 13.78269, 14.30988, 14.28220, 14.26227, 14.09739, 14.02697, 14.16446, 14.24847
01-JUL-1988, 12.81853, 13.75696, 14.92359, 14.62851, 13.82614, 13.50281, 13.50963, 13.77195, 14.28968, 14.26548, 14.24558, 14.08216, 14.01278, 14.15004, 14.23335
05-JUL-1988, 12.84531, 13.78792, 14.96051, 14.65571, 13.83903, 13.50986, 13.51161, 13.76892, 14.28141, 14.25440, 14.23463, 14.07064, 14.00120, 14.13894, 14.22322
07-JUL-1988, 12.79859, 13.73382, 14.89629, 14.57791, 13.77270, 13.45021, 13.45551, 13.71400, 14.22533, 14.19846, 14.17907, 14.01621, 13.94697, 14.08313, 14.16568
11-JUL-1988, 12.80787, 13.74465, 14.90917, 14.58843, 13.77870, 13.45283, 13.45515, 13.71067, 14.21881, 14.19205, 14.17267, 14.01004, 13.94107, 14.07724, 14.15991
13-JUL-1988, 12.80787, 13.74465, 14.90917, 14.60650, 13.79059, 13.46006, 13.45848, 13.71027, 14.21433, 14.18774, 14.16818, 14.00572, 13.93690, 14.07281, 14.15598
15-JUL-1988, 12.79900, 13.73437, 14.89696, 14.60295, 13.79167, 13.45968, 13.45676, 13.70716, 14.20959, 14.18599, 14.16659, 14.00497, 13.93642, 14.07229, 14.15491
19-JUL-1988, 12.88276, 13.83141, 15.01205, 14.70510, 13.86792, 13.52341, 13.51160, 13.75575, 14.25340, 14.22680, 14.20775, 14.04462, 13.97612, 14.11393, 14.19747
21-JUL-1988, 12.85571, 13.80002, 14.97477, 14.66938, 13.84702, 13.51365, 13.51165, 13.76539, 14.27379, 14.24701, 14.22734, 14.06356, 13.99437, 14.13224, 14.21618
25-JUL-1988, 12.84565, 13.78821, 14.96078, 14.65596, 13.83927, 13.51009, 13.51184, 13.76915, 14.28165, 14.25463, 14.23486, 14.07086, 14.00142, 14.13917, 14.22345
27-JUL-1988, 12.85582, 13.80013, 14.97488, 14.68760, 13.85903, 13.52099, 13.51507, 13.76508, 14.26940, 14.24253, 14.22297, 14.05936, 13.99031, 14.12782, 14.21183
29-JUL-1988, 12.92035, 13.87470, 15.06354, 14.78261, 13.95750, 13.62112, 13.62080, 13.88059, 14.40063, 14.37614, 14.35624, 14.19049, 14.12059, 14.26084, 14.34652
02-AUG-1988, 13.02385, 13.99484, 15.20628, 14.61748, 13.81781, 13.50241, 13.51616, 13.78571, 14.31175, 14.28597, 14.26722, 14.10319, 14.03545, 14.17621, 14.26178
04-AUG-1988, 12.98657, 13.95150, 15.15485, 14.58839, 13.78219, 13.45999, 13.46571, 13.72519, 14.23799, 14.21243, 14.19411, 14.03181, 13.96490, 14.10400, 14.18844
08-AUG-1988, 13.07078, 14.04916, 15.27096, 14.69885, 13.88646, 13.56351, 13.57290, 13.84046, 14.36703, 14.34093, 14.32217, 14.15696, 14.08895, 14.23138, 14.31820
10-AUG-1988, 13.27521, 14.28688, 15.55462, 14.97034, 14.08432, 13.70941, 13.67790, 13.90947, 14.40023, 14.37545, 14.35779, 14.19255, 14.12657, 14.27301, 14.36124
12-AUG-1988, 13.17335, 14.16838, 15.41312, 14.84429, 14.01292, 13.67546, 13.67640, 13.93980, 14.46631, 14.44346, 14.42439, 14.25801, 14.19023, 14.33596, 14.42472
16-AUG-1988, 13.28577, 14.29892, 15.56904, 14.98039, 14.10973, 13.74821, 13.73067, 13.97800, 14.48892, 14.46342, 14.44511, 14.27777, 14.21063, 14.35844, 14.44815
18-AUG-1988, 13.19140, 14.18915, 15.43800, 14.85949, 13.86269, 13.38859, 13.25518, 13.37136, 13.71824, 13.69922, 13.68614, 13.53733, 13.48100, 13.61580, 13.69653
22-AUG-1988, 13.13623, 14.12514, 15.36163, 14.76515, 13.80616, 13.36051, 13.25136, 13.39061, 13.76242, 13.74247, 13.72900, 13.57877, 13.52079, 13.65540, 13.73624
24-AUG-1988, 13.28564, 14.29904, 15.56916, 14.98051, 13.93288, 13.42076, 13.25466, 13.33935, 13.65272, 13.63486, 13.62327, 13.47632, 13.42193, 13.55733, 13.63854
26-AUG-1988, 13.35022, 14.37415, 15.65908, 15.07813, 13.99370, 13.44891, 13.25511, 13.31321, 13.59807, 13.58309, 13.57219, 13.42768, 13.37549, 13.51104, 13.59159
30-AUG-1988, 13.35180, 14.37606, 15.66137, 15.07121, 13.98608, 13.44600, 13.25629, 13.31840, 13.60749, 13.59074, 13.57968, 13.43418, 13.38152, 13.51739, 13.59835
01-SEP-1988, 13.18267, 14.17924, 15.42609, 15.10154, 14.02058, 13.48454, 13.29976, 13.36809, 13.66580, 13.64704, 13.63433, 13.48678, 13.43122, 13.56508, 13.64500
05-SEP-1988, 13.08941, 14.07092, 15.29681, 14.97781, 13.94856, 13.45148, 13.29996, 13.40024, 13.73187, 13.71169, 13.69799, 13.54846, 13.49068, 13.62401, 13.70397
07-SEP-1988, 13.07910, 14.05890, 15.28261, 14.96422, 13.94073, 13.44784, 13.29999, 13.40370, 13.73916, 13.71899, 13.70518, 13.55534, 13.49716, 13.63059, 13.71022
09-SEP-1988, 13.04278, 14.01672, 15.23225, 14.92454, 13.92187, 13.43863, 13.29914, 13.41082, 13.75497, 13.73635, 13.72232, 13.57273, 13.51417, 13.64717, 13.72708
13-SEP-1988, 13.06140, 14.03840, 15.25807, 14.94072, 13.92711, 13.44152, 13.29998, 13.40987, 13.75176, 13.73132, 13.71722, 13.56702, 13.50847, 13.64186, 13.72154
