Date,1Y1Y,2Y1Y,3Y1Y,4Y1Y,5Y1Y,6Y1Y,7Y1Y,8Y1Y,9Y1Y,10Y1Y,11Y1Y,12Y1Y,15Y1Y,20Y1Y,25Y1Y
01-JUN-1988, 14.02981, 14.84680, 14.91685, 14.00433, 13.51933, 13.34180, 13.48727, 14.05997, 15.48296, 14.03005, 14.08355, 14.12558, 14.04784, 14.07120, 14.00892
03-JUN-1988, 14.03524, 14.85516, 14.92937, 14.01968, 13.54697, 13.38851, 13.56044, 14.15534, 15.62379, 14.08102, 14.12181, 14.17372, 14.09015, 14.11533, 14.05008
07-JUN-1988, 13.98758, 14.79846, 14.86659, 13.96182, 13.49480, 13.33863, 13.51091, 14.10787, 15.55776, 14.01981, 14.07359, 14.11938, 14.03435, 14.06444, 13.99775
09-JUN-1988, 13.86874, 14.66415, 14.73071, 13.84349, 13.38354, 13.23007, 13.40086, 13.98949, 15.41770, 13.90196, 13.95212, 13.99775, 13.91681, 13.94108, 13.88102
13-JUN-1988, 13.83655, 14.62820, 14.69384, 13.81153, 13.35381, 13.20233, 13.37397, 13.96132, 15.38401, 13.87090, 13.92089, 13.96623, 13.88628, 13.91129, 13.84663
15-JUN-1988, 13.81606, 14.60552, 14.67192, 13.79135, 13.31841, 13.14112, 13.28465, 13.83995, 15.21981, 13.81374, 13.86249, 13.90373, 13.83305, 13.84958, 13.79409
17-JUN-1988, 13.75725, 14.54126, 14.61137, 13.74245, 13.28545, 13.13187, 13.29918, 13.87276, 15.28459, 13.80097, 13.83998, 13.88737, 13.80817, 13.83150, 13.76935
21-JUN-1988, 13.66670, 14.43644, 14.50018, 13.64226, 13.19310, 13.04155, 13.20922, 13.78064, 15.16660, 13.69489, 13.74563, 13.78893, 13.71155, 13.73589, 13.67536
23-JUN-1988, 13.63446, 14.40084, 14.46332, 13.61032, 13.16248, 13.01030, 13.17361, 13.74463, 15.11884, 13.66177, 13.71226, 13.75401, 13.67686, 13.69989, 13.63980
27-JUN-1988, 13.68526, 14.47488, 14.57265, 13.75114, 13.28005, 13.08695, 13.20766, 13.73563, 15.08184, 13.72020, 13.77169, 13.80940, 13.74030, 13.75776, 13.69901
29-JUN-1988, 13.69762, 14.47158, 14.53618, 13.67323, 13.21460, 13.05057, 13.20507, 13.76586, 15.13909, 13.71059, 13.76007, 13.80138, 13.72755, 13.74837, 13.68928
01-JUL-1988, 13.71348, 14.49318, 14.56401, 13.69947, 13.21959, 13.03080, 13.15628, 13.68039, 15.02712, 13.70246, 13.74201, 13.78203, 13.71514, 13.73057, 13.67528
05-JUL-1988, 13.73917, 14.51955, 14.58731, 13.71540, 13.22173, 13.01238, 13.11269, 13.62025, 14.92713, 13.68407, 13.73512, 13.76698, 13.70661, 13.71751, 13.66468
07-JUL-1988, 13.69582, 14.45727, 14.49543, 13.59854, 13.12500, 12.95081, 13.09173, 13.63083, 14.96729, 13.63757, 13.68479, 13.72144, 13.65721, 13.67196, 13.61726
11-JUL-1988, 13.70743, 14.46902, 14.50492, 13.60208, 13.12180, 12.93964, 13.07178, 13.60143, 14.92779, 13.63042, 13.68154, 13.71591, 13.65073, 13.66662, 13.61272
13-JUL-1988, 13.69617, 14.47152, 14.53918, 13.67278, 13.17336, 12.95198, 13.04090, 13.52740, 14.81112, 13.62358, 13.67243, 13.70231, 13.64797, 13.65699, 13.60709
15-JUL-1988, 13.69067, 14.46802, 14.54071, 13.67731, 13.17517, 12.95373, 13.03885, 13.52081, 14.81042, 13.62970, 13.67039, 13.70224, 13.64600, 13.65472, 13.60445
19-JUL-1988, 13.78122, 14.56830, 14.63861, 13.75803, 13.22920, 12.97338, 13.02341, 13.47221, 14.71905, 13.66057, 13.70510, 13.73051, 13.68877, 13.68755, 13.64393
21-JUL-1988, 13.75072, 14.53329, 14.60137, 13.72720, 13.22427, 13.00145, 13.08812, 13.57920, 14.87015, 13.67706, 13.72618, 13.75727, 13.70221, 13.70905, 13.66170
25-JUL-1988, 13.73928, 14.52004, 14.58750, 13.71561, 13.22194, 13.01259, 13.11290, 13.62046, 14.92736, 13.68429, 13.73534, 13.76720, 13.70682, 13.71773, 13.66480
27-JUL-1988, 13.73957, 14.53629, 14.63536, 13.79821, 13.27609, 13.01388, 13.05717, 13.50505, 14.75346, 13.67033, 13.72004, 13.74469, 13.69743, 13.69929, 13.65259
29-JUL-1988, 13.81728, 14.62749, 14.73486, 13.89376, 13.38084, 13.13699, 13.20609, 13.67991, 14.98738, 13.79820, 13.83832, 13.87130, 13.81638, 13.82446, 13.77288
02-AUG-1988, 14.11181, 14.70921, 14.31519, 12.85542, 12.52617, 12.74762, 13.30892, 14.27926, 16.03631, 13.76106, 13.81578, 13.89632, 13.75156, 13.82123, 13.73226
04-AUG-1988, 14.05630, 14.66428, 14.30460, 12.89058, 12.53385, 12.70031, 13.19837, 14.10154, 15.77679, 13.69023, 13.74262, 13.81581, 13.68850, 13.74347, 13.66363
08-AUG-1988, 14.15271, 14.77322, 14.41352, 12.98411, 12.62996, 12.80927, 13.32676, 14.25591, 15.97584, 13.80771, 13.86043, 13.93671, 13.80278, 13.86357, 13.78015
10-AUG-1988, 14.38354, 15.03962, 14.69225, 13.21850, 12.75219, 12.79019, 13.15351, 13.91700, 15.46402, 13.83721, 13.88980, 13.94052, 13.84769, 13.88290, 13.81309
12-AUG-1988, 14.28425, 14.91427, 14.54013, 13.11510, 13.02041, 13.38657, 13.78826, 14.09385, 14.41583, 13.85272, 13.89601, 13.88714, 13.89920, 13.86432, 13.83736
16-AUG-1988, 14.39865, 15.05228, 14.69643, 13.21609, 12.78432, 12.87397, 13.29906, 14.13124, 15.76223, 13.91911, 13.96829, 14.03127, 13.92483, 13.96568, 13.89541
18-AUG-1988, 14.28900, 14.93025, 14.57672, 13.12521, 12.69757, 12.58585, 12.45181, 12.19168, 11.94431, 13.17841, 13.21085, 13.12132, 13.27353, 13.14814, 13.18414
