Date,1Y1Y,2Y1Y,3Y1Y,4Y1Y,5Y1Y,6Y1Y,7Y1Y,8Y1Y,9Y1Y,10Y1Y,11Y1Y,12Y1Y,15Y1Y,20Y1Y,25Y1Y
04-APR-1989, 12.93370, 11.57280, 11.21101, 11.00996, 10.46098, 11.71905, 9.66437, 10.69788, 11.98024, 11.30249, 11.26751, 10.12655, 9.19649, 9.19401, 9.19466
05-APR-1989, 12.82543, 11.54920, 11.28818, 11.03403, 10.52097, 11.79323, 9.69753, 10.73934, 12.03170, 11.31687, 11.28260, 10.13900, 9.20550, 9.20440, 9.20458
06-APR-1989, 12.86150, 11.47384, 11.28835, 11.16666, 10.49524, 11.76158, 9.70635, 10.74959, 12.04425, 11.32535, 11.29302, 10.14652, 9.21236, 9.21124, 9.20902
07-APR-1989, 13.07824, 11.59222, 11.25506, 10.96106, 10.56159, 11.84456, 9.72224, 10.77036, 12.07005, 11.37423, 11.34099, 10.18403, 9.24366, 9.24371, 9.24057
10-APR-1989, 13.13849, 11.53778, 11.47730, 11.08909, 10.53802, 11.81598, 9.72216, 10.76872, 12.06790, 11.40815, 11.37541, 10.21295, 9.26706, 9.26499, 9.26688
11-APR-1989, 13.11441, 11.51673, 11.35573, 11.11412, 10.50999, 11.78114, 9.69667, 10.73837, 12.03009, 11.37653, 11.34389, 10.18756, 9.24545, 9.24411, 9.24605
12-APR-1989, 13.15059, 11.44129, 11.35593, 11.04807, 10.54539, 11.82446, 9.73985, 10.79083, 12.09514, 11.39326, 11.35950, 10.19993, 9.25666, 9.25600, 9.25409
13-APR-1989, 13.11441, 11.51673, 11.30549, 11.03763, 10.53594, 11.81284, 9.85978, 10.93690, 12.28184, 11.43089, 11.39822, 10.23131, 9.28210, 9.28083, 9.28083
14-APR-1989, 13.15059, 11.54830, 11.28662, 11.05853, 10.55486, 11.83607, 9.87592, 10.95878, 12.30723, 11.45201, 11.41927, 10.24737, 9.29523, 9.29459, 9.29456
17-APR-1989, 12.82543, 11.26426, 11.20484, 10.88530, 10.56861, 11.85391, 9.94643, 11.04469, 12.41710, 11.36888, 11.33868, 10.18150, 9.24011, 9.24119, 9.23884
18-APR-1989, 12.82543, 11.26426, 11.25494, 10.89556, 10.44650, 11.69993, 10.01595, 11.12995, 12.52390, 11.37515, 11.34141, 10.18449, 9.24427, 9.24336, 9.24214
19-APR-1989, 12.34640, 11.37601, 11.09219, 10.91886, 10.44279, 11.69641, 9.88763, 10.97292, 12.32521, 11.23723, 11.20359, 10.07417, 9.15244, 9.15104, 9.15292
20-APR-1989, 12.34640, 11.34043, 11.13175, 10.85291, 10.38952, 11.62987, 9.82780, 10.89966, 12.23334, 11.19510, 11.16417, 10.04085, 9.12510, 9.12568, 9.12304
21-APR-1989, 12.77742, 11.11573, 11.23178, 11.03117, 10.54974, 11.82987, 9.88721, 10.97124, 12.32285, 11.33716, 11.30217, 10.15493, 9.21890, 9.21866, 9.21762
24-APR-1989, 12.48975, 11.07636, 11.04276, 10.77745, 10.45885, 11.71649, 9.82818, 10.89972, 12.23308, 11.19303, 11.16407, 10.03900, 9.12416, 9.12408, 9.12269
25-APR-1989, 12.52559, 11.24989, 10.91624, 10.67757, 10.46819, 11.72880, 9.92282, 11.01541, 12.37818, 11.23307, 11.20096, 10.07127, 9.14983, 9.14908, 9.14987
26-APR-1989, 12.51368, 11.23935, 10.95566, 10.61186, 10.45881, 11.71705, 9.91418, 11.00503, 12.36516, 11.22249, 11.18799, 10.06266, 9.14199, 9.14191, 9.14270
27-APR-1989, 12.48975, 11.21827, 10.93475, 10.59115, 10.44070, 11.69270, 9.93978, 11.03695, 12.40502, 11.21606, 11.18490, 10.05807, 9.13922, 9.13850, 9.13913
09-MAY-1989, 12.15562, 10.35995, 10.67395, 10.63295, 10.34744, 11.57652, 10.04180, 11.16173, 12.56398, 11.06657, 11.03235, 9.93648, 9.03785, 9.03787, 9.03775
11-MAY-1989, 12.57355, 10.58451, 11.04875, 11.03369, 10.52743, 11.80298, 9.95607, 11.05768, 12.43136, 11.24973, 11.21875, 10.08491, 9.16061, 9.16124, 9.16029
12-MAY-1989, 12.40605, 10.57918, 10.84426, 10.84223, 10.49271, 11.75885, 10.03385, 11.15150, 12.55307, 11.20063, 11.17033, 10.04470, 9.12882, 9.12820, 9.12772
15-MAY-1989, 11.75193, 10.39034, 10.48213, 10.46765, 10.27853, 11.49154, 9.92926, 11.02205, 12.38932, 10.90279, 10.87019, 9.80310, 8.92814, 8.92867, 8.92895
16-MAY-1989, 11.97720, 10.65991, 10.70201, 10.75282, 10.26948, 11.47922, 9.82026, 10.88838, 12.21943, 10.97801, 10.94594, 9.86381, 8.97908, 8.97907, 8.97855
17-MAY-1989, 12.08421, 10.64867, 10.61636, 10.45803, 10.29452, 11.51012, 9.81146, 10.87777, 12.20673, 10.95917, 10.92777, 9.85025, 8.96680, 8.96679, 8.96766
18-MAY-1989, 12.15562, 10.57073, 10.63747, 10.54419, 10.23509, 11.43748, 9.69302, 10.73153, 12.02368, 10.91747, 10.88418, 9.81579, 8.93848, 8.93850, 8.93781
19-MAY-1989, 12.16749, 10.61639, 10.60882, 10.55466, 10.24464, 11.44915, 9.65800, 10.69120, 11.97173, 10.91133, 10.87912, 9.81102, 8.93491, 8.93494, 8.93444
22-MAY-1989, 12.03656, 10.64194, 10.48610, 10.53633, 10.26576, 11.47507, 9.65781, 10.69144, 11.96997, 10.88130, 10.84944, 9.78634, 8.91367, 8.91368, 8.91507
23-MAY-1989, 11.91788, 10.53707, 10.38183, 10.43198, 10.17134, 11.35692, 9.57226, 10.58629, 11.83986, 10.77353, 10.74391, 9.70040, 8.84161, 8.84228, 8.84366
24-MAY-1989, 11.91788, 10.71309, 10.53246, 10.56988, 10.07212, 11.23530, 9.47986, 10.47396, 11.69770, 10.76383, 10.73460, 9.69109, 8.83550, 8.83561, 8.83553
25-MAY-1989, 12.15562, 10.81743, 10.90899, 10.72375, 10.12959, 11.30658, 9.45587, 10.44198, 11.66155, 10.87476, 10.84187, 9.78145, 8.90978, 8.90925, 8.90898
26-MAY-1989, 12.21509, 11.25970, 10.67814, 10.41491, 10.10592, 11.27613, 9.42261, 10.40265, 11.61065, 10.85660, 10.82691, 9.76731, 8.89849, 8.89737, 8.89885
29-MAY-1989, 12.08421, 11.10801, 10.75162, 10.26656, 10.28283, 11.49584, 9.48018, 10.47446, 11.69904, 10.87230, 10.84117, 9.77959, 8.90870, 8.90879, 8.90817
30-MAY-1989, 11.88226, 11.10559, 10.62591, 10.20725, 10.26580, 11.47504, 9.53129, 10.53425, 11.77647, 10.83328, 10.80043, 9.74721, 8.88171, 8.88178, 8.88148
31-MAY-1989, 11.97817, 11.04840, 10.76719, 10.33433, 10.37595, 11.61189, 9.51377, 10.51413, 11.75032, 10.89057, 10.85623, 9.79381, 8.92005, 8.91946, 8.92053
01-JUN-1989, 11.81109, 10.97136, 10.74070, 10.42572, 10.39671, 11.63849, 9.59832, 10.61832, 11.87808, 10.89393, 10.86485, 9.79779, 8.92336, 8.92273, 8.92291
02-JUN-1989, 11.81109, 10.97136, 10.74070, 10.42572, 10.39671, 11.63849, 9.59832, 10.61832, 11.87808, 10.89393, 10.86485, 9.79779, 8.92336, 8.92273, 8.92291
05-JUN-1989, 11.36226, 11.24164, 10.54089, 10.22729, 10.25956, 11.46806, 9.52989, 10.53309, 11.77289, 10.74303, 10.71358, 9.67469, 8.82138, 8.82195, 8.82139
06-JUN-1989, 11.17407, 11.00056, 10.45117, 10.25536, 10.17975, 11.36797, 9.46894, 10.45896, 11.68110, 10.63883, 10.60757, 9.58942, 8.74962, 8.75135, 8.74921
07-JUN-1989, 11.31518, 10.91582, 10.51426, 10.18836, 10.21765, 11.41539, 9.50266, 10.50185, 11.73330, 10.67710, 10.64486, 9.62097, 8.77570, 8.77560, 8.77701
08-JUN-1989, 11.27977, 10.84871, 10.42293, 10.13646, 10.12642, 11.30215, 9.45153, 10.43812, 11.65579, 10.60957, 10.57900, 9.56554, 8.73001, 8.73053, 8.73093
