Date,1Y1Y,1Y2Y,1Y3Y,1Y4Y,1Y5Y,1Y6Y,1Y7Y,1Y8Y,1Y9Y,1Y10Y,1Y11Y,1Y12Y,1Y15Y,1Y20Y,1Y25Y
04-APR-1989, 12.93370, 12.25119, 11.90338, 11.67936, 11.43461, 11.48197, 11.22048, 11.15502, 11.24641, 11.25201, 11.25342, 11.15908, 11.13879, 11.24415, 11.30674
05-APR-1989, 12.82543, 12.18550, 11.88559, 11.67209, 11.44091, 11.49955, 11.24032, 11.17757, 11.27215, 11.27663, 11.27717, 11.18187, 11.15996, 11.26374, 11.32576
06-APR-1989, 12.86150, 12.16553, 11.87237, 11.69552, 11.45443, 11.50556, 11.24674, 11.18447, 11.27968, 11.28424, 11.28504, 11.18972, 11.16810, 11.27262, 11.33497
07-APR-1989, 13.07824, 12.33278, 11.97238, 11.71869, 11.48631, 11.54593, 11.28356, 11.21928, 11.31349, 11.31957, 11.32151, 11.22628, 11.20646, 11.31413, 11.37866
10-APR-1989, 13.13849, 12.33529, 12.04856, 11.80792, 11.55277, 11.59660, 11.32687, 11.25695, 11.34677, 11.35290, 11.35495, 11.25933, 11.23988, 11.34859, 11.41335
11-APR-1989, 13.11441, 12.31273, 11.99282, 11.77249, 11.51884, 11.56252, 11.29404, 11.22443, 11.31366, 11.31994, 11.32212, 11.22713, 11.20792, 11.31588, 11.38040
12-APR-1989, 13.15059, 12.29269, 11.97957, 11.74596, 11.50481, 11.55802, 11.29645, 11.23312, 11.32857, 11.33504, 11.33726, 11.24204, 11.22291, 11.33171, 11.39677
13-APR-1989, 13.11441, 12.31273, 11.97597, 11.74065, 11.49866, 11.55096, 11.30778, 11.26135, 11.37428, 11.37994, 11.38160, 11.28529, 11.26509, 11.37365, 11.43848
14-APR-1989, 13.15059, 12.34659, 11.99215, 11.75801, 11.51634, 11.56957, 11.32603, 11.28006, 11.39372, 11.39955, 11.40134, 11.30472, 11.28452, 11.39360, 11.45891
17-APR-1989, 12.82543, 12.04213, 11.76233, 11.54243, 11.34698, 11.43131, 11.21796, 11.19629, 11.33128, 11.33504, 11.33537, 11.23875, 11.21572, 11.31970, 11.38234
18-APR-1989, 12.82543, 12.04213, 11.77911, 11.55757, 11.33446, 11.39529, 11.19719, 11.18878, 11.33634, 11.34022, 11.34033, 11.24355, 11.22040, 11.32479, 11.38716
19-APR-1989, 12.34640, 11.86015, 11.60358, 11.43200, 11.23345, 11.31048, 11.10609, 11.08944, 11.22607, 11.22719, 11.22504, 11.12868, 11.10175, 11.19865, 11.25652
20-APR-1989, 12.34640, 11.84228, 11.60494, 11.41645, 11.21031, 11.28012, 11.07148, 11.04999, 11.18085, 11.18228, 11.18063, 11.08520, 11.05893, 11.15563, 11.21374
21-APR-1989, 12.77742, 11.94349, 11.70575, 11.53672, 11.33862, 11.42035, 11.20002, 11.17140, 11.29875, 11.30259, 11.30256, 11.20647, 11.18350, 11.28687, 11.34883
24-APR-1989, 12.48975, 11.78082, 11.53426, 11.34457, 11.16686, 11.25828, 11.05284, 11.03369, 11.16632, 11.16899, 11.16855, 11.07398, 11.04955, 11.14818, 11.20732
25-APR-1989, 12.52559, 11.88592, 11.56176, 11.34005, 11.16513, 11.25888, 11.06702, 11.06057, 11.20620, 11.20889, 11.20817, 11.11298, 11.08848, 11.18768, 11.24706
26-APR-1989, 12.51368, 11.87470, 11.56751, 11.32783, 11.15348, 11.24721, 11.05579, 11.04944, 11.19487, 11.19763, 11.19676, 11.10180, 11.07741, 11.17625, 11.23561
27-APR-1989, 12.48975, 11.85221, 11.54555, 11.30618, 11.13254, 11.22571, 11.04109, 11.04057, 11.19135, 11.19382, 11.19301, 11.09799, 11.07332, 11.17203, 11.23113
09-MAY-1989, 12.15562, 11.25416, 11.06042, 10.95340, 10.83194, 10.95569, 10.82467, 10.86675, 11.05406, 11.05531, 11.05322, 10.95973, 10.93332, 11.02640, 11.08228
11-MAY-1989, 12.57355, 11.57460, 11.39904, 11.30759, 11.15112, 11.25950, 11.07235, 11.07052, 11.22091, 11.22379, 11.22333, 11.12801, 11.10377, 11.20356, 11.26362
12-MAY-1989, 12.40605, 11.48887, 11.27359, 11.16559, 11.03069, 11.15172, 10.99133, 11.01134, 11.18159, 11.18350, 11.18230, 11.08705, 11.06138, 11.15890, 11.21726
15-MAY-1989, 11.75193, 11.06905, 10.87307, 10.77157, 10.67279, 10.80883, 10.68275, 10.72510, 10.90879, 10.90819, 10.90474, 10.81251, 10.78353, 10.87037, 10.92265
16-MAY-1989, 11.97720, 11.31661, 11.11136, 11.02162, 10.87078, 10.97196, 10.80669, 10.81690, 10.97187, 10.97248, 10.97007, 10.87746, 10.85012, 10.94053, 10.99479
17-MAY-1989, 12.08421, 11.36413, 11.11431, 10.94988, 10.81849, 10.93347, 10.77248, 10.78564, 10.94264, 10.94430, 10.94279, 10.85133, 10.82589, 10.91747, 10.97248
18-MAY-1989, 12.15562, 11.36035, 11.11887, 10.97492, 10.82656, 10.92814, 10.75085, 10.74844, 10.88941, 10.89221, 10.89148, 10.80144, 10.77772, 10.87007, 10.92550
19-MAY-1989, 12.16749, 11.38924, 11.12849, 10.98475, 10.83633, 10.93824, 10.75443, 10.74653, 10.88200, 10.88493, 10.88440, 10.79455, 10.77109, 10.86368, 10.91926
22-MAY-1989, 12.03656, 11.33707, 11.05269, 10.92337, 10.79154, 10.90517, 10.72611, 10.72177, 10.85977, 10.86192, 10.86079, 10.77085, 10.74615, 10.83655, 10.89088
23-MAY-1989, 11.91788, 11.22533, 10.94345, 10.81536, 10.68626, 10.79775, 10.62185, 10.61740, 10.75257, 10.75466, 10.75368, 10.66553, 10.64124, 10.72939, 10.78255
24-MAY-1989, 11.91788, 11.31385, 11.05278, 10.93185, 10.75937, 10.83855, 10.64343, 10.62223, 10.74121, 10.74347, 10.74267, 10.65465, 10.63043, 10.71883, 10.77194
25-MAY-1989, 12.15562, 11.48452, 11.29235, 11.14992, 10.94510, 11.00527, 10.78259, 10.73996, 10.84198, 10.84526, 10.84495, 10.75593, 10.73305, 10.82515, 10.88029
26-MAY-1989, 12.21509, 11.73637, 11.38251, 11.13982, 10.93226, 10.98950, 10.76429, 10.71902, 10.81774, 10.82162, 10.82210, 10.73382, 10.71200, 10.80486, 10.86036
29-MAY-1989, 12.08421, 11.59504, 11.31319, 11.05061, 10.89662, 10.99627, 10.77841, 10.74037, 10.84648, 10.84906, 10.84834, 10.75888, 10.73500, 10.82621, 10.88098
30-MAY-1989, 11.88226, 11.49325, 11.20338, 10.95351, 10.81562, 10.92525, 10.72504, 10.70117, 10.82014, 10.82145, 10.81954, 10.72978, 10.70394, 10.79224, 10.84525
