Date,1Y1Y,2Y1Y,3Y1Y,4Y1Y,5Y1Y,6Y1Y,7Y1Y,8Y1Y,9Y1Y,10Y1Y,11Y1Y,12Y1Y,15Y1Y,20Y1Y,25Y1Y
04-APR-1989, 12.29336, 11.55994, 11.20275, 11.00281, 11.07333, 11.01606, 10.61693, 10.50989, 10.97974, 11.25158, 11.21636, 11.21524, 11.23432, 11.21765, 11.21296
05-APR-1989, 12.20359, 11.53700, 11.27959, 11.02637, 11.12502, 11.09920, 10.67882, 10.54551, 11.00044, 11.26576, 11.23127, 11.23000, 11.24845, 11.23177, 11.22630
06-APR-1989, 12.21003, 11.46193, 11.28089, 11.15868, 11.14124, 11.01979, 10.63850, 10.56423, 11.06556, 11.27596, 11.24185, 11.24255, 11.25555, 11.24378, 11.23768
07-APR-1989, 12.39903, 11.57945, 11.24666, 10.95417, 11.13981, 11.17982, 10.73789, 10.56791, 11.00409, 11.32121, 11.28692, 11.28341, 11.30544, 11.28750, 11.28190
10-APR-1989, 12.41384, 11.52647, 11.46923, 11.08052, 11.13685, 11.12788, 10.70932, 10.57267, 11.03089, 11.35507, 11.32365, 11.31863, 11.33881, 11.32257, 11.31616
11-APR-1989, 12.39900, 11.50484, 11.34826, 11.10615, 11.13282, 11.06577, 10.65911, 10.54709, 11.01991, 11.32554, 11.29000, 11.28727, 11.30822, 11.28996, 11.28570
12-APR-1989, 12.40244, 11.43004, 11.34867, 11.04019, 11.13782, 11.14372, 10.72887, 10.59387, 11.05640, 11.33999, 11.30784, 11.30491, 11.32218, 11.30659, 11.30071
13-APR-1989, 12.40131, 11.50465, 11.29784, 11.03011, 11.12300, 11.13827, 10.79922, 10.75281, 11.28757, 11.37831, 11.34666, 11.35257, 11.35750, 11.34939, 11.33857
14-APR-1989, 12.43788, 11.53586, 11.27904, 11.05125, 11.14794, 11.15441, 10.81601, 10.77300, 11.31351, 11.39930, 11.36762, 11.37319, 11.37678, 11.36977, 11.35947
17-APR-1989, 12.12537, 11.25367, 11.19744, 10.87788, 11.10013, 11.24284, 10.91372, 10.85330, 11.39351, 11.31748, 11.28498, 11.29809, 11.29222, 11.29078, 11.27855
18-APR-1989, 12.12249, 11.25391, 11.24752, 10.88741, 10.98100, 11.08650, 10.87839, 10.95987, 11.60718, 11.32254, 11.29288, 11.31505, 11.29291, 11.30000, 11.28401
19-APR-1989, 11.82058, 11.36443, 11.08358, 10.91151, 11.01679, 11.03769, 10.76999, 10.79933, 11.39119, 11.18764, 11.15788, 11.17560, 11.15944, 11.16403, 11.14824
20-APR-1989, 11.80688, 11.32932, 11.12297, 10.84516, 10.94741, 10.99003, 10.71340, 10.72531, 11.29780, 11.14811, 11.11630, 11.13173, 11.12019, 11.12303, 11.10890
21-APR-1989, 12.04846, 11.10616, 11.22563, 11.02304, 11.12893, 11.16439, 10.83035, 10.78576, 11.32524, 11.28402, 11.25336, 11.26400, 11.25898, 11.25774, 11.24362
24-APR-1989, 11.83918, 11.06636, 11.03563, 10.77019, 10.98725, 11.10998, 10.77781, 10.71237, 11.23151, 11.14437, 11.11362, 11.12518, 11.11699, 11.11925, 11.10557
25-APR-1989, 11.92197, 11.23818, 10.90820, 10.67153, 10.97252, 11.14970, 10.85841, 10.82993, 11.38930, 11.18355, 11.15288, 11.16975, 11.15434, 11.15976, 11.14286
26-APR-1989, 11.90669, 11.22801, 10.94725, 10.60559, 10.93934, 11.16528, 10.86414, 10.81781, 11.36037, 11.17106, 11.14226, 11.15864, 11.14351, 11.14811, 11.13284
27-APR-1989, 11.88466, 11.20699, 10.92639, 10.58491, 10.91514, 11.14806, 10.87346, 10.85177, 11.41783, 11.16635, 11.13694, 11.15700, 11.13817, 11.14332, 11.12742
09-MAY-1989, 11.41437, 10.35297, 10.67028, 10.62603, 10.83888, 11.01331, 10.86493, 11.00215, 11.68568, 11.01702, 10.98776, 11.02530, 10.97808, 11.00047, 10.97760
11-MAY-1989, 11.76056, 10.57776, 11.04543, 11.02533, 11.10855, 11.13568, 10.85776, 10.87980, 11.47605, 11.19751, 11.16804, 11.18850, 11.16674, 11.17500, 11.15799
12-MAY-1989, 11.64962, 10.57143, 10.84040, 10.83510, 11.02867, 11.14353, 10.91670, 10.97934, 11.61310, 11.14957, 11.12005, 11.14903, 11.11572, 11.13026, 11.10910
15-MAY-1989, 11.14288, 10.38226, 10.47722, 10.46163, 10.75295, 10.94838, 10.76819, 10.85962, 11.49822, 10.85407, 10.83088, 10.86436, 10.81558, 10.84143, 10.81424
16-MAY-1989, 11.37269, 10.65090, 10.69683, 10.74590, 10.83033, 10.83744, 10.63253, 10.72966, 11.35996, 10.93023, 10.90151, 10.92804, 10.89667, 10.91172, 10.89198
