Date,1Y1Y,2Y1Y,3Y1Y,4Y1Y,5Y1Y,6Y1Y,7Y1Y,8Y1Y,9Y1Y,10Y1Y,11Y1Y,12Y1Y,15Y1Y,20Y1Y,25Y1Y
16-NOV-1990, 8.52216, 7.56509, 6.91552, 7.67277, 6.79693, 7.25287, 6.72878, 7.20063, 7.78268, 7.42476, 7.41981, 6.91274, 6.47871, 6.48697, 6.50518
19-NOV-1990, 8.52613, 7.55948, 6.91174, 7.67734, 6.79159, 7.25576, 6.72565, 7.20347, 7.78600, 7.42271, 7.41981, 6.90973, 6.46965, 6.47383, 6.49205
20-NOV-1990, 8.52613, 7.55948, 6.91174, 7.67734, 6.79159, 7.25576, 6.72565, 7.20347, 7.78600, 7.42271, 7.41981, 6.90973, 6.46965, 6.47383, 6.49205
21-NOV-1990, 8.52613, 7.55948, 6.91174, 7.67734, 6.79159, 7.25576, 6.72565, 7.20347, 7.78600, 7.42271, 7.41981, 6.90973, 6.46965, 6.47383, 6.49205
22-NOV-1990, 8.53304, 7.63892, 6.81402, 7.67157, 6.79717, 7.25295, 6.72894, 7.20068, 7.78263, 7.42318, 7.41971, 6.91197, 6.47800, 6.48673, 6.50364
23-NOV-1990, 8.53304, 7.67087, 6.82400, 7.68155, 6.76731, 7.21911, 6.72775, 7.20183, 7.78257, 7.42161, 7.41780, 6.91111, 6.47722, 6.48556, 6.50325
26-NOV-1990, 8.55881, 7.58931, 6.85315, 7.68693, 6.76179, 7.22199, 6.72485, 7.20469, 7.78586, 7.41955, 7.41780, 6.90811, 6.46762, 6.47236, 6.49004
27-NOV-1990, 8.59139, 7.68343, 6.94644, 7.63152, 6.72085, 7.17419, 6.66822, 7.13813, 7.70883, 7.40967, 7.40821, 6.89895, 6.46092, 6.46474, 6.48187
28-NOV-1990, 8.64587, 7.63672, 7.01011, 7.77721, 6.76685, 7.22640, 6.89688, 7.40217, 8.01843, 7.52634, 7.52512, 6.99991, 6.54932, 6.55333, 6.57065
29-NOV-1990, 8.67444, 7.70439, 7.05331, 7.75506, 6.76142, 7.21023, 6.87863, 7.37662, 7.98685, 7.53393, 7.52933, 7.00766, 6.56204, 6.57051, 6.58756
30-NOV-1990, 8.67444, 7.70439, 7.05331, 7.75506, 6.76142, 7.21023, 6.87863, 7.37662, 7.98685, 7.53393, 7.52933, 7.00766, 6.56204, 6.57051, 6.58756
03-DEC-1990, 8.66766, 7.65661, 6.94157, 7.77682, 6.76711, 7.22650, 6.78478, 7.27324, 7.86713, 7.48623, 7.48374, 6.96543, 6.51884, 6.52197, 6.54080
04-DEC-1990, 8.67855, 7.63441, 6.94153, 7.77682, 6.76717, 7.22652, 6.78482, 7.27325, 7.86711, 7.48623, 7.48375, 6.96543, 6.51829, 6.52189, 6.54073
05-DEC-1990, 8.68945, 7.74081, 6.80471, 7.77603, 6.76679, 7.22741, 6.78503, 7.27331, 7.86704, 7.48464, 7.48365, 6.96398, 6.51751, 6.52159, 6.53909
06-DEC-1990, 8.67444, 7.80035, 6.77654, 7.76982, 6.77287, 7.22455, 6.78765, 7.27041, 7.86366, 7.48680, 7.48364, 6.96704, 6.52672, 6.53496, 6.55379
07-DEC-1990, 8.64178, 7.77047, 6.79088, 7.75025, 6.83172, 7.29295, 6.78887, 7.26915, 7.86385, 7.48994, 7.48565, 6.97071, 6.52900, 6.53754, 6.55613
10-DEC-1990, 8.56960, 7.79224, 6.74600, 7.77386, 6.79889, 7.26379, 6.68520, 7.15737, 7.73182, 7.43274, 7.43193, 6.91998, 6.47839, 6.48252, 6.50074
11-DEC-1990, 8.53702, 7.79455, 6.81442, 7.77427, 6.79859, 7.26369, 6.68498, 7.15729, 7.73187, 7.43432, 7.43202, 6.92074, 6.47964, 6.48369, 6.50113
12-DEC-1990, 8.53702, 7.79455, 6.81442, 7.77427, 6.79859, 7.26369, 6.68498, 7.15729, 7.73187, 7.43432, 7.43202, 6.92074, 6.47964, 6.48369, 6.50113
13-DEC-1990, 8.58736, 7.68870, 6.81936, 7.76854, 6.80475, 7.26090, 6.68861, 7.15456, 7.72856, 7.43441, 7.43192, 6.92299, 6.48802, 6.49578, 6.51399
