Date,1Y1Y,1Y2Y,1Y3Y,1Y4Y,1Y5Y,1Y6Y,1Y7Y,1Y8Y,1Y9Y,1Y10Y,1Y11Y,1Y12Y,1Y15Y,1Y20Y,1Y25Y
16-NOV-1990, 8.52216, 8.04256, 7.66557, 7.66737, 7.49272, 7.45271, 7.34899, 7.33043, 7.38059, 7.38500, 7.38817, 7.34847, 7.33987, 7.38105, 7.40653
19-NOV-1990, 8.52613, 8.04172, 7.66374, 7.66714, 7.49146, 7.45214, 7.34805, 7.32997, 7.38054, 7.38476, 7.38794, 7.34801, 7.33933, 7.38065, 7.40620
20-NOV-1990, 8.52613, 8.04172, 7.66374, 7.66714, 7.49146, 7.45214, 7.34805, 7.32997, 7.38054, 7.38476, 7.38794, 7.34801, 7.33933, 7.38065, 7.40620
21-NOV-1990, 8.52613, 8.04172, 7.66374, 7.66714, 7.49146, 7.45214, 7.34805, 7.32997, 7.38054, 7.38476, 7.38794, 7.34801, 7.33933, 7.38065, 7.40620
22-NOV-1990, 8.53304, 8.08505, 7.65970, 7.66267, 7.48901, 7.44963, 7.34638, 7.32816, 7.37856, 7.38302, 7.38635, 7.34674, 7.33832, 7.37967, 7.40531
23-NOV-1990, 8.53304, 8.10110, 7.67371, 7.67567, 7.49338, 7.44762, 7.34449, 7.32665, 7.37721, 7.38165, 7.38493, 7.34537, 7.33702, 7.37841, 7.40402
26-NOV-1990, 8.55881, 8.07297, 7.66483, 7.67035, 7.48802, 7.44364, 7.34066, 7.32365, 7.37491, 7.37938, 7.38287, 7.34322, 7.33510, 7.37681, 7.40271
27-NOV-1990, 8.59139, 8.13646, 7.73832, 7.71161, 7.51273, 7.45623, 7.34330, 7.31763, 7.36103, 7.36589, 7.36974, 7.33043, 7.32289, 7.36533, 7.39144
28-NOV-1990, 8.64587, 8.14012, 7.76213, 7.76590, 7.56534, 7.50878, 7.42115, 7.41878, 7.48524, 7.48935, 7.49260, 7.45146, 7.44243, 7.48507, 7.51132
29-NOV-1990, 8.67444, 8.18833, 7.80866, 7.79525, 7.58769, 7.52469, 7.43216, 7.42521, 7.48747, 7.49212, 7.49550, 7.45476, 7.44626, 7.48911, 7.51552
30-NOV-1990, 8.67444, 8.18833, 7.80866, 7.79525, 7.58769, 7.52469, 7.43216, 7.42521, 7.48747, 7.49212, 7.49550, 7.45476, 7.44626, 7.48911, 7.51552
03-DEC-1990, 8.66766, 8.16095, 7.75295, 7.75892, 7.55982, 7.50420, 7.40113, 7.38513, 7.43858, 7.44334, 7.44702, 7.40680, 7.39892, 7.44201, 7.46839
04-DEC-1990, 8.67855, 8.15522, 7.74914, 7.75606, 7.55755, 7.50231, 7.39952, 7.38372, 7.43733, 7.44222, 7.44599, 7.40586, 7.39814, 7.44125, 7.46776
05-DEC-1990, 8.68945, 8.21409, 7.74224, 7.75069, 7.55319, 7.49882, 7.39656, 7.38115, 7.43503, 7.43999, 7.44396, 7.40387, 7.39625, 7.43960, 7.46630
06-DEC-1990, 8.67444, 8.23651, 7.74765, 7.75319, 7.55641, 7.50103, 7.39883, 7.38277, 7.43609, 7.44116, 7.44502, 7.40511, 7.39742, 7.44047, 7.46706
07-DEC-1990, 8.64178, 8.20525, 7.73172, 7.73636, 7.55482, 7.51113, 7.40765, 7.39033, 7.44284, 7.44755, 7.45101, 7.41090, 7.40282, 7.44531, 7.47162
10-DEC-1990, 8.56960, 8.18022, 7.70002, 7.71847, 7.53393, 7.48886, 7.37368, 7.34662, 7.38935, 7.39369, 7.39716, 7.35732, 7.34907, 7.39091, 7.41677
11-DEC-1990, 8.53702, 8.16515, 7.71302, 7.72833, 7.54173, 7.49534, 7.37920, 7.35144, 7.39364, 7.39771, 7.40083, 7.36074, 7.35202, 7.39354, 7.41916
12-DEC-1990, 8.53702, 8.16515, 7.71302, 7.72833, 7.54173, 7.49534, 7.37920, 7.35144, 7.39364, 7.39771, 7.40083, 7.36074, 7.35202, 7.39354, 7.41916
13-DEC-1990, 8.58736, 8.13709, 7.69605, 7.71417, 7.53167, 7.48649, 7.37215, 7.34492, 7.38748, 7.39217, 7.39579, 7.35631, 7.34847, 7.39063, 7.41656
14-DEC-1990, 8.59824, 8.17963, 7.71958, 7.73672, 7.54563, 7.49412, 7.37990, 7.35294, 7.39587, 7.40056, 7.40415, 7.36462, 7.35683, 7.39902, 7.42502
17-DEC-1990, 8.60228, 8.21150, 7.73067, 7.74896, 7.55600, 7.50501, 7.39001, 7.36336, 7.40676, 7.41119, 7.41472, 7.37471, 7.36655, 7.40885, 7.43493
18-DEC-1990, 8.60228, 8.21150, 7.73067, 7.74896, 7.55600, 7.50501, 7.39001, 7.36336, 7.40676, 7.41119, 7.41472, 7.37471, 7.36655, 7.40885, 7.43493
19-DEC-1990, 8.56960, 8.21255, 7.74288, 7.75817, 7.56331, 7.51108, 7.39519, 7.36788, 7.41078, 7.41497, 7.41816, 7.37793, 7.36930, 7.41118, 7.43705
20-DEC-1990, 8.56559, 8.24477, 7.74359, 7.75702, 7.56364, 7.51089, 7.39550, 7.36780, 7.41035, 7.41475, 7.41796, 7.37795, 7.36937, 7.41116, 7.43681
21-DEC-1990, 8.62001, 8.26476, 7.79610, 7.80909, 7.59890, 7.53401, 7.40821, 7.37194, 7.40677, 7.41150, 7.41520, 7.37555, 7.36776, 7.41018, 7.43631
24-DEC-1990, 8.64587, 8.28557, 7.81444, 7.82934, 7.61737, 7.55341, 7.42683, 7.39101, 7.42660, 7.43121, 7.43493, 7.39477, 7.38672, 7.42955, 7.45605
27-DEC-1990, 8.64178, 8.30170, 7.81583, 7.82879, 7.62613, 7.56767, 7.44078, 7.40406, 7.43911, 7.44376, 7.44725, 7.40715, 7.39908, 7.44180, 7.46805
28-DEC-1990, 8.64178, 8.30170, 7.81583, 7.82879, 7.62613, 7.56767, 7.44078, 7.40406, 7.43911, 7.44376, 7.44725, 7.40715, 7.39908, 7.44180, 7.46805
31-DEC-1990, 8.64587, 8.30175, 7.81366, 7.82870, 7.62477, 7.56702, 7.43972, 7.40348, 7.43896, 7.44349, 7.44701, 7.40667, 7.39848, 7.44118, 7.46754
02-JAN-1991, 8.64587, 8.30175, 7.81366, 7.82870, 7.62477, 7.56702, 7.43972, 7.40348, 7.43896, 7.44349, 7.44701, 7.40667, 7.39848, 7.44118, 7.46754
03-JAN-1991, 8.65267, 8.29605, 7.84150, 7.82446, 7.62249, 7.56465, 7.43823, 7.40184, 7.43714, 7.44182, 7.44548, 7.40547, 7.39755, 7.44039, 7.46666
04-JAN-1991, 8.64178, 8.30170, 7.84531, 7.82731, 7.62476, 7.56654, 7.43983, 7.40324, 7.43838, 7.44294, 7.44650, 7.40646, 7.39843, 7.44096, 7.46732
07-JAN-1991, 8.70024, 8.28913, 7.86786, 7.85308, 7.62607, 7.55100, 7.42592, 7.39145, 7.42839, 7.43350, 7.43741, 7.39755, 7.39029, 7.43381, 7.46059
08-JAN-1991, 8.70024, 8.28913, 7.86786, 7.85308, 7.62607, 7.55100, 7.42592, 7.39145, 7.42839, 7.43350, 7.43741, 7.39755, 7.39029, 7.43381, 7.46059
09-JAN-1991, 8.71114, 8.31573, 7.87730, 7.87709, 7.63340, 7.54551, 7.42124, 7.38738, 7.42476, 7.42992, 7.43414, 7.39437, 7.38724, 7.43085, 7.45780
10-JAN-1991, 8.71788, 8.34248, 7.90352, 7.88604, 7.63590, 7.54150, 7.41817, 7.38437, 7.42172, 7.42716, 7.43129, 7.39188, 7.38509, 7.42887, 7.45568
11-JAN-1991, 8.69611, 8.33771, 7.89711, 7.86434, 7.63041, 7.54837, 7.42410, 7.38953, 7.42631, 7.43146, 7.43553, 7.39590, 7.38867, 7.43210, 7.45887
14-JAN-1991, 8.72203, 8.34235, 7.85708, 7.83033, 7.61392, 7.54671, 7.42230, 7.38830, 7.42558, 7.43082, 7.43496, 7.39524, 7.38830, 7.43222, 7.45907
15-JAN-1991, 8.70024, 8.35386, 7.86473, 7.83606, 7.61847, 7.55049, 7.42552, 7.39111, 7.42809, 7.43307, 7.43717, 7.39728, 7.38995, 7.43353, 7.46034
16-JAN-1991, 8.64587, 8.30175, 7.79885, 7.77166, 7.55605, 7.48801, 7.36999, 7.34064, 7.38108, 7.38612, 7.39014, 7.35083, 7.34373, 7.38674, 7.41311
17-JAN-1991, 8.58736, 8.24955, 7.75001, 7.69257, 7.48878, 7.42681, 7.31596, 7.29095, 7.33454, 7.33976, 7.34381, 7.30521, 7.29829, 7.34074, 7.36673
18-JAN-1991, 8.56559, 8.22869, 7.71487, 7.65867, 7.45628, 7.39444, 7.28987, 7.26986, 7.31742, 7.32271, 7.32669, 7.28832, 7.28150, 7.32360, 7.34956
21-JAN-1991, 8.53702, 8.19748, 7.68191, 7.62770, 7.42493, 7.36359, 7.25935, 7.23984, 7.28729, 7.29242, 7.29643, 7.25818, 7.25140, 7.29332, 7.31917
22-JAN-1991, 8.44998, 8.11407, 7.57069, 7.51936, 7.35118, 7.31439, 7.20463, 7.17909, 7.22017, 7.22516, 7.22928, 7.19166, 7.18484, 7.22590, 7.25125
23-JAN-1991, 8.40652, 8.07240, 7.44148, 7.45472, 7.28867, 7.25177, 7.14352, 7.11830, 7.15854, 7.16387, 7.16798, 7.13120, 7.12497, 7.16579, 7.19090
24-JAN-1991, 8.26174, 7.92107, 7.35664, 7.33610, 7.12608, 7.05077, 6.95457, 6.93596, 6.97887, 6.98493, 6.98957, 6.95528, 6.95053, 6.99027, 7.01484
25-JAN-1991, 8.04513, 7.53737, 7.21830, 7.20816, 7.03467, 6.98499, 6.89657, 6.88327, 6.93019, 6.93490, 6.93854, 6.90396, 6.89733, 6.93432, 6.95720
28-JAN-1991, 8.10278, 7.62015, 7.33982, 7.29659, 7.06467, 6.97290, 6.85530, 6.81708, 6.84074, 6.84650, 6.85126, 6.81822, 6.81380, 6.85214, 6.87579
29-JAN-1991, 8.07034, 7.58902, 7.25033, 7.24049, 7.01066, 6.91936, 6.80853, 6.77538, 6.80271, 6.80861, 6.81354, 6.78093, 6.77672, 6.81479, 6.83822
30-JAN-1991, 7.97290, 7.52767, 7.21584, 7.20225, 6.94769, 6.83623, 6.71679, 6.67475, 6.69281, 6.69894, 6.70395, 6.67264, 6.66919, 6.70668, 6.72969
31-JAN-1991, 8.07755, 7.55253, 7.32272, 7.26427, 7.05760, 6.98339, 6.87519, 6.84474, 6.87566, 6.88114, 6.88542, 6.85190, 6.84662, 6.88425, 6.90758
01-FEB-1991, 8.04513, 7.61716, 7.36141, 7.26966, 7.03852, 6.94560, 6.84418, 6.81928, 6.85470, 6.86017, 6.86438, 6.83103, 6.82570, 6.86300, 6.88617
04-FEB-1991, 7.99456, 7.56450, 7.27970, 7.24838, 6.98405, 6.86612, 6.78300, 6.77327, 6.82138, 6.82659, 6.83073, 6.79744, 6.79196, 6.82897, 6.85177
05-FEB-1991, 7.95123, 7.57110, 7.28085, 7.23243, 6.95975, 6.83524, 6.75279, 6.74302, 6.79083, 6.79595, 6.79999, 6.76701, 6.76157, 6.79811, 6.82085
06-FEB-1991, 7.88635, 7.50879, 7.24899, 7.19866, 6.92536, 6.79968, 6.73314, 6.73678, 6.79621, 6.80077, 6.80448, 6.77104, 6.76461, 6.80030, 6.82232
07-FEB-1991, 7.79660, 7.37844, 7.09721, 7.08020, 6.89684, 6.83661, 6.74417, 6.72491, 6.76388, 6.76821, 6.77127, 6.73820, 6.73144, 6.76594, 6.78734
08-FEB-1991, 7.81824, 7.41515, 7.11701, 7.05740, 6.89187, 6.84548, 6.75839, 6.74387, 6.78732, 6.79164, 6.79473, 6.76135, 6.75438, 6.78899, 6.81050
11-FEB-1991, 7.75672, 7.40026, 7.05227, 7.02282, 6.84833, 6.79532, 6.71411, 6.70445, 6.75172, 6.75561, 6.75867, 6.72531, 6.71801, 6.75214, 6.77338
12-FEB-1991, 7.83236, 7.36072, 7.11391, 7.08428, 6.86209, 6.77339, 6.69517, 6.68804, 6.73708, 6.74183, 6.74548, 6.71277, 6.70675, 6.74187, 6.76366
13-FEB-1991, 7.75672, 7.27211, 7.01378, 6.95825, 6.77970, 6.72214, 6.65975, 6.66525, 6.72536, 6.72958, 6.73279, 6.69990, 6.69315, 6.72740, 6.74860
14-FEB-1991, 7.45181, 7.04680, 6.72717, 6.71511, 6.60902, 6.60139, 6.53151, 6.52760, 6.57707, 6.58039, 6.58276, 6.55085, 6.54289, 6.57388, 6.59302
15-FEB-1991, 7.39811, 6.91576, 6.69368, 6.66652, 6.56837, 6.56600, 6.50153, 6.50158, 6.55418, 6.55729, 6.55938, 6.52764, 6.51951, 6.54970, 6.56851
18-FEB-1991, 7.36879, 6.93123, 6.70370, 6.66036, 6.55336, 6.54482, 6.46981, 6.46141, 6.50550, 6.50861, 6.51083, 6.47946, 6.47162, 6.50190, 6.52071
19-FEB-1991, 7.41187, 6.95669, 6.70135, 6.66102, 6.57116, 6.57601, 6.50575, 6.50167, 6.55039, 6.55332, 6.55559, 6.52373, 6.51566, 6.54630, 6.56532
20-FEB-1991, 7.50871, 7.12972, 6.78979, 6.77787, 6.67760, 6.67669, 6.56751, 6.53140, 6.55231, 6.55593, 6.55885, 6.52747, 6.52063, 6.55249, 6.57227
21-FEB-1991, 7.55944, 7.19808, 6.82729, 6.81485, 6.69988, 6.68727, 6.57955, 6.54426, 6.56597, 6.56999, 6.57326, 6.54211, 6.53575, 6.56823, 6.58829
22-FEB-1991, 7.59174, 7.22917, 6.82880, 6.81828, 6.69681, 6.67921, 6.57789, 6.54809, 6.57463, 6.57897, 6.58219, 6.55107, 6.54502, 6.57792, 6.59816
25-FEB-1991, 7.61654, 7.26543, 6.84655, 6.83766, 6.70754, 6.68482, 6.58343, 6.55430, 6.58182, 6.58620, 6.58950, 6.55818, 6.55217, 6.58543, 6.60605
26-FEB-1991, 7.71361, 7.34276, 6.90967, 6.90242, 6.78016, 6.76485, 6.66200, 6.63294, 6.66163, 6.66601, 6.66946, 6.63733, 6.63110, 6.66526, 6.68631
27-FEB-1991, 7.71278, 7.39045, 6.90740, 6.89557, 6.77686, 6.76375, 6.66108, 6.63199, 6.66079, 6.66510, 6.66863, 6.63653, 6.63033, 6.66437, 6.68547
28-FEB-1991, 7.84973, 7.47773, 7.05858, 7.04279, 6.86751, 6.81212, 6.70086, 6.66485, 6.68790, 6.69315, 6.69748, 6.66582, 6.66098, 6.69671, 6.71883
01-MAR-1991, 7.82829, 7.46705, 7.05148, 7.04260, 6.86326, 6.80858, 6.69783, 6.66454, 6.68554, 6.69103, 6.69555, 6.66559, 6.65957, 6.69652, 6.71798
04-MAR-1991, 7.77778, 7.49495, 7.02437, 7.01580, 6.85072, 6.80793, 6.70102, 6.67151, 6.69606, 6.70105, 6.70501, 6.67443, 6.66747, 6.70363, 6.72467
