Date,1Y1Y,2Y1Y,3Y1Y,4Y1Y,5Y1Y,6Y1Y,7Y1Y,8Y1Y,9Y1Y,10Y1Y,11Y1Y,12Y1Y,15Y1Y,20Y1Y,25Y1Y
16-NOV-1990, 8.21178, 7.56464, 6.90685, 7.67722, 7.26221, 6.75848, 6.85815, 7.17472, 7.65637, 7.41526, 7.41129, 7.42498, 7.40954, 7.41638, 7.42829
19-NOV-1990, 8.21087, 7.55959, 6.90780, 7.67962, 7.25796, 6.75763, 6.85945, 7.17736, 7.65710, 7.41399, 7.41170, 7.42437, 7.40894, 7.41652, 7.42810
20-NOV-1990, 8.21087, 7.55959, 6.90780, 7.67962, 7.25796, 6.75763, 6.85945, 7.17736, 7.65710, 7.41399, 7.41170, 7.42437, 7.40894, 7.41652, 7.42810
21-NOV-1990, 8.21087, 7.55959, 6.90780, 7.67962, 7.25796, 6.75763, 6.85945, 7.17736, 7.65710, 7.41399, 7.41170, 7.42437, 7.40894, 7.41652, 7.42810
22-NOV-1990, 8.24898, 7.64026, 6.80402, 7.67594, 7.27424, 6.74640, 6.85099, 7.17641, 7.66285, 7.41532, 7.41128, 7.42430, 7.40770, 7.41618, 7.42797
23-NOV-1990, 8.25798, 7.67258, 6.81387, 7.68605, 7.24993, 6.70650, 6.83040, 7.18028, 7.68234, 7.41390, 7.41112, 7.42481, 7.40593, 7.41611, 7.42657
26-NOV-1990, 8.24824, 7.58979, 6.84882, 7.68933, 7.24092, 6.71034, 6.83504, 7.18222, 7.68041, 7.41252, 7.40977, 7.42357, 7.40617, 7.41449, 7.42592
27-NOV-1990, 8.29221, 7.68391, 6.94257, 7.63368, 7.18452, 6.67887, 6.78964, 7.11331, 7.59308, 7.40115, 7.40200, 7.41169, 7.39674, 7.40535, 7.41612
28-NOV-1990, 8.31586, 7.63669, 7.00614, 7.77986, 7.24346, 6.71669, 6.93997, 7.39298, 7.97672, 7.51927, 7.51859, 7.53908, 7.50860, 7.52480, 7.53178
29-NOV-1990, 8.35596, 7.70380, 7.04484, 7.75996, 7.23163, 6.70923, 6.92390, 7.36528, 7.94292, 7.52632, 7.52221, 7.54259, 7.51503, 7.52915, 7.53768
