Date,1Y1Y,1Y2Y,1Y3Y,1Y4Y,1Y5Y,1Y6Y,1Y7Y,1Y8Y,1Y9Y,1Y10Y,1Y11Y,1Y12Y,1Y15Y,1Y20Y,1Y25Y
19-SEP-1996, 12.69176, 12.11585, 11.97841, 11.93339, 11.90543, 11.88671, 11.87831, 11.86773, 11.85948, 11.85293, 11.85070, 11.74294, 11.70845, 11.81312, 11.87590
20-SEP-1996, 12.69176, 12.11585, 11.97841, 11.93339, 11.90543, 11.88671, 11.87831, 11.86773, 11.85948, 11.85293, 11.85070, 11.74294, 11.70845, 11.81312, 11.87590
23-SEP-1996, 12.70059, 12.11662, 11.97922, 11.93420, 11.90638, 11.88771, 11.87938, 11.86871, 11.86060, 11.85398, 11.85170, 11.74333, 11.70867, 11.81371, 11.87653
24-SEP-1996, 12.75698, 12.16972, 11.99170, 11.87103, 11.84717, 11.83152, 11.82505, 11.81600, 11.80901, 11.80341, 11.80198, 11.69497, 11.66182, 11.76726, 11.83028
25-SEP-1996, 12.75698, 12.16972, 11.99170, 11.87103, 11.84717, 11.83152, 11.82505, 11.81600, 11.80901, 11.80341, 11.80198, 11.69497, 11.66182, 11.76726, 11.83028
26-SEP-1996, 12.74807, 12.16893, 11.99112, 11.87074, 11.84632, 11.83061, 11.82422, 11.81524, 11.80811, 11.80257, 11.80095, 11.69463, 11.66180, 11.76678, 11.82938
27-SEP-1996, 12.74807, 12.16893, 11.99112, 11.87074, 11.84632, 11.83061, 11.82422, 11.81524, 11.80811, 11.80257, 11.80095, 11.69463, 11.66180, 11.76678, 11.82938
30-SEP-1996, 12.75698, 12.16972, 11.99170, 11.87103, 11.84717, 11.83152, 11.82505, 11.81600, 11.80901, 11.80341, 11.80198, 11.69497, 11.66182, 11.76726, 11.83028
01-OCT-1996, 12.75698, 12.16972, 11.99170, 11.87103, 11.84717, 11.83152, 11.82505, 11.81600, 11.80901, 11.80341, 11.80198, 11.69497, 11.66182, 11.76726, 11.83028
02-OCT-1996, 12.75698, 12.16972, 11.99170, 11.87103, 11.84717, 11.83152, 11.82505, 11.81600, 11.80901, 11.80341, 11.80198, 11.69497, 11.66182, 11.76726, 11.83028
03-OCT-1996, 12.74807, 12.16893, 11.99112, 11.87074, 11.84632, 11.83061, 11.82422, 11.81524, 11.80811, 11.80257, 11.80095, 11.69463, 11.66180, 11.76678, 11.82938
04-OCT-1996, 12.74807, 12.16893, 11.99112, 11.87074, 11.84632, 11.83061, 11.82422, 11.81524, 11.80811, 11.80257, 11.80095, 11.69463, 11.66180, 11.76678, 11.82938
07-OCT-1996, 12.75698, 12.16972, 11.99170, 11.87103, 11.84717, 11.83152, 11.82505, 11.81600, 11.80901, 11.80341, 11.80198, 11.69497, 11.66182, 11.76726, 11.83028
08-OCT-1996, 12.75698, 12.16972, 11.99170, 11.87103, 11.84717, 11.83152, 11.82505, 11.81600, 11.80901, 11.80341, 11.80198, 11.69497, 11.66182, 11.76726, 11.83028
09-OCT-1996, 12.75698, 12.16972, 11.99170, 11.87103, 11.84717, 11.83152, 11.82505, 11.81600, 11.80901, 11.80341, 11.80198, 11.69497, 11.66182, 11.76726, 11.83028
10-OCT-1996, 12.74807, 12.16893, 11.99112, 11.87074, 11.84632, 11.83061, 11.82422, 11.81524, 11.80811, 11.80257, 11.80095, 11.69463, 11.66180, 11.76678, 11.82938
11-OCT-1996, 12.74807, 12.16893, 11.99112, 11.87074, 11.84632, 11.83061, 11.82422, 11.81524, 11.80811, 11.80257, 11.80095, 11.69463, 11.66180, 11.76678, 11.82938
14-OCT-1996, 12.75698, 12.16972, 11.99170, 11.87103, 11.84717, 11.83152, 11.82505, 11.81600, 11.80901, 11.80341, 11.80198, 11.69497, 11.66182, 11.76726, 11.83028
