Date,1Y1Y,1Y2Y,1Y3Y,1Y4Y,1Y5Y,1Y6Y,1Y7Y,1Y8Y,1Y9Y,1Y10Y,1Y11Y,1Y12Y,1Y15Y,1Y20Y,1Y25Y
21-SEP-1988, 9.67949, 9.65484, 9.95452, 10.10820, 10.16182, 10.39520, 10.59549, 10.93416, 11.42024, 11.39749, 11.37933, 11.26795, 11.20500, 11.26508, 11.30206
22-SEP-1988, 9.67508, 9.57119, 9.95599, 10.10989, 10.16344, 10.39544, 10.59560, 10.93318, 11.41812, 11.39817, 11.38018, 11.26931, 11.20655, 11.26648, 11.30287
23-SEP-1988, 9.57119, 9.73882, 9.95013, 10.10426, 10.11796, 10.31483, 10.54781, 10.91588, 11.43149, 11.41184, 11.39361, 11.28246, 11.21946, 11.27928, 11.31602
26-SEP-1988, 9.47054, 9.58189, 9.88918, 9.97017, 10.27990, 10.73362, 10.76802, 10.95427, 11.28647, 11.26422, 11.24722, 11.13871, 11.07810, 11.13780, 11.17389
27-SEP-1988, 9.67706, 9.60380, 9.96397, 10.10312, 10.23124, 10.52958, 10.60193, 10.81925, 11.17840, 11.15540, 11.13777, 11.03054, 10.96890, 11.02469, 11.05859
28-SEP-1988, 9.67949, 9.57273, 9.88236, 10.11770, 10.16999, 10.40209, 10.54338, 10.82419, 11.24752, 11.22623, 11.20947, 11.10180, 11.04186, 11.10120, 11.13736
29-SEP-1988, 9.77561, 9.67895, 9.95211, 10.16982, 10.21232, 10.43639, 10.63100, 10.96477, 11.44662, 11.42447, 11.40459, 11.29210, 11.22596, 11.28264, 11.31740
30-SEP-1988, 9.77561, 9.67895, 9.95211, 10.16982, 10.21232, 10.43639, 10.57310, 10.84950, 11.26888, 11.24772, 11.22945, 11.12075, 11.05766, 11.11349, 11.14768
03-OCT-1988, 9.36353, 9.53530, 9.82476, 9.97285, 10.06708, 10.33023, 10.44082, 10.68931, 11.07520, 11.05349, 11.03655, 10.93148, 10.87156, 10.92691, 10.96072
04-OCT-1988, 9.36353, 9.37123, 9.83462, 10.05746, 10.10355, 10.32794, 10.43863, 10.68715, 11.07335, 11.05161, 11.03483, 10.92982, 10.86994, 10.92507, 10.95879
05-OCT-1988, 9.70069, 9.54090, 9.94867, 10.14339, 10.17240, 10.38559, 10.48819, 10.73094, 11.11246, 11.08723, 11.06745, 10.95987, 10.89457, 10.94477, 10.97515
06-OCT-1988, 10.00622, 9.77085, 9.92020, 10.19593, 10.26585, 10.51461, 10.61246, 10.85246, 11.23569, 11.21132, 11.19073, 11.08103, 11.01381, 11.06437, 11.09495
07-OCT-1988, 9.79739, 9.61565, 10.01296, 10.28091, 10.26116, 10.43506, 10.62346, 10.95136, 11.42695, 11.40182, 11.37934, 11.26561, 11.19516, 11.24628, 11.27771
10-OCT-1988, 9.88647, 9.63429, 10.01141, 10.26751, 10.32303, 10.56408, 10.71329, 11.00719, 11.44995, 11.41979, 11.39588, 11.28020, 11.20651, 11.25507, 11.28479
11-OCT-1988, 9.88647, 9.63429, 10.01141, 10.26751, 10.32303, 10.56408, 10.71329, 11.00719, 11.44995, 11.41979, 11.39588, 11.28020, 11.20651, 11.25507, 11.28479
12-OCT-1988, 9.80559, 9.61859, 10.01767, 10.28489, 10.30466, 10.51530, 10.61230, 10.85330, 11.23754, 11.21090, 11.19013, 11.07998, 11.01269, 11.06327, 11.09402
13-OCT-1988, 9.91965, 9.72706, 10.04443, 10.31654, 10.38124, 10.63036, 10.72442, 10.96448, 11.35137, 11.32678, 11.30576, 11.19407, 11.12614, 11.17860, 11.21047
