Date,1Y1Y,2Y1Y,3Y1Y,4Y1Y,5Y1Y,6Y1Y,7Y1Y,8Y1Y,9Y1Y,10Y1Y,11Y1Y,12Y1Y,15Y1Y,20Y1Y,25Y1Y
01-JAN-1999, 3.28495, 3.60682, 3.90394, 4.21920, 4.57757, 4.98304, 5.25367, 5.27896, 5.43783, 5.31074, 5.60284, 5.50245, 4.41011, 4.40051, 4.41246
04-JAN-1999, 3.24283, 3.54080, 3.80986, 4.13841, 4.47408, 4.79729, 4.97680, 5.28330, 5.14393, 5.18615, 5.46829, 5.29542, 5.17572, 4.48502, 5.77878
05-JAN-1999, 3.17918, 3.51981, 3.88916, 4.14465, 4.45007, 4.83663, 5.04422, 5.13472, 5.16099, 5.23647, 5.52549, 5.28045, 5.12553, 4.51280, 5.82613
06-JAN-1999, 3.22664, 3.50467, 3.88832, 4.15686, 4.46586, 4.81050, 5.09850, 5.13953, 5.32138, 5.23741, 5.52369, 5.28220, 5.02607, 4.48005, 5.77218
07-JAN-1999, 3.22636, 3.50303, 3.88614, 4.15533, 4.46416, 4.80845, 5.09684, 5.13930, 5.32041, 5.23782, 5.52203, 5.28361, 4.93137, 4.54410, 5.86404
08-JAN-1999, 3.22636, 3.50303, 3.88614, 4.15533, 4.46416, 4.80845, 5.09684, 5.13930, 5.32041, 5.23782, 5.52203, 5.28361, 4.88151, 4.32243, 5.49457
11-JAN-1999, 3.22664, 3.50467, 3.88832, 4.15686, 4.46586, 4.81050, 5.09850, 5.13953, 5.32138, 5.23741, 5.52369, 5.28220, 5.17676, 4.57720, 5.93362
12-JAN-1999, 3.17915, 3.54124, 3.57101, 4.14257, 4.51112, 4.95607, 5.02307, 5.17371, 5.20989, 5.24260, 5.53065, 5.21718, 5.21003, 4.56460, 5.91089
13-JAN-1999, 3.10803, 3.45123, 3.82132, 4.12721, 4.53839, 4.78140, 4.97931, 5.29303, 5.12800, 5.19789, 5.48287, 5.20559, 5.17966, 4.49540, 5.79553
14-JAN-1999, 3.06592, 3.44939, 3.78432, 4.14885, 4.50547, 4.76528, 5.08505, 5.15118, 5.21793, 5.19028, 5.47072, 5.20161, 5.10837, 4.56246, 5.88856
