Date,1Y1Y,1Y2Y,1Y3Y,1Y4Y,1Y5Y,1Y6Y,1Y7Y,1Y8Y,1Y9Y,1Y10Y,1Y11Y,1Y12Y,1Y15Y,1Y20Y,1Y25Y
01-JAN-1999, 3.28495, 3.44576, 3.59826, 3.75315, 3.91751, 4.09434, 4.25918, 4.38611, 4.50245, 4.58300, 4.67530, 4.74398, 4.88909, 4.87609, 4.86882
04-JAN-1999, 3.24283, 3.39171, 3.53091, 3.68245, 3.84029, 3.99918, 4.13828, 4.28073, 4.37629, 4.45699, 4.54853, 4.61056, 4.80107, 5.01749, 5.05380
05-JAN-1999, 3.17918, 3.34935, 3.52898, 3.68255, 3.83560, 4.00178, 4.15006, 4.27264, 4.37097, 4.45720, 4.55387, 4.61422, 4.79826, 5.00346, 5.05026
06-JAN-1999, 3.22664, 3.36556, 3.53952, 3.69351, 3.84752, 4.00740, 4.16258, 4.28420, 4.39893, 4.48248, 4.57671, 4.63532, 4.80883, 4.98339, 5.02550
07-JAN-1999, 3.22636, 3.36461, 3.53816, 3.69211, 3.84606, 4.00584, 4.16100, 4.28279, 4.39758, 4.48130, 4.57548, 4.63431, 4.80148, 4.95429, 5.01712
08-JAN-1999, 3.22636, 3.36461, 3.53816, 3.69211, 3.84606, 4.00584, 4.16100, 4.28279, 4.39758, 4.48130, 4.57548, 4.63431, 4.79816, 4.92750, 4.93547
11-JAN-1999, 3.22664, 3.36556, 3.53952, 3.69351, 3.84752, 4.00740, 4.16258, 4.28420, 4.39893, 4.48248, 4.57671, 4.63532, 4.81885, 5.03579, 5.09362
12-JAN-1999, 3.17915, 3.36003, 3.43031, 3.60792, 3.78793, 3.98171, 4.12984, 4.25976, 4.36490, 4.45234, 4.54991, 4.60536, 4.78682, 5.02008, 5.07747
13-JAN-1999, 3.10803, 3.27949, 3.45978, 3.62624, 3.80803, 3.96963, 4.11327, 4.26002, 4.35610, 4.43998, 4.53436, 4.59013, 4.77083, 4.99651, 5.03980
14-JAN-1999, 3.06592, 3.25748, 3.43280, 3.61135, 3.78956, 3.95154, 4.11272, 4.24197, 4.34996, 4.43369, 4.52754, 4.58355, 4.75972, 4.97113, 5.03472
15-JAN-1999, 2.99770, 3.23212, 3.42978, 3.60850, 3.78933, 3.94862, 4.10315, 4.23515, 4.34322, 4.43061, 4.52789, 4.59155, 4.78208, 4.99360, 5.05592
18-JAN-1999, 3.05639, 3.24281, 3.40017, 3.58727, 3.75883, 3.92293, 4.08269, 4.20257, 4.30553, 4.39388, 4.49178, 4.55561, 4.74707, 4.95473, 4.97914
19-JAN-1999, 3.05264, 3.22474, 3.41848, 3.57298, 3.73059, 3.90648, 4.05930, 4.18440, 4.28650, 4.37119, 4.46539, 4.52653, 4.71108, 4.92237, 5.00003
20-JAN-1999, 3.08467, 3.27638, 3.46640, 3.62924, 3.80177, 3.95555, 4.10281, 4.22456, 4.31512, 4.40274, 4.50022, 4.56335, 4.74408, 4.91961, 4.97086
21-JAN-1999, 3.07033, 3.25438, 3.41046, 3.59326, 3.76017, 3.88524, 4.03281, 4.18036, 4.26890, 4.35631, 4.45287, 4.51690, 4.70398, 4.90211, 4.96170
22-JAN-1999, 3.05817, 3.21601, 3.40822, 3.55742, 3.59921, 3.89726, 4.03335, 4.16079, 4.26072, 4.34529, 4.43924, 4.50240, 4.69406, 4.91400, 4.95711
25-JAN-1999, 3.01831, 3.18972, 3.37335, 3.55344, 3.71048, 3.87362, 4.01771, 4.15552, 4.24839, 4.33453, 4.42997, 4.49387, 4.68506, 4.88774, 4.88114
26-JAN-1999, 3.03629, 3.19437, 3.37975, 3.55675, 3.72506, 3.86473, 4.01078, 4.13704, 4.22302, 4.31174, 4.40924, 4.47315, 4.66261, 4.86519, 4.88799
27-JAN-1999, 3.02014, 3.21154, 3.35307, 3.53840, 3.70223, 3.85306, 3.98610, 4.13015, 4.22233, 4.31344, 4.41322, 4.47285, 4.65510, 4.86483, 4.91097
28-JAN-1999, 3.01006, 3.20377, 3.36794, 3.55663, 3.71353, 3.83679, 3.99270, 4.11959, 4.22039, 4.30816, 4.40464, 4.47008, 4.65746, 4.84986, 4.91583
29-JAN-1999, 3.23951, 3.28894, 3.34385, 3.54103, 3.71021, 3.82803, 3.98405, 4.11046, 4.21101, 4.30067, 4.39866, 4.46431, 4.65897, 4.87694, 4.93298
01-FEB-1999, 3.08851, 3.24880, 3.46376, 3.61868, 3.78583, 3.95516, 4.08490, 4.21128, 4.29752, 4.38528, 4.48267, 4.54955, 4.67334, 4.64677, 4.90238
02-FEB-1999, 3.10054, 3.28040, 3.42859, 3.59310, 3.76315, 3.91432, 4.06109, 4.18872, 4.28903, 4.37663, 4.47362, 4.53750, 4.65872, 4.64641, 4.91644
03-FEB-1999, 3.12064, 3.28257, 3.45825, 3.63500, 3.78659, 3.94663, 4.09038, 4.21980, 4.31443, 4.40221, 4.49963, 4.56278, 4.68221, 4.66674, 4.93627
04-FEB-1999, 3.15040, 3.34285, 3.51657, 3.66803, 3.84542, 4.00127, 4.14510, 4.25538, 4.36986, 4.45691, 4.55415, 4.61747, 4.80801, 5.01926, 5.07327
05-FEB-1999, 3.17796, 3.36639, 3.50046, 3.66572, 3.84303, 3.98694, 4.13352, 4.25533, 4.35476, 4.44041, 4.53633, 4.60092, 4.79232, 4.99848, 5.05333
08-FEB-1999, 3.21155, 3.37873, 3.58937, 3.74733, 3.91220, 4.07094, 4.20534, 4.32655, 4.42141, 4.50949, 4.60844, 4.67119, 4.86004, 5.06597, 5.12216
09-FEB-1999, 3.15873, 3.33567, 3.51867, 3.69092, 3.85215, 3.99750, 4.13633, 4.25291, 4.33816, 4.42843, 4.52835, 4.59025, 4.77726, 4.98675, 5.04677
10-FEB-1999, 3.16500, 3.34212, 3.50840, 3.68205, 3.85300, 3.99742, 4.12757, 4.25456, 4.34690, 4.43401, 4.53124, 4.59309, 4.78108, 4.99358, 5.04854
11-FEB-1999, 3.16345, 3.32139, 3.46442, 3.67248, 3.83724, 3.97937, 4.10851, 4.23705, 4.32772, 4.40777, 4.49827, 4.56716, 4.76739, 4.97943, 5.04200
12-FEB-1999, 3.17376, 3.35460, 3.55084, 3.72094, 3.88265, 4.05813, 4.18611, 4.31565, 4.40750, 4.48658, 4.57690, 4.64205, 4.83742, 5.05325, 5.11012
15-FEB-1999, 3.24152, 3.42658, 3.64415, 3.81596, 3.98591, 4.12527, 4.25989, 4.39595, 4.48238, 4.56228, 4.65432, 4.71815, 4.91285, 5.13123, 5.18578
16-FEB-1999, 3.20714, 3.40696, 3.62248, 3.81043, 3.98189, 4.14649, 4.29059, 4.40357, 4.49599, 4.57429, 4.66476, 4.72790, 4.92146, 5.13998, 5.19533
17-FEB-1999, 3.18703, 3.42799, 3.58387, 3.76144, 3.93984, 4.10601, 4.24468, 4.36701, 4.45972, 4.54089, 4.63372, 4.69868, 4.89442, 5.10967, 5.16456
