Date,1Y1Y,2Y1Y,3Y1Y,4Y1Y,5Y1Y,6Y1Y,7Y1Y,8Y1Y,9Y1Y,10Y1Y,11Y1Y,12Y1Y,15Y1Y,20Y1Y,25Y1Y
01-JAN-1999, 3.28303, 3.60655, 3.90421, 4.21921, 4.57723, 4.98356, 5.25558, 5.27851, 5.43824, 5.43854, 5.46966, 5.75631, 5.38185, 4.60907, 4.89842
04-JAN-1999, 3.24206, 3.54077, 3.80984, 4.13848, 4.47400, 4.79795, 4.97629, 5.28463, 5.14364, 5.23923, 5.41283, 5.51385, 5.74420, 5.62683, 5.64180
05-JAN-1999, 3.17821, 3.51942, 3.88962, 4.14477, 4.44969, 4.83712, 5.04468, 5.13510, 5.16065, 5.30694, 5.45238, 5.52172, 5.68906, 5.58381, 5.71986
06-JAN-1999, 3.22612, 3.50419, 3.88870, 4.15699, 4.46572, 4.81055, 5.09940, 5.13931, 5.32158, 5.35497, 5.40148, 5.50472, 5.64179, 5.43014, 5.70229
07-JAN-1999, 3.22533, 3.50209, 3.88688, 4.15558, 4.46389, 4.80855, 5.09863, 5.13886, 5.32083, 5.35205, 5.40390, 5.51663, 5.57153, 5.32092, 5.86330
08-JAN-1999, 3.22533, 3.50209, 3.88688, 4.15558, 4.46389, 4.80855, 5.09863, 5.13886, 5.32083, 5.35205, 5.40388, 5.51954, 5.55137, 5.17243, 5.42771
11-JAN-1999, 3.22612, 3.50419, 3.88870, 4.15699, 4.46572, 4.81055, 5.09940, 5.13931, 5.32157, 5.35782, 5.39858, 5.48861, 5.73699, 5.66502, 5.83287
12-JAN-1999, 3.17784, 3.54235, 3.56973, 4.14289, 4.51097, 4.95714, 5.02312, 5.17400, 5.20974, 5.33152, 5.43844, 5.45760, 5.69458, 5.74773, 5.77630
13-JAN-1999, 3.10713, 3.45089, 3.82172, 4.12699, 4.53870, 4.78193, 4.97868, 5.29454, 5.12755, 5.25666, 5.42175, 5.44918, 5.67059, 5.68587, 5.64583
14-JAN-1999, 3.06355, 3.44917, 3.78461, 4.14886, 4.50624, 4.76492, 5.08643, 5.15177, 5.21767, 5.28994, 5.36795, 5.42478, 5.62805, 5.60045, 5.80175
