Date,1Y1Y,2Y1Y,3Y1Y,4Y1Y,5Y1Y,6Y1Y,7Y1Y,8Y1Y,9Y1Y,10Y1Y,11Y1Y,12Y1Y,15Y1Y,20Y1Y,25Y1Y
16-NOV-1990, 12.95878, 11.74250, 11.46406, 11.90400, 11.71729, 13.23041, 11.11631, 12.50785, 14.33874, 12.23798, 12.23784, 10.90139, 9.82922, 9.83097, 9.86015
19-NOV-1990, 12.95878, 11.74250, 11.46406, 11.90400, 11.71729, 13.23041, 11.11631, 12.50785, 14.33874, 12.23798, 12.23784, 10.90139, 9.82922, 9.83097, 9.86015
20-NOV-1990, 12.95878, 11.74250, 11.46406, 11.90400, 11.71729, 13.23041, 11.11631, 12.50785, 14.33874, 12.23798, 12.23784, 10.90139, 9.82922, 9.83097, 9.86015
21-NOV-1990, 12.95878, 11.74250, 11.46406, 11.90400, 11.71729, 13.23041, 11.11631, 12.50785, 14.33874, 12.23798, 12.23784, 10.90139, 9.82922, 9.83097, 9.86015
22-NOV-1990, 12.77794, 11.54855, 11.19593, 11.71322, 11.54431, 13.01061, 11.00592, 12.36667, 14.15754, 12.05845, 12.05611, 10.75871, 9.71223, 9.71433, 9.74132
23-NOV-1990, 12.82605, 11.66219, 11.40941, 11.80859, 11.58550, 13.06381, 11.03112, 12.39871, 14.19689, 12.12875, 12.12808, 10.81330, 9.75793, 9.75938, 9.78950
26-NOV-1990, 12.70569, 11.52099, 11.19367, 11.67085, 11.28233, 12.67743, 10.92802, 12.26862, 14.02822, 11.94660, 11.94864, 10.67062, 9.64090, 9.64184, 9.67264
27-NOV-1990, 12.77794, 11.61998, 11.21674, 11.80136, 11.21494, 12.59187, 10.96217, 12.31094, 14.08454, 11.98478, 11.98331, 10.69954, 9.66413, 9.66577, 9.69415
28-NOV-1990, 12.80199, 11.64109, 11.38841, 11.85446, 11.26184, 12.65272, 10.96188, 12.30961, 14.08344, 12.02301, 12.02318, 10.73144, 9.69003, 9.69170, 9.71894
29-NOV-1990, 12.92258, 11.60357, 11.45159, 11.78390, 11.29983, 12.70067, 10.95209, 12.29832, 14.06647, 12.04603, 12.04430, 10.74869, 9.70424, 9.70653, 9.73265
30-NOV-1990, 12.77794, 11.54855, 11.24609, 11.72381, 11.19588, 12.56787, 10.94440, 12.29081, 14.05487, 11.96121, 11.95925, 10.68138, 9.64999, 9.65013, 9.67981
03-DEC-1990, 12.85015, 11.57609, 11.04789, 11.72383, 11.28517, 12.68089, 10.74415, 12.03552, 13.72724, 11.89810, 11.89977, 10.63123, 9.61012, 9.60978, 9.63710
04-DEC-1990, 12.95870, 11.63520, 11.08129, 11.79801, 11.08349, 12.42638, 10.70867, 11.99184, 13.66859, 11.87601, 11.87551, 10.61281, 9.59437, 9.59583, 9.62216
05-DEC-1990, 12.91052, 11.52164, 11.01896, 11.73443, 11.16049, 12.52357, 10.72664, 12.01515, 13.69756, 11.86795, 11.86518, 10.60690, 9.58888, 9.58979, 9.61849
06-DEC-1990, 12.99491, 11.45254, 11.05055, 11.76622, 11.14379, 12.50376, 10.74376, 12.03615, 13.72526, 11.88482, 11.88366, 10.62085, 9.60006, 9.60165, 9.62915
07-DEC-1990, 12.81411, 11.40183, 11.02521, 11.66027, 11.09409, 12.43969, 10.57949, 11.83176, 13.46013, 11.75906, 11.76108, 10.52026, 9.51869, 9.51934, 9.54534
10-DEC-1990, 12.75392, 11.38488, 11.08338, 11.63909, 11.03004, 12.36025, 10.42436, 11.63581, 13.21098, 11.67574, 11.67860, 10.45401, 9.46397, 9.46575, 9.49191
11-DEC-1990, 12.92250, 11.38952, 10.98806, 11.70265, 11.08719, 12.43166, 10.47546, 11.70024, 13.29146, 11.73725, 11.73461, 10.50196, 9.50379, 9.50418, 9.53061
12-DEC-1990, 12.91052, 11.37902, 10.82799, 11.52712, 10.80876, 12.08064, 10.33812, 11.53033, 13.07370, 11.58412, 11.58346, 10.37986, 9.40362, 9.40370, 9.43161
13-DEC-1990, 13.03124, 11.44839, 11.07147, 11.72056, 10.88638, 12.17892, 10.35411, 11.54821, 13.09859, 11.67931, 11.67885, 10.45679, 9.46687, 9.46755, 9.49206
14-DEC-1990, 13.10373, 11.40441, 11.20315, 11.77346, 10.84454, 12.12627, 10.42283, 11.63496, 13.20687, 11.72383, 11.72383, 10.49182, 9.49565, 9.49565, 9.52278
17-DEC-1990, 13.17626, 11.36041, 11.28487, 11.81580, 10.79326, 12.06185, 10.52584, 11.76394, 13.37382, 11.77271, 11.77158, 10.53167, 9.52724, 9.52872, 9.55448
18-DEC-1990, 13.17626, 11.32480, 11.32467, 11.88282, 10.75776, 12.01808, 10.52599, 11.76392, 13.37364, 11.77271, 11.77158, 10.52984, 9.52786, 9.52723, 9.55434
19-DEC-1990, 13.12786, 11.35412, 11.45437, 11.82634, 10.93595, 12.24083, 10.51590, 11.75197, 13.35938, 11.81102, 11.80877, 10.56122, 9.55250, 9.55195, 9.57901
20-DEC-1990, 13.07948, 11.34782, 11.77575, 11.93584, 10.89326, 12.18733, 10.58485, 11.83788, 13.47014, 11.86000, 11.86169, 10.60219, 9.58504, 9.58531, 9.61363
21-DEC-1990, 13.04324, 11.35198, 11.90638, 11.87915, 11.02748, 12.35530, 10.43702, 11.65211, 13.23081, 11.83632, 11.83519, 10.58163, 9.56879, 9.56887, 9.59610
24-DEC-1990, 13.09160, 11.39392, 11.74630, 11.87920, 10.84888, 12.13144, 10.53264, 11.77440, 13.38545, 11.83006, 11.82734, 10.57617, 9.56533, 9.56405, 9.59252
27-DEC-1990, 13.09160, 11.35830, 11.83690, 11.95705, 10.86721, 12.15495, 10.54968, 11.79545, 13.41261, 11.85346, 11.85374, 10.59523, 9.58031, 9.57977, 9.60954
