Date,1Y1Y,1Y2Y,1Y3Y,1Y4Y,1Y5Y,1Y6Y,1Y7Y,1Y8Y,1Y9Y,1Y10Y,1Y11Y,1Y12Y,1Y15Y,1Y20Y,1Y25Y
16-NOV-1990, 12.95878, 12.34899, 12.05324, 12.01591, 11.95612, 12.16750, 12.01673, 12.07800, 12.32697, 12.31807, 12.31077, 12.19264, 12.15475, 12.26793, 12.33761
19-NOV-1990, 12.95878, 12.34899, 12.05324, 12.01591, 11.95612, 12.16750, 12.01673, 12.07800, 12.32697, 12.31807, 12.31077, 12.19264, 12.15475, 12.26793, 12.33761
20-NOV-1990, 12.95878, 12.34899, 12.05324, 12.01591, 11.95612, 12.16750, 12.01673, 12.07800, 12.32697, 12.31807, 12.31077, 12.19264, 12.15475, 12.26793, 12.33761
21-NOV-1990, 12.95878, 12.34899, 12.05324, 12.01591, 11.95612, 12.16750, 12.01673, 12.07800, 12.32697, 12.31807, 12.31077, 12.19264, 12.15475, 12.26793, 12.33761
22-NOV-1990, 12.77794, 12.16156, 11.83875, 11.80736, 11.75470, 11.96304, 11.82581, 11.89327, 12.14262, 12.13420, 12.12710, 12.01243, 11.97540, 12.08420, 12.15125
23-NOV-1990, 12.82605, 12.24261, 11.96419, 11.92527, 11.85723, 12.05743, 11.91024, 11.97118, 12.21632, 12.20756, 12.20033, 12.08409, 12.04623, 12.15648, 12.22434
26-NOV-1990, 12.70569, 12.11178, 11.80490, 11.77137, 11.67339, 11.84011, 11.70935, 11.77911, 12.02680, 12.01878, 12.01240, 11.89997, 11.86385, 11.97065, 12.03631
27-NOV-1990, 12.77794, 12.19747, 11.86960, 11.85253, 11.72472, 11.86878, 11.73881, 11.81017, 12.06062, 12.05304, 12.04670, 11.93381, 11.89799, 12.00599, 12.07247
28-NOV-1990, 12.80199, 12.22004, 11.94214, 11.92021, 11.78823, 11.93185, 11.79276, 11.85724, 12.10243, 12.09449, 12.08800, 11.97433, 11.93823, 12.04699, 12.11391
29-NOV-1990, 12.92258, 12.26114, 11.99064, 11.93892, 11.81081, 11.95863, 11.81428, 11.87467, 12.11611, 12.10910, 12.10321, 11.98970, 11.95477, 12.06538, 12.13354
30-NOV-1990, 12.77794, 12.16156, 11.85557, 11.82261, 11.69698, 11.84166, 11.71304, 11.78510, 12.03505, 12.02766, 12.02144, 11.90915, 11.87386, 11.98190, 12.04803
03-DEC-1990, 12.85015, 12.21132, 11.82216, 11.79757, 11.69490, 11.85863, 11.69874, 11.74078, 11.95977, 11.95360, 11.94871, 11.83832, 11.80498, 11.91360, 11.97984
04-DEC-1990, 12.95870, 12.29500, 11.88896, 11.86622, 11.70923, 11.82844, 11.66778, 11.70824, 11.92437, 11.91954, 11.91553, 11.80639, 11.77488, 11.88455, 11.95192
05-DEC-1990, 12.91052, 12.21393, 11.81418, 11.79424, 11.66720, 11.80948, 11.65414, 11.69920, 11.91950, 11.91434, 11.90987, 11.80070, 11.76884, 11.87772, 11.94454
06-DEC-1990, 12.99491, 12.22107, 11.82953, 11.81370, 11.67940, 11.81637, 11.66251, 11.70914, 11.93138, 11.92672, 11.92281, 11.81373, 11.78266, 11.89276, 11.96046
07-DEC-1990, 12.81411, 12.10575, 11.74441, 11.72337, 11.59723, 11.73720, 11.57107, 11.60362, 11.80839, 11.80346, 11.79960, 11.69243, 11.66108, 11.76779, 11.83312
10-DEC-1990, 12.75392, 12.06731, 11.73837, 11.71354, 11.57650, 11.70675, 11.52264, 11.53678, 11.72157, 11.71699, 11.71350, 11.60800, 11.57734, 11.68246, 11.74716
11-DEC-1990, 12.92250, 12.15339, 11.76359, 11.74835, 11.61581, 11.75137, 11.56820, 11.58470, 11.77306, 11.76948, 11.76631, 11.66040, 11.63099, 11.73905, 11.80513
12-DEC-1990, 12.91052, 12.14215, 11.70238, 11.65854, 11.48806, 11.58660, 11.40739, 11.42275, 11.60499, 11.60290, 11.60114, 11.49885, 11.47199, 11.57855, 11.64369
13-DEC-1990, 13.03124, 12.23702, 11.84715, 11.81549, 11.62905, 11.72051, 11.52428, 11.52727, 11.70078, 11.69863, 11.69683, 11.59296, 11.56603, 11.67511, 11.74180
14-DEC-1990, 13.10373, 12.25085, 11.90053, 11.86875, 11.66315, 11.74021, 11.55105, 11.56154, 11.74316, 11.74123, 11.73965, 11.63513, 11.60832, 11.71865, 11.78602
17-DEC-1990, 13.17626, 12.26466, 11.93711, 11.90677, 11.68318, 11.74620, 11.57104, 11.59513, 11.79138, 11.78951, 11.78788, 11.68266, 11.65600, 11.76755, 11.83601
18-DEC-1990, 13.17626, 12.24671, 11.93852, 11.92459, 11.69025, 11.74482, 11.56988, 11.59412, 11.79045, 11.78868, 11.78713, 11.68181, 11.65502, 11.76696, 11.83510
19-DEC-1990, 13.12786, 12.23749, 11.97584, 11.93844, 11.73722, 11.82100, 11.63362, 11.64840, 11.83723, 11.83461, 11.83226, 11.72578, 11.69780, 11.80925, 11.87712
20-DEC-1990, 13.07948, 12.21031, 12.06527, 12.03290, 11.80404, 11.86783, 11.68364, 11.70291, 11.89790, 11.89411, 11.89116, 11.78318, 11.75367, 11.86471, 11.93262
21-DEC-1990, 13.04324, 12.19443, 12.09833, 12.04349, 11.83955, 11.92534, 11.71150, 11.70408, 11.87269, 11.86906, 11.86598, 11.75838, 11.72884, 11.83933, 11.90681
24-DEC-1990, 13.09160, 12.23955, 12.07490, 12.02594, 11.78953, 11.84644, 11.65781, 11.67237, 11.86143, 11.85829, 11.85548, 11.74831, 11.71951, 11.83082, 11.89846
27-DEC-1990, 13.09160, 12.22161, 12.09322, 12.05916, 11.81975, 11.87555, 11.68517, 11.69895, 11.88807, 11.88461, 11.88180, 11.77402, 11.74470, 11.85597, 11.92385
28-DEC-1990, 13.04324, 12.17649, 12.09976, 12.06141, 11.81971, 11.87344, 11.68221, 11.69487, 11.88304, 11.87924, 11.87619, 11.76834, 11.73853, 11.84901, 11.91682
31-DEC-1990, 13.12904, 12.22010, 12.09576, 12.04688, 11.81905, 11.88423, 11.68763, 11.69544, 11.87890, 11.87570, 11.87321, 11.76581, 11.73716, 11.84913, 11.91747
02-JAN-1991, 13.20049, 12.26927, 12.07856, 12.03664, 11.81276, 11.88104, 11.68609, 11.69558, 11.88039, 11.87789, 11.87569, 11.76853, 11.74065, 11.85346, 11.92218
03-JAN-1991, 13.20049, 12.25132, 11.92828, 11.90015, 11.65099, 11.69171, 11.50833, 11.52281, 11.70730, 11.70638, 11.70580, 11.60248, 11.57738, 11.68851, 11.75657
04-JAN-1991, 13.17622, 12.19287, 11.77479, 11.70859, 11.54514, 11.65196, 11.44939, 11.44458, 11.60767, 11.60761, 11.60760, 11.50634, 11.48254, 11.59284, 11.65994
07-JAN-1991, 13.21263, 12.26262, 11.80495, 11.78916, 11.60294, 11.69345, 11.48981, 11.48514, 11.64968, 11.64944, 11.64924, 11.54723, 11.52326, 11.63446, 11.70218
08-JAN-1991, 13.17622, 12.21080, 11.73991, 11.71049, 11.51981, 11.60322, 11.41027, 11.41315, 11.58281, 11.58291, 11.58321, 11.48249, 11.45908, 11.56920, 11.63628
09-JAN-1991, 13.17622, 12.24669, 11.75387, 11.74027, 11.53841, 11.61344, 11.41418, 11.41119, 11.57491, 11.57516, 11.57547, 11.47490, 11.45159, 11.56167, 11.62867
10-JAN-1991, 13.32168, 12.38216, 11.81848, 11.77654, 11.58781, 11.67558, 11.46956, 11.46222, 11.62314, 11.62406, 11.62474, 11.52380, 11.50154, 11.61382, 11.68261
11-JAN-1991, 13.38233, 12.43864, 11.87331, 11.84755, 11.66471, 11.76078, 11.54477, 11.53038, 11.68654, 11.68725, 11.68794, 11.58579, 11.56316, 11.67702, 11.74630
14-JAN-1991, 13.39449, 12.43196, 12.05385, 11.99517, 11.78359, 11.86079, 11.63993, 11.62417, 11.78172, 11.78159, 11.78163, 11.67746, 11.65346, 11.76810, 11.83810
15-JAN-1991, 13.45518, 12.48845, 12.17644, 12.02677, 11.82544, 11.91287, 11.69679, 11.68715, 11.85280, 11.85255, 11.85216, 11.74667, 11.72222, 11.83835, 11.90926
16-JAN-1991, 13.38233, 12.42065, 12.09343, 11.94622, 11.72998, 11.80096, 11.58398, 11.56987, 11.72771, 11.72810, 11.72845, 11.62541, 11.60212, 11.71621, 11.78561
17-JAN-1991, 13.30953, 12.33491, 11.99507, 11.85156, 11.63027, 11.69308, 11.48072, 11.46788, 11.62376, 11.62462, 11.62526, 11.52424, 11.50180, 11.61390, 11.68245
18-JAN-1991, 13.27321, 12.30108, 11.96207, 11.81896, 11.58976, 11.64416, 11.42780, 11.40975, 11.55871, 11.55995, 11.56073, 11.46099, 11.43926, 11.55068, 11.61834
21-JAN-1991, 13.23679, 12.26720, 11.91223, 11.77115, 11.53510, 11.58169, 11.36839, 11.35133, 11.49934, 11.50082, 11.50194, 11.40334, 11.38211, 11.49253, 11.55975
22-JAN-1991, 13.22476, 12.25596, 11.93489, 11.79071, 11.61501, 11.71480, 11.48564, 11.45748, 11.59784, 11.59833, 11.59849, 11.49766, 11.47465, 11.58557, 11.65315
23-JAN-1991, 13.26107, 12.27183, 11.95248, 11.77577, 11.58528, 11.67153, 11.41522, 11.36007, 11.47130, 11.47328, 11.47480, 11.37692, 11.35641, 11.46681, 11.53426
24-JAN-1991, 13.21263, 12.19087, 11.81054, 11.66005, 11.45796, 11.52952, 11.29297, 11.25220, 11.37442, 11.37702, 11.37893, 11.28293, 11.26344, 11.37258, 11.43918
25-JAN-1991, 13.12782, 12.16572, 11.79653, 11.62502, 11.43144, 11.50865, 11.25284, 11.19345, 11.29596, 11.29864, 11.30077, 11.20610, 11.18683, 11.29425, 11.35996
28-JAN-1991, 13.07956, 12.17447, 11.88273, 11.71652, 11.50485, 11.57045, 11.31659, 11.26104, 11.36895, 11.37042, 11.37172, 11.27529, 11.25432, 11.36149, 11.42701
29-JAN-1991, 13.07956, 12.15654, 11.88413, 11.68426, 11.47538, 11.54198, 11.30850, 11.27108, 11.39712, 11.39828, 11.39939, 11.30234, 11.28090, 11.38848, 11.45380
30-JAN-1991, 13.09157, 12.18570, 11.82650, 11.63340, 11.45593, 11.54741, 11.28842, 11.22706, 11.32853, 11.33047, 11.33229, 11.23673, 11.21647, 11.32376, 11.38897
31-JAN-1991, 13.10369, 12.16113, 11.77319, 11.60233, 11.36507, 11.40384, 11.16716, 11.12303, 11.23790, 11.24092, 11.24350, 11.14993, 11.13123, 11.23801, 11.30321
01-FEB-1991, 13.12782, 12.14780, 11.76440, 11.54603, 11.34998, 11.42203, 11.17164, 11.11487, 11.21757, 11.22096, 11.22372, 11.13076, 11.11287, 11.21989, 11.28484
04-FEB-1991, 13.00698, 12.14265, 11.73007, 11.57351, 11.35231, 11.40355, 11.17075, 11.12977, 11.24836, 11.25052, 11.25220, 11.15806, 11.13822, 11.24387, 11.30804
05-FEB-1991, 12.92258, 12.09965, 11.71748, 11.53956, 11.32645, 11.38339, 11.16211, 11.13150, 11.26011, 11.26149, 11.26260, 11.16785, 11.14676, 11.25115, 11.31494
06-FEB-1991, 12.80199, 12.02278, 11.67187, 11.48963, 11.29298, 11.36197, 11.15118, 11.12994, 11.26743, 11.26783, 11.26807, 11.17265, 11.15003, 11.25287, 11.31545
07-FEB-1991, 12.66970, 11.93475, 11.56513, 11.40007, 11.18658, 11.23771, 11.04378, 11.03476, 11.18148, 11.18161, 11.18174, 11.08763, 11.06487, 11.16534, 11.22665
08-FEB-1991, 12.59753, 11.88508, 11.54802, 11.41241, 11.20335, 11.25872, 11.07399, 11.07434, 11.23130, 11.23042, 11.22966, 11.13417, 11.10972, 11.20937, 11.27042
11-FEB-1991, 12.64568, 11.84081, 11.49853, 11.37015, 11.18359, 11.25652, 11.07826, 11.08468, 11.24781, 11.24717, 11.24655, 11.15093, 11.12681, 11.22719, 11.28872
12-FEB-1991, 12.70569, 11.89698, 11.55334, 11.37475, 11.16454, 11.21740, 11.03745, 11.04107, 11.20027, 11.20061, 11.20068, 11.10634, 11.08375, 11.18480, 11.24632
13-FEB-1991, 12.39372, 11.71187, 11.41024, 11.25593, 11.08528, 11.16741, 10.97613, 10.96786, 11.11308, 11.11177, 11.11074, 11.01689, 10.99190, 11.08804, 11.14683
14-FEB-1991, 12.28602, 11.55747, 11.28227, 11.13129, 10.96487, 11.04554, 10.88303, 10.89799, 11.06400, 11.06228, 11.06088, 10.96765, 10.94225, 11.03662, 11.09434
15-FEB-1991, 12.35773, 11.62473, 11.29810, 11.18395, 11.00767, 11.08187, 10.88832, 10.87526, 11.01331, 11.01273, 11.01212, 10.92024, 10.89649, 10.99169, 11.04988
18-FEB-1991, 12.23816, 11.53039, 11.18733, 11.07473, 10.91013, 10.99023, 10.81116, 10.80897, 10.95571, 10.95473, 10.95383, 10.86270, 10.83854, 10.93167, 10.98874
19-FEB-1991, 12.19044, 11.46783, 11.16148, 11.04747, 10.88275, 10.96145, 10.78886, 10.79208, 10.94358, 10.94233, 10.94132, 10.85021, 10.82562, 10.91803, 10.97458
20-FEB-1991, 12.17843, 11.45660, 11.18369, 11.11596, 10.90978, 10.95575, 10.78410, 10.78774, 10.93981, 10.93852, 10.93741, 10.84631, 10.82161, 10.91398, 10.97063
21-FEB-1991, 12.19044, 11.45008, 11.16279, 11.09767, 10.90209, 10.95640, 10.78462, 10.78838, 10.94023, 10.93910, 10.93794, 10.84688, 10.82230, 10.91480, 10.97145
22-FEB-1991, 12.19044, 11.45008, 11.16279, 11.09767, 10.90209, 10.95640, 10.77846, 10.77647, 10.92248, 10.92146, 10.92049, 10.82984, 10.80565, 10.89810, 10.95463
25-FEB-1991, 12.19044, 11.45008, 11.14621, 11.08262, 10.89697, 10.95920, 10.78081, 10.77852, 10.92434, 10.92333, 10.92242, 10.83169, 10.80739, 10.89981, 10.95645
26-FEB-1991, 12.22626, 11.50143, 11.19430, 11.14565, 10.98319, 11.06786, 10.89589, 10.90269, 11.06097, 11.05892, 11.05710, 10.96363, 10.93751, 11.03122, 11.08839
27-FEB-1991, 12.09496, 11.43149, 11.16953, 11.11387, 10.99236, 11.11103, 10.93899, 10.94702, 11.10761, 11.10403, 11.10092, 11.00595, 10.97756, 11.06952, 11.12581
28-FEB-1991, 12.11874, 11.54271, 11.35117, 11.28163, 11.19374, 11.34838, 11.16918, 11.17735, 11.34517, 11.33942, 11.33458, 11.23459, 11.20251, 11.29639, 11.35407
01-MAR-1991, 12.10945, 11.51309, 11.29817, 11.24450, 11.17184, 11.34433, 11.16582, 11.17874, 11.34245, 11.33718, 11.33300, 11.23589, 11.20200, 11.29809, 11.35520
04-MAR-1991, 12.18090, 11.58030, 11.33063, 11.27943, 11.18086, 11.33212, 11.15652, 11.17187, 11.33794, 11.33334, 11.32954, 11.23285, 11.19997, 11.29712, 11.35458
05-MAR-1991, 12.19289, 11.53817, 11.31228, 11.27955, 11.15433, 11.28252, 11.11042, 11.12756, 11.29403, 11.29000, 11.28655, 11.19089, 11.15892, 11.25571, 11.31334
06-MAR-1991, 12.14517, 11.54669, 11.29776, 11.27989, 11.15264, 11.27919, 11.10625, 11.12261, 11.28822, 11.28371, 11.28009, 11.18434, 11.15189, 11.24818, 11.30512
07-MAR-1991, 12.10945, 11.51309, 11.28152, 11.26241, 11.12612, 11.24388, 11.07244, 11.08908, 11.25383, 11.24937, 11.24597, 11.15076, 11.11837, 11.21386, 11.27060
08-MAR-1991, 12.10945, 11.51309, 11.28152, 11.26241, 11.12612, 11.24388, 11.07244, 11.08908, 11.25383, 11.24937, 11.24597, 11.15076, 11.11837, 11.21386, 11.27060
11-MAR-1991, 12.00248, 11.44791, 11.28012, 11.25341, 11.11309, 11.22723, 11.05445, 11.06941, 11.23190, 11.22688, 11.22288, 11.12769, 11.09439, 11.18809, 11.24379
12-MAR-1991, 11.99051, 11.45444, 11.31778, 11.28695, 11.14385, 11.25668, 11.08215, 11.09629, 11.25875, 11.25337, 11.24890, 11.15313, 11.11933, 11.21318, 11.26902
13-MAR-1991, 12.02619, 11.55920, 11.44557, 11.40664, 11.26541, 11.38507, 11.20426, 11.21648, 11.38045, 11.37414, 11.36902, 11.27079, 11.23538, 11.33057, 11.38695
14-MAR-1991, 11.94300, 11.48075, 11.40204, 11.37732, 11.23441, 11.35128, 11.17665, 11.19355, 11.36168, 11.35492, 11.34937, 11.25121, 11.21511, 11.30873, 11.36450
15-MAR-1991, 11.83621, 11.46884, 11.37999, 11.35017, 11.22279, 11.35215, 11.17504, 11.18936, 11.35504, 11.34745, 11.34136, 11.24285, 11.20551, 11.29767, 11.35260
18-MAR-1991, 11.87183, 11.50248, 11.39628, 11.33454, 11.25470, 11.42488, 11.24343, 11.25602, 11.42163, 11.41376, 11.40719, 11.30743, 11.26945, 11.36249, 11.41793
19-MAR-1991, 12.00248, 11.50123, 11.39287, 11.35651, 11.27111, 11.43718, 11.25753, 11.27246, 11.44070, 11.43368, 11.42772, 11.32814, 11.29148, 11.38653, 11.44334
20-MAR-1991, 11.94300, 11.51632, 11.41609, 11.37392, 11.24062, 11.36561, 11.17777, 11.18252, 11.33847, 11.33190, 11.32654, 11.22883, 11.19309, 11.28697, 11.34241
21-MAR-1991, 11.83621, 11.50442, 11.36065, 11.31644, 11.16539, 11.27279, 11.11316, 11.14207, 11.32032, 11.31303, 11.30717, 11.20944, 11.17280, 11.26478, 11.31917
22-MAR-1991, 11.83621, 11.50442, 11.36065, 11.31644, 11.16539, 11.27279, 11.11316, 11.14207, 11.32032, 11.31303, 11.30717, 11.20944, 11.17280, 11.26478, 11.31917
25-MAR-1991, 12.03805, 11.55259, 11.42447, 11.38816, 11.23985, 11.35259, 11.18030, 11.19935, 11.36977, 11.36368, 11.35878, 11.26078, 11.22557, 11.32077, 11.37740
26-MAR-1991, 12.07374, 11.56842, 11.44206, 11.40666, 11.26738, 11.38863, 11.21474, 11.23363, 11.40467, 11.39849, 11.39355, 11.29496, 11.25961, 11.35561, 11.41267
27-MAR-1991, 11.96681, 11.55657, 11.45348, 11.40991, 11.25733, 11.36708, 11.19262, 11.21015, 11.37945, 11.37260, 11.36713, 11.26867, 11.23254, 11.32675, 11.38283
28-MAR-1991, 11.96681, 11.55657, 11.45348, 11.40991, 11.25733, 11.36708, 11.19262, 11.21015, 11.37945, 11.37260, 11.36713, 11.26867, 11.23254, 11.32675, 11.38283
29-MAR-1991, 11.96681, 11.55657, 11.45348, 11.40991, 11.25733, 11.36708, 11.19262, 11.21015, 11.37945, 11.37260, 11.36713, 11.26867, 11.23254, 11.32675, 11.38283
01-APR-1991, 11.96684, 11.55659, 11.45351, 11.40993, 11.25735, 11.36710, 11.19264, 11.21016, 11.37947, 11.37262, 11.36715, 11.26869, 11.23256, 11.32677, 11.38285
02-APR-1991, 11.95499, 11.50981, 11.37836, 11.34032, 11.18331, 11.28637, 11.10993, 11.12322, 11.28578, 11.27983, 11.27510, 11.17850, 11.14367, 11.23741, 11.29291
03-APR-1991, 11.94303, 11.48077, 11.35198, 11.31524, 11.14171, 11.22951, 11.05631, 11.07102, 11.23344, 11.22785, 11.22352, 11.12803, 11.09399, 11.18703, 11.24229
04-APR-1991, 11.91934, 11.49396, 11.27742, 11.24608, 11.07699, 11.16575, 10.99562, 11.01135, 11.17289, 11.16785, 11.16371, 11.06939, 11.03602, 11.12829, 11.18331
05-APR-1991, 11.89554, 11.48931, 11.30411, 11.26875, 11.11467, 11.21738, 11.03740, 11.04525, 11.20007, 11.19443, 11.19002, 11.09501, 11.06094, 11.15325, 11.20793
