Date,1Y1Y,2Y1Y,3Y1Y,4Y1Y,5Y1Y,6Y1Y,7Y1Y,8Y1Y,9Y1Y,10Y1Y,11Y1Y,12Y1Y,15Y1Y,20Y1Y,25Y1Y
16-NOV-1990, 12.37188, 11.72913, 11.45710, 11.89804, 12.38065, 12.45808, 12.22318, 12.29534, 13.11891, 12.17175, 12.17919, 12.22711, 12.16184, 12.19402, 12.19702
19-NOV-1990, 12.37188, 11.72913, 11.45710, 11.89804, 12.38065, 12.45808, 12.22318, 12.29534, 13.11891, 12.17175, 12.17919, 12.22711, 12.16184, 12.19402, 12.19702
20-NOV-1990, 12.37188, 11.72913, 11.45710, 11.89804, 12.38065, 12.45808, 12.22318, 12.29534, 13.11891, 12.17175, 12.17919, 12.22711, 12.16184, 12.19402, 12.19702
21-NOV-1990, 12.37188, 11.72913, 11.45710, 11.89804, 12.38065, 12.45808, 12.22318, 12.29534, 13.11891, 12.17175, 12.17919, 12.22711, 12.16184, 12.19402, 12.19702
22-NOV-1990, 12.20165, 11.53529, 11.18968, 11.70815, 12.19024, 12.26039, 12.05985, 12.16443, 12.99946, 11.99300, 12.00373, 12.05244, 11.98160, 12.01923, 12.01526
23-NOV-1990, 12.25592, 11.64926, 11.40241, 11.80245, 12.23994, 12.30322, 12.09572, 12.19433, 13.02614, 12.06312, 12.07010, 12.11903, 12.05402, 12.08754, 12.08719
26-NOV-1990, 12.14191, 11.50798, 11.18739, 11.66497, 11.94175, 11.91408, 11.83647, 12.09474, 13.02826, 11.88775, 11.89494, 11.95124, 11.87318, 11.91454, 11.91054
27-NOV-1990, 12.22281, 11.60625, 11.21063, 11.79528, 11.91940, 11.77720, 11.78028, 12.15471, 13.17969, 11.92511, 11.93230, 11.99476, 11.90773, 11.95446, 11.94647
28-NOV-1990, 12.23526, 11.62808, 11.38195, 11.84742, 11.96446, 11.83960, 11.81226, 12.14733, 13.14367, 11.96355, 11.97185, 12.03017, 11.94699, 11.99254, 11.98786
29-NOV-1990, 12.30595, 11.59109, 11.44513, 11.77658, 11.96857, 11.92601, 11.85538, 12.12416, 13.07203, 11.98263, 11.99257, 12.04754, 11.97077, 12.00962, 12.00749
30-NOV-1990, 12.19922, 11.53549, 11.23998, 11.71739, 11.87306, 11.78473, 11.77828, 12.12991, 13.13557, 11.90181, 11.91090, 11.97131, 11.88352, 11.93156, 11.92544
03-DEC-1990, 12.27235, 11.56164, 11.04228, 11.71912, 11.99245, 11.86227, 11.68996, 11.85507, 12.69215, 11.83909, 11.84342, 11.88827, 11.83215, 11.85780, 11.86328
04-DEC-1990, 12.36671, 11.62031, 11.07601, 11.79261, 11.83139, 11.56279, 11.51206, 11.83689, 12.78870, 11.81662, 11.82483, 11.87490, 11.80642, 11.84066, 11.84272
05-DEC-1990, 12.30254, 11.50726, 11.01406, 11.72943, 11.88357, 11.68792, 11.59009, 11.84780, 12.75398, 11.80867, 11.81436, 11.86300, 11.79886, 11.82990, 11.83126
