Date,1Y1Y,1Y2Y,1Y3Y,1Y4Y,1Y5Y,1Y6Y,1Y7Y,1Y8Y,1Y9Y,1Y10Y,1Y11Y,1Y12Y,1Y15Y,1Y20Y,1Y25Y
26-AUG-1992, 5.98283, 6.85519, 7.31615, 7.72425, 7.95412, 8.25042, 8.56092, 8.93946, 9.39993, 9.34296, 9.29870, 9.19947, 9.09466, 9.06368, 9.04552
27-AUG-1992, 5.92775, 6.65780, 7.24163, 7.71925, 7.90784, 8.16951, 8.42362, 8.74610, 9.14574, 9.09196, 9.05032, 8.95617, 8.85673, 8.82704, 8.80964
28-AUG-1992, 5.87270, 6.79912, 7.27837, 7.69565, 8.23159, 8.78732, 8.74018, 8.79902, 8.94778, 8.89674, 8.85702, 8.76688, 8.67194, 8.64389, 8.62702
01-SEP-1992, 5.93003, 6.71688, 7.28160, 7.74986, 8.14696, 8.58511, 9.09620, 9.68182, 10.37744, 10.30985, 10.25701, 10.13833, 10.01485, 9.98189, 9.96285
02-SEP-1992, 5.93003, 6.59854, 7.17813, 7.65032, 8.02621, 8.44283, 8.83544, 9.29897, 9.85607, 9.79385, 9.74535, 9.63705, 9.52312, 9.49029, 9.47128
03-SEP-1992, 5.93003, 6.29558, 7.14241, 7.77323, 8.16715, 8.60362, 9.11365, 9.69881, 10.39451, 10.32669, 10.27367, 10.15471, 10.03101, 9.99794, 9.97907
04-SEP-1992, 5.87500, 6.68890, 7.26272, 7.73555, 8.13540, 8.57538, 9.08775, 9.67433, 10.37065, 10.30352, 10.25125, 10.13304, 10.01053, 9.97843, 9.96035
07-SEP-1992, 5.85615, 6.45638, 7.07279, 7.56216, 7.79368, 8.08581, 8.70021, 9.37163, 10.14540, 10.07935, 10.02797, 9.91346, 9.79295, 9.75876, 9.73892
08-SEP-1992, 5.93003, 6.54791, 7.08777, 7.53226, 7.93978, 8.37890, 8.74264, 9.17613, 9.69898, 9.63841, 9.59117, 9.48591, 9.37484, 9.34231, 9.32333
09-SEP-1992, 5.93003, 6.54791, 7.08777, 7.53226, 7.93978, 8.37890, 8.74264, 9.17613, 9.69898, 9.63841, 9.59117, 9.48591, 9.37484, 9.34231, 9.32333
10-SEP-1992, 5.85615, 6.59128, 7.09879, 7.52476, 7.86120, 8.24004, 8.63762, 9.09967, 9.64860, 9.58777, 9.54053, 9.43578, 9.32437, 9.29051, 9.27108
11-SEP-1992, 5.96171, 6.52933, 7.05669, 7.49243, 7.92043, 8.37544, 8.77034, 9.23385, 9.78899, 9.72771, 9.68013, 9.57329, 9.46101, 9.42883, 9.41029
14-SEP-1992, 5.85615, 6.59128, 7.09879, 7.52476, 7.86120, 8.24004, 8.63762, 9.09967, 9.64860, 9.58777, 9.54053, 9.43578, 9.32437, 9.29051, 9.27108
15-SEP-1992, 5.85615, 6.50693, 7.07099, 7.52927, 7.82249, 8.16506, 8.56510, 9.02710, 9.57386, 9.51385, 9.46707, 9.36376, 9.25376, 9.22016, 9.20049
16-SEP-1992, 5.85615, 6.50693, 7.07099, 7.52927, 7.99346, 8.48093, 8.83920, 9.27067, 9.79434, 9.73205, 9.68336, 9.57588, 9.46199, 9.42792, 9.40836
17-SEP-1992, 5.85615, 6.50693, 7.07099, 7.52927, 7.90780, 8.32236, 8.71695, 9.17856, 9.72979, 9.66819, 9.61999, 9.51372, 9.40097, 9.36711, 9.34740
18-SEP-1992, 5.85615, 6.50693, 7.07099, 7.52927, 7.90780, 8.32236, 8.68649, 9.11866, 9.63815, 9.57745, 9.53018, 9.42567, 9.31454, 9.28071, 9.26124
21-SEP-1992, 5.85615, 6.50693, 7.08941, 7.55945, 8.09082, 8.63742, 9.02075, 9.48180, 10.04222, 9.97738, 9.92669, 9.81430, 9.69580, 9.66154, 9.64185
22-SEP-1992, 5.89836, 6.65095, 7.14652, 7.56760, 8.08381, 8.61754, 9.00281, 9.46512, 10.02627, 9.96187, 9.91180, 9.79994, 9.68233, 9.64892, 9.62991
23-SEP-1992, 5.90892, 6.64474, 7.15159, 7.57944, 8.08698, 8.61358, 8.99926, 9.46185, 10.02317, 9.95906, 9.90901, 9.79729, 9.67996, 9.64668, 9.62740
24-SEP-1992, 5.90892, 6.64474, 7.15159, 7.57944, 8.08698, 8.61358, 8.99926, 9.46185, 10.02317, 9.95906, 9.90901, 9.79729, 9.67996, 9.64668, 9.62740
25-SEP-1992, 5.89836, 6.65095, 7.14652, 7.56760, 8.08381, 8.61754, 9.00281, 9.46512, 10.02627, 9.96187, 9.91180, 9.79994, 9.68233, 9.64892, 9.62991
28-SEP-1992, 5.90892, 6.64474, 7.15159, 7.57944, 8.08698, 8.61358, 8.99926, 9.46185, 10.02317, 9.95906, 9.90901, 9.79729, 9.67996, 9.64668, 9.62740
29-SEP-1992, 5.87725, 6.66337, 7.13655, 7.54391, 8.07763, 8.62545, 9.00990, 9.47166, 10.03247, 9.96790, 9.91755, 9.80547, 9.68747, 9.65355, 9.63427
30-SEP-1992, 5.87725, 6.66337, 7.09058, 7.46865, 8.00587, 8.55386, 8.94057, 9.40213, 9.96062, 9.89675, 9.84700, 9.73636, 9.61971, 9.58587, 9.56636
07-OCT-1992, 5.70935, 6.61712, 7.02635, 7.39100, 7.92262, 8.46270, 8.84773, 9.30470, 9.85532, 9.79038, 9.73964, 9.62985, 9.51192, 9.47467, 9.45298
08-OCT-1992, 5.87947, 6.89204, 7.25069, 7.59546, 8.10587, 8.63571, 9.01821, 9.47841, 10.03787, 9.97206, 9.92081, 9.80800, 9.68831, 9.65287, 9.63220
09-OCT-1992, 5.87725, 7.00279, 7.32184, 7.64634, 8.15061, 8.67709, 9.06075, 9.52334, 10.08693, 10.02178, 9.97088, 9.85771, 9.73875, 9.70504, 9.68559
12-OCT-1992, 5.87725, 7.00279, 7.32184, 7.64634, 8.15061, 8.67709, 9.06075, 9.52334, 10.08693, 10.02178, 9.97088, 9.85771, 9.73875, 9.70504, 9.68559
13-OCT-1992, 5.87725, 7.00279, 7.32184, 7.64634, 8.15061, 8.67709, 9.06075, 9.52334, 10.08693, 10.02178, 9.97088, 9.85771, 9.73875, 9.70504, 9.68559
14-OCT-1992, 5.98511, 6.99955, 7.31947, 7.64440, 8.14890, 8.67552, 9.05929, 9.52194, 10.08555, 10.02032, 9.96952, 9.85638, 9.73743, 9.70374, 9.68445
16-OCT-1992, 5.93003, 7.05661, 7.36541, 7.68589, 8.19932, 8.73538, 9.11835, 9.58226, 10.14898, 10.08368, 10.03275, 9.91869, 9.79943, 9.76643, 9.74762
19-OCT-1992, 5.93003, 7.05661, 7.36541, 7.68589, 8.19932, 8.73538, 9.11835, 9.58226, 10.14898, 10.08368, 10.03275, 9.91869, 9.79943, 9.76643, 9.74762
20-OCT-1992, 6.35303, 6.97551, 7.37096, 7.74282, 8.28898, 8.85564, 9.24352, 9.71616, 10.29652, 10.23395, 10.18546, 10.07085, 9.95539, 9.92972, 9.91536
21-OCT-1992, 6.35303, 7.40217, 7.77022, 8.14412, 8.64658, 9.19132, 9.56944, 10.04369, 10.63727, 10.57127, 10.51987, 10.39835, 10.27674, 10.25152, 10.23745
22-OCT-1992, 6.38481, 7.33173, 7.71253, 8.09140, 8.62362, 9.19234, 9.57072, 10.04527, 10.63921, 10.57351, 10.52243, 10.40107, 10.27994, 10.25510, 10.24121
23-OCT-1992, 6.26833, 7.59058, 7.93349, 8.30035, 8.80075, 9.35034, 9.72170, 10.19475, 10.79245, 10.72389, 10.67050, 10.54541, 10.41984, 10.39308, 10.37836
26-OCT-1992, 6.48373, 7.49577, 7.79402, 8.12756, 8.63921, 9.19139, 9.56927, 10.04330, 10.63663, 10.57044, 10.51885, 10.39722, 10.27531, 10.24969, 10.23535
27-OCT-1992, 6.60201, 7.59921, 7.84363, 8.14764, 8.57435, 9.05329, 9.43784, 9.91390, 10.50452, 10.44030, 10.39019, 10.27161, 10.15297, 10.12796, 10.11403
28-OCT-1992, 6.50694, 7.47968, 7.82892, 8.19451, 8.71760, 9.28251, 9.65590, 10.12871, 10.72360, 10.65581, 10.60293, 10.47921, 10.35482, 10.32811, 10.31322
29-OCT-1992, 6.52917, 7.45669, 7.77882, 8.12588, 8.65131, 9.21552, 9.59064, 10.06276, 10.65482, 10.58755, 10.53518, 10.41267, 10.28903, 10.26194, 10.24691
30-OCT-1992, 6.43314, 7.38186, 7.69594, 8.03426, 8.54318, 9.08918, 9.46682, 9.93712, 10.52291, 10.45616, 10.40437, 10.28413, 10.16175, 10.13328, 10.11721
02-NOV-1992, 6.51706, 7.42698, 7.75875, 8.11064, 8.63891, 9.20498, 9.58148, 10.05460, 10.64740, 10.58064, 10.52888, 10.40688, 10.28431, 10.25803, 10.24336
03-NOV-1992, 6.57014, 7.48091, 7.83961, 8.21135, 8.71116, 9.25633, 9.63265, 10.10745, 10.70363, 10.63686, 10.58489, 10.46211, 10.33948, 10.31421, 10.29987
04-NOV-1992, 6.51706, 7.42698, 7.78670, 8.15643, 8.65639, 9.19946, 9.57638, 10.04973, 10.64259, 10.57605, 10.52420, 10.40223, 10.27961, 10.25337, 10.23886
05-NOV-1992, 6.51706, 7.42698, 7.78670, 8.15643, 8.65639, 9.19946, 9.57638, 10.04973, 10.64259, 10.57605, 10.52420, 10.40223, 10.27961, 10.25337, 10.23886
09-NOV-1992, 6.62325, 7.53486, 7.88326, 8.25099, 8.76013, 9.31511, 9.69067, 10.16666, 10.76636, 10.69943, 10.64746, 10.52364, 10.40064, 10.37649, 10.36284
10-NOV-1992, 6.67638, 7.58884, 7.88975, 8.22939, 8.74214, 9.29945, 9.67679, 10.15399, 10.75449, 10.68826, 10.63700, 10.51369, 10.39164, 10.36825, 10.35508
11-NOV-1992, 6.62325, 7.53486, 7.86469, 8.22039, 8.74847, 9.31885, 9.69412, 10.16995, 10.76961, 10.70283, 10.65083, 10.52685, 10.40361, 10.37948, 10.36588
12-NOV-1992, 6.63540, 7.47880, 7.81025, 8.16424, 8.69256, 9.26088, 9.63684, 10.11145, 10.70758, 10.64089, 10.58885, 10.46593, 10.34311, 10.31780, 10.30378
13-NOV-1992, 6.63540, 7.47880, 7.81025, 8.16424, 8.69256, 9.26088, 9.63684, 10.11145, 10.70758, 10.64089, 10.58885, 10.46593, 10.34311, 10.31780, 10.30378
16-NOV-1992, 6.67638, 7.58884, 7.93636, 8.30594, 8.81478, 9.37207, 9.74701, 10.22426, 10.82753, 10.76060, 10.70850, 10.58369, 10.46031, 10.43709, 10.42436
17-NOV-1992, 6.67378, 7.61443, 7.97952, 8.36181, 8.86376, 9.41728, 9.79308, 10.27285, 10.88024, 10.81392, 10.76238, 10.63708, 10.51438, 10.49302, 10.48134
18-NOV-1992, 6.56502, 7.61805, 7.92620, 8.27197, 8.78709, 9.34821, 9.72614, 10.20551, 10.81028, 10.74459, 10.69365, 10.56981, 10.44839, 10.42696, 10.41514
19-NOV-1992, 6.56502, 7.53209, 7.85161, 8.20054, 8.71880, 9.27974, 9.65974, 10.13889, 10.74085, 10.67597, 10.62559, 10.50316, 10.38295, 10.36139, 10.34949
20-NOV-1992, 6.61807, 7.50016, 7.87649, 8.26047, 8.77784, 9.34075, 9.71981, 10.20006, 10.80554, 10.74056, 10.69001, 10.56657, 10.44602, 10.42534, 10.41436
23-NOV-1992, 6.67115, 7.55405, 7.93868, 8.33073, 8.83847, 9.39579, 9.77439, 10.25618, 10.86506, 10.80001, 10.74947, 10.62507, 10.50423, 10.48470, 10.47439
