Date,1Y1Y,1Y2Y,1Y3Y,1Y4Y,1Y5Y,1Y6Y,1Y7Y,1Y8Y,1Y9Y,1Y10Y,1Y11Y,1Y12Y,1Y15Y,1Y20Y,1Y25Y
17-MAY-2000, 11.07512, 10.29281, 10.26530, 10.24516, 10.23304, 10.22515, 10.22357, 10.21870, 10.21489, 10.21193, 10.21224, 10.13168, 10.10505, 10.17893, 10.22310
18-MAY-2000, 11.06840, 10.29422, 10.26442, 10.24427, 10.23210, 10.22396, 10.22245, 10.21763, 10.21387, 10.21075, 10.21109, 10.13098, 10.10450, 10.17823, 10.22212
19-MAY-2000, 11.06840, 10.29422, 10.26442, 10.24427, 10.23210, 10.22396, 10.22245, 10.21763, 10.21387, 10.21075, 10.21109, 10.13098, 10.10450, 10.17823, 10.22212
22-MAY-2000, 11.07512, 10.29281, 10.26530, 10.24516, 10.23304, 10.22515, 10.22357, 10.21870, 10.21489, 10.21193, 10.21224, 10.13168, 10.10505, 10.17893, 10.22310
23-MAY-2000, 11.07512, 10.29281, 10.26530, 10.24516, 10.23304, 10.22515, 10.22357, 10.21870, 10.21489, 10.21193, 10.21224, 10.13168, 10.10505, 10.17893, 10.22310
24-MAY-2000, 11.07512, 10.29281, 10.26530, 10.24516, 10.23304, 10.22515, 10.22357, 10.21870, 10.21489, 10.21193, 10.21224, 10.13168, 10.10505, 10.17893, 10.22310
25-MAY-2000, 11.06840, 10.29422, 10.26442, 10.24427, 10.23210, 10.22396, 10.22245, 10.21763, 10.21387, 10.21075, 10.21109, 10.13098, 10.10450, 10.17823, 10.22212
26-MAY-2000, 11.06840, 10.29422, 10.26442, 10.24427, 10.23210, 10.22396, 10.22245, 10.21763, 10.21387, 10.21075, 10.21109, 10.13098, 10.10450, 10.17823, 10.22212
30-MAY-2000, 11.24204, 10.20355, 10.20003, 10.19248, 10.18801, 10.18498, 10.18708, 10.18492, 10.18321, 10.18197, 10.18358, 10.10436, 10.08024, 10.15637, 10.20181
31-MAY-2000, 11.24204, 10.20355, 10.20003, 10.19248, 10.18801, 10.18498, 10.18708, 10.18492, 10.18321, 10.18197, 10.18358, 10.10436, 10.08024, 10.15637, 10.20181
01-JUN-2000, 11.23512, 10.69836, 10.64062, 10.60533, 10.58405, 10.56997, 10.56419, 10.55606, 10.54973, 10.54470, 10.54329, 10.45717, 10.42716, 10.50416, 10.55007
02-JUN-2000, 11.34646, 10.63925, 10.59690, 10.57000, 10.55383, 10.54311, 10.53963, 10.53338, 10.52839, 10.52452, 10.52397, 10.43876, 10.41045, 10.48901, 10.53571
