Date,1Y1Y,1Y2Y,1Y3Y,1Y4Y,1Y5Y,1Y6Y,1Y7Y,1Y8Y,1Y9Y,1Y10Y,1Y11Y,1Y12Y,1Y15Y,1Y20Y,1Y25Y
18-MAY-2005, 4.91121, 5.22777, 5.62466, 5.98929, 5.92258, 5.87935, 5.84626, 5.82147, 5.80212, 5.78829, 5.77553, 5.73973, 5.70662, 5.70156, 5.69856
19-MAY-2005, 4.90768, 5.14586, 5.55058, 5.88447, 5.82370, 5.78327, 5.75209, 5.72882, 5.71067, 5.69772, 5.68561, 5.65135, 5.62002, 5.61563, 5.61304
20-MAY-2005, 4.80677, 5.14351, 5.54290, 5.83161, 5.77051, 5.73024, 5.69912, 5.67582, 5.65774, 5.64481, 5.63284, 5.59904, 5.56786, 5.56308, 5.56025
23-MAY-2005, 4.88707, 5.26951, 5.61673, 5.97681, 5.90758, 5.86267, 5.82839, 5.80255, 5.78251, 5.76812, 5.75490, 5.71900, 5.68519, 5.67897, 5.67536
24-MAY-2005, 5.04046, 5.34511, 5.57526, 6.08001, 6.00725, 5.95957, 5.92317, 5.89590, 5.87474, 5.85943, 5.84538, 5.80810, 5.77265, 5.76574, 5.76154
25-MAY-2005, 4.99953, 5.34601, 5.57599, 6.04513, 5.97364, 5.92689, 5.89119, 5.86439, 5.84368, 5.82855, 5.81490, 5.77803, 5.74302, 5.73642, 5.73253
30-MAY-2005, 4.98931, 5.22783, 5.54362, 6.01465, 5.94439, 5.89836, 5.86331, 5.83703, 5.81661, 5.80186, 5.78825, 5.75186, 5.71747, 5.71099, 5.70717
31-MAY-2005, 5.04046, 5.18732, 5.58018, 6.01366, 5.94318, 5.89732, 5.86225, 5.83606, 5.81557, 5.80088, 5.78732, 5.75087, 5.71638, 5.71002, 5.70628
01-JUN-2005, 4.98931, 5.26728, 5.57863, 6.04757, 5.97588, 5.92908, 5.89341, 5.86669, 5.84581, 5.83070, 5.81694, 5.78007, 5.74512, 5.73856, 5.73455
02-JUN-2005, 4.88325, 5.10867, 5.40091, 5.91406, 5.85068, 5.80726, 5.77411, 5.74933, 5.72991, 5.71603, 5.70327, 5.66824, 5.63537, 5.62968, 5.62628
03-JUN-2005, 4.87296, 5.15825, 5.16679, 5.90339, 5.84276, 5.79996, 5.76718, 5.74252, 5.72338, 5.70968, 5.69696, 5.66210, 5.62956, 5.62410, 5.62070
06-JUN-2005, 4.86199, 5.16546, 5.26853, 5.82445, 5.76118, 5.71964, 5.68774, 5.66394, 5.64536, 5.63198, 5.61973, 5.58566, 5.55386, 5.54846, 5.54533
07-JUN-2005, 4.88894, 5.15086, 5.24700, 5.84155, 5.77472, 5.73073, 5.69708, 5.67178, 5.65220, 5.63809, 5.62513, 5.59047, 5.55740, 5.55080, 5.54686
08-JUN-2005, 4.73480, 5.18191, 5.24391, 5.86998, 5.80415, 5.76076, 5.72750, 5.70255, 5.68317, 5.66923, 5.65645, 5.62164, 5.58877, 5.58271, 5.57909
09-JUN-2005, 4.75548, 5.11057, 5.25103, 5.87099, 5.80875, 5.76457, 5.73075, 5.70539, 5.68554, 5.67134, 5.65835, 5.62358, 5.59044, 5.58391, 5.57996
14-JUN-2005, 4.96326, 5.13587, 5.28435, 5.91360, 5.84908, 5.80655, 5.77390, 5.74942, 5.73040, 5.71675, 5.70406, 5.66908, 5.63657, 5.63119, 5.62806
15-JUN-2005, 4.96326, 5.41210, 5.42027, 6.00641, 5.93793, 5.89294, 5.85850, 5.83264, 5.81252, 5.79812, 5.78481, 5.74856, 5.71451, 5.70860, 5.70512
16-JUN-2005, 4.94910, 5.41312, 5.52245, 6.03604, 5.96837, 5.92217, 5.88693, 5.86044, 5.83995, 5.82511, 5.81155, 5.77498, 5.74038, 5.73400, 5.73016
