Date,1Y1Y,2Y1Y,3Y1Y,4Y1Y,5Y1Y,6Y1Y,7Y1Y,8Y1Y,9Y1Y,10Y1Y,11Y1Y,12Y1Y,15Y1Y,20Y1Y,25Y1Y
01-NOV-1988, 4.93493, 5.17156, 5.20940, 5.44596, 5.26080, 5.55073, 5.33105, 5.61115, 5.94461, 5.31848, 5.32826, 5.04733, 4.82124, 4.80975, 4.81021
02-NOV-1988, 4.93493, 5.20379, 5.17574, 5.44573, 5.22233, 5.50682, 5.24645, 5.51652, 5.84000, 5.28119, 5.29181, 5.01422, 4.79103, 4.77959, 4.77954
04-NOV-1988, 4.95506, 5.22286, 5.15277, 5.45399, 5.23322, 5.51625, 5.22014, 5.48431, 5.80257, 5.28106, 5.28825, 5.01340, 4.79345, 4.78369, 4.78391
07-NOV-1988, 4.99937, 5.33019, 5.17028, 5.62149, 5.30114, 5.59462, 5.20949, 5.47532, 5.79241, 5.32608, 5.33791, 5.05607, 4.82907, 4.81716, 4.81767
08-NOV-1988, 4.99937, 5.36250, 5.13659, 5.50726, 5.35910, 5.65940, 5.20986, 5.47537, 5.79251, 5.32757, 5.33803, 5.05681, 4.82976, 4.81741, 4.81898
09-NOV-1988, 4.99937, 5.29790, 5.20398, 5.39392, 5.41636, 5.72504, 5.21023, 5.47545, 5.79268, 5.32758, 5.34137, 5.05767, 4.83053, 4.81926, 4.81951
10-NOV-1988, 4.96575, 5.16906, 5.22966, 5.18304, 5.42274, 5.73338, 5.27844, 5.54726, 5.87291, 5.31834, 5.32635, 5.04663, 4.82380, 4.81402, 4.81475
11-NOV-1988, 4.95506, 5.15876, 5.17545, 5.33107, 5.31863, 5.61356, 5.25857, 5.52647, 5.84901, 5.29623, 5.30392, 5.02590, 4.80538, 4.79572, 4.79606
14-NOV-1988, 4.93493, 5.13934, 5.15480, 5.19804, 5.35625, 5.65827, 5.16319, 5.42364, 5.73518, 5.24693, 5.25897, 4.98476, 4.76417, 4.75288, 4.75243
15-NOV-1988, 4.93493, 5.17156, 5.20940, 5.21890, 5.37563, 5.68078, 5.10693, 5.36157, 5.66564, 5.24354, 5.25540, 4.98114, 4.76081, 4.74943, 4.74992
