Date,1Y1Y,1Y2Y,1Y3Y,1Y4Y,1Y5Y,1Y6Y,1Y7Y,1Y8Y,1Y9Y,1Y10Y,1Y11Y,1Y12Y,1Y15Y,1Y20Y,1Y25Y
01-NOV-1988, 4.93493, 5.05318, 5.10523, 5.19031, 5.20440, 5.26204, 5.27190, 5.31425, 5.38410, 5.37754, 5.37306, 5.34587, 5.32619, 5.33136, 5.33442
02-NOV-1988, 4.93493, 5.06928, 5.10475, 5.18989, 5.19638, 5.24806, 5.24783, 5.28138, 5.34330, 5.33709, 5.33297, 5.30637, 5.28741, 5.29292, 5.29617
04-NOV-1988, 4.95506, 5.08887, 5.11017, 5.19602, 5.20346, 5.25553, 5.25047, 5.27967, 5.33764, 5.33198, 5.32801, 5.30175, 5.28330, 5.28916, 5.29259
07-NOV-1988, 4.99937, 5.16465, 5.16653, 5.28009, 5.28429, 5.33595, 5.31788, 5.33754, 5.38799, 5.38180, 5.37781, 5.35096, 5.33215, 5.33823, 5.34176
08-NOV-1988, 4.99937, 5.18078, 5.16605, 5.25125, 5.27281, 5.33714, 5.31895, 5.33849, 5.38884, 5.38271, 5.37865, 5.35179, 5.33298, 5.33904, 5.34251
09-NOV-1988, 4.99937, 5.14853, 5.16701, 5.22369, 5.26220, 5.33920, 5.32076, 5.34009, 5.39028, 5.38401, 5.38013, 5.35322, 5.33430, 5.34033, 5.34395
10-NOV-1988, 4.96575, 5.06735, 5.12143, 5.13683, 5.19395, 5.28366, 5.28291, 5.31592, 5.37766, 5.37173, 5.36760, 5.34082, 5.32175, 5.32737, 5.33068
11-NOV-1988, 4.95506, 5.05686, 5.09638, 5.15500, 5.18771, 5.25856, 5.25856, 5.29201, 5.35376, 5.34800, 5.34399, 5.31745, 5.29860, 5.30432, 5.30769
14-NOV-1988, 4.93493, 5.03709, 5.07631, 5.10673, 5.15659, 5.24003, 5.22905, 5.25336, 5.30679, 5.30080, 5.29699, 5.27094, 5.25268, 5.25858, 5.26206
15-NOV-1988, 4.93493, 5.05318, 5.10523, 5.13363, 5.18199, 5.26496, 5.24237, 5.25726, 5.30256, 5.29665, 5.29290, 5.26689, 5.24865, 5.25451, 5.25799
16-NOV-1988, 4.93493, 5.06928, 5.13416, 5.13224, 5.18075, 5.26390, 5.24146, 5.25647, 5.30184, 5.29586, 5.29217, 5.26616, 5.24794, 5.25388, 5.25729
17-NOV-1988, 4.94428, 5.06232, 5.12934, 5.14287, 5.16796, 5.23305, 5.21801, 5.23824, 5.28802, 5.28268, 5.27910, 5.25346, 5.23567, 5.24174, 5.24535
18-NOV-1988, 4.99800, 5.11495, 5.15240, 5.19585, 5.21269, 5.27221, 5.24634, 5.25787, 5.30024, 5.29521, 5.29188, 5.26636, 5.24907, 5.25590, 5.25995
21-NOV-1988, 5.03166, 5.09957, 5.14196, 5.18817, 5.20648, 5.26730, 5.24159, 5.25403, 5.29701, 5.29193, 5.28904, 5.26363, 5.24679, 5.25415, 5.25839
22-NOV-1988, 4.99937, 5.08410, 5.13951, 5.16965, 5.19545, 5.26169, 5.24082, 5.25717, 5.30373, 5.29829, 5.29515, 5.26947, 5.25208, 5.25886, 5.26291
24-NOV-1988, 4.97653, 5.07790, 5.11728, 5.14768, 5.16620, 5.22614, 5.20673, 5.22329, 5.26950, 5.26450, 5.26145, 5.23626, 5.21925, 5.22593, 5.22985
25-NOV-1988, 4.97653, 5.09390, 5.11687, 5.14727, 5.16587, 5.22586, 5.20649, 5.22308, 5.26931, 5.26432, 5.26114, 5.23597, 5.21900, 5.22576, 5.22980
28-NOV-1988, 5.02097, 5.16964, 5.15853, 5.21721, 5.21810, 5.26624, 5.24063, 5.25318, 5.29624, 5.29108, 5.28811, 5.26265, 5.24569, 5.25290, 5.25706
