Date,1Y1Y,2Y1Y,3Y1Y,4Y1Y,5Y1Y,6Y1Y,7Y1Y,8Y1Y,9Y1Y,10Y1Y,11Y1Y,12Y1Y,15Y1Y,20Y1Y,25Y1Y
01-NOV-1988, 4.94635, 5.17193, 5.20837, 5.44610, 5.42463, 5.37711, 5.45382, 5.58747, 5.83090, 5.31180, 5.32516, 5.33020, 5.31578, 5.31595, 5.30575
02-NOV-1988, 4.95894, 5.20446, 5.17440, 5.44602, 5.40075, 5.31785, 5.37378, 5.49229, 5.72174, 5.27483, 5.28877, 5.29117, 5.28031, 5.27797, 5.26911
04-NOV-1988, 4.98118, 5.22505, 5.15015, 5.45494, 5.41899, 5.32095, 5.35809, 5.45595, 5.67707, 5.27348, 5.28468, 5.28629, 5.27816, 5.27484, 5.26635
07-NOV-1988, 5.04829, 5.33146, 5.16812, 5.62249, 5.53279, 5.34939, 5.35829, 5.44527, 5.65559, 5.32003, 5.33491, 5.33313, 5.32796, 5.32274, 5.31532
08-NOV-1988, 5.05855, 5.36400, 5.13433, 5.50776, 5.55323, 5.45426, 5.41227, 5.43496, 5.60695, 5.31995, 5.33494, 5.33172, 5.32943, 5.32293, 5.31629
09-NOV-1988, 5.03141, 5.29875, 5.20254, 5.39359, 5.56226, 5.57112, 5.47336, 5.42423, 5.55102, 5.32135, 5.33508, 5.32985, 5.33165, 5.32357, 5.31730
10-NOV-1988, 4.96155, 5.16943, 5.22980, 5.18075, 5.49108, 5.66308, 5.56801, 5.49112, 5.60921, 5.30818, 5.32117, 5.31874, 5.31631, 5.30990, 5.30293
11-NOV-1988, 4.95758, 5.15970, 5.17417, 5.33067, 5.45019, 5.47587, 5.46031, 5.48693, 5.66493, 5.28658, 5.30028, 5.30041, 5.29212, 5.28844, 5.28124
14-NOV-1988, 4.93589, 5.13949, 5.15406, 5.19709, 5.45354, 5.55600, 5.44663, 5.36810, 5.47637, 5.24063, 5.25439, 5.24892, 5.25028, 5.24227, 5.23608
15-NOV-1988, 4.94187, 5.17180, 5.20880, 5.21781, 5.47860, 5.57255, 5.41979, 5.30111, 5.37917, 5.23600, 5.25077, 5.24175, 5.24772, 5.23744, 5.23182
16-NOV-1988, 4.94592, 5.20408, 5.26378, 5.12474, 5.44511, 5.60729, 5.44073, 5.29643, 5.36098, 5.23448, 5.25067, 5.24068, 5.24742, 5.23665, 5.23109
17-NOV-1988, 4.94711, 5.18102, 5.26386, 5.18150, 5.36393, 5.45942, 5.38037, 5.33160, 5.45623, 5.22538, 5.23833, 5.23354, 5.23488, 5.22708, 5.22107
18-NOV-1988, 5.00756, 5.23324, 5.22619, 5.32558, 5.42685, 5.41676, 5.33127, 5.29224, 5.41962, 5.24118, 5.25370, 5.24706, 5.25197, 5.24242, 5.23572
21-NOV-1988, 5.01254, 5.16728, 5.22602, 5.32636, 5.42491, 5.41854, 5.33169, 5.29176, 5.41947, 5.24037, 5.25395, 5.24707, 5.25161, 5.24199, 5.23573
22-NOV-1988, 4.98624, 5.16872, 5.24992, 5.25915, 5.41736, 5.46827, 5.37507, 5.32155, 5.43903, 5.24337, 5.25749, 5.25054, 5.25408, 5.24526, 5.23918
24-NOV-1988, 4.97664, 5.18013, 5.19535, 5.23784, 5.36521, 5.39580, 5.32453, 5.29351, 5.42617, 5.21205, 5.22451, 5.21927, 5.22167, 5.21295, 5.20665
25-NOV-1988, 4.98891, 5.21284, 5.16154, 5.23751, 5.36953, 5.39137, 5.32251, 5.29328, 5.42857, 5.21206, 5.22450, 5.21945, 5.22114, 5.21316, 5.20729
28-NOV-1988, 5.05932, 5.31956, 5.13438, 5.39354, 5.40517, 5.31323, 5.27689, 5.30308, 5.46780, 5.23896, 5.25381, 5.24815, 5.24902, 5.24135, 5.23466
29-NOV-1988, 5.06898, 5.24100, 5.18901, 5.30009, 5.43415, 5.45098, 5.38112, 5.35552, 5.49432, 5.27274, 5.28661, 5.28067, 5.28282, 5.27475, 5.26813
30-NOV-1988, 5.00396, 5.25575, 5.27076, 5.27993, 5.33061, 5.34870, 5.35734, 5.41007, 5.59506, 5.25687, 5.26961, 5.26865, 5.26485, 5.25914, 5.25188
01-DEC-1988, 4.98465, 5.25701, 5.20572, 5.30558, 5.25107, 5.22194, 5.34060, 5.50805, 5.77169, 5.25356, 5.26552, 5.27135, 5.25547, 5.25590, 5.24629
02-DEC-1988, 4.98149, 5.23445, 5.25028, 5.25898, 5.31678, 5.32088, 5.28839, 5.30087, 5.45756, 5.21075, 5.22433, 5.21973, 5.21930, 5.21296, 5.20535
05-DEC-1988, 5.01143, 5.25596, 5.18189, 5.31610, 5.31842, 5.25637, 5.23260, 5.26263, 5.42854, 5.19641, 5.21084, 5.20586, 5.20704, 5.19908, 5.19184
06-DEC-1988, 5.01036, 5.25593, 5.18199, 5.25908, 5.31980, 5.31768, 5.30886, 5.34509, 5.51983, 5.22300, 5.23517, 5.23284, 5.23178, 5.22532, 5.21749
07-DEC-1988, 4.97253, 5.22484, 5.23980, 5.24894, 5.34739, 5.35194, 5.25861, 5.20948, 5.32527, 5.18598, 5.20060, 5.19178, 5.19716, 5.18796, 5.18236
08-DEC-1988, 4.98273, 5.21230, 5.25011, 5.25896, 5.32307, 5.31445, 5.24018, 5.21258, 5.34214, 5.18525, 5.19859, 5.19077, 5.19551, 5.18698, 5.18044
09-DEC-1988, 4.98273, 5.21230, 5.25012, 5.25894, 5.32658, 5.31087, 5.21659, 5.16800, 5.28461, 5.17178, 5.18650, 5.17728, 5.18407, 5.17293, 5.16818
12-DEC-1988, 4.98419, 5.21300, 5.25004, 5.25927, 5.32682, 5.31045, 5.21600, 5.16846, 5.28467, 5.17271, 5.18513, 5.17615, 5.18489, 5.17395, 5.16791
13-DEC-1988, 4.98419, 5.21300, 5.25004, 5.25926, 5.33385, 5.30313, 5.16763, 5.08135, 5.16895, 5.14612, 5.16251, 5.14922, 5.16025, 5.14845, 5.14310
14-DEC-1988, 4.98538, 5.19086, 5.24997, 5.25926, 5.33312, 5.30386, 5.16763, 5.08136, 5.16895, 5.14612, 5.16086, 5.14827, 5.16059, 5.14818, 5.14310
