Date,1Y1Y,1Y2Y,1Y3Y,1Y4Y,1Y5Y,1Y6Y,1Y7Y,1Y8Y,1Y9Y,1Y10Y,1Y11Y,1Y12Y,1Y15Y,1Y20Y,1Y25Y
Bail Loc #1: 17
	Comp: org.drip.product.rates.FixFloatComponent@417a5aab
	Measure: SwapRate
	 Quote: NaN
Bail Loc #1: 17
	Comp: org.drip.product.rates.FixFloatComponent@203f41d7
	Measure: SwapRate
	 Quote: NaN
14-FEB-2000, 17.95152, 17.71333, 18.41289, 18.46834, 18.48889, 18.50248, 18.51236, 18.52664, 18.53135, 18.53551, 18.53886, 18.30186, 18.29180, 18.69512, 18.93803
15-FEB-2000, 16.67776, 16.78435, 18.82563, 17.73641, 17.76695, 17.79124, 17.80849, 17.82806, 17.83733, 17.84468, 17.85082, 17.63219, 17.62473, 17.99460, 18.21666
16-FEB-2000, 16.35869, 15.97670, 15.45202, 15.95526, 16.07060, 16.14640, 16.20076, 16.24756, 16.27832, 16.30329, 16.32340, 16.14839, 16.16214, 16.48589, 16.68001
17-FEB-2000, 15.93237, 16.37860, 15.28081, 15.81633, 15.95131, 16.03930, 16.10222, 16.15568, 16.19170, 16.22036, 16.24399, 16.07399, 16.09419, 16.42192, 16.61693
18-FEB-2000, 16.93122, 16.42953, 15.31317, 15.84038, 15.96667, 16.04900, 16.10777, 16.15798, 16.19153, 16.21842, 16.24036, 16.06948, 16.08677, 16.41030, 16.60359
22-FEB-2000, 16.77417, 16.73174, 15.13643, 15.71148, 15.85302, 15.94626, 16.01277, 16.06897, 16.10717, 16.13780, 16.16273, 15.99425, 16.01657, 16.34425, 16.53978
23-FEB-2000, 16.71871, 16.48061, 15.19346, 15.75597, 15.89352, 15.98404, 16.04897, 16.10362, 16.14062, 16.17042, 16.19475, 16.02505, 16.04600, 16.37362, 16.56875
24-FEB-2000, 16.44205, 16.34525, 15.47789, 15.96752, 16.07885, 16.15111, 16.20284, 16.24773, 16.27724, 16.30074, 16.32002, 16.14559, 16.15784, 16.47929, 16.67129
25-FEB-2000, 16.37366, 16.32438, 15.65625, 15.90250, 16.01861, 16.09566, 16.15081, 16.19801, 16.22962, 16.25482, 16.27537, 16.10274, 16.11736, 16.43997, 16.63152
28-FEB-2000, 16.50002, 16.52731, 15.65409, 15.91429, 16.02588, 16.10037, 16.15300, 16.19947, 16.22984, 16.25411, 16.27359, 16.09965, 16.11143, 16.43364, 16.62396
29-FEB-2000, 16.56023, 16.52222, 15.66556, 15.91186, 16.02354, 16.09817, 16.15833, 16.19728, 16.22756, 16.25200, 16.27638, 16.09769, 16.11202, 16.43139, 16.62196
01-MAR-2000, 16.56686, 16.81957, 15.64017, 15.88955, 16.00208, 16.07699, 16.13738, 16.17665, 16.20702, 16.23145, 16.25581, 16.07831, 16.09323, 16.41210, 16.60161
03-MAR-2000, 15.99990, 15.98778, 16.28557, 16.38032, 16.43312, 16.46820, 16.50048, 16.51833, 16.53247, 16.54371, 16.55705, 16.36721, 16.36294, 16.67037, 16.85481
06-MAR-2000, 16.14739, 15.92890, 15.94649, 16.12397, 16.21286, 16.27201, 16.32121, 16.35215, 16.37610, 16.39522, 16.41543, 16.23155, 16.23855, 16.55512, 16.74342
07-MAR-2000, 16.81138, 16.35010, 16.07648, 16.22088, 16.28924, 16.33473, 16.37437, 16.39776, 16.41593, 16.43059, 16.44708, 16.26017, 16.26034, 16.56982, 16.75460
08-MAR-2000, 15.71923, 15.59907, 16.09279, 16.20099, 16.26226, 16.30300, 16.33896, 16.36009, 16.37638, 16.38933, 16.40468, 16.21793, 16.21551, 16.51909, 16.70148
15-MAR-2000, 16.55179, 15.78600, 15.99137, 16.12376, 16.19024, 16.23452, 16.27310, 16.29595, 16.31369, 16.32804, 16.34413, 16.15925, 16.15839, 16.46211, 16.64346
16-MAR-2000, 16.51162, 15.81217, 15.39014, 15.56315, 15.64459, 15.69861, 15.74392, 15.77205, 15.79388, 15.81139, 15.83010, 15.65935, 15.66282, 15.94872, 16.11884
17-MAR-2000, 16.48708, 16.02773, 15.47976, 15.08934, 15.18117, 15.24662, 15.29997, 15.33425, 15.36097, 15.38227, 15.40402, 15.24492, 15.25377, 15.52816, 15.69067
20-MAR-2000, 16.14987, 15.83576, 15.68169, 15.45176, 15.53467, 15.59190, 15.63930, 15.66911, 15.69221, 15.71094, 15.73013, 15.56161, 15.56642, 15.84942, 16.01832
22-MAR-2000, 16.36599, 15.95643, 15.72441, 15.48312, 15.56030, 15.61303, 15.65739, 15.68492, 15.70624, 15.72326, 15.74130, 15.57114, 15.57345, 15.85493, 16.02183
23-MAR-2000, 15.75901, 16.05248, 15.82853, 15.56111, 15.62765, 15.67434, 15.71460, 15.73884, 15.75752, 15.77268, 15.78940, 15.61827, 15.61797, 15.89742, 16.06367
05-APR-2000, 16.38797, 16.25431, 15.88022, 15.50065, 15.56135, 15.60350, 15.64009, 15.66179, 15.67864, 15.69215, 15.70741, 15.53619, 15.53310, 15.80608, 15.96865
06-APR-2000, 16.51187, 16.15087, 15.88738, 15.32193, 15.38520, 15.43186, 15.47157, 15.49569, 15.51459, 15.52966, 15.54591, 15.38006, 15.37944, 15.64774, 15.80791
