Date,1Y1Y,2Y1Y,3Y1Y,4Y1Y,5Y1Y,6Y1Y,7Y1Y,8Y1Y,9Y1Y,10Y1Y,11Y1Y,12Y1Y,15Y1Y,20Y1Y,25Y1Y
07-JUL-1992, 10.74188, 9.54556, 9.30907, 9.24589, 9.69843, 9.70237, 9.72905, 9.70086, 9.70258, 9.70066, 9.72949, 8.84875, 8.16300, 8.14727, 8.14742
08-JUL-1992, 10.74188, 9.54556, 9.30907, 9.24589, 9.69843, 9.70237, 9.72905, 9.70086, 9.70258, 9.70066, 9.72949, 8.84875, 8.16300, 8.14727, 8.14742
09-JUL-1992, 10.73556, 9.55281, 9.31060, 9.24611, 9.69570, 9.70051, 9.72883, 9.70199, 9.70093, 9.70046, 9.72928, 8.85370, 8.17773, 8.17022, 8.17037
10-JUL-1992, 10.73556, 9.55281, 9.31060, 9.24611, 9.69570, 9.70051, 9.72883, 9.70199, 9.70093, 9.70046, 9.72928, 8.85370, 8.17773, 8.17022, 8.17037
13-JUL-1992, 10.79729, 9.92362, 9.00177, 9.29360, 9.74234, 9.74498, 9.77301, 9.74489, 9.74406, 9.74615, 9.77260, 8.88474, 8.19397, 8.17774, 8.17809
14-JUL-1992, 10.90837, 9.85885, 9.96709, 9.24266, 9.95113, 9.95453, 9.98429, 9.95435, 9.95516, 9.95538, 9.98330, 9.05968, 8.34122, 8.32642, 8.32441
15-JUL-1992, 10.90837, 9.85885, 9.96709, 9.24266, 9.95113, 9.95453, 9.98429, 9.95435, 9.95516, 9.95538, 9.98330, 9.05968, 8.34122, 8.32642, 8.32441
16-JUL-1992, 10.73556, 9.55281, 9.31060, 9.24611, 9.69570, 9.70051, 9.72883, 9.70199, 9.70093, 9.70046, 9.72928, 8.85370, 8.17773, 8.17022, 8.17037
17-JUL-1992, 10.90185, 9.53920, 9.40849, 9.34512, 9.79256, 9.79717, 9.82695, 9.79705, 9.79808, 9.79727, 9.82586, 8.93404, 8.24663, 8.23982, 8.23814
20-JUL-1992, 10.85283, 9.97349, 9.73737, 9.49306, 9.95949, 9.96295, 9.99169, 9.96194, 9.96250, 9.96379, 9.99076, 9.06563, 8.34645, 8.33159, 8.33122
21-JUL-1992, 10.85283, 9.97349, 9.73737, 9.49306, 9.95949, 9.96295, 9.99169, 9.96194, 9.96250, 9.96379, 9.99076, 9.06563, 8.34645, 8.33159, 8.33122
22-JUL-1992, 10.85283, 9.97349, 9.73737, 9.49306, 9.95949, 9.96295, 9.99169, 9.96194, 9.96250, 9.96379, 9.99076, 9.06563, 8.34645, 8.33159, 8.33122
23-JUL-1992, 10.90185, 10.02876, 9.78858, 9.24504, 9.94228, 9.95204, 9.97896, 9.95180, 9.95071, 9.95203, 9.97957, 9.06131, 8.35483, 8.34824, 8.34727
24-JUL-1992, 10.90185, 10.02876, 9.78858, 9.24504, 9.94228, 9.95204, 9.97896, 9.95180, 9.95071, 9.95203, 9.97957, 9.06131, 8.35483, 8.34824, 8.34727
27-JUL-1992, 10.85283, 9.97349, 9.73737, 9.19284, 9.89740, 9.90221, 9.93020, 9.90208, 9.90256, 9.90243, 9.92988, 9.01561, 8.30383, 8.28909, 8.28814
28-JUL-1992, 10.85283, 9.97349, 9.73737, 9.19284, 9.89740, 9.90221, 9.93020, 9.90208, 9.90256, 9.90243, 9.92988, 9.01561, 8.30383, 8.28909, 8.28814
29-JUL-1992, 10.90837, 10.02336, 9.10006, 9.39239, 9.84219, 9.84389, 9.87285, 9.84461, 9.84534, 9.84415, 9.87245, 8.96752, 8.26414, 8.24785, 8.24815
30-JUL-1992, 10.90185, 10.02876, 9.10572, 9.39044, 9.83873, 9.84379, 9.87274, 9.84319, 9.84512, 9.84396, 9.87224, 8.97185, 8.27987, 8.27156, 8.27183
31-JUL-1992, 10.90185, 10.02876, 9.10572, 9.39044, 9.83873, 9.84379, 9.87274, 9.84319, 9.84512, 9.84396, 9.87224, 8.97185, 8.27987, 8.27156, 8.27183
03-AUG-1992, 10.96391, 10.07323, 8.92155, 9.39176, 9.83539, 9.83925, 9.86591, 9.83880, 9.83854, 9.83811, 9.86564, 8.96286, 8.25942, 8.24429, 8.24379
04-AUG-1992, 10.96391, 10.07323, 8.92155, 9.39176, 9.83539, 9.83925, 9.86591, 9.83880, 9.83854, 9.83811, 9.86564, 8.96286, 8.25942, 8.24429, 8.24379
05-AUG-1992, 10.96391, 10.07323, 8.92155, 9.39176, 9.83539, 9.83925, 9.86591, 9.83880, 9.83854, 9.83811, 9.86564, 8.96286, 8.25942, 8.24429, 8.24379
06-AUG-1992, 10.95733, 10.07867, 8.92857, 9.38874, 9.83273, 9.83739, 9.86681, 9.83738, 9.83833, 9.83791, 9.86543, 8.96795, 8.27522, 8.26694, 8.26743
07-AUG-1992, 10.95733, 10.07867, 8.92857, 9.38874, 9.83273, 9.83739, 9.86681, 9.83738, 9.83833, 9.83791, 9.86543, 8.96795, 8.27522, 8.26694, 8.26743
10-AUG-1992, 10.96391, 10.07323, 8.92155, 9.39176, 9.83539, 9.83925, 9.86591, 9.83880, 9.83854, 9.83811, 9.86564, 8.96286, 8.25942, 8.24429, 8.24379
11-AUG-1992, 10.96391, 9.90864, 9.09986, 9.69281, 9.90121, 9.90138, 9.93133, 9.90219, 9.90109, 9.90242, 9.92988, 9.01561, 8.30447, 8.28807, 8.28813
12-AUG-1992, 10.96391, 9.90864, 9.09986, 9.69281, 9.90121, 9.90138, 9.93133, 9.90219, 9.90109, 9.90242, 9.92988, 9.01561, 8.30447, 8.28807, 8.28813
13-AUG-1992, 11.06840, 9.85129, 9.15309, 9.44027, 9.88264, 9.88823, 9.91689, 9.88738, 9.88832, 9.88790, 9.91759, 9.00879, 8.31047, 8.30336, 8.30283
14-AUG-1992, 11.06840, 9.85129, 9.15309, 9.44027, 9.88264, 9.88823, 9.91689, 9.88738, 9.88832, 9.88790, 9.91759, 9.00879, 8.31047, 8.30336, 8.30283
17-AUG-1992, 11.07512, 9.84380, 9.14881, 9.44221, 9.88606, 9.88834, 9.91700, 9.88881, 9.88853, 9.88810, 9.91570, 9.00432, 8.29451, 8.27936, 8.27883
18-AUG-1992, 11.07512, 9.84380, 9.14881, 9.44221, 9.88606, 9.88834, 9.91700, 9.88881, 9.88853, 9.88810, 9.91570, 9.00432, 8.29451, 8.27936, 8.27883
19-AUG-1992, 11.07512, 9.84380, 9.14881, 9.74261, 9.94811, 9.94903, 9.97731, 9.94852, 9.94990, 9.94942, 9.97655, 9.05432, 8.33711, 8.32183, 8.32002
20-AUG-1992, 11.06840, 9.85129, 9.37994, 9.79047, 10.00211, 10.00437, 10.03304, 10.00408, 10.00487, 10.00510, 10.03309, 9.10549, 8.39240, 8.38477, 8.38559
21-AUG-1992, 11.06840, 9.85129, 9.37994, 9.79047, 10.00211, 10.00437, 10.03304, 10.00408, 10.00487, 10.00510, 10.03309, 9.10549, 8.39240, 8.38477, 8.38559
24-AUG-1992, 11.18636, 10.10779, 9.75482, 9.69021, 10.15012, 10.15304, 10.18157, 10.15345, 10.15266, 10.15250, 10.18249, 9.22247, 8.47984, 8.46388, 8.46277
25-AUG-1992, 11.13068, 10.22284, 9.52555, 9.94201, 10.15929, 10.16066, 10.19014, 10.15983, 10.16163, 10.15922, 10.18999, 9.22923, 8.48517, 8.46914, 8.46783
26-AUG-1992, 11.13068, 10.22284, 9.52555, 9.94201, 10.15929, 10.16066, 10.19014, 10.15983, 10.16163, 10.15922, 10.18999, 9.22923, 8.48517, 8.46914, 8.46783
27-AUG-1992, 11.12390, 10.22839, 9.52988, 9.93930, 10.15723, 10.15961, 10.18992, 10.15964, 10.15984, 10.15892, 10.18968, 9.23459, 8.50132, 8.49444, 8.49313
28-AUG-1992, 11.06840, 10.01472, 9.88670, 9.64275, 10.10270, 10.10945, 10.13746, 10.10794, 10.10940, 10.10850, 10.13704, 9.19204, 8.46526, 8.45886, 8.45759
31-AUG-1992, 11.57690, 9.47057, 10.03181, 9.79093, 10.23853, 10.24099, 10.26975, 10.24174, 10.24051, 10.24038, 10.27109, 9.29571, 8.54058, 8.52523, 8.52534
01-SEP-1992, 11.46514, 10.02711, 10.13310, 9.88883, 10.34986, 10.35278, 10.38266, 10.35189, 10.35233, 10.35403, 10.38260, 9.38697, 8.61835, 8.60231, 8.60305
