Date,1Y1Y,2Y1Y,3Y1Y,4Y1Y,5Y1Y,6Y1Y,7Y1Y,8Y1Y,9Y1Y,10Y1Y,11Y1Y,12Y1Y,15Y1Y,20Y1Y,25Y1Y
07-JUL-1992, 10.25204, 9.54267, 9.30910, 9.24496, 9.69189, 9.69349, 9.72137, 9.69318, 9.69354, 9.69385, 9.72191, 9.69457, 9.72851, 9.69494, 9.68731
08-JUL-1992, 10.25204, 9.54267, 9.30910, 9.24496, 9.69189, 9.69349, 9.72137, 9.69318, 9.69354, 9.69385, 9.72191, 9.69457, 9.72851, 9.69494, 9.68731
09-JUL-1992, 10.25245, 9.54597, 9.30978, 9.24363, 9.69015, 9.69494, 9.72019, 9.69455, 9.69365, 9.69214, 9.72189, 9.69550, 9.72849, 9.69500, 9.68883
10-JUL-1992, 10.25245, 9.54597, 9.30978, 9.24363, 9.69015, 9.69494, 9.72019, 9.69455, 9.69365, 9.69214, 9.72189, 9.69550, 9.72849, 9.69500, 9.68883
13-JUL-1992, 10.42343, 9.92397, 8.99950, 9.29254, 9.73792, 9.73890, 9.76702, 9.73778, 9.73872, 9.74015, 9.76581, 9.73926, 9.77491, 9.73967, 9.73276
14-JUL-1992, 10.41851, 9.85437, 9.96979, 9.24007, 9.94352, 9.94789, 9.97538, 9.94666, 9.94602, 9.94669, 9.97554, 9.94824, 9.98370, 9.94865, 9.94031
15-JUL-1992, 10.41851, 9.85437, 9.96979, 9.24007, 9.94352, 9.94789, 9.97538, 9.94666, 9.94602, 9.94669, 9.97554, 9.94824, 9.98370, 9.94865, 9.94031
16-JUL-1992, 10.25245, 9.54597, 9.30978, 9.24363, 9.69015, 9.69494, 9.72019, 9.69455, 9.69365, 9.69214, 9.72189, 9.69550, 9.72849, 9.69500, 9.68883
17-JUL-1992, 10.36578, 9.53066, 9.40804, 9.34305, 9.78614, 9.79058, 9.81698, 9.78927, 9.79049, 9.78863, 9.81815, 9.79105, 9.82440, 9.79122, 9.78380
20-JUL-1992, 10.42976, 9.97097, 9.73783, 9.49152, 9.95350, 9.95604, 9.98423, 9.95584, 9.95535, 9.95559, 9.98350, 9.95648, 9.99231, 9.95742, 9.94937
21-JUL-1992, 10.42976, 9.97097, 9.73783, 9.49152, 9.95350, 9.95604, 9.98423, 9.95584, 9.95535, 9.95559, 9.98350, 9.95648, 9.99231, 9.95742, 9.94937
22-JUL-1992, 10.42976, 9.97097, 9.73783, 9.49152, 9.95350, 9.95604, 9.98423, 9.95584, 9.95535, 9.95559, 9.98350, 9.95648, 9.99231, 9.95742, 9.94937
23-JUL-1992, 10.47853, 10.02261, 9.79131, 9.23887, 9.93832, 9.94563, 9.97338, 9.94471, 9.94363, 9.94395, 9.97452, 9.94636, 9.98053, 9.94641, 9.93798
24-JUL-1992, 10.47853, 10.02261, 9.79131, 9.23887, 9.93832, 9.94563, 9.97338, 9.94471, 9.94363, 9.94395, 9.97452, 9.94636, 9.98053, 9.94641, 9.93798
27-JUL-1992, 10.42609, 9.97066, 9.73901, 9.19014, 9.89163, 9.89570, 9.92265, 9.89605, 9.89384, 9.89598, 9.92264, 9.89511, 9.93127, 9.89733, 9.88960
28-JUL-1992, 10.42609, 9.97066, 9.73901, 9.19014, 9.89163, 9.89570, 9.92265, 9.89605, 9.89384, 9.89598, 9.92264, 9.89511, 9.93127, 9.89733, 9.88960
29-JUL-1992, 10.52735, 10.02368, 9.09780, 9.39133, 9.83700, 9.83863, 9.86686, 9.83749, 9.83843, 9.83802, 9.86553, 9.83907, 9.87488, 9.83916, 9.83198
30-JUL-1992, 10.52442, 10.02891, 9.10014, 9.38783, 9.83592, 9.83896, 9.86563, 9.83875, 9.83843, 9.83802, 9.86553, 9.83848, 9.87394, 9.84026, 9.83310
31-JUL-1992, 10.52442, 10.02891, 9.10014, 9.38783, 9.83592, 9.83896, 9.86563, 9.83875, 9.83843, 9.83802, 9.86553, 9.83848, 9.87394, 9.84026, 9.83310
03-AUG-1992, 10.59455, 10.07448, 8.91835, 9.39088, 9.83122, 9.83309, 9.85993, 9.83302, 9.83174, 9.83207, 9.86093, 9.83356, 9.86817, 9.83440, 9.82669
04-AUG-1992, 10.59455, 10.07448, 8.91835, 9.39088, 9.83122, 9.83309, 9.85993, 9.83302, 9.83174, 9.83207, 9.86093, 9.83356, 9.86817, 9.83440, 9.82669
05-AUG-1992, 10.59455, 10.07448, 8.91835, 9.39088, 9.83122, 9.83309, 9.85993, 9.83302, 9.83174, 9.83207, 9.86093, 9.83356, 9.86817, 9.83440, 9.82669
06-AUG-1992, 10.59398, 10.08071, 8.92094, 9.38645, 9.83044, 9.83332, 9.85986, 9.83304, 9.83174, 9.83207, 9.86092, 9.83355, 9.86825, 9.83335, 9.82549
07-AUG-1992, 10.59398, 10.08071, 8.92094, 9.38645, 9.83044, 9.83332, 9.85986, 9.83304, 9.83174, 9.83207, 9.86092, 9.83355, 9.86825, 9.83335, 9.82549
10-AUG-1992, 10.59455, 10.07448, 8.91835, 9.39088, 9.83122, 9.83309, 9.85993, 9.83302, 9.83174, 9.83207, 9.86093, 9.83356, 9.86817, 9.83440, 9.82669
11-AUG-1992, 10.53872, 9.90852, 9.09672, 9.69316, 9.89499, 9.89470, 9.92409, 9.89471, 9.89545, 9.89424, 9.92475, 9.89667, 9.93058, 9.89689, 9.88827
12-AUG-1992, 10.53872, 9.90852, 9.09672, 9.69316, 9.89499, 9.89470, 9.92409, 9.89471, 9.89545, 9.89424, 9.92475, 9.89667, 9.93058, 9.89689, 9.88827
13-AUG-1992, 10.59561, 9.84797, 9.14835, 9.43847, 9.87812, 9.88136, 9.90937, 9.87988, 9.88100, 9.88138, 9.90818, 9.88109, 9.91698, 9.88261, 9.87587
14-AUG-1992, 10.59561, 9.84797, 9.14835, 9.43847, 9.87812, 9.88136, 9.90937, 9.87988, 9.88100, 9.88138, 9.90818, 9.88109, 9.91698, 9.88261, 9.87587
17-AUG-1992, 10.59466, 9.84268, 9.14714, 9.44163, 9.87926, 9.88103, 9.90833, 9.88108, 9.88104, 9.87953, 9.91019, 9.88251, 9.91625, 9.88213, 9.87452
18-AUG-1992, 10.59466, 9.84268, 9.14714, 9.44163, 9.87926, 9.88103, 9.90833, 9.88108, 9.88104, 9.87953, 9.91019, 9.88251, 9.91625, 9.88213, 9.87452
19-AUG-1992, 10.59834, 9.84298, 9.14597, 9.74317, 9.94107, 9.94133, 9.96986, 9.94084, 9.94090, 9.94082, 9.96889, 9.94222, 9.97796, 9.94259, 9.93546
20-AUG-1992, 10.58426, 9.84668, 9.37485, 9.79089, 9.99664, 9.99689, 10.02563, 9.99650, 9.99595, 9.99658, 10.02552, 9.99804, 10.03394, 9.99812, 9.99183
21-AUG-1992, 10.58426, 9.84668, 9.37485, 9.79089, 9.99664, 9.99689, 10.02563, 9.99650, 9.99595, 9.99658, 10.02552, 9.99804, 10.03394, 9.99812, 9.99183
24-AUG-1992, 10.71278, 10.10540, 9.75464, 9.68909, 10.14278, 10.14583, 10.17391, 10.14441, 10.14508, 10.14385, 10.17478, 10.14679, 10.18245, 10.14557, 10.13917
25-AUG-1992, 10.72398, 10.22243, 9.52305, 9.94200, 10.15358, 10.15317, 10.18281, 10.15365, 10.15446, 10.15281, 10.18279, 10.15503, 10.19161, 10.15538, 10.14649
26-AUG-1992, 10.72398, 10.22243, 9.52305, 9.94200, 10.15358, 10.15317, 10.18281, 10.15365, 10.15446, 10.15281, 10.18279, 10.15503, 10.19161, 10.15538, 10.14649
27-AUG-1992, 10.72376, 10.22708, 9.52396, 9.93899, 10.15348, 10.15320, 10.18279, 10.15366, 10.15286, 10.15270, 10.18268, 10.15485, 10.19151, 10.15519, 10.14635
28-AUG-1992, 10.59457, 10.00736, 9.88744, 9.63958, 10.09666, 10.10208, 10.13074, 10.10043, 10.10040, 10.10181, 10.12955, 10.10155, 10.13890, 10.10268, 10.09412
31-AUG-1992, 10.79569, 9.46413, 10.03374, 9.79107, 10.22527, 10.22851, 10.25625, 10.22840, 10.22632, 10.22777, 10.25687, 10.22867, 10.26569, 10.22989, 10.22141
01-SEP-1992, 10.86934, 10.02248, 10.13420, 9.88805, 10.33981, 10.34345, 10.37096, 10.34337, 10.34241, 10.34077, 10.37165, 10.34384, 10.38135, 10.34426, 10.33706
02-SEP-1992, 10.80322, 9.57946, 9.80332, 9.74075, 10.17341, 10.17632, 10.20470, 10.17519, 10.17566, 10.17524, 10.20601, 10.17704, 10.21302, 10.17783, 10.16768
03-SEP-1992, 10.85786, 9.86392, 9.62255, 9.73748, 10.17455, 10.17790, 10.20613, 10.17707, 10.17783, 10.17782, 10.20467, 10.17750, 10.21613, 10.17826, 10.17204
04-SEP-1992, 10.85786, 9.86392, 9.62255, 9.73748, 10.17455, 10.17790, 10.20613, 10.17707, 10.17783, 10.17782, 10.20467, 10.17750, 10.21613, 10.17826, 10.17204
07-SEP-1992, 10.97118, 9.72818, 9.72246, 9.53689, 10.20479, 10.20915, 10.23697, 10.20784, 10.20841, 10.20732, 10.23791, 10.20930, 10.24529, 10.21006, 10.20216
08-SEP-1992, 10.93818, 9.45010, 9.67191, 9.79059, 10.20980, 10.21211, 10.24015, 10.21150, 10.21280, 10.21056, 10.24156, 10.21293, 10.24882, 10.21393, 10.20476
09-SEP-1992, 11.15459, 9.87780, 9.41183, 9.28483, 10.18134, 10.18572, 10.21353, 10.18491, 10.18459, 10.18360, 10.21313, 10.18612, 10.22300, 10.18603, 10.17934
10-SEP-1992, 11.15814, 9.88362, 9.41337, 9.28223, 10.17859, 10.18686, 10.21446, 10.18521, 10.18475, 10.18565, 10.21558, 10.18675, 10.22249, 10.18762, 10.17892
11-SEP-1992, 11.15814, 9.88362, 9.41337, 9.28223, 10.17859, 10.18686, 10.21446, 10.18521, 10.18475, 10.18565, 10.21558, 10.18675, 10.22249, 10.18762, 10.17892
14-SEP-1992, 11.15459, 9.87780, 9.41183, 9.28483, 10.18134, 10.18572, 10.21353, 10.18491, 10.18459, 10.18360, 10.21313, 10.18612, 10.22300, 10.18603, 10.17934
15-SEP-1992, 11.19937, 9.81125, 9.69058, 9.38319, 10.28223, 10.28665, 10.31471, 10.28631, 10.28630, 10.28565, 10.31574, 10.28735, 10.32373, 10.28819, 10.27994
16-SEP-1992, 11.39493, 9.61561, 9.60863, 9.48295, 10.36310, 10.36876, 10.39674, 10.36714, 10.36690, 10.36704, 10.39703, 10.36869, 10.40634, 10.36811, 10.36075
17-SEP-1992, 11.40131, 9.62152, 9.60794, 9.48106, 10.36098, 10.37004, 10.39777, 10.36753, 10.36878, 10.36744, 10.39957, 10.37041, 10.40653, 10.36943, 10.36246
18-SEP-1992, 11.40131, 9.62152, 9.60794, 9.48106, 10.36098, 10.37004, 10.39777, 10.36753, 10.36878, 10.36744, 10.39957, 10.37041, 10.40653, 10.36943, 10.36246
21-SEP-1992, 11.39493, 9.61561, 9.60863, 9.48295, 10.36310, 10.36876, 10.39674, 10.36714, 10.36690, 10.36704, 10.39703, 10.36869, 10.40634, 10.36811, 10.36075
22-SEP-1992, 11.17751, 9.64871, 9.40992, 9.88845, 10.29718, 10.29870, 10.32802, 10.29804, 10.29856, 10.29783, 10.32955, 10.30043, 10.33600, 10.30087, 10.29194
23-SEP-1992, 11.17751, 9.64871, 9.40992, 9.88845, 10.29718, 10.29870, 10.32802, 10.29804, 10.29856, 10.29783, 10.32955, 10.30043, 10.33600, 10.30087, 10.29194
24-SEP-1992, 11.17050, 9.81188, 10.15435, 9.18060, 10.32522, 10.34073, 10.36538, 10.33810, 10.33655, 10.33783, 10.36622, 10.33788, 10.37654, 10.33820, 10.33046
25-SEP-1992, 11.17050, 9.81188, 10.15435, 9.18060, 10.32522, 10.34073, 10.36538, 10.33810, 10.33655, 10.33783, 10.36622, 10.33788, 10.37654, 10.33820, 10.33046
28-SEP-1992, 11.16525, 9.80919, 10.15307, 9.17986, 10.33099, 10.33713, 10.36568, 10.33639, 10.33629, 10.33752, 10.36593, 10.33709, 10.37480, 10.33856, 10.33131
29-SEP-1992, 11.66993, 10.55784, 8.93447, 9.52731, 10.41202, 10.41599, 10.44394, 10.41484, 10.41430, 10.41404, 10.44588, 10.41651, 10.45306, 10.41656, 10.40905
30-SEP-1992, 11.66993, 10.55784, 8.93447, 9.52731, 10.41202, 10.41599, 10.44394, 10.41484, 10.41430, 10.41404, 10.44588, 10.41651, 10.45306, 10.41656, 10.40905
01-OCT-1992, 11.67112, 10.56762, 8.93817, 9.52069, 10.41054, 10.41676, 10.44499, 10.41511, 10.41447, 10.41613, 10.44402, 10.41574, 10.45549, 10.41691, 10.40777
02-OCT-1992, 11.67112, 10.56762, 8.93817, 9.52069, 10.41054, 10.41676, 10.44499, 10.41511, 10.41447, 10.41613, 10.44402, 10.41574, 10.45549, 10.41691, 10.40777
05-OCT-1992, 11.49963, 9.71371, 9.70658, 9.58056, 10.46199, 10.46737, 10.49512, 10.46644, 10.46456, 10.46618, 10.49633, 10.46702, 10.50575, 10.46788, 10.45897
06-OCT-1992, 11.49963, 9.71371, 9.70658, 9.58056, 10.46199, 10.46737, 10.49512, 10.46644, 10.46456, 10.46618, 10.49633, 10.46702, 10.50575, 10.46788, 10.45897
08-OCT-1992, 11.45517, 9.90252, 9.42619, 9.77926, 10.42624, 10.43084, 10.45974, 10.43022, 10.43076, 10.42933, 10.46101, 10.43196, 10.46878, 10.43176, 10.42370
09-OCT-1992, 11.45517, 9.90252, 9.42619, 9.77926, 10.42624, 10.43084, 10.45974, 10.43022, 10.43076, 10.42933, 10.46101, 10.43196, 10.46878, 10.43176, 10.42370
12-OCT-1992, 11.05707, 9.59541, 10.28406, 9.43280, 10.34486, 10.35174, 10.37914, 10.34983, 10.35056, 10.35023, 10.38026, 10.35139, 10.38838, 10.35154, 10.34411
13-OCT-1992, 10.88467, 9.79213, 10.13362, 9.88896, 10.33205, 10.33583, 10.36351, 10.33434, 10.33489, 10.33405, 10.36411, 10.33567, 10.37378, 10.33647, 10.32806
14-OCT-1992, 10.88467, 9.79213, 10.13362, 9.88896, 10.33205, 10.33583, 10.36351, 10.33434, 10.33489, 10.33405, 10.36411, 10.33567, 10.37378, 10.33647, 10.32806
15-OCT-1992, 10.88847, 9.79468, 10.13231, 9.88908, 10.33067, 10.33561, 10.36446, 10.33451, 10.33495, 10.33603, 10.36432, 10.33565, 10.37349, 10.33678, 10.32980
16-OCT-1992, 10.91368, 9.45093, 10.12978, 9.89097, 10.31896, 10.32470, 10.35391, 10.32316, 10.32315, 10.32427, 10.35311, 10.32478, 10.36238, 10.32546, 10.31812
19-OCT-1992, 10.89232, 9.67731, 10.13333, 9.88941, 10.32818, 10.33154, 10.36031, 10.33053, 10.33038, 10.33068, 10.36034, 10.33197, 10.36947, 10.33300, 10.32507
20-OCT-1992, 10.63533, 9.77599, 9.42667, 9.24051, 9.91925, 9.92190, 9.94935, 9.92173, 9.92152, 9.92228, 9.95011, 9.92268, 9.95801, 9.92290, 9.91680
21-OCT-1992, 10.35962, 9.41219, 9.63620, 9.69614, 9.90086, 9.90246, 9.93014, 9.90075, 9.90245, 9.90234, 9.92978, 9.90224, 9.93829, 9.90366, 9.89503
22-OCT-1992, 10.36278, 9.41489, 9.63435, 9.69568, 9.90002, 9.90271, 9.93007, 9.90211, 9.90257, 9.90060, 9.93187, 9.90379, 9.93746, 9.90411, 9.89498
23-OCT-1992, 10.71535, 9.87614, 9.98505, 9.73963, 10.18872, 10.19439, 10.22211, 10.19390, 10.19287, 10.19316, 10.22201, 10.19421, 10.23120, 10.19497, 10.18803
26-OCT-1992, 10.46008, 9.74143, 9.50705, 9.44256, 9.89083, 9.89309, 9.92002, 9.89262, 9.89297, 9.89142, 9.92153, 9.89413, 9.92810, 9.89446, 9.88592
27-OCT-1992, 10.46008, 9.74143, 9.50705, 9.44256, 9.89083, 9.89309, 9.92002, 9.89262, 9.89297, 9.89142, 9.92153, 9.89413, 9.92810, 9.89446, 9.88592
28-OCT-1992, 10.24837, 9.54237, 9.31027, 8.94555, 9.63015, 9.63418, 9.66115, 9.63236, 9.63383, 9.63276, 9.66128, 9.63449, 9.66766, 9.63550, 9.62780
29-OCT-1992, 10.24997, 9.54538, 9.31209, 8.94461, 9.62715, 9.63600, 9.65987, 9.63375, 9.63391, 9.63286, 9.66137, 9.63457, 9.66774, 9.63551, 9.62799
30-OCT-1992, 10.21767, 9.54160, 9.77134, 9.04515, 9.73715, 9.74604, 9.77219, 9.74487, 9.74381, 9.74416, 9.77228, 9.74546, 9.77971, 9.74583, 9.73884
02-NOV-1992, 10.26732, 9.54360, 9.08030, 9.19510, 9.63621, 9.63897, 9.66575, 9.63769, 9.63864, 9.63644, 9.66743, 9.64034, 9.67184, 9.63973, 9.63254
03-NOV-1992, 10.26732, 9.54360, 9.08030, 9.19510, 9.63621, 9.63897, 9.66575, 9.63769, 9.63864, 9.63644, 9.66743, 9.64034, 9.67184, 9.63973, 9.63254
04-NOV-1992, 10.26354, 9.54331, 9.08147, 8.89620, 9.57526, 9.57887, 9.60443, 9.57813, 9.57740, 9.57889, 9.60488, 9.57842, 9.61275, 9.57950, 9.57224
05-NOV-1992, 10.26486, 9.54726, 9.08356, 8.89435, 9.57257, 9.57965, 9.60531, 9.57831, 9.57747, 9.57899, 9.60498, 9.57852, 9.61281, 9.57956, 9.57217
06-NOV-1992, 10.16095, 9.44786, 8.98492, 8.79613, 9.47352, 9.48088, 9.50450, 9.47994, 9.47792, 9.47943, 9.50528, 9.47958, 9.51353, 9.47996, 9.47325
09-NOV-1992, 10.01410, 9.57217, 9.34058, 9.09632, 9.55548, 9.55764, 9.58462, 9.55670, 9.55780, 9.55662, 9.58389, 9.55836, 9.59182, 9.55862, 9.55295
10-NOV-1992, 10.01410, 9.57217, 9.34058, 9.09632, 9.55548, 9.55764, 9.58462, 9.55670, 9.55780, 9.55662, 9.58389, 9.55836, 9.59182, 9.55862, 9.55295
11-NOV-1992, 10.01410, 9.57217, 9.34058, 9.09632, 9.55548, 9.55764, 9.58462, 9.55670, 9.55780, 9.55662, 9.58389, 9.55836, 9.59182, 9.55862, 9.55295
12-NOV-1992, 10.01443, 9.57446, 9.34209, 9.09556, 9.55352, 9.55823, 9.58332, 9.55798, 9.55623, 9.55831, 9.58391, 9.55732, 9.59184, 9.55841, 9.55132
13-NOV-1992, 10.01443, 9.57446, 9.34209, 9.09556, 9.55352, 9.55823, 9.58332, 9.55798, 9.55623, 9.55831, 9.58391, 9.55732, 9.59184, 9.55841, 9.55132
16-NOV-1992, 10.01410, 9.57217, 9.34058, 9.09632, 9.55548, 9.55764, 9.58462, 9.55670, 9.55780, 9.55662, 9.58389, 9.55836, 9.59182, 9.55862, 9.55295
17-NOV-1992, 10.01410, 9.57217, 9.34058, 9.09632, 9.55548, 9.55764, 9.58462, 9.55670, 9.55780, 9.55662, 9.58389, 9.55836, 9.59182, 9.55862, 9.55295
18-NOV-1992, 10.01410, 9.57217, 9.34058, 9.09632, 9.55548, 9.55764, 9.58462, 9.55670, 9.55780, 9.55662, 9.58389, 9.55836, 9.59182, 9.55862, 9.55295
19-NOV-1992, 10.01443, 9.57446, 9.34209, 9.09556, 9.55352, 9.55823, 9.58332, 9.55798, 9.55623, 9.55831, 9.58391, 9.55732, 9.59184, 9.55841, 9.55132
06-JAN-1993, 9.54020, 9.35280, 8.89190, 9.24816, 9.23624, 9.23588, 9.26242, 9.23504, 9.23645, 9.23584, 9.26224, 9.23659, 9.26832, 9.23711, 9.22918
07-JAN-1993, 9.78623, 9.09866, 8.86440, 8.79900, 9.24308, 9.24682, 9.27197, 9.24715, 9.24506, 9.24718, 9.27289, 9.24677, 9.27859, 9.24791, 9.24141
08-JAN-1993, 9.78623, 9.09866, 8.86440, 8.79900, 9.24308, 9.24682, 9.27197, 9.24715, 9.24506, 9.24718, 9.27289, 9.24677, 9.27859, 9.24791, 9.24141
