Date,1Y1Y,1Y2Y,1Y3Y,1Y4Y,1Y5Y,1Y6Y,1Y7Y,1Y8Y,1Y9Y,1Y10Y,1Y11Y,1Y12Y,1Y15Y,1Y20Y,1Y25Y
26-SEP-1991, 8.70708, 9.12169, 9.59344, 9.63642, 9.57053, 9.52665, 9.49544, 9.47536, 9.45664, 9.44180, 9.42963, 9.35512, 9.31100, 9.35240, 9.37644
27-SEP-1991, 8.70708, 9.12169, 9.59344, 9.63642, 9.57053, 9.52665, 9.49544, 9.47536, 9.45664, 9.44180, 9.42963, 9.35512, 9.31100, 9.35240, 9.37644
30-SEP-1991, 8.65934, 9.06894, 9.53504, 9.57928, 9.51415, 9.47074, 9.43966, 9.41973, 9.40131, 9.38650, 9.37453, 9.30089, 9.25722, 9.29785, 9.32157
01-OCT-1991, 8.65935, 9.06895, 9.53505, 9.57929, 9.51417, 9.47076, 9.43967, 9.41974, 9.40132, 9.38651, 9.37454, 9.30090, 9.25723, 9.29787, 9.32158
02-OCT-1991, 8.56361, 8.96390, 9.41846, 9.54494, 9.47781, 9.43320, 9.40127, 9.38058, 9.36172, 9.34653, 9.33415, 9.26081, 9.21659, 9.25574, 9.27875
03-OCT-1991, 8.51571, 8.91135, 9.36024, 9.48783, 9.42147, 9.37717, 9.34553, 9.32517, 9.30641, 9.29126, 9.27907, 9.20653, 9.16266, 9.20123, 9.22371
04-OCT-1991, 8.61131, 9.01648, 9.47672, 9.60208, 9.53434, 9.48926, 9.45703, 9.43618, 9.41704, 9.40162, 9.38905, 9.31492, 9.27040, 9.31030, 9.33371
07-OCT-1991, 8.89851, 9.33221, 9.82760, 9.86544, 9.79689, 9.75125, 9.71867, 9.69758, 9.67827, 9.66269, 9.64996, 9.57218, 9.52676, 9.57090, 9.59665
08-OCT-1991, 8.80293, 9.22696, 9.71043, 9.75085, 9.68372, 9.63888, 9.60691, 9.58633, 9.56741, 9.55211, 9.53976, 9.46362, 9.41885, 9.46163, 9.48662
09-OCT-1991, 8.65935, 9.06895, 9.53505, 9.49953, 9.43761, 9.39633, 9.36684, 9.34816, 9.33053, 9.31656, 9.30496, 9.23270, 9.19032, 9.23093, 9.25465
10-OCT-1991, 8.70709, 9.12170, 9.59346, 9.63643, 9.57054, 9.52683, 9.49544, 9.47536, 9.45664, 9.44180, 9.42963, 9.35512, 9.31101, 9.35241, 9.37645
14-OCT-1991, 8.80293, 9.22696, 9.71043, 9.75085, 9.68372, 9.63888, 9.60691, 9.58633, 9.56741, 9.55211, 9.53976, 9.46362, 9.41885, 9.46163, 9.48662
15-OCT-1991, 8.75505, 9.17429, 9.65190, 9.69361, 9.62710, 9.58275, 9.55125, 9.53082, 9.51201, 9.49694, 9.48458, 9.40933, 9.36501, 9.40695, 9.43140
17-OCT-1991, 8.65935, 9.06895, 9.53505, 9.57929, 9.51417, 9.47076, 9.43967, 9.41974, 9.40132, 9.38651, 9.37454, 9.30090, 9.25723, 9.29787, 9.32158
18-OCT-1991, 8.61131, 9.01648, 9.47672, 9.52220, 9.45769, 9.41474, 9.38412, 9.36434, 9.34601, 9.33144, 9.31945, 9.24669, 9.20346, 9.24334, 9.26674
21-OCT-1991, 8.61131, 9.01648, 9.47672, 9.52220, 9.45769, 9.41474, 9.38412, 9.36434, 9.34601, 9.33144, 9.31945, 9.24669, 9.20346, 9.24334, 9.26674
23-OCT-1991, 8.61131, 9.01648, 9.47672, 9.52220, 9.45769, 9.41474, 9.38412, 9.36434, 9.34601, 9.33144, 9.31945, 9.24669, 9.20346, 9.24334, 9.26674
24-OCT-1991, 8.70709, 9.12170, 9.59346, 9.63643, 9.57054, 9.52683, 9.49544, 9.47536, 9.45664, 9.44180, 9.42963, 9.35512, 9.31101, 9.35241, 9.37645
25-OCT-1991, 8.70709, 9.12170, 9.59346, 9.63643, 9.57054, 9.52683, 9.49544, 9.47536, 9.45664, 9.44180, 9.42963, 9.35512, 9.31101, 9.35241, 9.37645
29-OCT-1991, 8.61131, 9.01648, 9.47672, 9.52220, 9.45769, 9.41474, 9.38412, 9.36434, 9.34601, 9.33144, 9.31945, 9.24669, 9.20346, 9.24334, 9.26674
30-OCT-1991, 8.61131, 9.01648, 9.47672, 9.52220, 9.45769, 9.41474, 9.38412, 9.36434, 9.34601, 9.33144, 9.31945, 9.24669, 9.20346, 9.24334, 9.26674
01-NOV-1991, 8.56360, 8.96389, 9.41845, 9.46517, 9.40124, 9.35877, 9.32843, 9.30898, 9.29092, 9.27638, 9.26458, 9.19254, 9.14952, 9.18882, 9.21163
