Date,1Y1Y,2Y1Y,3Y1Y,4Y1Y,5Y1Y,6Y1Y,7Y1Y,8Y1Y,9Y1Y,10Y1Y,11Y1Y,12Y1Y,15Y1Y,20Y1Y,25Y1Y
26-SEP-1991, 9.03248, 9.44529, 9.63230, 9.75561, 9.25882, 9.26140, 9.25987, 9.28692, 9.26145, 9.25886, 9.26146, 9.28837, 9.26580, 9.28991, 9.25478
27-SEP-1991, 9.03248, 9.44529, 9.63230, 9.75561, 9.25882, 9.26140, 9.25987, 9.28692, 9.26145, 9.25886, 9.26146, 9.28837, 9.26580, 9.28991, 9.25478
30-SEP-1991, 8.97996, 9.38913, 9.57640, 9.70242, 9.20570, 9.20798, 9.20848, 9.23293, 9.20889, 9.20629, 9.20888, 9.23562, 9.21319, 9.23614, 9.20117
01-OCT-1991, 8.97996, 9.38878, 9.57677, 9.70238, 9.20568, 9.20797, 9.20847, 9.23291, 9.20888, 9.20628, 9.20887, 9.23561, 9.21317, 9.23616, 9.20091
02-OCT-1991, 8.82285, 9.29160, 9.60918, 9.91439, 9.16910, 9.17285, 9.17156, 9.19776, 9.17201, 9.17156, 9.17212, 9.19923, 9.17766, 9.19950, 9.16626
03-OCT-1991, 8.77018, 9.23559, 9.55352, 9.86082, 9.11598, 9.11942, 9.11901, 9.14505, 9.11944, 9.11898, 9.11740, 9.14521, 9.12551, 9.14626, 9.11374
04-OCT-1991, 8.87553, 9.34762, 9.66487, 9.96798, 9.22143, 9.22618, 9.22402, 9.25177, 9.22458, 9.22415, 9.22472, 9.25191, 9.23095, 9.25278, 9.22027
07-OCT-1991, 9.24316, 9.67024, 9.85575, 9.96848, 9.47065, 9.47219, 9.47214, 9.49906, 9.47336, 9.47112, 9.47198, 9.50054, 9.47921, 9.50147, 9.46597
08-OCT-1991, 9.13778, 9.55777, 9.74379, 9.86200, 9.36430, 9.36720, 9.36596, 9.39364, 9.36661, 9.36590, 9.36673, 9.39430, 9.37237, 9.39531, 9.36047
09-OCT-1991, 9.03169, 9.37454, 9.43254, 9.38533, 9.13690, 9.13838, 9.13833, 9.16283, 9.13919, 9.13780, 9.13635, 9.16449, 9.14465, 9.16463, 9.13298
10-OCT-1991, 9.03248, 9.44528, 9.63229, 9.75557, 9.25881, 9.26138, 9.25985, 9.28690, 9.26145, 9.26071, 9.25939, 9.28757, 9.26696, 9.28857, 9.25545
14-OCT-1991, 9.13778, 9.55777, 9.74379, 9.86200, 9.36430, 9.36720, 9.36596, 9.39364, 9.36661, 9.36590, 9.36673, 9.39430, 9.37237, 9.39531, 9.36047
15-OCT-1991, 9.08523, 9.50122, 9.68822, 9.80878, 9.31194, 9.31385, 9.31349, 9.33962, 9.31403, 9.31329, 9.31197, 9.34027, 9.32021, 9.34205, 9.30791
17-OCT-1991, 8.97996, 9.38878, 9.57677, 9.70238, 9.20568, 9.20797, 9.20847, 9.23291, 9.20888, 9.20628, 9.20887, 9.23561, 9.21317, 9.23616, 9.20091
18-OCT-1991, 8.92736, 9.33288, 9.52088, 9.64921, 9.15336, 9.15466, 9.15488, 9.18159, 9.15482, 9.15374, 9.15630, 9.18217, 9.15976, 9.18334, 9.14967
21-OCT-1991, 8.92736, 9.33288, 9.52088, 9.64921, 9.15336, 9.15466, 9.15488, 9.18159, 9.15482, 9.15374, 9.15630, 9.18217, 9.15976, 9.18334, 9.14967
23-OCT-1991, 8.92736, 9.33288, 9.52088, 9.64921, 9.15336, 9.15466, 9.15488, 9.18159, 9.15482, 9.15374, 9.15630, 9.18217, 9.15976, 9.18334, 9.14967
24-OCT-1991, 9.03248, 9.44528, 9.63229, 9.75557, 9.25881, 9.26138, 9.25985, 9.28690, 9.26145, 9.26071, 9.25939, 9.28757, 9.26696, 9.28857, 9.25545
25-OCT-1991, 9.03248, 9.44528, 9.63229, 9.75557, 9.25881, 9.26138, 9.25985, 9.28690, 9.26145, 9.26071, 9.25939, 9.28757, 9.26696, 9.28857, 9.25545
29-OCT-1991, 8.92736, 9.33288, 9.52088, 9.64921, 9.15336, 9.15466, 9.15488, 9.18159, 9.15482, 9.15374, 9.15630, 9.18217, 9.15976, 9.18334, 9.14967
30-OCT-1991, 8.92736, 9.33288, 9.52088, 9.64921, 9.15336, 9.15466, 9.15488, 9.18159, 9.15482, 9.15374, 9.15630, 9.18217, 9.15976, 9.18334, 9.14967
01-NOV-1991, 8.87476, 9.27701, 9.46502, 9.59607, 9.10029, 9.10226, 9.10246, 9.12766, 9.10230, 9.10121, 9.10163, 9.12889, 9.10796, 9.12929, 9.09754
04-NOV-1991, 8.82219, 9.22081, 9.40955, 9.54292, 9.04721, 9.04985, 9.04889, 9.07500, 9.04978, 9.04869, 9.04910, 9.07560, 9.05435, 9.07793, 9.04425
05-NOV-1991, 8.82219, 9.22081, 9.40955, 9.54292, 9.04721, 9.04985, 9.04889, 9.07500, 9.04978, 9.04869, 9.04910, 9.07560, 9.05435, 9.07793, 9.04425
06-NOV-1991, 8.82219, 9.22081, 9.40955, 9.54292, 9.04721, 9.04985, 9.04889, 9.07500, 9.04978, 9.04869, 9.04910, 9.07560, 9.05435, 9.07793, 9.04425
07-NOV-1991, 9.03248, 9.44529, 9.63230, 9.75561, 9.25882, 9.26140, 9.25987, 9.28692, 9.26145, 9.25886, 9.26146, 9.28837, 9.26580, 9.28991, 9.25478
08-NOV-1991, 9.03248, 9.44529, 9.63230, 9.75561, 9.25882, 9.26140, 9.25987, 9.28692, 9.26145, 9.25886, 9.26146, 9.28837, 9.26580, 9.28991, 9.25478
11-NOV-1991, 9.03248, 9.44529, 9.63230, 9.75561, 9.25882, 9.26140, 9.25987, 9.28692, 9.26145, 9.25886, 9.26146, 9.28837, 9.26580, 9.28991, 9.25478
12-NOV-1991, 9.08432, 9.43066, 9.48827, 9.43813, 9.19001, 9.19079, 9.19075, 9.21678, 9.19011, 9.19024, 9.19091, 9.21828, 9.19654, 9.21886, 9.18488
13-NOV-1991, 9.08523, 9.50123, 9.68823, 9.80881, 9.31117, 9.31473, 9.31233, 9.34093, 9.31403, 9.31331, 9.31198, 9.34026, 9.32024, 9.34206, 9.30791
14-NOV-1991, 9.03248, 9.44529, 9.63230, 9.75561, 9.25882, 9.26140, 9.25987, 9.28692, 9.26145, 9.25886, 9.26146, 9.28837, 9.26580, 9.28991, 9.25478
18-NOV-1991, 8.87553, 9.34763, 9.66487, 9.96802, 9.22145, 9.22619, 9.22403, 9.25179, 9.22459, 9.22416, 9.22473, 9.25193, 9.23093, 9.25301, 9.21877
20-NOV-1991, 8.87553, 9.34763, 9.66487, 9.96802, 9.22145, 9.22619, 9.22403, 9.25179, 9.22459, 9.22416, 9.22473, 9.25193, 9.23093, 9.25301, 9.21877
