Date,1Y1Y,1Y2Y,1Y3Y,1Y4Y,1Y5Y,1Y6Y,1Y7Y,1Y8Y,1Y9Y,1Y10Y,1Y11Y,1Y12Y,1Y15Y,1Y20Y,1Y25Y
02-MAY-2000, 18.65959, 15.57883, 15.59857, 15.60425, 15.60770, 15.60985, 15.61803, 15.61850, 15.61880, 15.61915, 15.62355, 15.44767, 15.42423, 15.66895, 15.81533
03-MAY-2000, 18.64081, 15.58912, 15.59862, 15.60402, 15.60728, 15.60944, 15.61757, 15.61808, 15.61839, 15.61849, 15.62287, 15.44814, 15.42520, 15.66942, 15.81490
04-MAY-2000, 18.88785, 15.84894, 15.85323, 15.85333, 15.85329, 15.85341, 15.86012, 15.85937, 15.85851, 15.85816, 15.86208, 15.68128, 15.65738, 15.91111, 16.06219
05-MAY-2000, 19.22131, 16.11461, 16.11545, 16.11378, 16.11280, 16.11217, 16.11850, 16.11733, 16.11655, 16.11582, 16.11941, 15.93301, 15.90943, 16.17398, 16.33192
08-MAY-2000, 19.26550, 15.95430, 15.98357, 15.99165, 15.99657, 15.99987, 16.00899, 16.00971, 16.01059, 16.01102, 16.01593, 15.83128, 15.80894, 16.07142, 16.22859
09-MAY-2000, 19.14621, 15.91600, 15.94041, 15.94592, 15.94933, 15.95154, 15.95981, 15.96027, 15.96062, 15.96069, 15.96532, 15.78152, 15.75849, 16.01868, 16.17355
10-MAY-2000, 19.08664, 15.75975, 15.79641, 15.80833, 15.81541, 15.82036, 15.83032, 15.83212, 15.83335, 15.83447, 15.83960, 15.65905, 15.63723, 15.89319, 16.04571
11-MAY-2000, 19.00741, 15.83684, 15.85087, 15.85653, 15.85976, 15.86197, 15.87014, 15.87047, 15.87084, 15.87119, 15.87549, 15.69481, 15.67208, 15.92754, 16.07999
12-MAY-2000, 19.18615, 16.00587, 16.01536, 16.01847, 16.02034, 16.02151, 16.02917, 16.02914, 16.02881, 16.02878, 16.03308, 15.84890, 15.82612, 16.08775, 16.24382
15-MAY-2000, 18.82482, 15.76452, 15.78093, 15.78233, 15.78308, 15.78365, 15.79077, 15.79029, 15.78975, 15.78948, 15.79334, 15.61302, 15.58890, 15.84008, 15.98992
