Date,1Y1Y,2Y1Y,3Y1Y,4Y1Y,5Y1Y,6Y1Y,7Y1Y,8Y1Y,9Y1Y,10Y1Y,11Y1Y,12Y1Y,15Y1Y,20Y1Y,25Y1Y
23-APR-1990, 15.87582, 15.22706, 15.10148, 14.90126, 13.45182, 15.46873, 14.80293, 14.79824, 14.84206, 14.79950, 14.79894, 12.89993, 11.45408, 11.47429, 11.51258
24-APR-1990, 15.87582, 15.22706, 15.10148, 14.90126, 13.45182, 15.46873, 14.80293, 14.79824, 14.84206, 14.79950, 14.79894, 12.89993, 11.45408, 11.47429, 11.51258
25-APR-1990, 15.87582, 15.22706, 15.10148, 14.90126, 13.45182, 15.46873, 14.80293, 14.79824, 14.84206, 14.79950, 14.79894, 12.89993, 11.45408, 11.47429, 11.51258
26-APR-1990, 15.86206, 15.23099, 15.10225, 14.90252, 13.46109, 15.45562, 14.80587, 14.79648, 14.84182, 14.79693, 14.79578, 12.91138, 11.48840, 11.53425, 11.56704
27-APR-1990, 15.86206, 15.23099, 15.10225, 14.90252, 13.46109, 15.45562, 14.80587, 14.79648, 14.84182, 14.79693, 14.79578, 12.91138, 11.48840, 11.53425, 11.56704
30-APR-1990, 15.64307, 15.54798, 14.80470, 14.80000, 13.58586, 15.64873, 14.78015, 14.77513, 14.81763, 14.77570, 14.77442, 12.88183, 11.43830, 11.46234, 11.49586
02-MAY-1990, 15.75943, 15.30029, 14.80313, 14.80000, 13.58585, 15.64910, 14.77336, 14.76961, 14.81076, 14.76976, 14.76738, 12.87661, 11.43538, 11.45736, 11.49055
03-MAY-1990, 15.45580, 14.36363, 14.59537, 14.40248, 13.46447, 15.46833, 14.44568, 14.43037, 14.47537, 14.43143, 14.43118, 12.63210, 11.26594, 11.30784, 11.34222
04-MAY-1990, 15.20131, 14.72558, 14.55083, 14.35249, 13.42130, 15.41000, 14.40486, 14.39250, 14.43267, 14.39250, 14.39165, 12.60059, 11.24220, 11.28264, 11.31704
07-MAY-1990, 15.21395, 14.72266, 14.54976, 14.35124, 13.41524, 15.42302, 14.39967, 14.39424, 14.43485, 14.39281, 14.39474, 12.59074, 11.20822, 11.22973, 11.26250
08-MAY-1990, 15.17919, 14.10656, 14.59286, 14.20248, 13.06542, 14.95996, 14.17105, 14.16581, 14.20680, 14.16425, 14.16633, 12.41614, 11.06997, 11.09019, 11.12171
09-MAY-1990, 15.23702, 14.32858, 14.69460, 14.30248, 13.59104, 15.65871, 14.42272, 14.41569, 14.45767, 14.41565, 14.41630, 12.60779, 11.22168, 11.24345, 11.27500
10-MAY-1990, 15.22434, 14.33411, 14.69225, 14.30496, 13.37760, 15.35228, 14.35334, 14.34068, 14.38225, 14.34221, 14.33859, 12.56187, 11.21045, 11.25122, 11.28547
14-MAY-1990, 15.17919, 14.45069, 14.44814, 14.25124, 13.32735, 15.30807, 14.29539, 14.28723, 14.32977, 14.28935, 14.28796, 12.51004, 11.14457, 11.16542, 11.19952
15-MAY-1990, 15.17919, 14.27844, 14.39707, 14.20124, 13.28389, 15.25003, 14.24125, 14.23520, 14.27525, 14.23631, 14.23439, 12.46901, 11.11169, 11.13385, 11.16428
16-MAY-1990, 15.41089, 14.47900, 14.35077, 14.35000, 13.19636, 15.13175, 14.31194, 14.30540, 14.34797, 14.30790, 14.30619, 12.52467, 11.15572, 11.17518, 11.20856
17-MAY-1990, 14.99345, 14.30428, 14.05307, 14.05000, 12.29633, 13.92600, 13.79301, 13.79142, 13.83062, 13.79149, 13.79093, 12.13865, 10.87096, 10.90778, 10.93734
18-MAY-1990, 14.99345, 14.30428, 14.05307, 14.05000, 12.29633, 13.92600, 13.79301, 13.79142, 13.83062, 13.79149, 13.79093, 12.13865, 10.87096, 10.90778, 10.93734
21-MAY-1990, 15.00574, 14.30002, 14.05153, 14.05000, 12.28523, 13.93663, 13.79333, 13.79153, 13.83263, 13.79395, 13.79124, 12.12863, 10.84048, 10.85974, 10.88772
22-MAY-1990, 15.00574, 14.30002, 14.05153, 14.05000, 12.71756, 14.50276, 13.93908, 13.93606, 13.97702, 13.93583, 13.93541, 12.23901, 10.92913, 10.94810, 10.97687
23-MAY-1990, 15.00574, 14.30002, 14.05153, 14.05000, 12.71756, 14.50276, 13.93908, 13.93606, 13.97702, 13.93583, 13.93541, 12.23901, 10.92913, 10.94810, 10.97687
25-MAY-1990, 14.99345, 13.79261, 14.14209, 13.95245, 13.07116, 14.94908, 13.98765, 13.97606, 14.01538, 13.97737, 13.97393, 12.28128, 10.98474, 11.02358, 11.05811
28-MAY-1990, 15.00574, 13.78515, 14.14439, 13.95123, 13.06543, 14.96134, 13.98275, 13.97778, 14.01753, 13.97768, 13.97692, 12.27108, 10.95347, 10.97415, 11.00370
29-MAY-1990, 15.06355, 13.83512, 14.44076, 14.05246, 13.15246, 15.07721, 14.09091, 14.08338, 14.12462, 14.08597, 14.08406, 12.35346, 11.01965, 11.03943, 11.07103
30-MAY-1990, 15.06355, 13.83512, 14.44076, 14.05246, 13.15246, 15.07721, 14.09091, 14.08338, 14.12462, 14.08597, 14.08406, 12.35346, 11.01965, 11.03943, 11.07103
31-MAY-1990, 15.05116, 13.84263, 14.43690, 14.05492, 13.15827, 15.06476, 14.09586, 14.08167, 14.12439, 14.08348, 14.08103, 12.36382, 11.05141, 11.09144, 11.12308
06-JUN-1990, 15.12136, 13.88508, 14.24476, 14.05123, 13.15311, 15.07645, 14.08427, 14.07800, 14.11794, 14.07790, 14.07714, 12.34926, 11.01513, 11.03623, 11.06606
07-JUN-1990, 14.93574, 13.81059, 14.50405, 14.00640, 12.89809, 14.71958, 13.97428, 13.96557, 14.00616, 13.96407, 13.96608, 12.27254, 10.97853, 11.01776, 11.04879
08-JUN-1990, 14.93574, 13.81059, 14.50405, 14.00640, 12.89809, 14.71958, 13.97428, 13.96557, 14.00616, 13.96407, 13.96608, 12.27254, 10.97853, 11.01776, 11.04879
11-JUN-1990, 14.94794, 13.80361, 14.36057, 13.97246, 12.99537, 14.86964, 13.98085, 13.97606, 14.01731, 13.97519, 13.97660, 12.26988, 10.95321, 10.97222, 11.00673
12-JUN-1990, 14.86710, 13.83629, 14.07501, 13.88123, 13.00423, 14.88057, 13.91524, 13.90952, 13.94955, 13.91031, 13.91006, 12.21846, 10.91236, 10.93126, 10.96394
13-JUN-1990, 14.86710, 13.90481, 13.85031, 13.85000, 12.97792, 14.84606, 13.87991, 13.87426, 13.91486, 13.87477, 13.87349, 12.19133, 10.89035, 10.90970, 10.94057
14-JUN-1990, 14.93574, 13.81059, 13.86909, 13.87000, 13.00093, 14.85719, 13.90218, 13.88916, 13.93042, 13.89168, 13.88990, 12.21353, 10.93216, 10.97026, 11.00278
15-JUN-1990, 14.82047, 13.64256, 13.74848, 13.75000, 12.89527, 14.71974, 13.78056, 13.76738, 13.80796, 13.76900, 13.76671, 12.12010, 10.85623, 10.89251, 10.92620
