Date,1Y1Y,1Y2Y,1Y3Y,1Y4Y,1Y5Y,1Y6Y,1Y7Y,1Y8Y,1Y9Y,1Y10Y,1Y11Y,1Y12Y,1Y15Y,1Y20Y,1Y25Y
23-APR-1990, 15.87582, 15.55099, 15.40096, 15.27583, 14.90870, 15.00185, 14.97341, 14.95150, 14.93933, 14.92534, 14.91384, 14.74465, 14.69985, 14.88951, 15.00432
24-APR-1990, 15.87582, 15.55099, 15.40096, 15.27583, 14.90870, 15.00185, 14.97341, 14.95150, 14.93933, 14.92534, 14.91384, 14.74465, 14.69985, 14.88951, 15.00432
25-APR-1990, 15.87582, 15.55099, 15.40096, 15.27583, 14.90870, 15.00185, 14.97341, 14.95150, 14.93933, 14.92534, 14.91384, 14.74465, 14.69985, 14.88951, 15.00432
26-APR-1990, 15.86206, 15.54609, 15.39796, 15.27390, 14.90903, 14.99995, 14.97221, 14.95022, 14.93817, 14.92404, 14.91238, 14.74428, 14.69997, 14.88883, 15.00411
27-APR-1990, 15.86206, 15.54609, 15.39796, 15.27390, 14.90903, 14.99995, 14.97221, 14.95022, 14.93817, 14.92404, 14.91238, 14.74428, 14.69997, 14.88883, 15.00411
30-APR-1990, 15.64307, 15.59551, 15.33130, 15.19825, 14.87395, 15.00272, 14.97090, 14.94641, 14.93209, 14.91644, 14.90353, 14.73368, 14.68627, 14.87207, 14.98571
02-MAY-1990, 15.75943, 15.52963, 15.28695, 15.16502, 14.84744, 14.98066, 14.95103, 14.92833, 14.91526, 14.90071, 14.88858, 14.71955, 14.67370, 14.86115, 14.97508
03-MAY-1990, 15.45580, 14.90842, 14.80398, 14.70347, 14.45459, 14.62293, 14.59759, 14.57667, 14.56541, 14.55201, 14.54102, 14.38071, 14.33705, 14.51309, 14.62035
04-MAY-1990, 15.20131, 14.96320, 14.82558, 14.70712, 14.44880, 14.60844, 14.57933, 14.55596, 14.54226, 14.52727, 14.51494, 14.35417, 14.30781, 14.48019, 14.58484
07-MAY-1990, 15.21395, 14.96805, 14.82845, 14.70896, 14.44904, 14.61080, 14.58061, 14.55730, 14.54369, 14.52859, 14.51642, 14.35469, 14.30792, 14.48051, 14.58580
08-MAY-1990, 15.17919, 14.64162, 14.62536, 14.51949, 14.22719, 14.34899, 14.32356, 14.30383, 14.29304, 14.28016, 14.26980, 14.11417, 14.07074, 14.23876, 14.34110
09-MAY-1990, 15.23702, 14.78190, 14.75279, 14.64005, 14.42947, 14.63343, 14.60331, 14.57984, 14.56626, 14.55119, 14.53892, 14.37673, 14.32994, 14.50328, 14.60904
10-MAY-1990, 15.22434, 14.77836, 14.74965, 14.63832, 14.38506, 14.54570, 14.51820, 14.49599, 14.48335, 14.46923, 14.45734, 14.29818, 14.25303, 14.42452, 14.52889
14-MAY-1990, 15.17919, 14.81436, 14.69216, 14.58177, 14.32978, 14.49225, 14.46410, 14.44198, 14.42951, 14.41548, 14.40388, 14.24485, 14.19935, 14.36959, 14.47344
15-MAY-1990, 15.17919, 14.72793, 14.61754, 14.51332, 14.26637, 14.42973, 14.40279, 14.38182, 14.36998, 14.35660, 14.34549, 14.18793, 14.14327, 14.31243, 14.41599
16-MAY-1990, 15.41089, 14.94400, 14.74592, 14.64681, 14.35524, 14.48429, 14.45966, 14.44036, 14.43009, 14.41787, 14.40771, 14.24960, 14.20687, 14.38029, 14.48555
17-MAY-1990, 14.99345, 14.64834, 14.44957, 14.34955, 13.93593, 13.93427, 13.91408, 13.89874, 13.89117, 13.88120, 13.87299, 13.72744, 13.68845, 13.84708, 13.94353
18-MAY-1990, 14.99345, 14.64834, 14.44957, 14.34955, 13.93593, 13.93427, 13.91408, 13.89874, 13.89117, 13.88120, 13.87299, 13.72744, 13.68845, 13.84708, 13.94353
21-MAY-1990, 15.00574, 14.65234, 14.45172, 14.35116, 13.93495, 13.93523, 13.91495, 13.89952, 13.89208, 13.88226, 13.87399, 13.72751, 13.68808, 13.84729, 13.94432
22-MAY-1990, 15.00574, 14.65234, 14.45172, 14.35116, 14.02256, 14.10245, 14.07910, 14.06121, 14.05185, 14.04024, 14.03071, 13.88031, 13.83844, 14.00017, 14.09849
23-MAY-1990, 15.00574, 14.65234, 14.45172, 14.35116, 14.02256, 14.10245, 14.07910, 14.06121, 14.05185, 14.04024, 14.03071, 13.88031, 13.83844, 14.00017, 14.09849
25-MAY-1990, 14.99345, 14.39145, 14.30827, 14.21921, 13.98867, 14.14818, 14.12524, 14.10658, 14.09644, 14.08453, 14.07447, 13.92395, 13.88186, 14.04335, 14.14197
28-MAY-1990, 15.00574, 14.39382, 14.31062, 14.22066, 13.98868, 14.15021, 14.12627, 14.10770, 14.09768, 14.08567, 14.07578, 13.92429, 13.88171, 14.04377, 14.14284
29-MAY-1990, 15.06355, 14.44768, 14.44538, 14.34702, 14.10710, 14.26822, 14.24287, 14.22292, 14.21200, 14.19939, 14.18890, 14.03481, 13.99119, 14.15602, 14.25641
30-MAY-1990, 15.06355, 14.44768, 14.44538, 14.34702, 14.10710, 14.26822, 14.24287, 14.22292, 14.21200, 14.19939, 14.18890, 14.03481, 13.99119, 14.15602, 14.25641
31-MAY-1990, 15.05116, 14.44530, 14.44250, 14.34548, 14.10705, 14.26611, 14.24177, 14.22175, 14.21093, 14.19818, 14.18752, 14.03442, 13.99131, 14.15565, 14.25601
06-JUN-1990, 15.12136, 14.50155, 14.41589, 14.32462, 14.08935, 14.25328, 14.22912, 14.21022, 14.19996, 14.18775, 14.17769, 14.02419, 13.98154, 14.14678, 14.24779
07-JUN-1990, 14.93574, 14.37179, 14.41585, 14.31335, 14.02889, 14.14371, 14.11949, 14.10024, 14.08978, 14.07721, 14.06710, 13.91646, 13.87369, 14.03445, 14.13264
08-JUN-1990, 14.93574, 14.37179, 14.41585, 14.31335, 14.02889, 14.14371, 14.11949, 14.10024, 14.08978, 14.07721, 14.06710, 13.91646, 13.87369, 14.03445, 14.13264
11-JUN-1990, 14.94794, 14.37435, 14.36975, 14.27030, 14.01417, 14.15630, 14.13122, 14.11181, 14.10131, 14.08869, 14.07850, 13.92667, 13.88335, 14.04481, 14.14316
12-JUN-1990, 14.86710, 14.35053, 14.25862, 14.16415, 13.93122, 14.08890, 14.06408, 14.04474, 14.03416, 14.02177, 14.01161, 13.86109, 13.81780, 13.97709, 14.07411
13-JUN-1990, 14.86710, 14.38494, 14.20645, 14.11724, 13.88846, 14.04750, 14.02354, 14.00487, 13.99487, 13.98285, 13.97291, 13.82337, 13.78069, 13.93930, 14.03603
14-JUN-1990, 14.93574, 14.37179, 14.20397, 14.12039, 13.89561, 14.05531, 14.03342, 14.01538, 14.00594, 13.99451, 13.98499, 13.83631, 13.79462, 13.95423, 14.05157
