Date,1Y1Y,2Y1Y,3Y1Y,4Y1Y,5Y1Y,6Y1Y,7Y1Y,8Y1Y,9Y1Y,10Y1Y,11Y1Y,12Y1Y,15Y1Y,20Y1Y,25Y1Y
23-APR-1990, 15.26655, 15.22317, 15.10064, 14.90291, 14.28025, 14.51096, 14.76963, 14.76970, 14.81412, 14.77058, 14.77014, 14.77600, 14.80350, 14.76261, 14.80895
24-APR-1990, 15.26655, 15.22317, 15.10064, 14.90291, 14.28025, 14.51096, 14.76963, 14.76970, 14.81412, 14.77058, 14.77014, 14.77600, 14.80350, 14.76261, 14.80895
25-APR-1990, 15.26655, 15.22317, 15.10064, 14.90291, 14.28025, 14.51096, 14.76963, 14.76970, 14.81412, 14.77058, 14.77014, 14.77600, 14.80350, 14.76261, 14.80895
26-APR-1990, 15.26294, 15.22428, 15.10098, 14.90579, 14.28199, 14.50836, 14.76782, 14.76973, 14.81199, 14.76799, 14.76980, 14.77600, 14.80295, 14.76035, 14.80612
27-APR-1990, 15.26294, 15.22428, 15.10098, 14.90579, 14.28199, 14.50836, 14.76782, 14.76973, 14.81199, 14.76799, 14.76980, 14.77600, 14.80295, 14.76035, 14.80612
30-APR-1990, 15.20111, 15.54795, 14.80265, 14.80072, 14.39139, 14.71784, 14.75053, 14.74818, 14.79413, 14.74970, 14.74912, 14.75513, 14.78353, 14.74110, 14.78736
02-MAY-1990, 15.21906, 15.29833, 14.80141, 14.80115, 14.38205, 14.72886, 14.74245, 14.74091, 14.78508, 14.74108, 14.74171, 14.74792, 14.77560, 14.73399, 14.78137
03-MAY-1990, 14.75975, 14.35209, 14.59542, 14.40550, 14.11646, 14.71859, 14.41093, 14.40414, 14.44861, 14.40545, 14.40609, 14.41099, 14.43822, 14.39876, 14.44177
04-MAY-1990, 14.67426, 14.72045, 14.54995, 14.35406, 14.08412, 14.64877, 14.37269, 14.36824, 14.41011, 14.36944, 14.36720, 14.37287, 14.40205, 14.36073, 14.40399
07-MAY-1990, 14.67813, 14.71957, 14.54913, 14.35204, 14.08514, 14.65062, 14.37209, 14.36893, 14.41200, 14.36969, 14.37018, 14.37486, 14.40199, 14.36303, 14.40648
08-MAY-1990, 14.48110, 14.09998, 14.59335, 14.20422, 13.73449, 14.18991, 14.14026, 14.14083, 14.17996, 14.14097, 14.13889, 14.14338, 14.16993, 14.13524, 14.17554
09-MAY-1990, 14.57772, 14.32259, 14.69513, 14.30337, 14.16597, 14.99440, 14.39516, 14.39147, 14.43298, 14.39238, 14.39166, 14.39529, 14.42414, 14.38542, 14.42734
10-MAY-1990, 14.57628, 14.32261, 14.69399, 14.30742, 13.99818, 14.63849, 14.32041, 14.31622, 14.35774, 14.31662, 14.31666, 14.32107, 14.34778, 14.31044, 14.35273
14-MAY-1990, 14.58430, 14.44650, 14.44772, 14.25231, 13.98245, 14.55337, 14.26667, 14.26355, 14.30508, 14.26626, 14.26345, 14.26740, 14.29506, 14.25958, 14.30233
15-MAY-1990, 14.54001, 14.27352, 14.39679, 14.20250, 13.92941, 14.50666, 14.21266, 14.20995, 14.25249, 14.20862, 14.21249, 14.21616, 14.23942, 14.20483, 14.24616
16-MAY-1990, 14.76768, 14.47494, 14.34961, 14.35170, 13.93458, 14.28224, 14.28059, 14.28040, 14.32099, 14.27985, 14.28113, 14.28515, 14.30966, 14.27423, 14.31439
17-MAY-1990, 14.43885, 14.29899, 14.05005, 14.05483, 13.16277, 12.93670, 13.75894, 13.76610, 13.80362, 13.76660, 13.76387, 13.76952, 13.79094, 13.76069, 13.79948
18-MAY-1990, 14.43885, 14.29899, 14.05005, 14.05483, 13.16277, 12.93670, 13.75894, 13.76610, 13.80362, 13.76660, 13.76387, 13.76952, 13.79094, 13.76069, 13.79948
21-MAY-1990, 14.44176, 14.29705, 14.05001, 14.05244, 13.15792, 12.93965, 13.76205, 13.76672, 13.80594, 13.76445, 13.76666, 13.77167, 13.79051, 13.76315, 13.79885
22-MAY-1990, 14.44108, 14.29701, 14.05017, 14.05177, 13.48525, 13.62325, 13.90982, 13.91039, 13.95233, 13.91076, 13.91105, 13.91524, 13.93742, 13.90775, 13.94577
23-MAY-1990, 14.44108, 14.29701, 14.05017, 14.05177, 13.48525, 13.62325, 13.90982, 13.91039, 13.95233, 13.91076, 13.91105, 13.91524, 13.93742, 13.90775, 13.94577
25-MAY-1990, 14.29186, 13.77998, 14.14256, 13.95570, 13.67824, 14.25404, 13.95533, 13.95048, 13.99307, 13.95231, 13.94970, 13.95415, 13.98096, 13.94581, 13.98647
28-MAY-1990, 14.29239, 13.77901, 14.14441, 13.95286, 13.67868, 14.25675, 13.95464, 13.95120, 13.99299, 13.95245, 13.95250, 13.95670, 13.98135, 13.94644, 13.98672
29-MAY-1990, 14.33043, 13.82796, 14.44146, 14.05405, 13.75011, 14.38922, 14.06145, 14.05812, 14.10192, 14.05838, 14.05948, 14.06402, 14.08842, 14.05306, 14.09627
30-MAY-1990, 14.33043, 13.82796, 14.44146, 14.05405, 13.75011, 14.38922, 14.06145, 14.05812, 14.10192, 14.05838, 14.05948, 14.06402, 14.08842, 14.05306, 14.09627
31-MAY-1990, 14.33005, 13.82797, 14.43921, 14.05811, 13.74839, 14.38737, 14.06231, 14.05734, 14.10009, 14.05811, 14.05928, 14.06296, 14.08696, 14.05311, 14.09525
06-JUN-1990, 14.39842, 13.87888, 14.24476, 14.05288, 13.77543, 14.36072, 14.05468, 14.05119, 14.09514, 14.05255, 14.05260, 14.05630, 14.08079, 14.04831, 14.08944
07-JUN-1990, 14.23299, 13.79561, 14.50725, 14.01000, 13.52322, 14.00203, 13.94271, 13.94069, 13.97987, 13.94113, 13.94183, 13.94503, 13.96759, 13.93642, 13.97731
