Date,1Y1Y,1Y2Y,1Y3Y,1Y4Y,1Y5Y,1Y6Y,1Y7Y,1Y8Y,1Y9Y,1Y10Y,1Y11Y,1Y12Y,1Y15Y,1Y20Y,1Y25Y
02-AUG-1994, 5.46775, 5.60837, 5.75291, 5.95631, 5.87966, 5.87910, 5.85974, 5.84500, 5.83543, 5.82615, 5.81851, 5.78626, 5.76244, 5.76759, 5.77127
03-AUG-1994, 5.27515, 5.51116, 5.68789, 5.90734, 5.84038, 5.84648, 5.83149, 5.82026, 5.81327, 5.80602, 5.80018, 5.76931, 5.74855, 5.75683, 5.76234
10-AUG-1994, 5.68199, 5.75410, 5.86081, 6.03089, 5.94305, 5.93563, 5.91128, 5.89283, 5.88042, 5.86872, 5.85927, 5.82524, 5.79788, 5.79974, 5.80150
11-AUG-1994, 5.34788, 5.60532, 5.76784, 5.97985, 5.90939, 5.91269, 5.89586, 5.88303, 5.87497, 5.86672, 5.86006, 5.82832, 5.80620, 5.81335, 5.81830
12-AUG-1994, 5.45503, 5.63427, 5.74032, 5.82568, 5.75583, 5.75756, 5.73966, 5.72620, 5.71731, 5.70872, 5.70170, 5.67100, 5.64853, 5.65381, 5.65753
15-AUG-1994, 5.45819, 5.47457, 5.62858, 5.72124, 5.65600, 5.66012, 5.64412, 5.63216, 5.62452, 5.61681, 5.61048, 5.58104, 5.56021, 5.56620, 5.57052
16-AUG-1994, 5.29076, 5.54983, 5.64531, 5.73369, 5.66594, 5.66842, 5.65152, 5.63866, 5.63047, 5.62219, 5.61555, 5.58578, 5.56423, 5.56949, 5.57332
17-AUG-1994, 5.29076, 5.54983, 5.64531, 5.73369, 5.66594, 5.66842, 5.65152, 5.63866, 5.63047, 5.62219, 5.61555, 5.58578, 5.56423, 5.56949, 5.57332
18-AUG-1994, 5.07734, 5.43975, 5.57169, 5.67812, 5.62225, 5.63170, 5.61987, 5.61066, 5.60538, 5.59956, 5.59478, 5.56668, 5.54857, 5.55732, 5.56317
19-AUG-1994, 5.30397, 5.51671, 5.67837, 5.89253, 5.83360, 5.84407, 5.83206, 5.82285, 5.81750, 5.81150, 5.80662, 5.77671, 5.75804, 5.76831, 5.77499
22-AUG-1994, 5.30410, 5.51806, 5.67979, 6.03947, 5.97004, 5.97630, 5.96145, 5.95012, 5.94321, 5.93610, 5.93017, 5.89824, 5.87725, 5.88654, 5.89281
23-AUG-1994, 5.41819, 5.71930, 6.12130, 6.54696, 6.45041, 6.44589, 6.42282, 6.40551, 6.39381, 6.38293, 6.37386, 6.33546, 6.30755, 6.31464, 6.31948
24-AUG-1994, 5.50269, 5.69599, 5.94828, 6.28064, 6.19991, 6.20250, 6.18408, 6.17008, 6.16113, 6.15227, 6.14496, 6.11002, 6.08594, 6.09446, 6.10005
25-AUG-1994, 5.56477, 5.65569, 5.76089, 6.01571, 5.95202, 5.96089, 5.94706, 5.93652, 5.93019, 5.92341, 5.91792, 5.88650, 5.86626, 5.87612, 5.88261
26-AUG-1994, 5.67096, 5.70951, 5.79684, 6.04281, 5.97368, 5.97895, 5.96268, 5.95034, 5.94251, 5.93467, 5.92818, 5.89593, 5.87390, 5.88212, 5.88766
29-AUG-1994, 5.49402, 5.69855, 5.79032, 6.15562, 6.07857, 6.08133, 6.06341, 6.04996, 6.04134, 6.03286, 6.02584, 5.99216, 5.96882, 5.97677, 5.98211
30-AUG-1994, 5.35677, 5.68490, 5.75163, 5.93222, 5.87001, 5.88014, 5.86698, 5.85710, 5.85120, 5.84488, 5.83958, 5.80892, 5.78938, 5.79938, 5.80594
