Date,1Y1Y,1Y2Y,1Y3Y,1Y4Y,1Y5Y,1Y6Y,1Y7Y,1Y8Y,1Y9Y,1Y10Y,1Y11Y,1Y12Y,1Y15Y,1Y20Y,1Y25Y
05-MAY-2003, 47.78781, 47.78732, 47.78734, 47.82673, 47.81884, 47.81364, 47.80964, 47.82659, 47.82252, 47.81822, 47.81676, 46.47970, 47.60590, 63.73554, 74.41858
15-MAY-2003, 47.70900, 47.70729, 47.70672, 47.74587, 47.73780, 47.73240, 47.72851, 47.74538, 47.74096, 47.73786, 47.73471, 46.41749, 47.54238, 63.32230, 73.88360
28-MAY-2003, 48.59762, 36.14070, 35.72202, 35.56019, 35.44128, 35.36158, 35.30501, 35.27646, 35.24188, 35.21388, 35.19135, 34.40557, 34.68498, 37.63384, 39.33290
29-MAY-2003, 45.81470, 36.95846, 36.29314, 36.01458, 35.82516, 35.69907, 35.60925, 35.55585, 35.50205, 35.45833, 35.42365, 34.62726, 34.88612, 37.84393, 39.63089
30-MAY-2003, 49.88229, 34.30564, 34.10621, 34.08475, 34.05016, 34.02721, 34.01108, 34.01196, 34.00112, 33.99228, 33.98496, 33.25939, 33.52898, 36.17839, 37.69359
02-JUN-2003, 52.83911, 33.65334, 33.70126, 33.78357, 33.81149, 33.83021, 33.84374, 33.86707, 33.87356, 33.87805, 33.88277, 33.16211, 33.45324, 36.12574, 37.60491
03-JUN-2003, 51.08784, 34.84567, 34.68581, 34.65964, 34.62214, 34.59693, 34.57919, 34.57957, 34.56778, 34.55795, 34.55045, 33.79738, 34.08528, 36.90296, 38.49373
04-JUN-2003, 52.48221, 33.42783, 33.48415, 33.57009, 33.60064, 33.62084, 33.63557, 33.65935, 33.66681, 33.67219, 33.67691, 32.96415, 33.24806, 35.86828, 37.30469
05-JUN-2003, 50.13746, 34.64272, 34.41921, 34.38508, 34.34320, 34.31521, 34.29517, 34.29413, 34.28044, 34.27045, 34.26134, 33.52463, 33.80220, 36.52642, 38.07007
06-JUN-2003, 50.17625, 34.65181, 34.42883, 34.39538, 34.35395, 34.32615, 34.30612, 34.30495, 34.29154, 34.28109, 34.27305, 33.53571, 33.81301, 36.54160, 38.08735
09-JUN-2003, 50.39244, 34.63112, 34.46245, 34.43069, 34.39016, 34.36329, 34.34388, 34.34254, 34.33006, 34.32006, 34.31175, 33.56776, 33.84542, 36.58506, 38.13590
16-JUN-2003, 50.39244, 34.63112, 34.46245, 34.43069, 34.39016, 34.36329, 34.34388, 34.34254, 34.33006, 34.32006, 34.31175, 33.56776, 33.84542, 36.58506, 38.13590
19-JUN-2003, 50.25368, 34.67978, 34.45729, 34.42424, 34.38288, 34.35509, 34.33557, 34.33433, 34.32123, 34.31103, 34.30232, 33.56397, 33.84292, 36.58111, 38.12476
07-JUL-2003, 55.26096, 38.13004, 37.79927, 37.69145, 37.60296, 37.54412, 37.50201, 37.48528, 37.45906, 37.43752, 37.42056, 36.54828, 36.94088, 40.74623, 42.82615
08-JUL-2003, 56.16263, 38.73017, 38.37287, 38.25270, 38.15656, 38.09234, 38.04685, 38.02762, 37.99864, 37.97658, 37.95779, 37.06239, 37.47704, 41.50945, 43.72263
09-JUL-2003, 56.36656, 39.74881, 39.28823, 39.11580, 38.98798, 38.90227, 38.84165, 38.81105, 38.77397, 38.74449, 38.72051, 37.79014, 38.22884, 42.57945, 44.92699
10-JUL-2003, 54.53998, 39.08513, 38.57797, 38.40468, 38.27631, 38.19103, 38.13012, 38.09924, 38.06205, 38.03288, 38.00819, 37.11432, 37.51914, 41.52401, 43.80522
11-JUL-2003, 52.73402, 39.14851, 38.55911, 38.33748, 38.18057, 38.07632, 38.00169, 37.96088, 37.91555, 37.87938, 37.84998, 36.95953, 37.34242, 41.25785, 43.47757
14-JUL-2003, 52.88684, 39.11720, 38.57157, 38.35077, 38.19430, 38.09029, 38.01567, 37.97540, 37.93038, 37.89411, 37.86495, 36.96771, 37.35035, 41.26992, 43.53745
15-JUL-2003, 53.17323, 38.89181, 38.38401, 38.18314, 38.03887, 37.94261, 37.87360, 37.83714, 37.79525, 37.76266, 37.73500, 36.84433, 37.22609, 41.09758, 43.32591
16-JUL-2003, 22.76569, 24.15978, 27.47805, 29.21225, 30.24289, 30.93475, 31.43080, 31.81777, 32.10745, 32.33989, 32.52963, 31.95530, 32.61162, 35.77134, 37.33507
17-JUL-2003, 51.10896, 38.39535, 37.81650, 37.59651, 37.44123, 37.33769, 37.26389, 37.22297, 37.17842, 37.14285, 37.11325, 36.25337, 36.60299, 40.20217, 42.31979
18-JUL-2003, 51.01534, 38.83373, 38.20386, 37.95673, 37.78501, 37.67028, 37.58863, 37.54241, 37.49270, 37.45368, 37.42148, 36.54714, 36.90269, 40.61914, 42.75672
21-JUL-2003, 49.46087, 39.54626, 38.79163, 38.45950, 38.23651, 38.08802, 37.98223, 37.91773, 37.85423, 37.80332, 37.76243, 36.86292, 37.20980, 41.01579, 43.33230
07-DEC-2004, 19.64086,-9.15342,-6.18912,-4.62992,-3.68196,-3.04479,-2.58701,-2.24226,-1.97338,-1.75766,-1.58081,-1.43327,-1.10779,-0.78119,-0.58471
08-DEC-2004, 16.54628,-9.47520,-6.40945,-4.79877,-3.81912,-3.16039,-2.68708,-2.33066,-2.05244,-1.82937,-1.64638,-1.49375,-1.15703,-0.81912,-0.61583
10-DEC-2004, 18.81342, 18.86527, 19.29493, 19.49910, 19.62194, 19.70373, 19.77101, 19.81373, 19.84720, 19.87383, 19.90118, 19.63879, 19.67565, 20.21388, 20.53335
13-DEC-2004, 21.57965, 21.23978, 21.38067, 21.43622, 21.46951, 21.49171, 21.51679, 21.52749, 21.53572, 21.54255, 21.55381, 21.23562, 21.25419, 21.87948, 22.25475
14-DEC-2004, 20.28997, 19.35403, 19.67463, 19.82321, 19.91240, 19.97197, 20.02299, 20.05400, 20.07799, 20.09710, 20.11842, 19.84489, 19.87101, 20.40996, 20.73188
15-DEC-2004, 19.93371, 19.11872, 19.43790, 19.58567, 19.67449, 19.73365, 19.78458, 19.81510, 19.83907, 19.85801, 19.87920, 19.61189, 19.63617, 20.15748, 20.46860
16-DEC-2004, 19.32742, 18.51399, 18.85854, 19.02269, 19.12139, 19.18710, 19.24229, 19.27652, 19.30340, 19.32450, 19.34742, 19.09644, 19.12090, 19.60995, 19.90100
17-DEC-2004, 18.84821, 18.15637, 18.46483, 18.61045, 18.69786, 18.75616, 18.80599, 18.83629, 18.85984, 18.87863, 18.89922, 18.65826, 18.67615, 19.13031, 19.40180
20-DEC-2004, 18.31488, 17.63014, 17.90926, 18.03777, 18.11483, 18.16632, 18.21098, 18.23760, 18.25842, 18.27480, 18.29344, 18.06460, 18.07507, 18.48782, 18.73333
21-DEC-2004, 18.20767, 17.29237, 17.53664, 17.64812, 17.71520, 17.75987, 17.79936, 17.82259, 17.84046, 17.85455, 17.87127, 17.65150, 17.65655, 18.03983, 18.26905
22-DEC-2004, 16.39011, 16.05787, 16.43610, 16.61520, 16.72285, 16.79460, 16.85330, 16.89076, 16.92009, 16.94355, 16.96738, 16.77321, 16.78840, 17.14048, 17.35081
23-DEC-2004, 16.13643, 15.39816, 15.85402, 16.07705, 16.21114, 16.30054, 16.37132, 16.41843, 16.45515, 16.48458, 16.51290, 16.33341, 16.35690, 16.69672, 16.89916
