Date,1Y1Y,2Y1Y,3Y1Y,4Y1Y,5Y1Y,6Y1Y,7Y1Y,8Y1Y,9Y1Y,10Y1Y,11Y1Y,12Y1Y,15Y1Y,20Y1Y,25Y1Y
04-JAN-1990, 9.00308, 9.10172, 9.24659, 9.25095, 9.09437, 10.02016, 8.41877, 9.16203, 10.08538, 9.20147, 9.16355, 8.40251, 7.77073, 7.78509, 7.78482
05-JAN-1990, 8.99181, 9.12517, 9.15198, 9.35338, 9.09566, 10.02041, 8.54081, 9.30943, 10.26310, 9.24799, 9.21100, 8.44082, 7.80407, 7.81773, 7.81850
08-JAN-1990, 9.00752, 9.06796, 9.23688, 9.36571, 9.10383, 10.03776, 8.58246, 9.37271, 10.34219, 9.27057, 9.23686, 8.45924, 7.80874, 7.81668, 7.81624
09-JAN-1990, 9.05312, 9.07585, 9.17281, 9.25034, 9.21923, 10.18087, 8.51938, 9.29517, 10.24843, 9.26242, 9.22989, 8.45374, 7.80509, 7.81206, 7.81108
10-JAN-1990, 9.04172, 9.03120, 9.19930, 9.36533, 9.06133, 9.98630, 8.69545, 9.51019, 10.50959, 9.30208, 9.26723, 8.48583, 7.83122, 7.83845, 7.83932
11-JAN-1990, 9.06002, 9.08641, 9.37269, 9.30468, 9.01634, 9.92541, 8.76082, 9.57552, 10.58918, 9.34184, 9.29885, 8.51703, 7.86808, 7.88231, 7.88323
12-JAN-1990, 9.08280, 9.07348, 9.43053, 9.38867, 9.17208, 10.11515, 8.77546, 9.58995, 10.60814, 9.39800, 9.35613, 8.56404, 7.90841, 7.92338, 7.92417
16-JAN-1990, 9.27000, 9.30991, 9.38365, 9.52447, 9.21167, 10.16980, 8.82280, 9.66343, 10.69554, 9.48619, 9.45428, 8.63934, 7.96307, 7.96991, 7.97236
17-JAN-1990, 9.23575, 9.24408, 9.43717, 9.50387, 9.19309, 10.14570, 8.88800, 9.74086, 10.79161, 9.49833, 9.46165, 8.64755, 7.97047, 7.97766, 7.97677
18-JAN-1990, 9.43680, 9.46789, 9.54120, 9.49409, 9.28552, 10.25244, 8.88722, 9.72387, 10.77202, 9.59124, 9.54819, 8.72487, 8.04628, 8.06099, 8.06224
19-JAN-1990, 9.39102, 9.32343, 9.37107, 9.52332, 9.21897, 10.17060, 8.86608, 9.70007, 10.74085, 9.53214, 9.48744, 8.67558, 8.00378, 8.01866, 8.01959
22-JAN-1990, 9.36158, 9.25700, 9.52108, 9.52536, 9.25982, 10.22818, 8.94990, 9.81616, 10.88288, 9.57044, 9.53534, 8.70910, 8.02151, 8.02898, 8.02925
23-JAN-1990, 9.47608, 9.29355, 9.41311, 9.88243, 9.30584, 10.28248, 9.02052, 9.90092, 10.98932, 9.65704, 9.61989, 8.78040, 8.08214, 8.09044, 8.09169
24-JAN-1990, 9.48752, 9.37264, 9.58917, 9.63076, 9.35677, 10.34532, 9.03912, 9.92209, 11.01494, 9.67819, 9.64099, 8.79717, 8.09632, 8.10528, 8.10469
25-JAN-1990, 9.50554, 9.46282, 9.58275, 9.66178, 9.42937, 10.42726, 9.08266, 9.95922, 11.06202, 9.73085, 9.68559, 8.83847, 8.14319, 8.15875, 8.16011
26-JAN-1990, 9.45975, 9.59152, 9.73863, 9.76877, 9.47865, 10.48696, 9.12697, 10.01399, 11.12785, 9.78783, 9.74535, 8.88710, 8.18413, 8.19990, 8.20114
29-JAN-1990, 9.53348, 9.58656, 9.87826, 9.96022, 9.46981, 10.48270, 9.17212, 10.08307, 11.21370, 9.84495, 9.80664, 8.93542, 8.21320, 8.22146, 8.22283
30-JAN-1990, 9.49906, 9.52054, 9.83565, 9.85411, 9.46410, 10.47569, 9.17808, 10.09131, 11.22314, 9.81743, 9.77971, 8.91364, 8.19432, 8.20354, 8.20357
31-JAN-1990, 9.46465, 9.38592, 9.81972, 9.67452, 9.31058, 10.28858, 9.09792, 9.99363, 11.10300, 9.71418, 9.67737, 8.82724, 8.12202, 8.12988, 8.13206
01-FEB-1990, 9.50554, 9.42868, 9.66756, 9.67335, 9.27022, 10.23077, 9.09440, 9.97698, 11.08368, 9.70634, 9.66198, 8.81892, 8.12580, 8.14185, 8.14236
02-FEB-1990, 9.57432, 9.56021, 9.60905, 9.91386, 9.30673, 10.27286, 9.11509, 10.00222, 11.11351, 9.76547, 9.72060, 8.86880, 8.16812, 8.18399, 8.18483
05-FEB-1990, 9.56790, 9.48061, 9.77027, 9.86399, 9.34561, 10.33050, 9.15958, 10.06780, 11.19652, 9.78831, 9.74907, 8.88781, 8.17401, 8.18099, 8.18246
06-FEB-1990, 9.59089, 9.60486, 9.82376, 9.98080, 9.40383, 10.40106, 9.21204, 10.13310, 11.27663, 9.85389, 9.81708, 8.94327, 8.21979, 8.22869, 8.23009
07-FEB-1990, 9.57934, 9.35380, 9.97925, 9.88660, 9.36489, 10.35425, 9.17660, 10.09058, 11.22304, 9.81148, 9.77257, 8.90805, 8.18997, 8.19757, 8.19994
08-FEB-1990, 9.48259, 9.37351, 9.73129, 9.97897, 9.22744, 10.17452, 8.94788, 9.79762, 10.86339, 9.66728, 9.62430, 8.78749, 8.09967, 8.11529, 8.11562
09-FEB-1990, 9.37961, 9.31291, 9.59913, 9.63091, 9.18386, 10.12608, 8.76902, 9.58227, 10.59831, 9.51702, 9.47557, 8.66383, 7.99447, 8.00903, 8.00883
13-FEB-1990, 9.33863, 9.27023, 9.60682, 9.97956, 9.17069, 10.11469, 8.82015, 9.65850, 10.69085, 9.55185, 9.51876, 8.69445, 8.00966, 8.01744, 8.01761
14-FEB-1990, 9.43025, 9.35436, 9.64333, 9.92689, 9.17553, 10.12101, 8.93706, 9.80020, 10.86590, 9.62166, 9.58679, 8.75097, 8.05786, 8.06576, 8.06579
15-FEB-1990, 9.50554, 9.39456, 9.65667, 9.97784, 9.22749, 10.17432, 8.94683, 9.79881, 10.86313, 9.66535, 9.62198, 8.78728, 8.09885, 8.11392, 8.11341
16-FEB-1990, 9.48259, 9.44175, 9.70522, 9.92599, 9.26946, 10.22590, 8.91561, 9.75946, 10.81465, 9.66283, 9.61963, 8.78463, 8.09711, 8.11222, 8.11463
19-FEB-1990, 9.52193, 9.47287, 9.64233, 9.87380, 9.43532, 10.44003, 8.98544, 9.85739, 10.93560, 9.72047, 9.68421, 8.83362, 8.12755, 8.13513, 8.13613
20-FEB-1990, 9.64833, 9.72651, 9.99513, 10.20506, 9.46739, 10.47854, 9.09320, 9.98724, 11.09609, 9.88560, 9.84834, 8.96943, 8.24236, 8.25116, 8.25269
21-FEB-1990, 9.64833, 9.65758, 9.97351, 10.18362, 9.44813, 10.45503, 9.07514, 9.96611, 11.07022, 9.86247, 9.82710, 8.95181, 8.22678, 8.23610, 8.23566
22-FEB-1990, 9.59728, 9.61551, 9.83287, 10.11721, 9.39550, 10.37788, 8.98929, 9.84721, 10.92253, 9.78740, 9.74602, 8.88915, 8.18532, 8.20223, 8.20109
23-FEB-1990, 9.57432, 9.62864, 9.82262, 9.85346, 9.55636, 10.58090, 8.99219, 9.84763, 10.92228, 9.79325, 9.75309, 8.89389, 8.19024, 8.20592, 8.20643
26-FEB-1990, 9.51050, 9.53108, 9.79795, 9.85380, 9.33593, 10.31908, 8.90218, 9.75666, 10.81222, 9.68506, 9.64889, 8.80409, 8.10256, 8.11031, 8.11008
27-FEB-1990, 9.45792, 9.49019, 9.70348, 9.79646, 9.28407, 10.25484, 8.88878, 9.73976, 10.79145, 9.64349, 9.60576, 8.76598, 8.07040, 8.07909, 8.07838
28-FEB-1990, 9.56091, 9.61965, 9.80940, 9.90252, 9.42241, 10.42478, 8.94402, 9.80653, 10.87376, 9.74895, 9.70890, 8.85276, 8.14466, 8.15142, 8.15297
01-MAR-1990, 9.71096, 9.63831, 9.90261, 9.93410, 9.48748, 10.43171, 8.97299, 9.82552, 10.92859, 9.77645, 9.76480, 8.90397, 8.19837, 8.21437, 8.23772
02-MAR-1990, 9.65348, 9.68828, 9.83442, 9.71265, 9.42763, 10.36115, 8.96092, 9.81132, 10.91319, 9.72616, 9.71226, 8.86104, 8.16192, 8.17708, 8.20212
05-MAR-1990, 9.75068, 9.77295, 9.96830, 9.87063, 9.52263, 10.48423, 8.95813, 9.82233, 10.92546, 9.79700, 9.78948, 8.92124, 8.20149, 8.20990, 8.23165
06-MAR-1990, 9.68168, 9.60639, 9.87248, 9.83897, 9.44568, 10.39074, 8.92933, 9.78754, 10.88375, 9.72735, 9.72045, 8.86283, 8.15282, 8.15979, 8.18403
07-MAR-1990, 9.69312, 9.65133, 9.79721, 9.96551, 9.42337, 10.36160, 8.93704, 9.79927, 10.89637, 9.73789, 9.72876, 8.87148, 8.15949, 8.16708, 8.19137
08-MAR-1990, 9.75703, 9.61202, 9.77903, 9.79565, 9.32999, 10.24005, 8.95919, 9.81222, 10.91155, 9.71843, 9.70290, 8.85449, 8.15604, 8.17188, 8.19631
09-MAR-1990, 9.87210, 9.71732, 9.93266, 9.84914, 9.34015, 10.25289, 8.82335, 9.64693, 10.70899, 9.72034, 9.70620, 8.85777, 8.15963, 8.17487, 8.19880
12-MAR-1990, 9.86597, 9.77490, 9.84816, 9.77408, 9.36047, 10.28685, 8.92960, 9.79165, 10.88599, 9.74986, 9.74577, 8.88224, 8.16910, 8.17764, 8.19994
13-MAR-1990, 9.92359, 9.79308, 9.93858, 9.89057, 9.41836, 10.35681, 9.02446, 9.90335, 11.02651, 9.83169, 9.82441, 8.94976, 8.22529, 8.23452, 8.25771
14-MAR-1990, 9.84284, 9.68490, 9.75734, 9.84798, 9.37518, 10.30378, 8.91261, 9.76953, 10.86107, 9.73266, 9.72498, 8.86738, 8.15668, 8.16453, 8.18760
15-MAR-1990, 9.89521, 9.70413, 9.79873, 9.88966, 9.37397, 10.29276, 8.90606, 9.74686, 10.83066, 9.75216, 9.73889, 8.88444, 8.18145, 8.19663, 8.22209
16-MAR-1990, 9.82610, 9.57257, 9.71382, 9.74213, 9.24432, 10.13668, 8.89925, 9.74087, 10.82435, 9.67278, 9.66158, 8.81732, 8.12514, 8.14101, 8.16494
19-MAR-1990, 9.87742, 9.64759, 9.76754, 9.66831, 9.26942, 10.17686, 8.83636, 9.67755, 10.74703, 9.66623, 9.66048, 8.81267, 8.11039, 8.11775, 8.14129
20-MAR-1990, 9.85440, 9.59215, 9.78400, 9.64752, 9.16544, 10.05010, 8.84104, 9.68545, 10.75691, 9.63495, 9.62895, 8.78723, 8.08820, 8.09547, 8.11892
21-MAR-1990, 9.83361, 7.24272, 7.78719, 8.44498, 9.25079, 10.16360, 11.31418, 12.75685, 14.66830, 10.04531, 10.01930, 9.10771, 8.35904, 8.36876, 8.39580
22-MAR-1990, 9.80300, 9.58572, 9.65571, 9.65769, 9.29925, 10.20540, 8.80989, 9.63094, 10.68932, 9.63426, 9.62089, 8.78623, 8.09783, 8.11364, 8.13686
23-MAR-1990, 9.76847, 9.62255, 9.59795, 9.63618, 9.32256, 10.23362, 8.88319, 9.72023, 10.79828, 9.65741, 9.64315, 8.80423, 8.11361, 8.12818, 8.15283
26-MAR-1990, 9.77368, 9.62176, 9.64596, 9.52086, 9.35310, 10.27903, 8.83443, 9.67556, 10.74320, 9.63592, 9.63016, 8.78687, 8.08830, 8.09593, 8.11973
27-MAR-1990, 9.81982, 9.62943, 9.67736, 9.61551, 9.30627, 10.22262, 8.85123, 9.69626, 10.76955, 9.65314, 9.64875, 8.80165, 8.10136, 8.10796, 8.13205
28-MAR-1990, 9.73912, 9.72793, 9.56084, 9.63621, 9.32048, 10.23945, 8.87492, 9.72544, 10.80476, 9.65059, 9.64534, 8.80009, 8.09910, 8.10667, 8.13029
29-MAR-1990, 9.82742, 9.81358, 9.55139, 10.07794, 9.48588, 10.42747, 8.95826, 9.80906, 10.90704, 9.78864, 9.77544, 8.91418, 8.20729, 8.22353, 8.24549
30-MAR-1990, 9.80432, 9.86111, 9.88787, 9.90277, 9.42738, 10.35804, 8.96676, 9.81801, 10.92063, 9.79535, 9.78348, 8.92018, 8.21224, 8.22801, 8.25211
02-APR-1990, 9.78655, 9.87498, 9.87765, 9.89231, 9.50008, 10.45696, 9.00827, 9.88561, 11.00141, 9.82165, 9.81422, 8.94003, 8.21873, 8.22603, 8.24977
03-APR-1990, 9.83270, 9.74460, 9.86619, 9.81807, 9.52362, 10.48509, 8.95852, 9.82342, 10.92793, 9.79443, 9.78609, 8.91865, 8.19978, 8.20767, 8.23156
04-APR-1990, 9.74041, 9.72923, 9.75491, 9.74401, 9.41300, 10.35143, 8.92971, 9.78990, 10.88418, 9.72283, 9.71471, 8.85921, 8.14886, 8.15708, 8.17965
05-APR-1990, 9.75833, 9.68175, 9.70616, 9.79601, 9.45851, 10.39727, 8.94757, 9.79520, 10.89087, 9.74028, 9.72746, 8.87404, 8.17337, 8.18816, 8.21264
06-APR-1990, 9.72380, 9.71862, 9.74421, 9.79656, 9.41575, 10.34574, 8.93814, 9.78469, 10.87794, 9.72972, 9.71473, 8.86434, 8.16508, 8.18040, 8.20486
09-APR-1990, 9.75198, 9.73977, 9.76546, 9.88152, 9.44252, 10.38681, 8.99751, 9.87168, 10.98505, 9.77115, 9.76612, 8.89987, 8.18358, 8.19182, 8.21709
10-APR-1990, 9.77499, 9.76086, 9.78655, 9.90268, 9.54720, 10.51492, 9.03252, 9.91382, 11.03881, 9.81921, 9.81090, 8.93939, 8.21663, 8.22493, 8.24822
11-APR-1990, 9.74041, 9.76371, 9.76563, 9.94514, 9.53864, 10.50258, 8.98342, 9.85315, 10.96249, 9.79390, 9.78733, 8.91830, 8.19991, 8.20703, 8.23238
12-APR-1990, 9.78132, 9.77137, 9.84499, 9.92366, 9.35635, 10.27154, 9.17728, 10.07649, 11.24096, 9.84716, 9.83092, 8.96000, 8.24521, 8.26247, 8.28541
13-APR-1990, 9.73523, 9.79773, 9.87259, 9.97693, 9.35766, 10.27099, 9.09540, 9.97585, 11.11655, 9.81706, 9.80260, 8.93598, 8.22581, 8.24248, 8.26468
