Date,1Y1Y,1Y2Y,1Y3Y,1Y4Y,1Y5Y,1Y6Y,1Y7Y,1Y8Y,1Y9Y,1Y10Y,1Y11Y,1Y12Y,1Y15Y,1Y20Y,1Y25Y
04-JAN-1990, 9.00308, 9.05239, 9.11709, 9.15054, 9.13930, 9.28562, 9.16136, 9.16145, 9.26372, 9.25749, 9.24895, 9.17816, 9.14365, 9.18777, 9.21450
05-JAN-1990, 8.99181, 9.05847, 9.08963, 9.15551, 9.14353, 9.28919, 9.18197, 9.19789, 9.31574, 9.30896, 9.30005, 9.22819, 9.19259, 9.23661, 9.26309
08-JAN-1990, 9.00752, 9.03774, 9.10408, 9.16943, 9.15630, 9.30272, 9.19953, 9.22117, 9.34516, 9.33770, 9.32853, 9.25582, 9.21972, 9.26385, 9.29061
09-JAN-1990, 9.05312, 9.06448, 9.10058, 9.13800, 9.15424, 9.32468, 9.20927, 9.22001, 9.33380, 9.32666, 9.31786, 9.24559, 9.21033, 9.25542, 9.28248
10-JAN-1990, 9.04172, 9.03646, 9.09071, 9.15930, 9.13970, 9.28035, 9.19660, 9.23575, 9.37656, 9.36911, 9.35984, 9.28674, 9.25063, 9.29525, 9.32216
11-JAN-1990, 9.06002, 9.07321, 9.17295, 9.20586, 9.16793, 9.29382, 9.21751, 9.26220, 9.40885, 9.40215, 9.39275, 9.31951, 9.28328, 9.32806, 9.35508
12-JAN-1990, 9.08280, 9.07814, 9.19548, 9.24374, 9.22941, 9.37654, 9.29046, 9.32786, 9.46937, 9.46224, 9.45258, 9.37826, 9.34123, 9.38636, 9.41373
16-JAN-1990, 9.27000, 9.28995, 9.32118, 9.37196, 9.33989, 9.47777, 9.38396, 9.41886, 9.55998, 9.55260, 9.54366, 9.46801, 9.43149, 9.47956, 9.50843
17-JAN-1990, 9.23575, 9.23992, 9.30563, 9.35516, 9.32272, 9.45946, 9.37764, 9.42297, 9.57420, 9.56662, 9.55707, 9.48099, 9.44381, 9.49157, 9.52019
18-JAN-1990, 9.43680, 9.45234, 9.48195, 9.48499, 9.44507, 9.57922, 9.48009, 9.51053, 9.64999, 9.64411, 9.63539, 9.55922, 9.52354, 9.57396, 9.60427
19-JAN-1990, 9.39102, 9.35722, 9.36184, 9.40219, 9.36552, 9.49929, 9.40860, 9.44499, 9.58823, 9.58262, 9.57396, 9.49881, 9.46368, 9.51334, 9.54329
22-JAN-1990, 9.36158, 9.30928, 9.37984, 9.41620, 9.38491, 9.52500, 9.44266, 9.48928, 9.64325, 9.63597, 9.62682, 9.55005, 9.51336, 9.56270, 9.59236
23-JAN-1990, 9.47608, 9.38478, 9.39422, 9.51607, 9.47399, 9.60833, 9.52416, 9.57119, 9.72786, 9.72077, 9.71160, 9.63370, 9.59697, 9.64805, 9.67897
24-JAN-1990, 9.48752, 9.43006, 9.48307, 9.51998, 9.48731, 9.62985, 9.54527, 9.59230, 9.74946, 9.74234, 9.73312, 9.65482, 9.61778, 9.66900, 9.70008
25-JAN-1990, 9.50554, 9.48418, 9.51702, 9.55320, 9.52842, 9.67772, 9.59251, 9.63828, 9.79557, 9.78910, 9.77968, 9.70094, 9.66350, 9.71499, 9.74603
26-JAN-1990, 9.45975, 9.52562, 9.59658, 9.63960, 9.60739, 9.75350, 9.66377, 9.70749, 9.86441, 9.85675, 9.84662, 9.76633, 9.72718, 9.77804, 9.80869
29-JAN-1990, 9.53348, 9.56002, 9.66600, 9.73948, 9.68549, 9.81796, 9.72546, 9.77010, 9.92957, 9.92111, 9.91070, 9.82909, 9.78962, 9.84169, 9.87311
30-JAN-1990, 9.49906, 9.50980, 9.61831, 9.67721, 9.63456, 9.77430, 9.68893, 9.73915, 9.90305, 9.89449, 9.88405, 9.80285, 9.76348, 9.81503, 9.84635
31-JAN-1990, 9.46465, 9.42528, 9.55660, 9.58607, 9.53092, 9.65683, 9.57681, 9.62883, 9.79165, 9.78390, 9.77421, 9.69499, 9.65698, 9.70795, 9.73870
01-FEB-1990, 9.50554, 9.46710, 9.53388, 9.56873, 9.50897, 9.62894, 9.55242, 9.60540, 9.76867, 9.76244, 9.75330, 9.67513, 9.63822, 9.68957, 9.72065
02-FEB-1990, 9.57432, 9.56727, 9.58119, 9.66426, 9.59266, 9.70574, 9.62116, 9.66872, 9.82832, 9.82204, 9.81281, 9.73383, 9.69687, 9.74932, 9.78098
05-FEB-1990, 9.56790, 9.52425, 9.60620, 9.67059, 9.60552, 9.72602, 9.64492, 9.69769, 9.86322, 9.85573, 9.84603, 9.76586, 9.72793, 9.78062, 9.81210
06-FEB-1990, 9.59089, 9.59788, 9.67312, 9.74996, 9.68065, 9.80039, 9.71615, 9.76818, 9.93477, 9.92668, 9.91671, 9.83526, 9.79640, 9.84929, 9.88136
07-FEB-1990, 9.57934, 9.46651, 9.63716, 9.69947, 9.63247, 9.75244, 9.66999, 9.72248, 9.88820, 9.88053, 9.87071, 9.79016, 9.75205, 9.80474, 9.83641
08-FEB-1990, 9.48259, 9.42804, 9.52903, 9.64134, 9.55844, 9.66088, 9.55874, 9.58857, 9.72949, 9.72327, 9.71427, 9.63673, 9.60019, 9.65131, 9.68217
09-FEB-1990, 9.37961, 9.34625, 9.43048, 9.48055, 9.42115, 9.53833, 9.42809, 9.44735, 9.57464, 9.56888, 9.56039, 9.48540, 9.45025, 9.49982, 9.52959
13-FEB-1990, 9.33863, 9.30442, 9.40513, 9.54846, 9.47280, 9.57952, 9.47071, 9.49417, 9.62649, 9.61903, 9.60991, 9.53333, 9.49659, 9.54574, 9.57536
14-FEB-1990, 9.43025, 9.39230, 9.47591, 9.58848, 9.50577, 9.60807, 9.51196, 9.54795, 9.69361, 9.68641, 9.67735, 9.59985, 9.56305, 9.61353, 9.64396
15-FEB-1990, 9.50554, 9.45004, 9.51887, 9.63343, 9.55212, 9.65558, 9.55405, 9.58461, 9.72594, 9.71988, 9.71097, 9.63370, 9.59768, 9.64909, 9.67994
16-FEB-1990, 9.48259, 9.46217, 9.54312, 9.63872, 9.56476, 9.67468, 9.56592, 9.59009, 9.72548, 9.71922, 9.71016, 9.63273, 9.59632, 9.64742, 9.67823
19-FEB-1990, 9.52193, 9.49740, 9.54569, 9.62762, 9.58913, 9.73049, 9.62375, 9.65292, 9.79471, 9.78728, 9.77791, 9.69891, 9.66162, 9.71349, 9.74465
20-FEB-1990, 9.64833, 9.68742, 9.78989, 9.89354, 9.80818, 9.91962, 9.80118, 9.82442, 9.96499, 9.95705, 9.94717, 9.86535, 9.82665, 9.88048, 9.91309
21-FEB-1990, 9.64833, 9.65295, 9.75970, 9.86553, 9.78192, 9.89382, 9.77649, 9.80018, 9.94057, 9.93276, 9.92315, 9.84187, 9.80368, 9.85741, 9.89001
22-FEB-1990, 9.59728, 9.60640, 9.68184, 9.79052, 9.71140, 9.82220, 9.70282, 9.72086, 9.85374, 9.84710, 9.83791, 9.75853, 9.72138, 9.77419, 9.80622
23-FEB-1990, 9.57432, 9.60147, 9.67514, 9.71969, 9.68701, 9.83548, 9.71462, 9.73123, 9.86294, 9.85597, 9.84661, 9.76690, 9.72925, 9.78187, 9.81352
26-FEB-1990, 9.51050, 9.52079, 9.61310, 9.67322, 9.60568, 9.72426, 9.60644, 9.62521, 9.75647, 9.74932, 9.74019, 9.66188, 9.62508, 9.67674, 9.70779
27-FEB-1990, 9.45792, 9.47405, 9.55047, 9.61192, 9.54627, 9.66405, 9.55296, 9.57629, 9.71065, 9.70393, 9.69500, 9.61728, 9.58049, 9.63133, 9.66214
28-FEB-1990, 9.56091, 9.59028, 9.66327, 9.72303, 9.66284, 9.78947, 9.66829, 9.68556, 9.81695, 9.81015, 9.80094, 9.72161, 9.68433, 9.73690, 9.76827
