Date,1Y1Y,2Y1Y,3Y1Y,4Y1Y,5Y1Y,6Y1Y,7Y1Y,8Y1Y,9Y1Y,10Y1Y,11Y1Y,12Y1Y,15Y1Y,20Y1Y,25Y1Y
04-JAN-1990, 8.84883, 9.09671, 9.24346, 9.24553, 9.50489, 9.56756, 9.19053, 9.01371, 9.30510, 9.16408, 9.13580, 9.14729, 9.13684, 9.14140, 9.12967
05-JAN-1990, 8.85543, 9.12111, 9.14736, 9.34946, 9.53850, 9.53200, 9.24014, 9.17440, 9.55368, 9.21150, 9.18289, 9.20345, 9.17874, 9.19031, 9.17538
08-JAN-1990, 8.84339, 9.06348, 9.23318, 9.36143, 9.53779, 9.55471, 9.28310, 9.23642, 9.63170, 9.23634, 9.21131, 9.23261, 9.20366, 9.21851, 9.20126
09-JAN-1990, 8.88125, 9.07115, 9.16881, 9.24592, 9.61815, 9.73703, 9.33823, 9.13758, 9.41952, 9.22876, 9.20222, 9.21479, 9.20090, 9.20750, 9.19444
10-JAN-1990, 8.86034, 9.02635, 9.19563, 9.36126, 9.49148, 9.50731, 9.32854, 9.38850, 9.86346, 9.26876, 9.24382, 9.27307, 9.23070, 9.25338, 9.23222
11-JAN-1990, 8.87839, 9.08013, 9.37057, 9.29919, 9.40746, 9.49205, 9.36295, 9.46072, 9.97414, 9.30542, 9.27438, 9.30869, 9.26111, 9.28672, 9.26482
12-JAN-1990, 8.88816, 9.06662, 9.42883, 9.38309, 9.56948, 9.67498, 9.45898, 9.46019, 9.90976, 9.35944, 9.32721, 9.35717, 9.31962, 9.33975, 9.32108
16-JAN-1990, 9.09698, 9.30497, 9.37919, 9.52004, 9.65740, 9.67237, 9.48201, 9.53526, 10.02157, 9.45229, 9.42606, 9.45547, 9.41495, 9.43556, 9.41667
17-JAN-1990, 9.04893, 9.23902, 9.43331, 9.49900, 9.62030, 9.66866, 9.52216, 9.61881, 10.14085, 9.46382, 9.43553, 9.46938, 9.42269, 9.44781, 9.42585
18-JAN-1990, 9.25433, 9.46185, 9.53710, 9.48800, 9.69507, 9.79805, 9.58247, 9.59185, 10.05832, 9.55042, 9.52091, 9.54828, 9.51106, 9.53041, 9.51081
19-JAN-1990, 9.19164, 9.31695, 9.36628, 9.51895, 9.65924, 9.68260, 9.50829, 9.57759, 10.08146, 9.49150, 9.46237, 9.49320, 9.45019, 9.47270, 9.45277
22-JAN-1990, 9.13857, 9.25124, 9.51749, 9.52005, 9.67511, 9.76387, 9.60790, 9.68859, 10.20783, 9.53558, 9.50683, 9.54127, 9.49519, 9.51895, 9.49859
23-JAN-1990, 9.24548, 9.28732, 9.40885, 9.87931, 9.83739, 9.68837, 9.59311, 9.78986, 10.39756, 9.62174, 9.59333, 9.63203, 9.57809, 9.60652, 9.58225
24-JAN-1990, 9.26064, 9.36665, 9.58520, 9.62551, 9.78511, 9.86586, 9.70780, 9.79438, 10.32483, 9.64089, 9.61425, 9.64785, 9.59944, 9.62509, 9.60243
