Date,1Y1Y,1Y2Y,1Y3Y,1Y4Y,1Y5Y,1Y6Y,1Y7Y,1Y8Y,1Y9Y,1Y10Y,1Y11Y,1Y12Y,1Y15Y,1Y20Y,1Y25Y
13-FEB-1995, 17.52167, 17.83117, 18.36172, 18.50943, 18.39519, 18.31009, 18.24923, 18.20385, 18.17454, 18.14558, 18.12200, 17.87293, 17.81373, 18.12590, 18.31745
14-FEB-1995, 17.33164, 17.78792, 18.34898, 18.49998, 18.38832, 18.30514, 18.24560, 18.20108, 18.17250, 18.14420, 18.12087, 17.87209, 17.81381, 18.12781, 18.32031
15-FEB-1995, 17.51280, 17.83510, 18.29958, 18.46230, 18.35439, 18.27369, 18.21611, 18.17306, 18.14551, 18.11800, 18.09539, 17.84767, 17.79053, 18.10419, 18.29786
16-FEB-1995, 17.27427, 17.93397, 18.16656, 18.12648, 18.02740, 17.95247, 17.89903, 17.85900, 17.83398, 17.80840, 17.78748, 17.54810, 17.49282, 17.79353, 17.97794
17-FEB-1995, 17.39787, 17.92333, 18.25924, 18.31372, 18.20719, 18.12739, 18.07030, 18.02781, 18.00032, 17.97331, 17.95109, 17.70692, 17.64958, 17.95611, 18.14443
20-FEB-1995, 17.51280, 17.73336, 18.31157, 18.47154, 18.36334, 18.28247, 18.22461, 18.18127, 18.15364, 18.12588, 18.10350, 17.85549, 17.79821, 18.11270, 18.30579
21-FEB-1995, 17.37120, 17.79240, 18.29024, 18.46984, 18.37108, 18.29616, 18.24270, 18.20281, 18.17761, 18.15215, 18.13151, 17.88390, 17.82989, 18.14915, 18.34618
22-FEB-1995, 17.13322, 17.78936, 17.65289, 18.10815, 18.01892, 17.95065, 17.90206, 17.86559, 17.84319, 17.81994, 17.80072, 17.56207, 17.51008, 17.81605, 18.00301
23-FEB-1995, 17.24767, 17.70129, 17.81118, 18.03452, 17.95279, 17.88976, 17.84443, 17.81082, 17.79042, 17.76873, 17.75091, 17.51442, 17.46506, 17.77090, 17.95900
24-FEB-1995, 17.11540, 17.73611, 18.15246, 18.35117, 18.26154, 18.19315, 18.14404, 18.10748, 18.08479, 18.06140, 18.04259, 17.79810, 17.74683, 18.06536, 18.26103
27-FEB-1995, 17.23872, 17.72550, 18.14508, 18.24212, 18.15683, 18.09132, 18.04448, 18.00927, 17.98775, 17.96540, 17.94699, 17.70539, 17.65554, 17.97090, 18.16313
28-FEB-1995, 17.37120, 17.69072, 18.10211, 18.29840, 18.20625, 18.13618, 18.08604, 18.04848, 18.02509, 18.00134, 17.98143, 17.73820, 17.68607, 18.00061, 18.19312
01-MAR-1995, 17.21140, 17.65442, 17.95908, 18.17411, 18.07145, 18.00314, 17.95433, 17.92444, 17.89545, 17.87222, 17.85294, 17.61716, 17.56146, 17.87144, 18.05970
02-MAR-1995, 17.36816, 17.86413, 17.93955, 18.15887, 18.05574, 17.98715, 17.93815, 17.90785, 17.87866, 17.85524, 17.83588, 17.60046, 17.54461, 17.85376, 18.04018
03-MAR-1995, 17.33493, 17.74552, 18.13931, 18.23618, 18.13102, 18.06125, 18.01113, 17.98029, 17.95065, 17.92675, 17.90715, 17.66979, 17.61341, 17.92549, 18.11498
06-MAR-1995, 17.34415, 17.72144, 18.10376, 18.29813, 18.18585, 18.11117, 18.05788, 18.02472, 17.99277, 17.96745, 17.94676, 17.70756, 17.64862, 17.95985, 18.14913
07-MAR-1995, 17.27775, 17.68792, 17.98158, 18.08817, 17.98665, 17.91923, 17.87086, 17.84135, 17.81242, 17.78939, 17.77062, 17.53686, 17.48120, 17.78766, 17.97279
08-MAR-1995, 17.27775, 17.78964, 18.06937, 18.16887, 18.06417, 17.99445, 17.94471, 17.91392, 17.88442, 17.86049, 17.84107, 17.60526, 17.54870, 17.85785, 18.04485
09-MAR-1995, 17.21140, 17.55296, 18.17050, 18.26004, 18.15407, 18.08340, 18.03289, 18.00181, 17.97187, 17.94776, 17.92791, 17.68991, 17.63325, 17.94647, 18.13529
10-MAR-1995, 17.21140, 17.55296, 18.07054, 18.27326, 18.16665, 18.09571, 18.04497, 18.01380, 17.98346, 17.95949, 17.93963, 17.70122, 17.64425, 17.95799, 18.14711
13-MAR-1995, 17.13584, 17.44227, 17.89615, 18.02391, 17.93418, 17.87450, 17.83188, 17.80654, 17.78102, 17.76064, 17.74397, 17.51202, 17.45994, 17.77040, 17.95809
14-MAR-1995, 17.26852, 17.61043, 17.92934, 18.15155, 18.05210, 17.98596, 17.93868, 17.91001, 17.88183, 17.85911, 17.84045, 17.60536, 17.55084, 17.86192, 18.05023
15-MAR-1995, 16.96489, 17.37136, 17.61217, 17.65017, 17.56856, 17.51420, 17.47526, 17.45262, 17.42931, 17.41075, 17.39554, 17.17267, 17.12226, 17.41708, 17.59524
16-MAR-1995, 17.12117, 17.58015, 17.79075, 17.91527, 17.82198, 17.75963, 17.71522, 17.68863, 17.66190, 17.64059, 17.62328, 17.39386, 17.34032, 17.64214, 17.82516
17-MAR-1995, 17.25376, 17.44440, 17.66100, 17.68681, 17.59806, 17.53880, 17.49660, 17.47131, 17.44595, 17.42575, 17.40920, 17.18518, 17.13239, 17.42533, 17.60194
20-MAR-1995, 17.15430, 17.49551, 17.71462, 17.84338, 17.75175, 17.69077, 17.64714, 17.62089, 17.59484, 17.57399, 17.55700, 17.32929, 17.27604, 17.57484, 17.75651
22-MAR-1995, 16.96489, 17.37136, 17.76048, 17.73260, 17.64762, 17.59112, 17.55081, 17.52696, 17.50261, 17.48336, 17.46737, 17.24248, 17.19128, 17.48889, 17.66851
23-MAR-1995, 16.90795, 17.31402, 17.65321, 17.88498, 17.79157, 17.72940, 17.68509, 17.65832, 17.63178, 17.61053, 17.59334, 17.36455, 17.31078, 17.61119, 17.79303
24-MAR-1995, 16.78507, 17.12270, 17.58463, 17.81888, 17.72814, 17.66779, 17.62472, 17.59873, 17.57316, 17.55249, 17.53551, 17.30840, 17.25540, 17.55369, 17.73470
28-MAR-1995, 16.96489, 17.37136, 17.61217, 17.75175, 17.66597, 17.60899, 17.56825, 17.54429, 17.51966, 17.50014, 17.48414, 17.25886, 17.20753, 17.50498, 17.68545
30-MAR-1995, 16.68940, 17.26235, 17.56121, 17.87434, 17.76758, 17.69656, 17.64579, 17.61418, 17.58418, 17.55995, 17.53983, 17.31090, 17.25265, 17.54410, 17.72078
03-APR-1995, 16.73728, 17.24293, 17.56720, 17.79111, 17.69470, 17.63040, 17.58452, 17.55665, 17.52912, 17.50714, 17.48907, 17.26247, 17.20753, 17.50067, 17.67873
04-APR-1995, 16.68044, 17.18559, 17.60813, 18.02741, 17.91907, 17.84711, 17.79552, 17.76349, 17.73270, 17.70833, 17.68825, 17.45555, 17.39696, 17.69590, 17.87791
06-APR-1995, 16.55787, 16.99451, 17.44081, 17.87117, 17.76922, 17.70111, 17.65271, 17.62301, 17.59386, 17.57090, 17.55183, 17.32302, 17.26613, 17.56059, 17.73947
07-APR-1995, 16.61464, 17.05170, 17.40012, 17.83991, 17.74138, 17.67579, 17.62916, 17.60038, 17.57243, 17.55022, 17.53190, 17.30402, 17.24842, 17.54305, 17.72150
10-APR-1995, 16.61464, 17.15235, 17.48713, 17.92065, 17.81894, 17.75126, 17.70298, 17.67320, 17.64436, 17.62126, 17.60229, 17.37239, 17.31589, 17.61311, 17.79338
11-APR-1995, 16.68044, 17.08490, 17.52088, 17.94648, 17.84135, 17.77149, 17.72156, 17.69081, 17.66089, 17.63707, 17.61766, 17.38700, 17.32932, 17.62564, 17.80578
12-APR-1995, 16.50113, 17.13845, 17.45878, 17.88466, 17.77979, 17.70989, 17.66022, 17.62929, 17.59942, 17.57587, 17.55633, 17.32712, 17.26937, 17.56280, 17.74007
