FirstDate, SecondDate, Previous DV01, Previous Forward Rate, Spot DV01, Spot Forward Rate, 1D Gross PnL, 1D Market PnL, 1D Roll-down PnL, 1D Accrual PnL, 1D Explained PnL, 1D Unexplianed PnL, Floater Label
16-AUG-1990, 17-AUG-1990,  0.22967875,  12.46736493,  0.22970476,  12.50734809,  0.95086528,  0.91838012,  0.00000000,  0.00000000,  0.91838012,  0.03248516, CAD-CDOR-3M
17-AUG-1990, 20-AUG-1990,  0.22970476,  12.50734809,  0.22984896,  12.57731848,  1.78861479,  1.60775776,  0.00000000,  0.00000000,  1.60775776,  0.18085703, CAD-CDOR-3M
20-AUG-1990, 21-AUG-1990,  0.22984896,  12.57731848,  0.22981378,  12.66728018,  2.02320077,  2.06760201,  0.00000000,  0.00000000,  2.06760201, -0.04440123, CAD-CDOR-3M
21-AUG-1990, 22-AUG-1990,  0.22981378,  12.66728018,  0.22987982,  12.67727590,  0.31342990,  0.22974860,  0.00000000,  0.00000000,  0.22974860,  0.08368131, CAD-CDOR-3M
22-AUG-1990, 23-AUG-1990,  0.22987982,  12.67727590,  0.22993354,  12.69726735,  0.52777299,  0.45961667,  0.00000000,  0.00000000,  0.45961667,  0.06815632, CAD-CDOR-3M
23-AUG-1990, 24-AUG-1990,  0.22993354,  12.69726735,  0.23007432,  12.64728871, -0.97112786, -1.14952829,  0.00000000,  0.00000000, -1.14952829,  0.17840044, CAD-CDOR-3M
24-AUG-1990, 27-AUG-1990,  0.23007432,  12.64728871,  0.23033441,  12.62729723, -0.13151938, -0.46021256,  0.00000000,  0.00000000, -0.46021256,  0.32869318, CAD-CDOR-3M
27-AUG-1990, 28-AUG-1990,  0.23033441,  12.62729723,  0.23036419,  12.66728018,  0.95866740,  0.92100432,  0.00000000,  0.00000000,  0.92100432,  0.03766308, CAD-CDOR-3M
28-AUG-1990, 29-AUG-1990,  0.23036419,  12.66728018,  0.23041870,  12.68727163,  0.52968458,  0.46058595,  0.00000000,  0.00000000,  0.46058595,  0.06909863, CAD-CDOR-3M
29-AUG-1990, 30-AUG-1990,  0.23041870,  12.68727163,  0.23058201,  12.61730149, -1.40619263, -1.61281418,  0.00000000,  0.00000000, -1.61281418,  0.20662155, CAD-CDOR-3M
30-AUG-1990, 31-AUG-1990,  0.23058201,  12.61730149,  0.23072056,  12.56732272, -0.97829507, -1.15276676,  0.00000000,  0.00000000, -1.15276676,  0.17447169, CAD-CDOR-3M
31-AUG-1990, 04-SEP-1990,  0.23072056,  12.56732272,  0.23092770,  12.65728445,  2.33778180,  2.07653374,  0.00000000,  0.00000000,  2.07653374,  0.26124806, CAD-CDOR-3M
